,Concept_ID,eu,kk
0,Auge::N,begi,көз
1,Ohr::N,belarri,құлақ
2,Nase::N,sudur,мұрын
3,Mund::N,aho,ауыз
4,Zahn::N,hortz,тіс
5,Zunge::N,mihi,тіл
6,Lippe::N,ezpain,ерін
7,Wange::N,masail,ұрт
8,Gesicht::N,aurpegi,бет-аузы
9,Stirn::N,bekoki,маңдай
10,Haar::N,ile,қыл
11,Haar::N,bilo,қыл
12,Schnurrbart::N,bibote,мұрт
13,Schnurrbart::N,sudurpeko,мұрт
14,Bart::N,bizar,сақал
15,Kinn::N,kokots,иек
16,Kiefer[Anatomie]::N,masailezur,жақ
17,Kehle::N,eztarri,алқым
18,Hals::N,sama,мойын
19,Genick::N,garondo,желке
20,Kopf::N,buru,кәллә
21,Rücken::N,bizkar,арқа
22,Bauch::N,sabel,қарын
23,Nabel::N,zilbor,кіндік
24,Busen::N,titi,омырау
25,Busen::N,ugatz,омырау
26,Brust::N,bular,кеуде
27,Schulter::N,besaburu,иық
28,Arm::N,beso,қол
29,Ellenbogen::N,ukondo,шынтақ
30,Hand::N,esku,қол
31,Handfläche::N,ahur,алақан
32,Finger::N,hatz,саусақ
33,Fingernagel::N,azazkal,тырнақ
34,Nagel[Anatomie]::N,azazkal,тырнақ
35,Zeh::N,behatz,тырнақ
36,Zeh::N,behatz,тұяқ
37,Fuß::N,oin,аяқ-басы
38,Ferse::N,orpo,өкше
39,Ferse::N,orpo,өкшелік
40,Ferse::N,oinburu,өкше
41,Ferse::N,oinburu,өкшелік
42,Knie::N,belaun,тізе
43,Oberschenkel::N,izter,жамбас
44,Bein::N,zango,аяқ
45,Körper::N,soin,дене
46,Haut::N,azal,тері
47,Blut::N,odol,қан
48,Ader::N,zain,көктамыр
49,Ader::N,zain,күретамыр
50,Sehne::N,gihar-zain,сіңір
51,Knochen::N,hezur,жілік
52,Gehirn::N,garun,ми
53,Gehirn::N,burmuin,ми
54,Herz::N,bihotz,жүрек
55,Magen::N,urdail,асқазан
56,Leber::N,gibel,бауыр
57,Atem::N,hats,леп
58,Atem::N,arnasa,леп
59,Hunger::N,gose,ашаршылық
60,Träne::N,malko,жас
61,Geschmack::N,dasta,дәм
62,Geschmack::N,dasta,татым
63,Geschmack::N,dasta,талғам
64,Geruch::N,usain,иіс
65,Schlaf::N,lo,ұйқы
66,Schlaf::N,lo,ұйықтау
