,Concept_ID,ro,de
0,Auge::N,ochi,Auge
1,Ohr::N,ureche,Ohr
2,Nase::N,nas,Nase
3,Mund::N,gură,Mund
4,Zahn::N,dinte,Zahn
5,Zunge::N,limbă,Zunge
6,Lippe::N,buză,Lippe
7,Wange::N,bucă,Wange
8,Wange::N,obraz,Wange
9,Gesicht::N,față,Gesicht
10,Gesicht::N,figură,Gesicht
11,Stirn::N,frunte,Stirn
12,Haar::N,păr,Haar
13,Schnurrbart::N,mustață,Schnurrbart
14,Bart::N,barbă,Bart
15,Kinn::N,bărbie,Kinn
16,Kiefer[Anatomie]::N,falcă,Kiefer
17,Kehle::N,beregată,Kehle
18,Hals::N,gât,Hals
19,Genick::N,ceafă,Genick
20,Kopf::N,cap,Kopf
21,Rücken::N,dos,Rücken
22,Rücken::N,spate,Rücken
23,Rücken::N,spinare,Rücken
24,Bauch::N,burtă,Bauch
25,Bauch::N,pântece,Bauch
26,Nabel::N,buric,Nabel
27,Busen::N,sân,Busen
28,Brust::N,piept,Brust
29,Schulter::N,umăr,Schulter
30,Schulter::N,spate,Schulter
31,Arm::N,braț,Arm
32,Ellenbogen::N,cot,Ellenbogen
33,Hand::N,mână,Hand
34,Handfläche::N,palmă,Handfläche
35,Finger::N,deget,Finger
36,Fingernagel::N,unghie,Fingernagel
37,Nagel[Anatomie]::N,unghie,Nagel
38,Zeh::N,deget de la picior,Zeh
39,Fuß::N,picior,Fuß
40,Ferse::N,călcâi,Ferse
41,Knie::N,genunchi,Knie
42,Oberschenkel::N,coapsă,Oberschenkel
43,Bein::N,picior,Bein
44,Körper::N,corp,Körper
45,Haut::N,piele,Haut
46,Blut::N,sânge,Blut
47,Ader::N,vână,Ader
48,Ader::N,arteră,Ader
49,Sehne::N,tendon,Sehne
50,Knochen::N,os,Knochen
51,Gehirn::N,creier,Gehirn
52,Herz::N,inimă,Herz
53,Magen::N,stomac,Magen
54,Leber::N,ficat,Leber
55,Atem::N,răsuflare,Atem
56,Atem::N,respirație,Atem
57,Hunger::N,foame,Hunger
58,Träne::N,lacrimă,Träne
59,Geschmack::N,gust,Geschmack
60,Geruch::N,miros,Geruch
61,Schlaf::N,somn,Schlaf
62,Traum::N,vis,Traum
63,Himmel::N,cer,Himmel
64,Sonne::N,soare,Sonne
65,Mond::N,lună,Mond
66,Stern::N,stea,Stern
67,Luft::N,aer,Luft
68,Wind::N,vânt,Wind
69,Welle::N,val,Welle
70,Welle::N,undă,Welle
71,Wasser::N,apă,Wasser
72,Stein::N,piatră,Stein
73,Boden::N,sol,Boden
74,Boden::N,pământ,Boden
75,Erde::N,pământ,Erde
76,Staub::N,praf,Staub
77,Rauch::N,fum,Rauch
78,Funke::N,scânteie,Funke
79,Feuer::N,foc,Feuer
80,Licht::N,lumină,Licht
81,Schatten::N,umbră,Schatten
82,Wetter::N,timp,Wetter
83,Wetter::N,vreme,Wetter
84,Nebel::N,ceață,Nebel
85,Nebel::N,negură,Nebel
86,Wolke::N,nor,Wolke
87,Regen::N,ploaie,Regen
88,Schnee::N,zăpadă,Schnee
89,Eis::N,gheață,Eis
90,Frost::N,ger,Frost
91,Kälte::N,frig,Kälte
92,Hitze::N,arșiță,Hitze
93,Hitze::N,căldură,Hitze
94,Raureif::N,chiciură,Raureif
95,Regenbogen::N,curcubeu,Regenbogen
96,Donner::N,tunet,Donner
97,Strömung::N,curent,Strömung
98,Tropfen::N,picătură,Tropfen
99,Schaum::N,spumă,Schaum
100,Schmutz::N,murdărie,Schmutz
101,See::N,lac,See
102,Sumpf::N,mlaștină,Sumpf
103,Moor::N,bărăgan,Moor
104,Wiese::N,fânaț,Wiese
105,Wiese::N,livadă,Wiese
106,Wald::N,codru,Wald
107,Wald::N,pădure,Wald
108,Hügel::N,deal,Hügel
109,Hügel::N,movilă,Hügel
110,Anhöhe::N,deal,Anhöhe
111,Anhöhe::N,ridicătură,Anhöhe
112,Berg::N,munte,Berg
113,Gipfel::N,pisc,Gipfel
114,Höhle::N,peșteră,Höhle
115,Abhang::N,pantă,Abhang
116,Abhang::N,versant,Abhang
117,Quelle::N,izvor,Quelle
118,Bach::N,gârlă,Bach
119,Fluss::N,râu,Fluss
120,Fluss::N,fluviu,Fluss
121,Ufer::N,mal,Ufer
122,Ufer::N,țărm,Ufer
123,Küste::N,coastă,Küste
124,Festland::N,uscat,Festland
125,Meer::N,mare,Meer
126,Bucht::N,golf,Bucht
127,Insel::N,insulă,Insel
128,Blume::N,floare,Blume
129,Gras::N,iarbă,Gras
130,Wurzel::N,rădăcină,Wurzel
131,Baum::N,copac,Baum
