,Concept_ID,ta,udm
0,Auge::N,கண்,син
1,Ohr::N,காது,пель
2,Nase::N,மூக்கு,ныр
3,Mund::N,வாய்,ым
4,Zahn::N,பல்,пинь
5,Zunge::N,நாக்கு,кыл
6,Lippe::N,உதடு,ымдур
7,Wange::N,கன்னம்,бам
8,Gesicht::N,முகம்,ымныр
9,Stirn::N,முன்னெற்றி,кымес
10,Haar::N,முடி,йырси
11,Schnurrbart::N,மீசை,мыйык
12,Bart::N,தாடி,туш
13,Kinn::N,கீழதாடை,ангес
14,Kiefer[Anatomie]::N,தாடை,ан
15,Kiefer[Anatomie]::N,தாடை,анлы
16,Kehle::N,தொண்டை,гульым
17,Hals::N,கழுத்து,чырты
18,Genick::N,கழுத்து,йырбер
19,Kopf::N,தலை,йыр
20,Rücken::N,முதுகு,мыш
21,Bauch::N,வயிறு,кӧт
22,Nabel::N,தொப்புள்,гогы
23,Busen::N,மார்பகம்,ноны
24,Brust::N, மார்பு,мӧля
25,Schulter::N,தோள்பட்டை,пельпум
26,Arm::N,கரம்,суй
27,Ellenbogen::N,முழங்கை,гырпум
28,Hand::N,கை,ки
29,Handfläche::N,உள்ளங்கை,ки пыдэс
30,Handfläche::N,உள்ளங்கை,кырым пыдэс
31,Finger::N,விரல்,чиньы
32,Fingernagel::N,விரல் நகம்,гижы
33,Fingernagel::N,விரல் நகம்,гиждӥнь
34,Nagel[Anatomie]::N,நகம்,гижы
35,Zeh::N,கால்விரல்,пыдчиньы
36,Fuß::N,கால்,пыд
37,Ferse::N,குதிகால்,пыдбер
38,Knie::N,முழங்கால்,пыдес
39,Oberschenkel::N,தொடை,макес
40,Bein::N,கால்,пыд
41,Körper::N,உடல்,мугор
42,Körper::N,உடல்,вылтыр
43,Haut::N,சருமம்,ку
44,Blut::N,இரத்தம்,вир
45,Ader::N,நாளம்,вирсэр
46,Sehne::N,தசைநார்,вуж
47,Knochen::N,எலுமபு,лы
48,Gehirn::N,மூனை,вим
49,Herz::N,இதயம,сюлэм
50,Magen::N,வயிறு,ӝуш
51,Leber::N,கல்லீரல்,мус
52,Atem::N,மூச்சு,лул
53,Atem::N,மூச்சு,шокан
54,Hunger::N,பசி,кӧтсюман
55,Träne::N,கண்ணீர்,синкыли
56,Geschmack::N,நறுமணம்,шӧм
57,Geruch::N,துர்நாற்றம்,зын
58,Schlaf::N,தூக்கம்,вӧт
59,Traum::N,கனவு,уйвӧт
60,Himmel::N,வானம்,ин
61,Sonne::N,சூரியன்,шунды
62,Mond::N,சந்திரன்,толэзь
63,Stern::N,நட்சத்திரம்,кизили
64,Luft::N,காறறு,омыр
65,Wind::N,காற்று,тӧл
66,Welle::N,அலை,тулкым
67,Wasser::N,நீர்,ву
68,Stein::N,கல்,из
69,Boden::N,தரை,музъем
70,Erde::N,மண்,му
71,Staub::N,தூசி,пыль
72,Rauch::N,புகை,ӵын
73,Funke::N,தீப்பொறி,гизьы
74,Feuer::N,தீ,тыл
75,Licht::N,வெளிச்சம்,тыл
76,Schatten::N,நிழல்,вужер
77,Wetter::N,வானிலை,куазь
78,Nebel::N,பனிமூட்டம்,бус
79,Wolke::N,மேகம்,пилем
80,Regen::N,மழை,зор
81,Schnee::N,உறைபனி,лымы
82,Eis::N,பனிக்கட்டி,йӧ
83,Frost::N,உறைபனி,кезьыт
84,Kälte::N,குளிர்ந்த,кезьыт
85,Hitze::N,சூடு,пӧсь
86,Raureif::N,உறைபனி வெண்திரை,гӧр
87,Regenbogen::N,வானவில்,вуюись
88,Donner::N,இடி,гудыри
89,Strömung::N,நீரோட்டம்,бызён
90,Tropfen::N,துளி,шапык
91,Schaum::N,நுரை,шукы
92,Schmutz::N,அழுக்கு,нӧд
93,Schmutz::N,அழுக்கு,дэри
94,See::N,ஏரி,ты
95,Sumpf::N,சதுப்பு நிலம்,нюр
96,Moor::N,முட்புதற்காடு,нюр
97,Wiese::N,பசும் புல்தரை,возь
98,Wiese::N,பசும் புல்தரை,возьвыл
99,Wald::N,காடு,сик
100,Wald::N,காடு,нюлэс
101,Hügel::N,குன்று,выр
102,Hügel::N,குன்று,вырйыл
103,Anhöhe::N,பதுக்கை,выр
104,Anhöhe::N,பதுக்கை,вырйыл
105,Berg::N,மலை,гурезь
106,Gipfel::N,உச்சி மாநாடு,йыл
107,Höhle::N,குகை,гу
108,Abhang::N,சரிவு,бам
109,Quelle::N,மூலம்,ошмес
110,Bach::N,ஓடை,пичи шур
111,Fluss::N,ஆறு,шур
112,Ufer::N,நீர்க்கரை,ярдур
113,Küste::N,கடற்கரை,вудур
114,Festland::N,நிலம்,мувыр
115,Meer::N,கடல்,зарезь
116,Bucht::N,சிறுகுடா,вукож
117,Insel::N,தீவு,вумуӵ
118,Insel::N,தீவு,шормуӵ
119,Blume::N,பூ,сяська
120,Gras::N,புல்தரை,турын
121,Wurzel::N,வேர்,выжы
122,Baum::N,மரம்,пу
123,Stamm::N,அடிமரம்,модос
124,Rinde::N,பட்டை,сул
125,Rinde::N,மரப்பட்டை,сул
126,Ast::N,கினை,ул
127,Zweig::N,குச்சி,вай
128,Blatt::N,இலை,куар
129,Birke::N,பிர்ச் மரம்,кызьпу
130,Kiefer[Baum]::N,தேவதாரு மரம்,пужым
131,Weide[Baum]::N,மர வகைகளுள் ஒன்று,бадьпу
132,Tanne::N,சாதிக்கய்,кыз
133,Horn::N,கொம்பு,сюр
134,Feder::N,இறகு,тылы
135,Fell::N,மென்முடி,ку
136,Flügel::N,இறக்கை,бурд
137,Klaue::N,நகம்,гижы
138,Kralle::N,நகம்,пыд
139,Schwanz::N,வால்,быж
140,Ei::N,முட்டை,пуз
141,Ei::N,முட்டை,кукей
142,Nest::N,கூடு,кар
143,Nest::N,கூடு,пузкар
144,Bau::N,குகை,кар
145,Bau::N,குகை,гу
146,Tier::N,விலங்கு,пӧйшур
147,Herde::N,கூட்டம்,уллё
148,Kuh::N,பசு,скал
149,Bulle::N,காளை,ош
150,Bulle::N,காளை,пороз
151,Pferd::N,குதிரை,вал
152,Schaf::N,செம்மறிஆடு,ыж
153,Schwein::N,பன்றி,парсь
154,Hund::N,நாய்,пуны
155,Katze::N,பூனை,коӵыш
156,Bär::N,கரடி,гондыр
157,Eichhörnchen::N,அணில்,коньы
158,Elch::N,கடம்பை,койык
159,Fuchs::N,நரி,ӟичы
160,Hase::N,முயல்,кеч
161,Maus::N,எலி,шыр
162,Wolf::N,ஓநாய்,кион
163,Vogel::N,பறவை,тылобурдо
164,Schwarm::N,தொகுதி,уллё
165,Huhn::N,கோழிக்குஞசு,курег
166,Hahn::N,சேவல்,атас
167,Gans::N,பெண் வாத்து,ӟазег
168,Adler::N,பருநது,ӧрзи
169,Ente::N,வாத்து,ӵӧж
170,Eule::N,ஆந்தை,кучыран
171,Kranich::N,நாரை,тури
