,Concept_ID,fi,da
0,Auge::N,silmä,øje
1,Ohr::N,korva,øre
2,Nase::N,nenä,næse
3,Mund::N,suu,mund
4,Zahn::N,hammas,tand
5,Zunge::N,kieli,tunge
6,Lippe::N,huuli,læbe
7,Wange::N,poski,kind
8,Gesicht::N,naama,ansigt
9,Gesicht::N,kasvot,ansigt
10,Stirn::N,otsa,pande
11,Haar::N,hius,hår
12,Haar::N,tukka,hår
13,Schnurrbart::N,viikset,overskæg
14,Bart::N,parta,skæg
15,Kinn::N,leuka,hage
16,Kiefer[Anatomie]::N,leukaluu,kæbe
17,Kehle::N,kurkku,strube
18,Hals::N,kaula,hals
19,Genick::N,niska,nakke
20,Kopf::N,pää,hoved
21,Rücken::N,selkä,ryg
22,Bauch::N,maha,mave
23,Bauch::N,vatsa,mave
24,Nabel::N,napa,navle
25,Busen::N,rinta,barm
26,Brust::N,rinta,bryst
27,Schulter::N,olka,skulder
28,Schulter::N,hartia,skulder
29,Schulter::N,olkapää,skulder
30,Arm::N,käsivarsi,arm
31,Ellenbogen::N,kyynärpää,albue
32,Hand::N,käsi,hånd
33,Handfläche::N,kämmen,håndflade
34,Finger::N,sormi,finger
35,Fingernagel::N,kynsi,fingernegl
36,Nagel[Anatomie]::N,kynsi,negl
37,Zeh::N,varvas,tå
38,Fuß::N,jalka,fod
39,Ferse::N,kantapää,hæl
40,Knie::N,polvi,knæ
41,Oberschenkel::N,reisi,lår
42,Bein::N,jalka,ben
43,Körper::N,keho,krop
44,Körper::N,keho,legeme
45,Körper::N,ruumis,krop
46,Körper::N,ruumis,legeme
47,Haut::N,iho,hud
48,Blut::N,veri,blod
49,Ader::N,suoni,åre
50,Sehne::N,jänne,sene
51,Knochen::N,luu,ben
52,Gehirn::N,aivot,hjerne
53,Herz::N,sydän,hjerte
54,Magen::N,maha,mave
55,Magen::N,vatsa,mave
56,Leber::N,maksa,lever
57,Atem::N,henki,ånde
58,Atem::N,hengitys,ånde
59,Hunger::N,nälkä,sult
60,Träne::N,kyynel,tåre
61,Geschmack::N,maku,smag
62,Geruch::N,haju,lugt
63,Schlaf::N,uni,søvn
64,Traum::N,uni,drøm
65,Himmel::N,taivas,himmel
66,Sonne::N,aurinko,sol
67,Mond::N,kuu,måne
68,Stern::N,tähti,stjerne
69,Luft::N,ilma,luft
70,Wind::N,tuuli,vind
71,Welle::N,aalto,bølge
72,Wasser::N,vesi,vand
73,Stein::N,kivi,sten
74,Boden::N,maa,jord
75,Boden::N,maaperä,jord
76,Erde::N,maa,jord
77,Staub::N,pöly,støv
78,Rauch::N,savu,røg
79,Funke::N,kipinä,gnist
80,Feuer::N,tuli,ild
81,Licht::N,valo,lys
82,Schatten::N,varjo,skygge
83,Wetter::N,sää,vejr
84,Nebel::N,sumu,tåge
85,Wolke::N,pilvi,sky
86,Regen::N,sade,regn
87,Schnee::N,lumi,sne
88,Eis::N,jää,is
89,Frost::N,halla,frost
90,Frost::N,pakkanen,frost
91,Kälte::N,vilu,kulde
92,Kälte::N,kylmyys,kulde
93,Hitze::N,helle,hede
94,Hitze::N,kuumuus,hede
95,Raureif::N,huurre,rimfrost
96,Regenbogen::N,sateenkaari,regnbue
97,Donner::N,jyrinä,torden
98,Strömung::N,virtaus,strømning
99,Tropfen::N,tippa,dråbe
100,Tropfen::N,pisara,dråbe
101,Schaum::N,vaahto,skum
102,Schmutz::N,loka,snavs
103,See::N,järvi,sø
104,Sumpf::N,suo,sump
105,Moor::N,räme,mose
106,Wiese::N,niitty,eng
107,Wald::N,metsä,skov
108,Hügel::N,mäki,høj
109,Hügel::N,mäki,bakke
110,Hügel::N,kumpu,høj
111,Hügel::N,kumpu,bakke
112,Hügel::N,kukkula,høj
113,Hügel::N,kukkula,bakke
114,Anhöhe::N,mäki,høj
115,Anhöhe::N,mäki,bakke
116,Anhöhe::N,kumpare,høj
117,Anhöhe::N,kumpare,bakke
118,Berg::N,mäki,bjerg
119,Berg::N,vuori,bjerg
120,Gipfel::N,laki,top
121,Gipfel::N,huippu,top
122,Höhle::N,luola,hule
123,Abhang::N,rinne,skrænt
124,Abhang::N,rinne,skråning
125,Quelle::N,lähde,kilde
126,Bach::N,puro,bæk
127,Fluss::N,joki,flod
128,Ufer::N,ranta,bred
129,Küste::N,rannikko,kyst
130,Festland::N,manner,fastland
131,Meer::N,meri,hav
132,Bucht::N,lahti,bugt
133,Insel::N,saari,ø
134,Blume::N,kukka,blomst
135,Gras::N,ruoho,græs
136,Wurzel::N,juuri,rod
137,Baum::N,puu,træ
138,Stamm::N,runko,stamme
139,Rinde::N,kuori,bark
140,Rinde::N,parkki,bark
141,Ast::N,oksa,gren
142,Zweig::N,haara,kvist
143,Blatt::N,lehti,blad
144,Birke::N,koivu,birk
145,Kiefer[Baum]::N,mänty,fyrretræ
146,Kiefer[Baum]::N,petäjä,fyrretræ
147,Weide[Baum]::N,paju,piletræ
148,Tanne::N,kuusi,gran
149,Horn::N,sarvi,horn
150,Feder::N,sulka,fjer
151,Feder::N,höyhen,fjer
152,Fell::N,talja,skind
153,Flügel::N,siipi,vinge
154,Klaue::N,kynsi,klov
155,Kralle::N,kynsi,klo
156,Schwanz::N,häntä,hale
157,Schwanz::N,pyrstö,hale
158,Ei::N,muna,æg
159,Nest::N,pesä,rede
160,Bau::N,pesä,bo
161,Tier::N,eläin,dyr
162,Herde::N,lauma,flok
163,Kuh::N,lehmä,ko
164,Bulle::N,sonni,tyr
165,Pferd::N,hevonen,hest
166,Schaf::N,lammas,får
167,Schwein::N,sika,gris
168,Hund::N,koira,hund
169,Katze::N,kissa,kat
170,Bär::N,karhu,bjørn
171,Eichhörnchen::N,orava,egern
172,Elch::N,hirvi,elg
173,Fuchs::N,kettu,ræv
174,Hase::N,jänis,hare
175,Maus::N,hiiri,mus
176,Wolf::N,susi,ulv
177,Vogel::N,lintu,fugl
178,Schwarm::N,parvi,sværm
179,Huhn::N,kana,høne
180,Hahn::N,kukko,hane
181,Gans::N,hanhi,gås
182,Adler::N,kotka,ørn
183,Ente::N,ankka,and
184,Eule::N,pöllö,ugle
185,Kranich::N,kurki,trane
186,Krähe::N,varis,krage
187,Kuckuck::N,käki,gøg
188,Schwan::N,joutsen,svane
189,Fisch::N,kala,fisk
190,Barsch::N,ahven,aborre
191,Hecht::N,hauki,gedde
192,Schlange[Tier]::N,käärme,slange
193,Wurm::N,mato,orm
194,Spinne::N,hämähäkki,edderkop
195,Ameise::N,muurahainen,myre
196,Laus::N,täi,lus
197,Mücke::N,sääski,myg
198,Mücke::N,hyttynen,myg
199,Fliege::N,kärpänen,flue
200,Schmetterling::N,perhonen,sommerfugl
201,Beere::N,marja,bær
202,Apfel::N,omena,æble
203,Pilz::N,sieni,svamp
204,Zwiebel::N,sipuli,løg
205,Saat::N,siemenet,sæd
206,Korn::N,jyvä,korn
207,Korn::N,vilja,korn
208,Heu::N,heinä,hø
209,Schale::N,kuori,skræl
210,Grube::N,kuoppa,grav
211,Falle::N,loukku,fælde
212,Schlinge::N,ansa,snare
213,Spur::N,jälki,spor
214,Asche::N,tuhka,aske
215,Dreck::N,lika,snavs
216,Eisen::N,rauta,jern
217,Gold::N,kulta,guld
218,Silber::N,hopea,sølv
219,Kohle::N,hiili,kul
220,Glas::N,lasi,glas
221,Lehm::N,savi,ler
222,Sand::N,hiekka,sand
223,Mensch::N,ihminen,mennesge
224,Mann::N,mies,mand
225,Frau::N,nainen,kvinde
226,Kind::N,lapsi,barn
