,Concept_ID,ku,kv
0,Auge::N,çav,син
1,Ohr::N,guh,пель
2,Nase::N,bêvil,ныр
3,Mund::N,dev,ӧм
4,Zahn::N,didan,пинь
5,Zunge::N,ziman,кыв
6,Lippe::N,lêv,тырп
7,Wange::N,dêm,рожабан
8,Wange::N,hinarik,рожабан
9,Gesicht::N,rû,бан
10,Stirn::N,enî,кымӧс
11,Haar::N,por,юрси
12,Schnurrbart::N,simbêl,уссэз
13,Bart::N,rih,тош
14,Kinn::N,zenî,тшӧка
15,Kiefer[Anatomie]::N,arguşk,ан
16,Kehle::N,qirik,юан
17,Hals::N,stû,юан
18,Hals::N,qirik,юан
19,Genick::N,stû,юр бӧр
20,Kopf::N,serî,юр
21,Rücken::N,pişt,мышк
22,Bauch::N,ûr,кынӧм
23,Bauch::N,zik,кынӧм
24,Nabel::N,navik,гӧг
25,Busen::N,sîng,морос
26,Brust::N,sîng,морос
27,Schulter::N,mil,пельпон
28,Arm::N,çepil,ки
29,Ellenbogen::N,enîşk,гырдзза
30,Hand::N,dest,кикар
31,Handfläche::N,kefadest,ки пыдӧс
32,Finger::N,tilî,чунь
33,Fingernagel::N,neynuk,гыж
34,Nagel[Anatomie]::N,bizmar,гыж
35,Zeh::N,tilî linga,чунь
36,Fuß::N,ling,кокпыдӧс
37,Ferse::N,pahnî,кокдзир
38,Knie::N,kabok,пидзӧс
39,Oberschenkel::N,rahn,лядьбей
40,Bein::N,çip,кок
41,Körper::N,laş,вывтыр
42,Körper::N,gowde,вывтыр
43,Haut::N,çerm,кучик
44,Blut::N,xwîn,вир
45,Ader::N,reh,сӧн
46,Sehne::N,reh,жила
47,Knochen::N,hestî,коска
48,Gehirn::N,mêjî,вем
49,Herz::N,dil,сьӧлӧм
50,Magen::N,navêş,жӧвдӧк
51,Leber::N,kezeb,мус
52,Atem::N,hilm,лолалӧм
53,Hunger::N,birçîtî,тшыг
54,Träne::N,hêstir,синва
55,Geschmack::N,tam,кӧр
56,Geruch::N,bêhn,дук
57,Schlaf::N,xew,он
58,Traum::N,xewn,вӧт
59,Himmel::N,ezman,небо
60,Sonne::N,roj,шондi
61,Mond::N,heyv,тӧлiсь
62,Stern::N,stêrk,кӧдзыв
63,Luft::N,ba,ру
64,Wind::N,ba,тӧв
65,Welle::N,şewl,гы
66,Wasser::N,av,ва
67,Stein::N,kevir,из
68,Boden::N,herd,му
69,Erde::N,ax,му
70,Staub::N,toz,бус
71,Rauch::N,dû,тшын
72,Funke::N,çirûşk,бичир
73,Feuer::N,agir,би
74,Licht::N,ronahî,би
75,Schatten::N,sî,вуджӧр
76,Wetter::N,hewa,погоддя
77,Nebel::N,mij,туман
78,Wolke::N,ewr,кымӧр
79,Regen::N,baran,зэр
80,Schnee::N,berf,лым
81,Eis::N,qeşa,йы
82,Frost::N,xûsik,мороз
83,Kälte::N,serma,кӧдзыт
84,Hitze::N,germayî,ӧд
85,Raureif::N,şext,кижа
86,Regenbogen::N,heftreng,енӧшка
87,Donner::N,gire-gir,гым
88,Strömung::N,şewl,визывтӧм
89,Tropfen::N,dilop,тёп
90,Schaum::N,kef,быг
91,Schmutz::N,gemar,нять
92,See::N,gol,ты
93,Sumpf::N,hezek,арай
94,Moor::N,mafêl,нюр
95,Wiese::N,sûrik,видз
96,Wald::N,çiya,вӧр
97,Wald::N,daristan,вӧр
98,Hügel::N,gir,мыльк
99,Anhöhe::N,sere gir,вывтас
100,Anhöhe::N,sere gir,вылынін
101,Berg::N,kaş,керӧс
102,Gipfel::N,sere gir,йыв
103,Höhle::N,şikeft,нора
104,Abhang::N,kaş,покат
105,Quelle::N,kanî,больган
106,Bach::N,çem,шор
107,Fluss::N,çem,ю
108,Fluss::N,rûbar,ю
109,Ufer::N,kevî,берег
110,Küste::N,berav,берег
111,Festland::N,bejahî,му
112,Meer::N,behr,море
113,Bucht::N,derav,курья
114,Insel::N,girav,
115,Blume::N,kulînk,цветок
116,Gras::N,giha,турун
117,Wurzel::N,reh,вуж
118,Baum::N,dar,пу
119,Stamm::N,bavik,мыр
120,Stamm::N,bavik,кер
121,Rinde::N,qaqil,кач
122,Ast::N,gulî,ув
123,Zweig::N,şax,ув
124,Blatt::N,pel,лист
125,Birke::N,dara sipî,кыдз
126,Kiefer[Baum]::N,dara bî,пожум
127,Weide[Baum]::N,dara belalûk,бадь
128,Tanne::N,merx,кӧз
129,Horn::N,strô,сюр
130,Feder::N,pîrtîk,гӧн
131,Fell::N,heyar,кучик
132,Flügel::N,per,борд
133,Klaue::N,napîk,гыж
134,Kralle::N,dinik,кабыр
135,Kralle::N,dirnax,кабыр
136,Schwanz::N,dûv,бӧж
137,Ei::N,hêk,кольть
138,Nest::N,hêlîn,поз
139,Bau::N,avahî,осьта
140,Bau::N,avahî,нора
141,Tier::N,heywan,зверь
142,Herde::N,hoz,гурт
143,Kuh::N,çêlek,мӧс
144,Bulle::N,ga,ӧшка
145,Pferd::N,hesp,вӧв
146,Schaf::N,mîh,баля
147,Schwein::N,beraz,порсь
148,Hund::N,seh,пон
149,Katze::N,pişîk,кань
150,Bär::N,hirç,ош
151,Eichhörnchen::N,pilûr,ур
152,Elch::N,pazkovî,вӧр мӧс
153,Fuchs::N,rovî,руч
154,Hase::N,kîroşk,кӧч
155,Maus::N,mişk,шыр
156,Wolf::N,gur,кӧин
157,Vogel::N,çûk,кай
158,Schwarm::N,lufik,стая
159,Schwarm::N,lufik,чукӧр
160,Huhn::N,mirîşk,курӧг
161,Hahn::N,dîk,петух
162,Hahn::N,dîk,ай курӧг
163,Gans::N,qaz,дзодзог
164,Adler::N,eylo,куч
165,Adler::N,eylo,кутш
166,Ente::N,werdek,утка
167,Eule::N,bûm,тупка
168,Eule::N,kund,тупка
169,Kranich::N,quling,тури
170,Krähe::N,qijik,рака
171,Kuckuck::N,pepûk,кӧк
172,Schwan::N,qû,юсь
173,Fisch::N,masî,чери
174,Barsch::N,okûn,ёкыш
175,Hecht::N,mesîyê lûf,сирпинь
176,Schlange[Tier]::N,mar,змей
177,Wurm::N,kurm,номыр
178,Spinne::N,pîrê,черань
179,Ameise::N,mîro,кӧдзывкар
180,Ameise::N,gêrîk,кӧдзывкар
181,Laus::N,spi,ляпа той
182,Mücke::N,mêş,ном
183,Fliege::N,mêş,гут
184,Schmetterling::N,perperîk,бабыв
185,Beere::N,hirç,ягӧд
186,Apfel::N,sêv,яблоко
187,Pilz::N,bîrov,тшак
188,Zwiebel::N,pîvaz,грез
189,Saat::N,tov,кӧдзыс
190,Korn::N,dexl,сю
191,Heu::N,sap,турун
192,Schale::N,qaşik,кыш
193,Schale::N,qaşik,киль
194,Grube::N,çahl,яма
195,Falle::N,dafik,нальк
196,Falle::N,dafik,кляпча
197,Schlinge::N,dahf,лӧч
198,Spur::N,rêç,туй
199,Asche::N,xweli,пӧим
200,Dreck::N,gemarî,нять
201,Eisen::N,hesing,кӧрт
202,Gold::N,zêr,зарни
203,Silber::N,zîv,язісь
204,Kohle::N,komir,шом
205,Kohle::N,komir,уголь
206,Glas::N,qedeh,стекло
207,Lehm::N,kelpîç,сёй
208,Sand::N,qûm,лыа
209,Mensch::N,mirov,морт
210,Mann::N,mêr,мужик
211,Frau::N,jin,инька
212,Kind::N,zarok,кага
213,Junge::N,kur,зонка
214,Mädchen::N,keç,нывкаок
215,Mädchen::N,keçik,нывкаок
216,Familie::N,malbat,семья
217,Großvater::N,bapîr,дед
218,Großmutter::N,pîrik,баб
219,Eltern::N,bavudê,ай-мам
220,Vater::N,bav,ай
221,Mutter::N,dê,мам
222,Mutter::N,dayik,мам
223,Sohn::N,kur,зон
224,Tochter::N,keç,ныв
225,Bruder::N,bira,вон
226,Schwester::N,xweh,сой
227,Onkel::N,am,дядь
228,Onkel::N,xal,дядь
229,Tante::N,metik,айӧлӧн сой
230,Tante::N,metik,ичинь
231,Tante::N,xaltîk,айӧлӧн сой
232,Tante::N,xaltîk,ичинь
233,Ehemann::N,mêr,жӧник
234,Ehefrau::N,kulfet,инь
235,Freude::N,kêfxweşî,гаж
236,Freude::N,kêfxweşî,радъялӧм
237,Gelächter::N,pîrqînî,сералӧм
238,Glück::N,bext,мичлун
239,Kummer::N,derd,шог
240,Wunsch::N,daxwaz,мӧдӧм
241,Wunsch::N,daxwaz,охотитӧм
242,Wunsch::N,xwestek,мӧдӧм
243,Wunsch::N,xwestek,охотитӧм
244,Lust::N,şewq,охота
245,Geist::N,aqil,лов
246,Gedanke::N,fikir,дума
247,Gedächtnis::N,aqil,тӧдвыв
248,Verstand::N,fêm,вежӧр
249,Sinn::N,aqil,ылӧс
250,Grund::N,asas,мог
251,Wahrheit::N,rastî,правда
252,Gespräch::N,guftûgo,сёрни
253,Märchen::N,çirok,сказка
254,Erzählung::N,çirok,висьт
255,Erzählung::N,vegotin,висьт
256,Nachricht::N,nûçe,юӧр
257,Nachricht::N,nûçe,висьталӧм
258,Neuigkeit::N,hewal,новость
259,Name::N,nav,ним
260,Name::N,paşnav,ним
261,Rätsel::N,tiştonek,загадка
262,Rede::N,gotar,сёрни
263,Rede::N,axavtin,сёрни
264,Sprache::N,ziman,кыв
265,Stimme::N,pejn,голос
266,Wort::N,gotin,кыв
267,Zeichen::N,şanek,пас
268,Ruf::N,hawar,чуксӧм
269,Ruf::N,hawar,чукӧстӧм
270,Lärm::N,xarbalix,шум
271,Laut::N,deng,шы
272,Laut::N,hês,шы
273,Ton::N,awaz,гор
274,Lied::N,sitran,сьыланкыв
275,Ruhe::N,rihetî,спокой
276,Leute::N,xelk,йӧз
277,Volk::N,xelk,йӧз
278,Volk::N,xelk,народ
279,Arbeit::N,xebat,удж
280,Gast::N,mêvan,гӧсь
281,Geschenk::N,diyarî,гӧснеч
282,Geschenk::N,diyarî,подарок
283,Spiel::N,lîstik,орсӧм
284,Gesellschaft::N,komal,компания
285,Hilfe::N,alîkarî,отсӧт
286,Freund::N,heval,модз
287,Freund::N,heval,дружок
288,Kamerad::N,heval,тӧдса
289,Angelegenheit::N,pirsgirêk,дело
290,Anzahl::N,çend,лыд
291,Art::N,çeh,пӧлӧс
292,Stück::N,lib,тор
293,Stück::N,parçe,тор
294,Teil::N,parçe,юкӧм
295,Hälfte::N,nîvî,джын
296,Kreis::N,çemil,круг
297,Kreuz::N,xaç,перна
298,Linie::N,xezik,визь
299,Strich::N,xezik,кырӧв
300,Abstand::N,dûrahî,колас
301,Entfernung::N,dûrahî,ылына
302,Gegend::N,dever,места
303,Platz::N,çih,места
304,Ort::N,dever,места
305,Seite::N,rûpel,ладор
306,Mitte::N,nav,шӧр
307,Mitte::N,nabênê,шӧр
308,Gegenstand::N,tişt,тор
309,Sache::N,tişt,тор
310,Rand::N,kevî,дор
311,Kante::N,kevî,ордлы
312,Ecke::N,qunç,пельӧс
313,Spitze::N,derzî,йыв
314,Ende::N,talî,йыв
315,Loch::N,qul,осьта
316,Winkel::N,kurnîşk,пельӧс
317,Muster::N,desen,сер
318,Größe::N,mezinî,ыжда
319,Länge::N,dirêjahî,кузя
320,Höhe::N,bilindayî,сувда
321,Höhe::N,bilindayî,вылына
322,Gewicht::N,giranî,сьӧкта
323,Menge::N,qas,
324,Haufen::N,lod,куча
325,Reihe::N,rêz,лёдз
326,Boot::N,kelek,пыж
327,Ruder::N,bêrik,пелыс
328,Schlitten::N,xîjik,додь
329,Ski::N,lakan,лямпа
330,Lagerfeuer::N,agir,бипур
331,Last::N,bar,тягота
332,Gang::N,fîtêz,мунӧм
333,Schritt::N,gav,вожмӧв
334,Norden::N,bakur,ой
335,Süden::N,başur,лун
336,Westen::N,rojava,рытвыв
337,Osten::N,rojhilat,асыв
338,Holz::N,dep,пу
339,Brett::N,dep,пӧв
340,Platte::N,dep,плита
341,Stütze::N,destek,пика
342,Stange::N,sing,зор
343,Stange::N,sing,потш
344,Stock::N,çam,бедь
345,Stab::N,qat,шест
346,Rohr::N,borî,труба
347,Haus::N,mal,керку
348,Haus::N,xanî,керку
349,Heim::N,mal,керку
350,Ofen::N,sobe,пӧжавны
351,Fußboden::N,binpê,джодж
352,Tisch::N,mase,пызан
353,Stuhl::N,kursî,стул
354,Wiege::N,derguş,зыбка
355,Bett::N,qerewêle,кровать
356,Regal::N,rêbaz,джадж
357,Kiste::N,sindoq,ящик
358,Fenster::N,çam,ӧшын
359,Fenster::N,şibeke,ӧшын
360,Tür::N,derî,ыбӧс
361,Tor::N,derge,ворота
362,Zaun::N,hejik,забор
363,Dach::N,sere xanî,крыша
364,Leiter::N,pêling,лиснич
365,Besen::N,melkes,рос
366,Spaten::N,mer,зыр
367,Schaufel::N,bêr,зыр
368,Gabel::N,çetel,вила
369,Löffel::N,kevçî,пань
370,Messer::N,kêr,пурт
371,Nagel::N,bizmar,кӧрттув
372,Netz::N,tor,кыйӧт
373,Haken::N,çenqel,ем
374,Griff::N,destî,пу
375,Schloss::N,qonax,замок
376,Bild::N,dimen,картина
377,Figur::N,figûr,мыгӧр
378,Puppe::N,bûk,акань
379,Beutel::N,kîsik,мешӧк
380,Bündel::N,pêçek,нин
381,Tasche::N,bêrîk,сумка
382,Eimer::N,dewl,ведра
383,Deckel::N,devik,вевт
384,Geschirr::N,ferax,доз
385,Geschirr::N,ferax,бекӧрпань
386,Sack::N,tûr,мешӧк
387,Tasse::N,kada,бекӧр
388,Topf::N,beroş,кастрюля
389,Kessel::N,şîril,пӧрт
390,Essen::N,xwarin,сёйӧм
391,Nahrung::N,xwarin,вердан
392,Speise::N,xwarin,сёян
393,Fleisch::N,goşt,яй
394,Getreide::N,zad,сю
395,Brei::N,hewdêl,каша
396,Brot::N,,нянь
397,Scheibe::N,parçe,шӧрӧм
398,Fett::N,rûn,гос
399,Butter::N,rûn,ви
400,Öl::N,rûn,ви
401,Salz::N,xwe,сов
402,Suppe::N,şorbe,шыд
403,Honig::N,hingiv,ма
404,Milch::N,şîr,йӧв
405,Tee::N,çay,чай
406,Leder::N,çerm,кучик
407,Wolle::N,herî,гӧн
408,Stoff::N,paç,дӧра
409,Nadel::N,derzî,ем
410,Faden::N,ta,сунис
411,Knopf::N,bişkok,кизь
412,Knoten::N,girêk,узӧв
413,Knoten::N,girêk,гӧрӧд
414,Farbe::N,boyax,краска
415,Kleidung::N,çil,паськӧм
416,Hemd::N,qutik,йӧрнӧс
417,Hemd::N,miltan,йӧрнӧс
418,Kragen::N,stûvang,воротник
419,Ärmel::N,hûçik,сос
420,Hose::N,şewel,вешьян
421,Gürtel::N,qayiş,йи
422,Mütze::N,fîno,шапка
423,Schuh::N,şêkal,ботинки
424,Stiefel::N,gizme,сапог
425,Stiefel::N,çizme,сапог
426,Ring::N,xelek,чунькытш
427,Band::N,band,ленточка
428,Kamm::N,şeh,сынан
429,Spiegel::N,eynik,зеркало
430,Riemen::N,qayiş,ремень
431,Schnur::N,doxin,гез
432,Leine::N,şirît,повод
433,Decke::N,bataniye,одеяло
434,Kissen::N,balgî,подушка
435,Tuch::N,şar,чышьян
436,Handtuch::N,dezmal,чышкӧт
437,Kraft::N,hêz,прак
438,Kraft::N,qewet,прак
439,Stärke::N,xurtî,вын
440,Gesundheit::N,nojdarî,здоровье
441,Krankheit::N,nexweşî,шог
442,Schmerz::N,êş,зубыт
443,Wunde::N,kul,рана
444,Fieber::N,ta,лёк тресся
445,Fieber::N,ta,кынтан шогӧт
446,Arznei::N,derman,лекарство
447,Brücke::N,kopî,пос
448,Brunnen::N,çal,колодец 
449,Brunnen::N,kani,колодец 
450,Weide::N,beyar,пода йирсян
451,Pfad::N,xaçirek,туй
452,Weg::N,rê,туй
453,Straße::N,rê,туй
454,Dorf::N,gund,деревня
455,Stadt::N,baçar,город
456,Brief::N,name,гижӧт
457,Buch::N,kitêb,книга
458,Buch::N,pirtûk,книга
459,Buchstabe::N,herf,буква
460,Zeitung::N,rojname,газета
461,Leben::N,jiyan,олан
462,Tod::N,mirin,кулӧм
463,Grab::N,mezel,гу
464,Kirche::N,gilyas,вичку
465,Sünde::N,guneh,грек
466,Gott::N,xwedê,ен
467,Arbeiter::N,hîşçî,уджалiсь
468,Chef::N,bêg,начальник
469,Meister::N,hoste,мастер
470,Arzt::N,doktor,врач
471,Lehrer::N,mamoste,велӧтісь
472,Geld::N,pere,деньга
473,Geschäft::N,firoşgeh,удж
474,Laden::N,dikan,магазин
475,Preis::N,buha,дон
476,Ware::N,tişt,товар
477,Nutzen::N,fêde,путь
478,Reichtum::N,serwet,богатство
479,Welt::N,dinya,му
480,Land::N,welat,страна
481,Staat::N,dewlet,государство
482,König::N,şah,кан
483,König::N,qral,кан
484,Macht::N,qewet,власть
485,Macht::N,destihilat,власть
486,Grenze::N,kevî,граница
487,Krieg::N,çeng,война
488,Krieg::N,sêwaş,война
489,Feind::N,dijmin,враг
490,Gewalt::N,zor,
491,Kampf::N,şer,нярасьӧм
492,Kampf::N,şer,вермасьӧм
493,Bogen[Waffe]::N,kêvan,лук
494,Pfeil::N,çîrik,ньӧв
495,Gewehr::N,tifing,ружьё
496,Fehler::N,şaşî,ошибка
497,Lüge::N,derew,ылӧтӧм
498,Lüge::N,derew,пӧрьялӧм
499,Schaden::N,xisar,лёк
500,Unglück::N,bêbextî,пик
501,Unglück::N,bêbextî,оказзё
502,Schuld::N,suç,вина
503,Alter::N,temen,
504,Schluss::N,girtin,ком
505,Zeit::N,çax,кад
506,Tag::N,roj,лун
507,Morgen::N,sibeh,асыв
508,Mittag::N,nîro,луншӧр кад
509,Abend::N,êvar,рыт
510,Nacht::N,şev,ой
511,Woche::N,heftî,неделя
512,Monat::N,meh,тӧлicь
513,Jahr::N,sal,год
514,Frühling::N,bihar,тулыс
515,Sommer::N,havîn,гожум
516,Herbst::N,payîz,ар
517,Winter::N,zistan,тӧв
518,Januar::N,çile,январ
519,Februar::N,sibat,февраль
520,März::N,adar,март
521,April::N,nîsan,апрель
522,Mai::N,gûlan,май
523,Juni::N,hezîran,юнь
524,Juli::N,tîmeh,юль
525,August::N,tebax,август
526,September::N,îlon,сентяб
527,Oktober::N,çotmeh,октяб
528,November::N,mijdar,нояб
529,Dezember::N,kanûn,декаб
530,Montag::N,duşemb,вильлун
531,Dienstag::N,sêşem,мӧдӧдзлун
532,Mittwoch::N,çarşemb,шӧрлун
533,Donnerstag::N,pêşemb,нёльӧдзлун
534,Freitag::N,în,витӧдзлун
535,Samstag::N,şemî,пывсянлун
536,Sonntag::N,yekşemb,кресення
537,groß::A,mezin,ыджыт
538,klein::A,çûçik,учӧтик
539,lang::A,dirêj,кузь
540,kurz::A,kin,дженыт
541,breit::A,fireh,ота
542,schmal::A,tenik,векнит
543,dicht::A,gir,тшӧк
544,dick[Gegenstand]::A,şîşman,кыз
545,dünn::A,zirav,вӧснит
546,fein::A,tenik,вӧснит
547,fest::A,saxlem,крепыт
548,flach::A,pahn,лапкӧса
549,glatt::A,dûz,волькыт
550,glatt::A,şayîk,волькыт
551,hart::A,hişk,чӧрыт
552,weich::A,nerm,небыт
553,rund::A,gilover,гӧгрӧса
554,spitz::A,pîj,ёся
555,scharf::A,tûj,лэчыт
556,stumpf::A,ne tûj,ныж
557,schwer::A,giran,сьӧкыт
558,schön::A,xweş,басӧк
559,schön::A,xweşik,басӧк
560,heiß::A,kelandî,жар
561,warm::A,germ,шоныт
562,kalt::A,sar,кӧдзыт
563,kühl::A,jemîrî,сайкыт
564,frisch::A,ter,виль
565,feucht::A,şil,вакодь
566,nass::A,şilek,ва
567,trocken::A,zuwa,кӧс
568,voll::A,tijî,тыра
569,leer::A,vala,тыртӧм
570,offen::A,vekirî,оссьӧм
571,geschlossen::A,asê,игана
572,geschlossen::A,asê,пӧдана
573,sauber::A,pakij,сӧдз
574,sauber::A,pakij,сӧстӧм
575,schmutzig::A,lewitî,нятьӧсь
576,roh::A,xav,путӧм
577,reif::A,gihaştî,кисьмалӧм
578,lecker::A,xweş,кӧра 
579,süß::A,şîrîn,чӧскыт
580,bitter::A,tahl,курыт
581,sauer::A,tirş,шӧма 
582,hell::A,ronî,югыт
583,dunkel::A,tarî,пемыт
584,schwarz::A,reş,сьӧд
585,weiß::A,sipî,чочком
586,rot::A,sor,гӧрд
587,gelb::A,zer,веж
588,blau::A,şîn,лӧз
589,grün::A,şîn,веж
590,grau::A,gewr,руд
591,grau::A,gewr,бусӧй
592,bunt::A,rengîn,быдрӧма
593,billig::A,erzan,донтӧм
594,teuer::A,biha,дона
595,wertvoll::A,hêja,дона
596,wertvoll::A,giranbiha,дона
597,blind::A,kor,синтӧм
598,taub::A,kerr,пельтӧм
599,kräftig::A,gir,вына
600,kräftig::A,xurt,вына
601,stark::A,xurt,вына
602,schwach::A,kesad,некодя
603,fett::A,qelew,госа
604,schlank::A,zirav,статя
605,hübsch::A,xweşik,басӧк
606,böse::A,xerab,лёк
607,böse::A,aciz,лёк
608,dumm::A,gêj,бӧбӧв
609,dumm::A,gêj,вежӧртӧм
610,faul::A,têmbêl,дыш
611,fleißig::A,jêhatî,уджалicь
612,geizig::A,destgirtî,жикмӧра
613,geizig::A,destgirtî,горшаліcь
614,klug::A,baqil,авья
615,klug::A,baqil,вежӧра
616,geschickt::A,zîrek,кипода
617,geschickt::A,ziring,кипода
618,lieb::A,delal,муса
619,lieb::A,delal,дзулиньӧй
620,lustig::A,kêfxweş,гажа
621,sanft::A,nazenîn,лебезнӧй
622,hungrig::A,birçî,тшыг
623,krank::A,nexweş,шогалiсь
624,nackt::A,rût,куш
625,nackt::A,tazî,куш
626,traurig::A,xemgîn,жугыль
627,lebendig::A,bisaxî,ловья
628,gut::A,baş,бур
629,schlecht::A,xerab,умӧль
630,richtig::A,rast,
631,richtig::A,saxlem,
632,schlimm::A,nebaş,нештӧм
633,wahr::A,rast,
634,alt::A,pîr,важ
635,alt::A,kevn,важ
636,neu::A,nû,виль
637,ehemalig::A,kevnar,вӧвлӧм
638,ehemalig::A,peşidar,вӧвлӧм
639,alt[Lebewesen]::A,pîr,года
640,alt[Lebewesen]::A,pîr,годдэза
641,jung::A,xort,том
642,arm::A,feqîr,гов
643,arm::A,feqîr,беднӧй
644,arm::A,desteng,гов
645,arm::A,desteng,беднӧй
646,reich::A,dewlemend,эма
647,bekannt::A,naskirî,тӧдса
648,berühmt::A,navdar,
649,fremd::A,xerîb,чужӧй
650,verschieden::A,çîhê,быдкодь
651,nah::A,nêzîk,матiсь
652,fern::A,dûr,ылicь
653,linker::A,çepê,шульга
654,rechter::A,rastê,веськытланись
655,anderer::A,yê din,мукӧд
656,erster::A,yekemîn,медодзза
657,zweiter::A,duda,кыкӧт
658,dritter::A,sisêya,куимӧт
659,dritter::A,sisêya,куимӧдз
660,letzter::A,paşîn,бӧрья
661,letzter::A,paşîn,мёдбӧрья
662,allein::ADV,tenê,
663,auf einmal::ADV,jar kê,тшӧтш
664,zusammen::ADV,tev,ӧтлаын
665,zusammen::ADV,bi hev re,ӧтлаын
666,lange::ADV,dirêj,дыр
667,plötzlich::ADV,ji nişkave,друг
668,sofort::ADV,yekser,тшӧтш
669,später::ADV,paşiyê,медбӧрын
670,jetzt::ADV,nuha,ӧні
671,heute::ADV,îro,талун
672,morgen::ADV,sibeh,ашын
673,bald::ADV,nêzîk,чожа
674,dann::ADV,paşê,сыбӧрын
675,gestern::ADV,do,тӧн
676,einst::ADV,jar ke,ӧтпыр
677,damals::ADV,hîngî,сэк
678,damals::ADV,hîngî,сэки
679,danach::ADV,piştra,сэсся
680,vorher::ADV,pîşî,одзжык
681,zuerst::ADV,bere,наперво
682,einmal::ADV,çarik,ӧтпыр
683,manchmal::ADV,çarna,мукӧдпыр
684,oft::ADV,gelek çaran,-лы-
685,immer::ADV,daîm,быдпыр
686,immer::ADV,daîm,быдпырся
687,niemals::ADV,tu çar,некӧр
688,hier::ADV,li vir,татӧн
689,hierhin::ADV,vir,татчӧ
690,von hier::ADV,ji vir,тасянь
691,dort::ADV,li wê derê,сэтӧн
692,dorthin::ADV,wêda,сэтчин
693,geradeaus::ADV,rastê rast,веськыта
694,vorwärts::ADV,ber bi pêş,одзӧ
695,rückwärts::ADV,paşpê,бӧр
696,zurück::ADV,paşdo,бӧр
697,zurück::ADV,paşvê,бӧр
698,unten::ADV,jêrî,увтын
699,hinab::ADV,berjêr,увтас
700,oben::ADV,banî,вевдӧрас
701,hinauf::ADV,banî,вывлань
702,hinauf::ADV,banî,вывланьӧ
703,überall::ADV,li her derê,быдлан
704,nicht::ADV,ne,ог
705,nicht::ADV,nîn,ог
706,nicht::ADV,tine,ог
707,ein wenig::ADV,hebkî,-ышт
708,ein wenig::ADV,hebkî,невна
709,kaum::ADV,tema,ӧдва
710,kaum::ADV,himangi,ӧдва
711,sehr::ADV,gelek,вывтi
712,so::ADV,weha,сiдз
713,noch::ADV,hêj,эшӧ
714,noch::ADV,dîsa,эшӧ
715,nur::ADV,tenê,только
716,nur::ADV,bes,только
717,schon::ADV,hew,ни
718,wieder::ADV,jar din,бӧра
719,wieder::ADV,dîsa,бӧра
720,vergebens::ADV,deya çun,весись
