,Concept_ID,kk,hi
0,Auge::N,көз,आँख
1,Auge::N,көз,चक्षु
2,Ohr::N,құлақ,कान
3,Ohr::N,құлақ,कर्ण
4,Nase::N,мұрын,नाक
5,Nase::N,мұрын,नासा
6,Mund::N,ауыз,मुख
7,Mund::N,ауыз,मुँह
8,Zahn::N,тіс,दंत
9,Zahn::N,тіс,दाँत
10,Zunge::N,тіл,जीभ
11,Zunge::N,тіл,ज़बान
12,Zunge::N,тіл,जिह्वा
13,Lippe::N,ерін,ओंठ
14,Lippe::N,ерін,होंठ
15,Wange::N,ұрт,गाल
16,Wange::N,ұрт,कपोल
17,Gesicht::N,бет-аузы,मुँह
18,Gesicht::N,бет-аузы,चेहरा
19,Stirn::N,маңдай,माथा
20,Stirn::N,маңдай,मस्तक
21,Haar::N,қыл,बाल
22,Schnurrbart::N,мұрт,मूँछें
23,Bart::N,сақал,दाढ़ी
24,Kinn::N,иек,चिबुक
25,Kiefer[Anatomie]::N,жақ,जबड़ा
26,Kehle::N,алқым,गला
27,Hals::N,мойын,गला
28,Hals::N,мойын,गरदन
29,Genick::N,желке,गरदन
30,Genick::N,желке,ग्रीवा
31,Kopf::N,кәллә,सिर
32,Kopf::N,кәллә,शीर्ष
33,Rücken::N,арқа,पीठ
34,Bauch::N,қарын,उदर
35,Nabel::N,кіндік,नाभि
36,Nabel::N,кіндік,ढोंढी
37,Busen::N,омырау,कुच
38,Busen::N,омырау,स्तन
39,Brust::N,кеуде,वक्ष
40,Schulter::N,иық,कंधा
41,Schulter::N,иық,स्कंध
42,Arm::N,қол,बाँह
43,Arm::N,қол,बाज़ू
44,Ellenbogen::N,шынтақ,कुहनी
45,Hand::N,қол,हाथ
46,Hand::N,қол,हस्त
47,Handfläche::N,алақан,हथेली
48,Finger::N,саусақ,उँगली
49,Finger::N,саусақ,अँगुली
50,Fingernagel::N,тырнақ,नख
51,Fingernagel::N,тырнақ,नाख़ून
52,Nagel[Anatomie]::N,тырнақ,नख
53,Nagel[Anatomie]::N,тырнақ,नाख़ून
54,Zeh::N,тырнақ,उँगली
55,Zeh::N,тырнақ,पाँव की उँगली
56,Zeh::N,тұяқ,उँगली
57,Zeh::N,тұяқ,पाँव की उँगली
58,Fuß::N,аяқ-басы,चरण
59,Fuß::N,аяқ-басы,पाँव
60,Ferse::N,өкше,एड़ी
61,Ferse::N,өкшелік,एड़ी
62,Knie::N,тізе,जानु
63,Knie::N,тізе,घुटना
64,Oberschenkel::N,жамбас,उरु
65,Bein::N,аяқ,टाँग
66,Körper::N,дене,तन
67,Körper::N,дене,देह
68,Körper::N,дене,शरीर
69,Haut::N,тері,चर्म
70,Haut::N,тері,त्वचा
71,Blut::N,қан,लहू
72,Blut::N,қан,ख़ून
73,Ader::N,көктамыр,रग
74,Ader::N,көктамыр,शिरा
75,Ader::N,күретамыр,रग
76,Ader::N,күретамыр,शिरा
77,Sehne::N,сіңір,कंडरा
78,Sehne::N,сіңір,स्नायु
79,Knochen::N,жілік,अस्थि
80,Gehirn::N,ми,दिमाग़
81,Gehirn::N,ми,मस्तिष्क
82,Herz::N,жүрек,दिल
83,Herz::N,жүрек,हृदय
