,Concept_ID,myv,mdf
0,Auge::N,сельме,сельме
1,Ohr::N,пиле,пиле
2,Nase::N,судо,шалхка
3,Mund::N,курго,курга
4,Zahn::N,пей,пей
5,Zunge::N,кель,кяль
6,Lippe::N,турва,търва́
7,Wange::N,чамабока,щёка
8,Wange::N,чамаумарь,щёка
9,Gesicht::N,чама,шама
10,Stirn::N,коня,коня
11,Haar::N,черь,шя́ярь
12,Schnurrbart::N,ус,уса́
13,Schnurrbart::N,муюк,уса́
14,Bart::N,сакал,сакал
15,Kinn::N,уло,ула
16,Kiefer[Anatomie]::N,пейпакар,саласка
17,Kiefer[Anatomie]::N,пейловажа,саласка
18,Kehle::N,кирьгапарь,кълдома
19,Kehle::N,кирьгапарь,кърга́парь
20,Hals::N,кирьга,сялдаз
21,Genick::N,човонь,шовонь
22,Kopf::N,пря,пря
23,Rücken::N,копорь,копорь
24,Bauch::N,пеке,пеке
25,Nabel::N,почо,по́кон
26,Busen::N,поте,потя
27,Brust::N,меште,мяште
28,Schulter::N,лавтов,лафту
29,Arm::N,кедь,кядь
30,Ellenbogen::N,кенерепакарь,кенерьба́карь
31,Hand::N,кедь,кядь
32,Handfläche::N,кедькуншка,кядьлапш
33,Handfläche::N,кедьлапушка,кядьлапш
34,Finger::N,сур,сур
35,Fingernagel::N,кенже,кенже
36,Nagel[Anatomie]::N,кенже,кенже
37,Zeh::N,пильге сур,пильгосу́р
38,Fuß::N,пильге,пильге
39,Fuß::N,пильге,пильгелапа
40,Ferse::N,кочкаря,кочкяря
41,Knie::N,эле,эль
42,Knie::N,эле,пълма́нжа
43,Knie::N,эзне,эль
44,Knie::N,эзне,пълма́нжа
45,Knie::N,кумажа,эль
46,Knie::N,кумажа,пълма́нжа
47,Oberschenkel::N,качо,пильгепукша
48,Bein::N,пильге,пильге
49,Körper::N,рунго,ро́нга
50,Körper::N,рунго,по́нда
51,Haut::N,киське,киське
52,Blut::N,верь,вер
53,Ader::N,сан,сан
54,Ader::N,сан,верза́н
55,Sehne::N,коське сан,коське сан
56,Knochen::N,пакарь,пакарь
57,Gehirn::N,удем,уй
58,Herz::N,седей,седи
59,Magen::N,пеке,коткърдазь
60,Leber::N,максо,макса
61,Atem::N,лексема,лекома
62,Atem::N,лексема,ваймонь тарксема
63,Atem::N,оймень таргсема,лекома
64,Atem::N,оймень таргсема,ваймонь тарксема
65,Hunger::N,вачочи,вачеши
66,Träne::N,селведь,сельмове́дь
67,Geschmack::N,тансть,таньф
68,Geruch::N,чине,шине
69,Schlaf::N,удома,удома́
70,Traum::N,он,он
71,Himmel::N,менель,менель
72,Sonne::N,чи,ши
73,Mond::N,ков,ков
74,Stern::N,теште,тяште
75,Luft::N,кошт,кожф
76,Wind::N,варма,варма
77,Welle::N,толкун,тавла
78,Wasser::N,ведь,ведь
79,Stein::N,кев,кев
80,Boden::N,мода,мода
81,Boden::N,мода,потмакс
82,Erde::N,мастор,мода
83,Erde::N,мастор,мастор
84,Staub::N,пуль,пуль
85,Rauch::N,качамо,качам
86,Funke::N,сятко,ця́тка
