,Concept_ID,,xal
0,Auge::N,,нүдн
1,Ohr::N,,чикн
2,Nase::N,,хамр
3,Mund::N,,амн
4,Zahn::N,,шүдн
5,Zunge::N,,келн
6,Lippe::N,,урл
7,Wange::N,,халх
8,Gesicht::N,,нүр
9,Stirn::N,,маңна
10,Haar::N,,үсн
11,Schnurrbart::N,,сахл
12,Bart::N,,сахл
13,Bart::N,,өргнә сахл
14,Kinn::N,,өргн
15,Kiefer[Anatomie]::N,,өргн
16,Kehle::N,,хол
17,Hals::N,,күзүн
18,Genick::N,,гиҗг
19,Kopf::N,,толһа
20,Rücken::N,,нурһн
21,Bauch::N,,гесн
22,Nabel::N,,киисн
23,Busen::N,,көкн
24,Brust::N,,чееҗ
25,Schulter::N,,ээм
26,Arm::N,,һар
27,Ellenbogen::N,,тоха
28,Hand::N,,баһлцг
29,Handfläche::N,,альхн
30,Finger::N,,хурһн
31,Finger::N,,һарин хурһн
32,Fingernagel::N,,хумсн
33,Nagel[Anatomie]::N,,хумсн
34,Zeh::N,,хурһн
35,Zeh::N,,көлин хурһн
36,Fuß::N,,тавг
37,Ferse::N,,өскә
38,Knie::N,,өвдг
39,Oberschenkel::N,,һуй
40,Bein::N,,көл
41,Körper::N,,махмуд
42,Haut::N,,арсн
43,Blut::N,,цусн
44,Ader::N,,судцн
45,Sehne::N,,шүрүсн
46,Knochen::N,,ясн
47,Gehirn::N,,экн
48,Herz::N,,зүркн
49,Magen::N,,гесн
50,Leber::N,,элкн
51,Atem::N,,әмсхл
52,Hunger::N,,харһнлһн
53,Träne::N,,нульмсн
54,Geschmack::N,,амтн
55,Geruch::N,,үнр
56,Schlaf::N,,нөр
57,Traum::N,,зүүдн
58,Himmel::N,,теңгр
59,Sonne::N,,нарн
60,Mond::N,,сар
61,Stern::N,,одн
62,Luft::N,,аһар
63,Wind::N,,салькн
64,Welle::N,,дольган
65,Wasser::N,,усн
66,Stein::N,,чолун
67,Boden::N,,Һазр
68,Erde::N,,Һазр
69,Staub::N,,тоосн
70,Rauch::N,,утан
71,Funke::N,,очн
72,Feuer::N,,һал
73,Licht::N,,герл
74,Schatten::N,,сүүдр
75,Wetter::N,,теңгр
76,Nebel::N,,будн
77,Wolke::N,,үүлн
78,Regen::N,,хур
79,Schnee::N,,цасн
80,Eis::N,,мөсн
81,Frost::N,,киитн
82,Kälte::N,,киитн
83,Hitze::N,,халун
84,Raureif::N,,цаң
85,Raureif::N,,кирү
86,Regenbogen::N,,солңһ
87,Donner::N,,оһтрһун дун
88,Strömung::N,,урсхл
89,Tropfen::N,,дусал
90,Schaum::N,,көөсн
91,Schmutz::N,,кир
92,See::N,,нур
93,Sumpf::N,,унул
94,Moor::N,,улм
95,Wiese::N,,хадлһн
96,Wald::N,,ө-модн
97,Hügel::N,,толһа
98,Anhöhe::N,,хамр
99,Berg::N,,уул
100,Gipfel::N,,ора
101,Höhle::N,,хадин көндә
102,Abhang::N,,ташу
103,Quelle::N,,булг
104,Bach::N,,һооҗур
105,Fluss::N,,һол
106,Ufer::N,,көвә
107,Küste::N,,көвә
108,Küste::N,,теңгсин көвә
109,Festland::N,,хүүрә һазр
110,Meer::N,,теңгс
111,Bucht::N,,цекә
112,Bucht::N,,теңгсин цекә
113,Insel::N,,арл
114,Blume::N,,цецг
115,Gras::N,,ноһан
116,Wurzel::N,,уңг
117,Baum::N,,модн
118,Stamm::N,,шилв
119,Stamm::N,,һол модн
120,Rinde::N,,көрсн
121,Ast::N,,ац
122,Zweig::N,,ац
123,Blatt::N,,хамтхасн
124,Birke::N,,хусм модн
125,Kiefer[Baum]::N,,шар харһа
126,Weide[Baum]::N,,удн
127,Tanne::N,,җөөлн цаһан модн
128,Horn::N,,өвр
129,Feder::N,,өрвлг
130,Fell::N,,арсн
131,Flügel::N,,җивр
132,Klaue::N,,хумсн
133,Kralle::N,,тавг
134,Schwanz::N,,сүл
135,Ei::N,,өндгн
136,Nest::N,,үр
137,Bau::N,,нүкн
138,Tier::N,,мал
139,Herde::N,,сүрг мал
140,Kuh::N,,үкр
141,Bulle::N,,бух
142,Pferd::N,,мөрн
143,Schaf::N,,хөн
144,Schwein::N,,һаха
145,Hund::N,,ноха
146,Katze::N,,мис
147,Bär::N,,аю
148,Eichhörnchen::N,,кермн
149,Elch::N,,хандһа
150,Fuchs::N,,арат
151,Hase::N,,туула
152,Maus::N,,хулһн
153,Wolf::N,,чон
154,Vogel::N,,шовун
155,Schwarm::N,,зел
156,Huhn::N,,така
157,Hahn::N,,эр така
158,Gans::N,,һалун
159,Adler::N,,һәрд
160,Ente::N,,нуһсн
161,Eule::N,,һурвлһ
162,Kranich::N,,тоһрун
163,Krähe::N,,шаазһа
