,Concept_ID,os,tr
0,Auge::N,цӕст,göz
1,Ohr::N,хъус,kulak
2,Nase::N,фындз,burun
3,Mund::N,дзых,ağız
4,Zahn::N,дӕндаг,diş
5,Zunge::N,ӕвзаг,dil
6,Lippe::N,был,dudak
7,Wange::N,рус,yanak
8,Wange::N,уадул,yanak
9,Wange::N,ӕхсӕрфарс,yanak
10,Gesicht::N,цӕсгом,yüz
11,Stirn::N,ных,alın
12,Haar::N,хил,saç
13,Schnurrbart::N,рихи,bıyık
14,Bart::N,зачъе,sakal
15,Kinn::N,роцъо,çene
16,Kiefer[Anatomie]::N,ӕфсӕр,çene
17,Kehle::N,хъуыр,boğaz
18,Hals::N,къубал,boyun
19,Hals::N,къубал,gerdan
20,Genick::N,къӕбут,ense
21,Kopf::N,сӕр,baş
22,Kopf::N,сӕр,kafa
23,Rücken::N,фӕсонтӕ,arka
24,Bauch::N,гуыбын,karın
25,Nabel::N,бикъ,göbek
26,Busen::N,дзидзи,koyun
27,Brust::N,риу,göğüs
28,Schulter::N,уӕхск,omuz
29,Arm::N,цонг,kol
30,Ellenbogen::N,рæмбын,dirsek
31,Hand::N,къух,el
32,Handfläche::N,армытъӕпӕн,avuç
33,Handfläche::N,армытъӕпӕн,el ayası
34,Finger::N,ӕнруылдз,parmak
35,Fingernagel::N,ных,el tırnağı
36,Nagel[Anatomie]::N,ных,tırnak
37,Zeh::N,къух,ayak parmağı
38,Fuß::N,фад,ayak
39,Ferse::N,зӕвӕт,topuk
40,Knie::N,уӕраг,diz
41,Oberschenkel::N,агъд,uyluk
42,Bein::N,зӕнг,bacak
43,Körper::N,буар,vücut
44,Haut::N,царм,cilt
45,Blut::N,туг,kan
46,Ader::N,дадзин,damar
47,Ader::N,тугдадзин,damar
48,Sehne::N,хъиутæ,kiriş
49,Sehne::N,нуар,kiriş
50,Knochen::N,стӕг,kemik
51,Gehirn::N,магъз,beyin
52,Herz::N,зӕрдӕ,kalp
53,Herz::N,зӕрдӕ,yürek
54,Magen::N,ахсӕн,mide
55,Leber::N,игæр,karaciğer
56,Atem::N,улӕфт,nefes
57,Hunger::N,стонг,açlık
58,Träne::N,цæссыг,gözyaşı
59,Geschmack::N,ад,tat
60,Geschmack::N,ад,lezzet
61,Geruch::N,смаг,koku
62,Schlaf::N,хуыссӕг,uyku
63,Traum::N,фын,düş
64,Traum::N,фын,rüya
65,Himmel::N,арв,gök
66,Himmel::N,уӕларв,gök
67,Sonne::N,хур,güneş
68,Mond::N,мӕй,ay
69,Stern::N,стъалы,yıldız
70,Luft::N,уӕлдӕф,hava
71,Wind::N,дымгӕ,yel
72,Wind::N,дымгӕ,rüzgâr
73,Welle::N,уылӕн,dalga
74,Wasser::N,дон,su
75,Stein::N,дур,taş
76,Boden::N,зӕхх,yer
77,Boden::N,зӕхх,zemin
78,Erde::N,сыджыт,toprak
79,Staub::N,рыг,toz
80,Rauch::N,фӕздӕг,duman
81,Funke::N,цӕхӕр,kıvılcım
82,Feuer::N,зынг,ateş
83,Licht::N,рухс,ışık
84,Schatten::N,аууон,gölge
85,Wetter::N,боныхъӕд,hava
86,Nebel::N,мигъ,pus
87,Wolke::N,ӕврагъ,bulut
88,Regen::N,уарын,yağmur
89,Schnee::N,мит,kar
90,Eis::N,их,buz
91,Frost::N,ихæн,don
92,Kälte::N,уазал,soğukluk
93,Hitze::N,ӕнтӕф,sıcaklık
94,Raureif::N,халас,kırç
95,Regenbogen::N,арвырон,gökkuşağı
96,Regenbogen::N,арвырдын,gökkuşağı
97,Donner::N,æрвнæрын,gök gürlemesi
98,Strömung::N,цыд,akıntı
99,Strömung::N,цыд,cereyan
100,Tropfen::N,æртах,damla
101,Schaum::N,фынк,köpük
102,Schmutz::N,цъыф,çamur
103,Schmutz::N,цъыф,pislik
104,See::N,цад,göl
105,Sumpf::N,цъыфдзаст,batak
106,Moor::N,цъыфдзаст,cılgıt
107,Wiese::N,уыгӕрдӕн,çimen
108,Wald::N,хъӕд,koru
109,Wald::N,хъӕд,orman
110,Hügel::N,обау,tepe
111,Hügel::N,къуыбыр,tepe
112,Anhöhe::N,уæлвæз,tümsek
113,Anhöhe::N,уæлвæз,yükseklik
114,Anhöhe::N,уæлхох,tümsek
115,Anhöhe::N,уæлхох,yükseklik
116,Berg::N,хох,dağ
117,Gipfel::N,цъупп,zirve
118,Höhle::N,лӕгӕт,in
119,Höhle::N,лӕгӕт,mağara
120,Abhang::N,къул,bayır
121,Quelle::N,суадон,pınar
122,Quelle::N,суадон,kaynak
123,Bach::N,мӕсчъыдон,çay
124,Bach::N,мӕсчъыдон,dere
125,Fluss::N,дон,nehir
126,Fluss::N,цӕугӕдон,nehir
127,Ufer::N,был,kıyı
