,Concept_ID,ku,av
0,Auge::N,çav,
1,Ohr::N,guh,гӏин
2,Nase::N,bêvil,мегӏер
3,Mund::N,dev,кӏал
4,Zahn::N,didan,гӏус
5,Zunge::N,ziman,мацӏ
6,Lippe::N,lêv,кӏветӏ
7,Wange::N,dêm,гӏоно
8,Wange::N,hinarik,гӏоно
9,Gesicht::N,rû,гьумер
10,Stirn::N,enî,нодо
11,Haar::N,por,рас
12,Schnurrbart::N,simbêl,михъ
13,Bart::N,rih,мегеж
14,Kinn::N,zenî,нилъу
15,Kiefer[Anatomie]::N,arguşk,чанагъ
16,Kehle::N,qirik,щекъер
17,Hals::N,stû,габур
18,Hals::N,qirik,габур
19,Genick::N,stû,гъванща
20,Kopf::N,serî,бетӏер
21,Rücken::N,pişt,мугъ
22,Bauch::N,ûr,чехь
23,Bauch::N,zik,чехь
24,Nabel::N,navik,цӏину
25,Busen::N,sîng,керен
26,Brust::N,sîng,керен
27,Schulter::N,mil,гъажазубетӏер
28,Arm::N,çepil,гъеж
29,Ellenbogen::N,enîşk,гӏункӏрукь
30,Hand::N,dest,квер
31,Handfläche::N,kefadest,огъохъат
32,Handfläche::N,kefadest,жанисахъат
33,Finger::N,tilî,килищ
34,Fingernagel::N,neynuk,малъ
35,Nagel[Anatomie]::N,bizmar,малъ
36,Zeh::N,tilî linga,килищ
37,Fuß::N,ling,хӏетӏ
38,Fuß::N,ling,хӏетӏе
39,Ferse::N,pahnî,эгъе
40,Knie::N,kabok,наку
41,Oberschenkel::N,rahn,мачӏ
42,Bein::N,çip,бох
43,Körper::N,laş,къаркъала
44,Körper::N,gowde,къаркъала
45,Haut::N,çerm,тӏом
46,Blut::N,xwîn,би
47,Ader::N,reh,бидурихь
48,Sehne::N,reh,
49,Knochen::N,hestî,ракьа
50,Gehirn::N,mêjî,гӏадалнах
51,Herz::N,dil,ракӏ
52,Magen::N,navêş,кванирукъ
53,Leber::N,kezeb,тӏул
54,Atem::N,hilm,хӏухь
55,Hunger::N,birçîtî,ракъи
56,Träne::N,hêstir,магӏу
57,Geschmack::N,tam,тату
58,Geruch::N,bêhn,махӏ
59,Schlaf::N,xew,макьу
60,Traum::N,xewn,макьу
61,Himmel::N,ezman,зоб
62,Sonne::N,roj,бакъ
63,Mond::N,heyv,моцӏ
64,Stern::N,stêrk,цӏва
65,Luft::N,ba,гьава
66,Wind::N,ba,гьури
67,Welle::N,şewl,карачел
68,Wasser::N,av,лъим
69,Stein::N,kevir,гьецӏо
70,Boden::N,herd,ракь
71,Erde::N,ax,ракь
72,Erde::N,ax,дуниял
73,Staub::N,toz,хӏур
74,Rauch::N,dû,кӏкӏуй
75,Funke::N,çirûşk,
