,Concept_ID,nl,kk
0,Auge::N,oog,көз
1,Ohr::N,oor,құлақ
2,Nase::N,neus,мұрын
3,Mund::N,mond,ауыз
4,Zahn::N,tand,тіс
5,Zunge::N,tong,тіл
6,Lippe::N,lip,ерін
7,Wange::N,wang,ұрт
8,Gesicht::N,gelaat,бет-аузы
9,Gesicht::N,gezicht,бет-аузы
10,Stirn::N,voorhoofd,маңдай
11,Haar::N,haar,қыл
12,Schnurrbart::N,snor,мұрт
13,Bart::N,baard,сақал
14,Kinn::N,kin,иек
15,Kiefer[Anatomie]::N,kaak,жақ
16,Kehle::N,keel,алқым
17,Kehle::N,strot,алқым
18,Hals::N,hals,мойын
19,Genick::N,nek,желке
20,Kopf::N,hoofd,кәллә
21,Rücken::N,rug,арқа
22,Bauch::N,buik,қарын
23,Nabel::N,navel,кіндік
24,Busen::N,boezem,омырау
25,Brust::N,borst,кеуде
26,Schulter::N,schouder,иық
27,Arm::N,arm,қол
28,Ellenbogen::N,elleboog,шынтақ
29,Hand::N,hand,қол
30,Handfläche::N,handpalm,алақан
31,Finger::N,vinger,саусақ
32,Fingernagel::N,nagel,тырнақ
33,Nagel[Anatomie]::N,nagel,тырнақ
34,Zeh::N,teen,тырнақ
35,Zeh::N,teen,тұяқ
36,Fuß::N,voet,аяқ-басы
37,Ferse::N,hak,өкше
38,Ferse::N,hak,өкшелік
39,Ferse::N,hiel,өкше
40,Ferse::N,hiel,өкшелік
41,Knie::N,knie,тізе
42,Oberschenkel::N,dij,жамбас
43,Bein::N,been,аяқ
44,Körper::N,lichaam,дене
45,Haut::N,huid,тері
46,Blut::N,bloed,қан
47,Ader::N,ader,көктамыр
48,Ader::N,ader,күретамыр
49,Sehne::N,pees,сіңір
50,Knochen::N,bot,жілік
51,Knochen::N,been,жілік
52,Knochen::N,knook,жілік
53,Gehirn::N,hersenen,ми
54,Herz::N,hart,жүрек
55,Magen::N,maag,асқазан
56,Leber::N,lever,бауыр
57,Atem::N,adem,леп
58,Hunger::N,honger,ашаршылық
59,Träne::N,traan,жас
60,Geschmack::N,smaak,дәм
61,Geschmack::N,smaak,татым
62,Geschmack::N,smaak,талғам
63,Geruch::N,geur,иіс
64,Schlaf::N,slaap,ұйқы
65,Schlaf::N,slaap,ұйықтау
66,Traum::N,droom,түс
67,Himmel::N,hemel,аспан
68,Himmel::N,hemel,көқ
