,Concept_ID,ab,hu
0,Auge::N,ала,szem
1,Ohr::N,алымҳа,fül
2,Nase::N,аҧынҵа,orr
3,Mund::N,аҧышə,száj
4,Zahn::N,ахаҧыц,fog
5,Zunge::N,абз,nyelv
6,Lippe::N,ақьышə,ajak
7,Wange::N,аӡамҩа,orca
8,Gesicht::N,аҿы,arc
9,Stirn::N,алахь,homlok
10,Haar::N,ахəыц,haj
11,Schnurrbart::N,аҧаҵа,bajusz
12,Bart::N,ажакьа,szakáll
13,Kinn::N,ацламкəыгə,áll
14,Kiefer[Anatomie]::N,ацламҳəа,állkapocs
15,Kehle::N,ахəда,gége
16,Kehle::N,ахəда,torok
17,Hals::N,ахəда,nyak
18,Genick::N,ахəдаџьал,tarkó
19,Kopf::N,ахы,fő
20,Kopf::N,ахы,fej
21,Rücken::N,азқəа,hát
22,Bauch::N,амгəа,has
23,Nabel::N,аҷапан,köldök
24,Busen::N,агəыҧҳəы,mell
25,Busen::N,агəыҧҳəы,kebel
26,Brust::N,агəышҧы,mell
27,Schulter::N,ажəҩахыр,váll
28,Arm::N,амахəар,kar
29,Ellenbogen::N,амашьхəылҵ,könyök
30,Hand::N,анапы,kéz
31,Handfläche::N,анапсаргəыҵа,tenyér
32,Finger::N,анацəа,ujj
33,Fingernagel::N,анапхыц,köröm
34,Nagel[Anatomie]::N,ашьапхыц,köröm
35,Zeh::N,ашьацəа,lábujj
36,Fuß::N,ашьапсыргəыҵа,láb
37,Ferse::N,ашьхəа,sarok
38,Knie::N,ашьамхы,térd
39,Oberschenkel::N,ауаҭəа,comb
40,Bein::N,ашьапы,láb
41,Bein::N,ашьапы,lábszár
42,Körper::N,ацəеижь,test
43,Haut::N,ацəа,bőr
44,Blut::N,ашьа,vér
45,Ader::N,ада,ér
46,Sehne::N,адаш,ín
47,Knochen::N,абаҩ,csont
48,Gehirn::N,ахшлыбаҩ,agy
49,Gehirn::N,ахшлыбаҩ,agyvelő
50,Gehirn::N,ахшыбаҩ,agy
51,Gehirn::N,ахшыбаҩ,agyvelő
52,Herz::N,агəы,szív
53,Magen::N,аца,gyomor
54,Magen::N,ацар,gyomor
55,Leber::N,агəаҵəа,máj
56,Atem::N,аҧсыҧлагаҩгара,lehelet
57,Atem::N,аҧсыҧлагаҩгара,lélegzet
58,Hunger::N,амла,éhség
59,Träne::N,алабжыш,könny
60,Geschmack::N,агьама,íz
61,Geruch::N,афҩы,szag
62,Schlaf::N,ацəа,álom
63,Schlaf::N,ацəа,alvás
64,Traum::N,аҧхыӡ,álom
65,Himmel::N,ажəҩан,ég
66,Himmel::N,ажəҩан,menny
67,Sonne::N,амра,nap
68,Mond::N,амза,hold
69,Stern::N,аеҵəа,csillag
70,Luft::N,аҳаир,levegő
71,Wind::N,аҧша,szél
72,Welle::N,ацəқəырҧа,hullám
73,Wasser::N,аӡы,víz
74,Stein::N,ахаҳə,kő
75,Boden::N,адгьыл,föld
