,Concept_ID,ab,mhr
0,Auge::N,ала,шинча́
1,Ohr::N,алымҳа,пы́лыш
2,Nase::N,аҧынҵа,нер
3,Mund::N,аҧышə,умша́
4,Zahn::N,ахаҧыц,пӱй
5,Zunge::N,абз,йы́лме
6,Lippe::N,ақьышə,тӱ́рвӧ
7,Wange::N,аӡамҩа,шӱ́ргӧ
8,Gesicht::N,аҿы,чури́й
9,Stirn::N,алахь,саҥга́
10,Haar::N,ахəыц,ӱп
11,Schnurrbart::N,аҧаҵа,ӧ́рыш
12,Bart::N,ажакьа,понда́ш
13,Kinn::N,ацламкəыгə,оҥыла́ш
14,Kiefer[Anatomie]::N,ацламҳəа,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,ацламҳəа,пӱйората́
16,Kehle::N,ахəда,лога́р
17,Hals::N,ахəда,шӱй
18,Genick::N,ахəдаџьал,шӱйло́дыш
19,Kopf::N,ахы,вуй
20,Rücken::N,азқəа,туп
21,Bauch::N,амгəа,мӱ́шкыр
22,Nabel::N,аҷапан,кы́лымде
23,Busen::N,агəыҧҳəы,чы́зе
24,Brust::N,агəышҧы,оҥ
25,Schulter::N,ажəҩахыр,ва́че
26,Arm::N,амахəар,кид
27,Ellenbogen::N,амашьхəылҵ,кынерву́й
28,Hand::N,анапы,кид
29,Hand::N,анапы,копа́
30,Handfläche::N,анапсаргəыҵа,со́во
31,Finger::N,анацəа,парня́
32,Fingernagel::N,анапхыц,кидкӱ́ч
33,Fingernagel::N,анапхыц,парнягӱ́ч
34,Nagel[Anatomie]::N,ашьапхыц,кӱч
35,Zeh::N,ашьацəа,йолварня́
36,Fuß::N,ашьапсыргəыҵа,йол
37,Fuß::N,ашьапсыргəыҵа,йолкопа́
38,Ferse::N,ашьхəа,тага́н
39,Knie::N,ашьамхы,пулву́й
40,Oberschenkel::N,ауаҭəа,э́рде
41,Bein::N,ашьапы,йол
42,Körper::N,ацəеижь,кап
43,Haut::N,ацəа,кова́ште
44,Blut::N,ашьа,вӱр
45,Ader::N,ада,шӧн
46,Sehne::N,адаш,шӧн
47,Sehne::N,адаш,кӱсе́н
48,Knochen::N,абаҩ,лу
49,Gehirn::N,ахшлыбаҩ,вем
50,Gehirn::N,ахшлыбаҩ,вуйве́м
51,Gehirn::N,ахшыбаҩ,вем
52,Gehirn::N,ахшыбаҩ,вуйве́м
53,Herz::N,агəы,шӱм
54,Magen::N,аца,пага́р
55,Magen::N,ацар,пага́р
56,Leber::N,агəаҵəа,мокш
57,Atem::N,аҧсыҧлагаҩгара,шӱ́лыш
58,Hunger::N,амла,шужыма́ш
59,Träne::N,алабжыш,шинчавӱ́д
60,Geschmack::N,агьама,там
61,Geruch::N,афҩы,пуш
62,Schlaf::N,ацəа,о́мо
63,Traum::N,аҧхыӡ,йӱдо́мо
64,Himmel::N,ажəҩан,кава́
65,Sonne::N,амра,ке́че
66,Mond::N,амза,ты́лзе
67,Stern::N,аеҵəа,шӱ́дыр
68,Luft::N,аҳаир,юж
69,Wind::N,аҧша,марде́ж
70,Welle::N,ацəқəырҧа,то́лкын
71,Wasser::N,аӡы,вӱд
72,Stein::N,ахаҳə,кӱ
73,Boden::N,адгьыл,рок
74,Erde::N,адгьыл,мла́нде
75,Staub::N,асаба,пура́к
76,Rauch::N,алҩа,шикш
77,Funke::N,акəиц,сеске́м
78,Funke::N,акəиц,тулйы́п
79,Funke::N,ацҧхь,сеске́м
80,Funke::N,ацҧхь,тулйы́п
81,Feuer::N,амца,тул
82,Licht::N,алашара,со́то
83,Schatten::N,ашəшьыра,ӱ́мыл
84,Wetter::N,амш,иге́че
85,Nebel::N,анаҟəа,тӱтыра́
86,Wolke::N,аҧсҭҳəа,пыл
87,Regen::N,ақəа,йӱр
88,Schnee::N,асы,лум
89,Eis::N,аҵаа,ий
90,Frost::N,аҵаа,чатлама́
91,Kälte::N,ахьҭа,йӱ́штӧ
92,Hitze::N,ашоура,шо́кшо
93,Raureif::N,аҵааҧшқа,пӧрш
94,Raureif::N,аҵааҧшқа,по́кшым
95,Regenbogen::N,ацəаҟəа,шонанпы́л
96,Donner::N,адыд,кӱ́дырчӧ
97,Strömung::N,аиасра,йо́гын
98,Strömung::N,амҩасра,йо́гын
99,Tropfen::N,ацəыкəбар,чӱча́лтыш
100,Schaum::N,ашəах,шоҥ
101,Schmutz::N,алымт,лавыра́
102,See::N,аӡиа,ер
103,Sumpf::N,аӡмах,лӱ́кӧ
104,Wiese::N,адəы,о́лык
105,Wald::N,абна,чодыра́
106,Hügel::N,ахəы,арка́
107,Anhöhe::N,аҳаракыра,тӧва́
108,Anhöhe::N,аҳаракыра,кӱкшака́
109,Berg::N,ашьха,ку́рык
110,Gipfel::N,ацəқəа,чаҥга́
111,Gipfel::N,ацəқəа,курыкву́й
112,Höhle::N,аҳаҧы,пеще́р
113,Höhle::N,аҳаҧы,курыкпо́мыш
114,Abhang::N,анаара,та́йыл
115,Quelle::N,аҵҵырҭа,важ
116,Quelle::N,аҵҵырҭа,вӱдшинча́
117,Bach::N,акəараҷҷа,изэҥе́р
118,Fluss::N,аӡиас,эҥе́р
119,Ufer::N,ахықə,сер
120,Küste::N,ахықə,вӱдтӱ́р
121,Festland::N,абарра,мла́нде
122,Meer::N,амшын,те́ҥыз
123,Bucht::N,аӡбжьахала,икса́
124,Insel::N,адгьылбжьаха,отро́
125,Blume::N,ашəҭ,пеле́дыш
126,Gras::N,аҳасакьын,шу́до
127,Wurzel::N,адац,вож
128,Baum::N,аҵла,пуше́ҥге
129,Stamm::N,ашьапы,йы́тыр
130,Rinde::N,ацəа,шӱм
131,Ast::N,амахə,укш
132,Ast::N,амахəҭа,укш
133,Zweig::N,амахə,торма́к
134,Zweig::N,амахəҭа,торма́к
135,Blatt::N,абҕьы,лышта́ш
136,Birke::N,аҵааҵла,куэ́
137,Kiefer[Baum]::N,амза,пӱ́нчӧ
138,Weide[Baum]::N,аҧслыш,уа́
139,Tanne::N,аҧсаӡ,кож
140,Horn::N,атəыҩа,шур
141,Feder::N,ахӡы,пы́стыл
142,Fell::N,ацəа,кова́ште
143,Flügel::N,амҵəыжəа,шу́лдыр
144,Klaue::N,ашьапхыц,кӱч
145,Schwanz::N,аҵыхəа,поч
146,Ei::N,акəтаӷь,му́но
147,Nest::N,аҭра,пыжа́ш
148,Nest::N,аҵысҭра,пыжа́ш
149,Bau::N,аҭыҩра,пыжа́ш
150,Tier::N,аҧстəы,я́нлык
151,Tier::N,аҧстəы,живо́тный
152,Tier::N,агыгшəыг,я́нлык
153,Tier::N,агыгшəыг,живо́тный
154,Herde::N,агəарҭа,кӱ́тӱ
155,Herde::N,агəарҭа,тӱшка́
156,Kuh::N,ажə,ушка́л
157,Bulle::N,ацə,ӱ́шкыж
158,Pferd::N,аҽы,и́мне
159,Schaf::N,ауаса,шо́рык
160,Schwein::N,аҳəа,сӧсна́
161,Hund::N,ала,пий
162,Katze::N,ацгəы,пы́рыс
163,Bär::N,амшə,маска́
164,Eichhörnchen::N,аеш,ур
165,Elch::N,аҽаҩа,шо́рдо
166,Fuchs::N,абгахəыҷы,ры́выж
167,Hase::N,ажьа,мера́ҥ
168,Maus::N,аҳəынаҧ,коля́
169,Wolf::N,абгаду,пи́ре
170,Vogel::N,аҧсаатə,ка́йык
171,Huhn::N,акəты,чы́ве
172,Hahn::N,арбаҕь,агыта́н
173,Gans::N,аҟыз,ко́мбо
174,Adler::N,ауарба,карагу́ш
175,Ente::N,акəата,лу́до
176,Eule::N,аты,тумна́
177,Kranich::N,апҟа,турня́
178,Krähe::N,аҟəараан,кора́к
179,Kuckuck::N,акəыкəу,куку́
180,Schwan::N,агьад,йӱ́ксӧ
181,Fisch::N,аҧсыӡ,кол
182,Barsch::N,ацəыбла,ола́ҥге
183,Hecht::N,ахиаала,нуж
184,Hecht::N,ахиаала,чорта́н
185,Schlange[Tier]::N,амаҭ,ки́шке
186,Wurm::N,ахəа,шукш
187,Wurm::N,ахəац,шукш
188,Spinne::N,абызкаҭаҳа,эҥыре́мыш
189,Ameise::N,ашышкамс,ку́тко
190,Laus::N,аҵа,тий
191,Mücke::N,акəыбры,шыҥа́
192,Fliege::N,амҵ,ка́рме
193,Schmetterling::N,аҧарҧалыкь,лы́ве
194,Beere::N,аргуц,мӧр
195,Apfel::N,аҵəа,олма́
196,Pilz::N,акəкəбаа,по́ҥго
197,Zwiebel::N,аџьымшьы,шога́н
198,Zwiebel::N,аџьымшьхы,шога́н
199,Saat::N,ажəла,нӧ́шмӧ
200,Saat::N,ажəла,туш
201,Korn::N,арыц,шу́рно
202,Heu::N,аҭəа,шу́до
203,Schale::N,ацəа,шӱм
204,Grube::N,ажра,выне́м
205,Grube::N,атыша,выне́м
206,Falle::N,арыҧҟьа,лӧ́дӧ
207,Schlinge::N,аҟəараҟəантə,о́птыш
208,Schlinge::N,аҟəараҟəантə,шӧрга́лтыш
209,Spur::N,ашьҭа,кыша́
210,Asche::N,ахəа,ло́мыж
211,Dreck::N,аҳəынҵəа,лавыра́
212,Dreck::N,аҟьамсар,лавыра́
213,Eisen::N,аиха,кӱ́ртньӧ
214,Gold::N,ахьы,шӧ́ртньӧ
215,Silber::N,аразны,ший
216,Kohle::N,арацəа,мландышӱ́й
217,Glas::N,асаркьа,янда́
218,Lehm::N,анышəаҧшь,шун
219,Sand::N,аҧслымӡ,ошма́
220,Mensch::N,ауаҩы,еҥ
221,Mensch::N,ауаҩы,айде́ме
222,Mann::N,ахаҵа,пӧръе́ҥ
223,Frau::N,аҧҳəыс,ӱдырама́ш
224,Kind::N,ахəыҷы,аза́
225,Junge::N,аҷкəын,рве́зе
226,Junge::N,ахаҵарҧыс,рве́зе
227,Mädchen::N,аӡӷаб,ӱдыра́ш
228,Familie::N,аҭаацəа,еш
229,Großvater::N,абду,коча́
230,Großmutter::N,анду,кова́
231,Eltern::N,ани аби,ача́-ава́
232,Vater::N,аб,ача́
233,Mutter::N,ан,ава́
234,Sohn::N,аҧа,э́рге
235,Tochter::N,аҧҳа,ӱ́дыр
236,Bruder::N,аиашьа,иза́
237,Bruder::N,аиашьа,шо́льо
238,Schwester::N,Аҳəшьа,ака́
239,Onkel::N,абиашьа,иза́
240,Onkel::N,аншьа,иза́
241,Tante::N,абиаҳəшьа,кока́
242,Ehemann::N,ахаҵа,мари́й
243,Ehemann::N,аҧшəма,мари́й
244,Ehefrau::N,аҧҳəыс,ва́те
245,Freude::N,агəырӷьара,куа́н
246,Freude::N,агəырӷьара,куаныма́ш
247,Gelächter::N,ачча,во́штылтыш
248,Gelächter::N,аччара,во́штылтыш
249,Glück::N,аразҟы,пиа́л
250,Kummer::N,агəырҩа,о́йго
251,Wunsch::N,агəхəтəы,ку́мыл
252,Wunsch::N,аҭахра,ку́мыл
253,Lust::N,агəазыҳəара,ку́мыл
254,Geist::N,аҧсы,ӧрт
255,Geist::N,аҧсы,чон
256,Gedanke::N,ахəыцырҭа,ой
257,Gedanke::N,ахəыцырҭа,шоныма́ш
258,Gedächtnis::N,агəынкылара,шарныма́ш
259,Verstand::N,ахшыҩ,уш
260,Sinn::N,аҵакы,смысл
261,Grund::N,амзыз,ама́л
262,Wahrheit::N,аиаша,чын
263,Gespräch::N,аиҿцәажәара,мутланыма́ш
264,Märchen::N,алакə,йома́к
265,Erzählung::N,ажәабжь,ойлыма́ш
266,Nachricht::N,адырраҭара,увертарыма́ш
267,Neuigkeit::N,ажәабжь ҿыц,уве́р
268,Name::N,ахьӡ,лӱм
269,Rätsel::N,ацуфара,ту́што
270,Rede::N,ажәа,ойлыма́ш
271,Sprache::N,абызшəа,йы́лме
272,Stimme::N,абжьы,йӱк
273,Wort::N,ажәа,ой
274,Wort::N,ажәа,мут
275,Zeichen::N,адырга,ти́ште
276,Zeichen::N,адырга,знак
277,Ruf::N,аҿҭы,ӱжма́ш
278,Lärm::N,ашьҭыбжь,лӱшкыма́ш
279,Lärm::N,ашьҭыбжь,йӱк-йӱа́н
280,Laut::N,ашьҭыбжь,йӱк
281,Ton::N,атон,йӱксе́м
282,Lied::N,ашəа,му́ро
283,Ruhe::N,аҭынчра,ты́мык
284,Leute::N,ауаа,еҥ-влак
285,Volk::N,ажəлар,ка́лык
286,Arbeit::N,аусура,паша́
287,Gast::N,асас,уна́
288,Geschenk::N,аҳамҭа,пӧле́к
289,Geschenk::N,аҿанҵа,пӧле́к
290,Spiel::N,ахəмарра,мо́дыш
291,Spiel::N,ахəмарра,модма́ш
292,Gesellschaft::N,агəыҧ,тӱшка́
293,Hilfe::N,ацхыраара,по́лыш
294,Freund::N,аҩыза,таҥ
295,Freund::N,аҩыза,йолта́ш
296,Kamerad::N,Аҧхнагьла,таҥ
297,Angelegenheit::N,аус,паша́
298,Anzahl::N,ахыҧхьаӡара,чот
299,Art::N,ахкы,вид
300,Stück::N,аҽыҭ,ка́тыш
301,Stück::N,аҽыҭ,ла́стык
302,Teil::N,ахəҭа,ужа́ш
303,Hälfte::N,абжа,пел
304,Hälfte::N,абжа,пе́ле
305,Kreis::N,агьагьа,ты́ртыш
306,Kreuz::N,аџьар,ыре́с
307,Linie::N,аицтәар,ли́ний
308,Strich::N,ацəаҳəа,коре́ш
309,Abstand::N,абжьара,кокла́
310,Entfernung::N,абжьара,тора́
311,Entfernung::N,абжьара,ку́жыт
312,Gegend::N,аҭыҧ,кунде́м
313,Platz::N,аҭыҧ,ку́мдык
314,Ort::N,аҭыҧ,вер
315,Ort::N,аҭыҧ,о́лмо
316,Seite::N,аган,ӧ́рдыж
317,Mitte::N,агəҭа,покше́л
318,Gegenstand::N,амаҭəар,наста́
319,Rand::N,аҵкар,тӱр
320,Kante::N,авардым,тӱр
321,Ecke::N,акəакь,лук
322,Spitze::N,аҧынҵа,вуй
323,Ende::N,анаӡара,муча́ш
324,Loch::N,акылҵəара,рож
325,Winkel::N,агҿаҩра,лук
326,Winkel::N,акəындхə,лук
327,Winkel::N,акəакь,лук
328,Muster::N,аҟҟа,пеза́к
329,Muster::N,аҟҟа,узо́р
330,Muster::N,аҟҟа,ӱ́лгӧ
331,Größe::N,изаҟароу,кӱ́кшыт
332,Länge::N,аура,ку́тыш
333,Höhe::N,агылара,кӱ́кшыт
334,Gewicht::N,акапан,не́лыт
335,Haufen::N,ачаҟəа,кы́шыл
336,Reihe::N,ацəаҳəа,рада́м
337,Boot::N,анышь,пуш
338,Ruder::N,ажəҩа,эшка́к
339,Schlitten::N,ашəаҩауардын,тер
340,Schlitten::N,ашəаҩауардын,изде́р
341,Ski::N,ашəаҩа,е́че
342,Ski::N,ашьахаха,е́че
343,Lagerfeuer::N,еиқуу амца,туло́то
344,Last::N,ахьанҭара,нӧ́лтыш
345,Gang::N,аныҟəара,ошкылма́ш
346,Schritt::N,ашьаҿа,о́шкыл
347,Norden::N,аҩада,йӱдйыма́л
348,Süden::N,алада,кечывалве́л
349,Westen::N,амраҭашəара,касве́л
350,Osten::N,амрагылара,эрве́л
351,Holz::N,амҿымаҭəахə,пу
352,Brett::N,аӷəы,оҥа́
353,Platte::N,ахаҳәцәы,аста́р
354,Stütze::N,аҵаргəа,чара́к
355,Stütze::N,агəышьаҟа,чара́к
356,Stange::N,акьат,лома́ш
357,Stock::N,алаба,тоя́
358,Stab::N,акьат,вара́
359,Stab::N,акьат,кашта́
360,Rohr::N,абыкь,пуч
361,Haus::N,аҩны,пӧрт
362,Heim::N,аҭаацəа,мӧ́ҥгӧ
363,Ofen::N,аҳақə,комака́
364,Ofen::N,ауаџьаҟ,комака́
365,Ofen::N,афрына,комака́
366,Fußboden::N,адашьма,кӱва́р
367,Tisch::N,аишәа,ӱсте́л
368,Stuhl::N,аҟəардə,пӱке́н
369,Wiege::N,агара,шепка́
370,Bett::N,акаруаҭ,ва́кшыш
371,Regal::N,акыӷəра,шӧ́рлык
372,Kiste::N,аидчаҧала,шо́ндык
373,Kiste::N,аидчаҧала,я́шлык
374,Fenster::N,аҧенџьыр,окна́
375,Tür::N,ашə,омса́
376,Tor::N,агəашə,капка́
377,Zaun::N,аанда,сава́р
378,Dach::N,ахыб,леве́дыш
379,Leiter::N,амардуан,тошка́лтыш
380,Besen::N,аҧссага,ӱштерво́штыр
381,Spaten::N,ажыга,ко́льмо
382,Schaufel::N,аҭəарӷəы,сово́к
383,Schaufel::N,аҭəарӷəы,су́ско
384,Gabel::N,ачқьыҧ,ви́лке
385,Löffel::N,амҳаҵə,па́не
386,Löffel::N,амҳаҵə,совла́
387,Messer::N,аҳəызба,кӱ́зӧ
388,Nagel::N,аҵəымӷ,пуда́
389,Netz::N,акаҭа,вапш
