,Concept_ID,sl,av
0,Auge::N,okó,
1,Ohr::N,uhó,гӏин
2,Nase::N,nós,мегӏер
3,Mund::N,ústa,кӏал
4,Zahn::N,zób,гӏус
5,Zunge::N,jêzik,мацӏ
6,Lippe::N,ústnica,кӏветӏ
7,Wange::N,líce,гӏоно
8,Gesicht::N,oblíčje,гьумер
9,Stirn::N,čêlo,нодо
10,Haar::N,lás,рас
11,Schnurrbart::N,bŕki,михъ
12,Bart::N,bráda,мегеж
13,Kinn::N,bráda,нилъу
14,Kiefer[Anatomie]::N,čeljúst,чанагъ
15,Kehle::N,gŕlo,щекъер
16,Hals::N,vrát,габур
17,Genick::N,zatílnik,гъванща
18,Kopf::N,gláva,бетӏер
19,Rücken::N,hrbèt,мугъ
20,Bauch::N,trébuh,чехь
21,Nabel::N,pópek,цӏину
22,Busen::N,nédrja,керен
23,Brust::N,pŕsi,керен
24,Schulter::N,ráma,гъажазубетӏер
25,Schulter::N,plêče,гъажазубетӏер
26,Arm::N,rôka,гъеж
27,Ellenbogen::N,komólec,гӏункӏрукь
28,Hand::N,rôka,квер
29,Handfläche::N,dlán,огъохъат
30,Handfläche::N,dlán,жанисахъат
31,Finger::N,pŕst,килищ
32,Fingernagel::N,nóht na rôki,малъ
33,Nagel[Anatomie]::N,nóht,малъ
34,Zeh::N,pŕst na nôgi,килищ
35,Fuß::N,nôga,хӏетӏ
36,Fuß::N,nôga,хӏетӏе
37,Ferse::N,pêta,эгъе
38,Knie::N,koléno,наку
39,Oberschenkel::N,stêgno,мачӏ
40,Bein::N,nôga,бох
41,Körper::N,teló,къаркъала
42,Haut::N,kóža,тӏом
43,Blut::N,krí,би
44,Ader::N,žíla,бидурихь
45,Sehne::N,kíta,
46,Knochen::N,kóst,ракьа
47,Gehirn::N,možgáni,гӏадалнах
48,Herz::N,srcé,ракӏ
49,Magen::N,želódec,кванирукъ
50,Leber::N,jétra,тӏул
51,Atem::N,díh,хӏухь
52,Hunger::N,glád,ракъи
53,Träne::N,sólza,магӏу
54,Geschmack::N,okús,тату
55,Geruch::N,vónj,махӏ
56,Schlaf::N,sèn,макьу
57,Schlaf::N,spánec,макьу
58,Traum::N,sánje,макьу
59,Himmel::N,nebó,зоб
60,Sonne::N,sónce,бакъ
61,Mond::N,lúna,моцӏ
62,Mond::N,mésec,моцӏ
63,Stern::N,zvézda,цӏва
64,Luft::N,zràk,гьава
65,Wind::N,véter,гьури
66,Welle::N,vál,карачел
67,Wasser::N,vôda,лъим
68,Stein::N,kámen,гьецӏо
69,Boden::N,tlà,ракь
70,Erde::N,pŕst,ракь
71,Erde::N,pŕst,дуниял
72,Erde::N,zêmlja,ракь
73,Erde::N,zêmlja,дуниял
74,Staub::N,práh,хӏур
75,Rauch::N,dìm,кӏкӏуй
76,Funke::N,ískra,
77,Feuer::N,ôgenj,цӏа
78,Licht::N,lúč,канлъи
79,Schatten::N,sénca,рагӏад
80,Wetter::N,vrême,гьава-бакъ
81,Nebel::N,meglà,гӏодобнакӏкӏ
82,Wolke::N,oblák,накӏкӏ
83,Regen::N,dèž,цӏад
84,Schnee::N,snég,гӏазу
85,Eis::N,léd,цӏер
86,Frost::N,zmrzál,замгьари
87,Kälte::N,mràz,квач
88,Hitze::N,pripéka,багӏари
89,Raureif::N,ívje,мартӏ
90,Raureif::N,slána,мартӏ
91,Regenbogen::N,mávrica,нур
92,Regenbogen::N,mávrica,чамбара
93,Donner::N,gròm,гъугъай
94,Donner::N,gròm,гъугъади
95,Strömung::N,strúja,чвахи
96,Tropfen::N,káplja,резел
97,Tropfen::N,káplja,тӏинкӏ
98,Tropfen::N,káplja,къатӏра
99,Tropfen::N,káplja,тӏенкӏел
100,Schaum::N,péna,полоп
101,Schmutz::N,nesnága,чороклъи
102,See::N,jézero,хӏор
103,Sumpf::N,močvírje,хьуцӏ
104,Moor::N,bárje,
105,Wiese::N,trávnik,мегъ
106,Wiese::N,trávnik,гӏурдаллъи
107,Wald::N,lés,рохь
108,Wald::N,gòzd,рохь
109,Hügel::N,brég,гохӏ
110,Hügel::N,goríca,гохӏ
111,Anhöhe::N,gríč,сийитма
112,Anhöhe::N,višína,сийитма
113,Berg::N,gôra,мегӏер
114,Berg::N,planína,мегӏер
115,Gipfel::N,vŕh,тӏогь
116,Höhle::N,jáma,нохъо
117,Höhle::N,votlína,нохъо
118,Abhang::N,pobóčje,лабаллъи
119,Quelle::N,izvír,ицц
120,Bach::N,pôtok,лъар
121,Fluss::N,réka,гӏор
122,Ufer::N,brég,рагӏал
123,Küste::N,obála,рагӏал
124,Küste::N,obréžje,рагӏал
125,Festland::N,celína,ракь
126,Festland::N,celína,ракъдаллъи
127,Festland::N,kopnína,ракь
128,Festland::N,kopnína,ракъдаллъи
129,Meer::N,mórje,ралъад
130,Bucht::N,zalív,кӏветӏ
131,Insel::N,ôtok,чӏинкӏиллъи
