,Concept_ID,tt,vep
0,Auge::N,күз,sil'm
1,Ohr::N,колак,korv
2,Nase::N,борын,nena
3,Mund::N,авыз,su
4,Mund::N,тамак,su
5,Zahn::N,теш,pi
6,Zahn::N,теш,hambaz
7,Zunge::N,тел,kel'
8,Lippe::N,ирен,hul'
9,Wange::N,яңак,modpolišk
10,Gesicht::N,йөз,mod
11,Stirn::N,маңгай,oc
12,Haar::N,чәч,tuk
13,Haar::N,чәч,hibuz
14,Schnurrbart::N,мыек,habinod
15,Bart::N,сакал,bard
16,Kinn::N,ияк,löug
17,Kiefer[Anatomie]::N,казналык,hambazlu
18,Kehle::N,тамак,kurk
19,Hals::N,бугаз,kagl
20,Genick::N,җилкә,tagarai
21,Kopf::N,баш,pä
22,Rücken::N,сырт,sel'g
23,Bauch::N,корсак,vac
24,Bauch::N,корсак,koht
25,Nabel::N,кендек,naba
26,Busen::N,түш,niža
27,Brust::N,имчәк,rind
28,Brust::N,күкрәк,rind
29,Schulter::N,иңбаш,oug
30,Schulter::N,кулбаш,oug
31,Arm::N,кул,käzi
32,Ellenbogen::N,терсәк,künambruz
33,Hand::N,кул,käzi
34,Hand::N,кул,käzitera
35,Handfläche::N,уч,kämen
36,Finger::N,бармак,sor'm
37,Fingernagel::N,тырнак,künz'
38,Nagel[Anatomie]::N,тырнак,künz'
39,Zeh::N,бармак,barbaz
40,Fuß::N,табан,jaug
41,Ferse::N,үкчә,kand
42,Knie::N,тез,komb
43,Knie::N,тез,pol'v
44,Oberschenkel::N,бот,riiže
45,Bein::N,аяк,jaug
46,Körper::N,тән,hibj
47,Körper::N,җисем,hibj
48,Haut::N,тире,nahk
49,Blut::N,кан,čak
50,Blut::N,кан,veri
51,Ader::N,тамыр,son'
52,Sehne::N,сеңер,jände
53,Knochen::N,сөяк,lu
54,Gehirn::N,ми,aivod
55,Herz::N,йөрәк,südäin
56,Magen::N,ашказаны,südäikoht
57,Leber::N,бавыр,maks
58,Atem::N,сулыш,hengaiduz
59,Hunger::N,ачлык,näl'g
60,Träne::N,яшь,kündal'
61,Geschmack::N,тәм,magu
62,Geschmack::N,зәвык,magu
63,Geruch::N,ис,haju
64,Schlaf::N,йокы,uni
65,Traum::N,төш,unikuva
66,Himmel::N,күк,taivaz
67,Sonne::N,кояш,päiväine
68,Mond::N,ай,kudmaine
69,Stern::N,йолдыз,tähtaz
70,Luft::N,һава,il'm
71,Wind::N,җил,döl
72,Wind::N,җил,tullei
73,Welle::N,дулкын,ald
74,Welle::N,дулкын,laineh
75,Wasser::N,су,vezi
76,Stein::N,таш,kivi
77,Boden::N,туфрак,ma
78,Boden::N,туфрак,pohj
79,Erde::N,җир,ma
80,Staub::N,тузан,pölü
81,Rauch::N,төтен,savu
82,Funke::N,очкын,kibin
83,Feuer::N,ут,lämoi
84,Licht::N,якты,vauktuz
85,Schatten::N,күләгә,pil'vez
86,Schatten::N,күләгә,kuvahaine
87,Wetter::N,һава,sä
88,Nebel::N,томан,sumeg
89,Wolke::N,болыт,pil'v
90,Regen::N,яңгыр,vihm
91,Schnee::N,кар,lumi
92,Eis::N,боз,jä
93,Frost::N,суык,hala
94,Frost::N,суык,pakaine
95,Frost::N,салкын,hala
96,Frost::N,салкын,pakaine
97,Kälte::N,суык,vilu
98,Kälte::N,салкын,vilu
99,Hitze::N,эсселек,räk
100,Raureif::N,бәс,hüde
101,Raureif::N,сыкы,hüde
102,Regenbogen::N,салават күпере,jumalanbembel'
103,Donner::N,күкрәү,juru
104,Donner::N,күкрәү,jumalanjuru
105,Strömung::N,агыш'агым,joksmuz
106,Tropfen::N,тамчы,tilkuine
107,Schaum::N,күбек,vaht
108,Schmutz::N,пычрак,redu
109,Schmutz::N,пычрак,pačak
110,See::N,күл,järv
111,Sumpf::N,саз,so
112,Moor::N,торфлык,so
113,Wiese::N,болын,nit
114,Wald::N,урман,mec
115,Hügel::N,калку,kukaz
116,Anhöhe::N,үр,kukaz
117,Berg::N,тау,mägi
118,Gipfel::N,оч,ladv
119,Höhle::N,мәгарә,mägionduz
120,Abhang::N,кабырга,paute
121,Quelle::N,чишмә,lähte
122,Bach::N,елга,oja
123,Fluss::N,дәрья,jogi
124,Ufer::N,су кырые,rand
125,Küste::N,яр буе,randišt
126,Festland::N,коры җир,kuivma
