,Concept_ID,udm,sq
0,Auge::N,син,sy
1,Ohr::N,пель,vesh
2,Nase::N,ныр,hundë
3,Mund::N,ым,gojë
4,Zahn::N,пинь,dhëmb
5,Zunge::N,кыл,gjuhë
6,Lippe::N,ымдур,buzë
7,Wange::N,бам,faqe
8,Wange::N,бам,mollëz
9,Gesicht::N,ымныр,fytyrë
10,Stirn::N,кымес,ballë
11,Haar::N,йырси,flokë
12,Schnurrbart::N,мыйык,mustaqe
13,Bart::N,туш,mjekër
14,Kinn::N,ангес,mjekër
15,Kiefer[Anatomie]::N,ан,nofull
16,Kiefer[Anatomie]::N,анлы,nofull
17,Kehle::N,гульым,fyt
18,Kehle::N,гульым,grykë
19,Hals::N,чырты,qafë
20,Genick::N,йырбер,arrëz
21,Kopf::N,йыр,kokë
22,Rücken::N,мыш,kurriz
23,Bauch::N,кӧт,bark
24,Nabel::N,гогы,kërthizë
25,Busen::N,ноны,gji
26,Brust::N,мӧля,gjoks
27,Brust::N,мӧля,kraharor
28,Schulter::N,пельпум,sup
29,Schulter::N,пельпум,krah
30,Arm::N,суй,krah
31,Ellenbogen::N,гырпум,bërryl
32,Hand::N,ки,dorë
33,Handfläche::N,ки пыдэс,pëllëmbë
34,Handfläche::N,кырым пыдэс,pëllëmbë
35,Finger::N,чиньы,gisht
36,Fingernagel::N,гижы,thua
37,Fingernagel::N,гиждӥнь,thua
38,Nagel[Anatomie]::N,гижы,thua
39,Zeh::N,пыдчиньы,gisht i këmbës
40,Fuß::N,пыд,këmbë
41,Ferse::N,пыдбер,thembër
42,Knie::N,пыдес,gju
43,Oberschenkel::N,макес,kofshë
44,Bein::N,пыд,këmbë
45,Körper::N,мугор,trup
46,Körper::N,вылтыр,trup
47,Haut::N,ку,lëkurë
48,Blut::N,вир,gjak
49,Ader::N,вирсэр,venë
50,Sehne::N,вуж,dell
51,Knochen::N,лы,asht
52,Knochen::N,лы,kockë
53,Gehirn::N,вим,tru
54,Herz::N,сюлэм,zemër
55,Magen::N,ӝуш,stomak
56,Leber::N,мус,mëlçi
57,Atem::N,лул,frymë
58,Atem::N,шокан,frymë
59,Hunger::N,кӧтсюман,uri
60,Träne::N,синкыли,lot
61,Geschmack::N,шӧм,shije
62,Geruch::N,зын,erë
63,Schlaf::N,вӧт,gjumë
64,Traum::N,уйвӧт,ëndërr
