,Concept_ID,sah,kl
0,Auge::N,харах,isi
1,Ohr::N,кулгаах,siut
2,Nase::N,мурун,
3,Mund::N,айах,paaq
4,Mund::N,айах,qaneq
5,Zahn::N,тиис,kigut
6,Zunge::N,тыл,oqaq
7,Lippe::N,уос,qarloq
8,Wange::N,иэдэс,ersaq
9,Gesicht::N,сирэй,kiinaq
10,Stirn::N,сүүс,qaaq
11,Haar::N,баттах,meqqoq
12,Schnurrbart::N,уос бытыга,
13,Bart::N,сэҥийэ бытыга,umik
14,Kinn::N,сэҥийэ,talloq
15,Kiefer[Anatomie]::N,сыҥаах,alleroq
16,Kehle::N,тамах,malaq
17,Kehle::N,күөмэй,malaq
18,Hals::N,моой,qungaseq
19,Genick::N,кэтэх,pukusuk
20,Kopf::N,бас,niaqoq
21,Rücken::N,көҕүс,qimerlut
22,Bauch::N,ис,naaq
23,Nabel::N,киин,qalaseq
24,Busen::N,эмиий,iviangeq
25,Brust::N,түөс,iviangeq
26,Schulter::N,сарын,ersik
27,Schulter::N,сарын,assaqqoq
28,Arm::N,илии,taleq
29,Ellenbogen::N,тоҕонох,ikusik
30,Hand::N,илии,assak
31,Handfläche::N,ытыс,itumak
32,Finger::N,тарбах,inuak
33,Fingernagel::N,тыҥырах,kikiak
34,Nagel[Anatomie]::N,тыҥырах,kukik
35,Zeh::N,тарбах,isigak
36,Fuß::N,уллуҥах,
37,Ferse::N,тилэх,kimmik
38,Knie::N,тобук,seeqqoq
39,Knie::N,дьилбэк,seeqqoq
40,Oberschenkel::N,уллук,uppat
41,Oberschenkel::N,уллук,quttoraq
42,Oberschenkel::N,өттүк,uppat
43,Oberschenkel::N,өттүк,quttoraq
44,Bein::N,атах,isigak
45,Körper::N,бэйэ,timi
46,Haut::N,тирии,mattak
47,Blut::N,хаан,aak
48,Ader::N,вена,taqaq
49,Ader::N,күөх_тымыр,taqaq
50,Sehne::N,иҥиир,ujalu
51,Sehne::N,иҥиир,ujaloq
52,Knochen::N,уҥуох,saanikut
53,Knochen::N,уҥгуох,saanikut
54,Gehirn::N,мэйии,qarasaq
55,Herz::N,сүрэх,uummat
56,Magen::N,куртах,aqajaroq
57,Leber::N,быар,tinguk
58,Atem::N,тыын,anerneq
59,Hunger::N,аас,kaanneq
60,Träne::N,харах уута,qia
61,Träne::N,харах уута,qiak
62,Geschmack::N,амтан,qilanaartuut
63,Geruch::N,сыт,tipi
64,Geruch::N,сыт,tipik
65,Schlaf::N,утуйуу,
66,Traum::N,түүл,sinnattoq
67,Traum::N,түүл,sinnattugaq
68,Himmel::N,халлаан,qilak
69,Sonne::N,күн,seqineq
70,Mond::N,ый,qaammat
71,Stern::N,сулус,ulloriaq
72,Luft::N,салгын,silaannaq
73,Wind::N,тыал,anori
