,Concept_ID,kn,el
124,Küste::N,ದಂಡೆ,ακρογιαλιά
125,Festland::N,ಭೂಮಿ,στεριά
126,Meer::N,ಕಡಲು,θάλασσα
127,Bucht::N,ಖಾರಿ,κόλπος
128,Insel::N,ದ್ವೀಪ,νησί
129,Insel::N,ದ್ವೀಪ,νήσος
130,Blume::N,ಸುಮ,άνθος
131,Blume::N,ಸುಮ,λουλούδι
132,Gras::N,ಹುಲ್ಲು,χόρτο
133,Gras::N,ಹುಲ್ಲು,χορτάρι
134,Wurzel::N,ಬೇರು,ρίζα
135,Baum::N,ಮರ,δέντρο
136,Stamm::N,ಕಾಂಡ,κορμός
137,Rinde::N,ತೂಗಟಿ,φλούδα
138,Ast::N,ಶಾಖೆ,κλαδί
139,Zweig::N,ರೆಂಬೆ,κλαδί
140,Zweig::N,ರೆಂಬೆ,κλάδος
141,Blatt::N,ಎಲೆ,φύλλο
142,Birke::N,ಬರ್ಚ್ ಮರ,σημύδα
143,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,πεύκο
144,Weide[Baum]::N,ವಿಲೋಮರ,ιτιά
145,Tanne::N,ಭದ್ರದಾರು,έλατο
146,Horn::N,ಕೊಂಬು,κέρας
147,Horn::N,ಕೊಂಬು,κέρατο
148,Feder::N,ಪುಕ್ಕ,φτερό
149,Fell::N,ರೋಮ,δέρμα
150,Fell::N,ರೋಮ,τομάρι
151,Flügel::N,ರೆಕ್ಕೆ,πτερύγιο
152,Klaue::N,ಪಂಜ,κουλό
153,Kralle::N,ಉಗುರು,νύχι
154,Schwanz::N,ಬಾಲ,ουρά
155,Ei::N,ಮೊಟ್ಟೆ,αβγό
156,Nest::N,ಗೂಡು,φωλιά
157,Bau::N,ಅಡಗುದಾಣ,φωλιά
158,Tier::N,ಪ್ರಾಣಿ,ζώο
159,Herde::N,ಗುಂಪು,κοπάδι
160,Kuh::N,ಹಸು,αγελάδα
161,Bulle::N,ಗೂಳಿ,ταύρος
162,Pferd::N,ಕುದುರೆ,άλογο
163,Schaf::N,ಕುರಿ,πρόβατο
164,Schwein::N,ಹಂದಿ,γουρούνι
165,Hund::N,ನಾಯಿ,σκυλί
166,Hund::N,ನಾಯಿ,σκύλος
167,Katze::N,ಬೆಕ್ಕು,γάτα
168,Bär::N,ಕರಡಿ,άρκτος
169,Bär::N,ಕರಡಿ,αρκούδα
170,Eichhörnchen::N,ಉಡುತೆ,βερβερίτσα
171,Elch::N,ಕಡವೆ,άλκη
172,Fuchs::N,ನರಿ,αλεπού
173,Hase::N,ಮೊಲ,λαγός
174,Maus::N,ಇಲಿ,ποντικός
175,Wolf::N,ತೋಳ,λύκος
176,Vogel::N,ಪಕ್ಷಿ,πουλί
177,Schwarm::N,ಗುಂಪು,σμήνος
178,Huhn::N,ಚಿಕ್,κότα
179,Huhn::N,ಚಿಕ್,όρνιθα
180,Hahn::N,ಹುಂಜ,πετεινός
181,Gans::N,ವರಟೆ,χήνα
182,Adler::N,ಗರುಡ,αετός
183,Ente::N,ಬಾತು,πάπια
184,Eule::N,ಗೂಬೆ,κουκουβάγια
185,Kranich::N,ಕೊಕ್ಕರ,γερανός
186,Krähe::N,ಕಾಗೆ,καρακάξα
187,Kuckuck::N,ಕೋಗಿಲೆ,κούκος
188,Schwan::N,ಹಂಸಪಕ್ಷಿ,κύκνος
189,Fisch::N,ಮೀನು,ψάρι
190,Barsch::N,ಪರ್ಚ್ ಮೀನು,πέρκα
