,Concept_ID,br,la
0,Auge::N,lagad,oculus
1,Ohr::N,skouarn,auris
2,Nase::N,fri,nasus
3,Mund::N,genoù,os
4,Zahn::N,dant,dens
5,Zunge::N,teod,lingua
6,Lippe::N,muzell,labrum
7,Wange::N,chot,gena
8,Gesicht::N,dremm,vultus
9,Stirn::N,tal,frons
10,Haar::N,blev,capillus
11,Schnurrbart::N,mourenn,barba labri superioris
12,Bart::N,barv,barba
13,Kinn::N,groñj,mentum
14,Kiefer[Anatomie]::N,javed,mala
15,Kehle::N,gouzoug,iugulums
16,Hals::N,gouzoug,collum
17,Genick::N,choug,cervices
18,Kopf::N,penn,caput
19,Rücken::N,kein,tergum
20,Bauch::N,kof,venter
21,Nabel::N,begel,umbilicus
22,Busen::N,bronn,sinus
23,Brust::N,bruched,pectus
24,Schulter::N,skoaz,umerus
25,Arm::N,brec'h,bracchium
26,Ellenbogen::N,ilin,cubitum
27,Hand::N,dorn,manus
28,Handfläche::N,palv,palma
29,Finger::N,biz,digitus
30,Fingernagel::N,ivin,unguiculus
31,Nagel[Anatomie]::N,ivin,unguis
32,Zeh::N,biz-troad,digitus
33,Fuß::N,troad,pes
34,Ferse::N,seul,calx
35,Knie::N,glin,genu
36,Oberschenkel::N,morzhed,femur
37,Bein::N,gar,crus
38,Körper::N,korf,corpus
39,Haut::N,kroc'hen,cutis
40,Haut::N,kroc'hen,pellis
41,Blut::N,gwad,sanguis
42,Ader::N,gwazhi,vena
43,Sehne::N,stir,nervus
44,Knochen::N,askorn,os
45,Gehirn::N,empenn,cerebrum
46,Herz::N,kalon,cor
47,Herz::N,kalon,animus
48,Magen::N,stomog,stomachus
49,Leber::N,avu,iecur
50,Atem::N,anal,spiritus
51,Hunger::N,naon,fames
52,Träne::N,daer,lacrima
53,Geschmack::N,blaz,sapor
54,Geschmack::N,blaz,gustus
55,Geruch::N,c'hwezh,odor
56,Schlaf::N,kousked,somnus
57,Traum::N,hune,somnium
58,Himmel::N,oabl,caelum
59,Sonne::N,heol,sol
60,Mond::N,loar,luna
61,Stern::N,steredenn,sidus
62,Stern::N,steredenn,stella
63,Luft::N,aer,aer
64,Wind::N,avel,ventus
65,Welle::N,houlenn,unda
66,Wasser::N,dour,aqua
67,Stein::N,maen,lapis
68,Boden::N,tachenn,solum
69,Erde::N,douar,terra
70,Staub::N,poultr,pulvis
71,Rauch::N,moged,fumus
72,Funke::N,ful,scintilla
73,Feuer::N,tan,ignis
74,Licht::N,gouloù,lux
75,Licht::N,gouloù,lumen
76,Schatten::N,disheol,umbra
77,Wetter::N,amzer,caelum
78,Wetter::N,amzer,tempestas
79,Nebel::N,brumenn,nebula
80,Wolke::N,koumoulenn,nubes
81,Regen::N,glav,imber
82,Regen::N,glav,pluvia
83,Schnee::N,erc'h,nix
84,Eis::N,skorn,glacies
85,Frost::N,rev,gelu
86,Kälte::N,yen,frigus
87,Hitze::N,tommder,calor
88,Hitze::N,tommder,aestus
89,Raureif::N,frim,pruina
90,Regenbogen::N,gwareg-ar-glav,arcus
91,Donner::N,kurun,tonitrus
92,Strömung::N,red,fluctus
93,Tropfen::N,bannac'h,gutta
94,Tropfen::N,takenn,gutta
95,Schaum::N,spoum,spuma
96,Schmutz::N,fank,sordes
97,Schmutz::N,fank,squalor
98,See::N,lenn,lacus
99,Sumpf::N,gwern,palus
100,Moor::N,taouarc'heg,palus
101,Wiese::N,prad,pratum
102,Wald::N,koad,silva
103,Hügel::N,torgenn,collis
104,Anhöhe::N,run,specula
105,Berg::N,menez,mons
106,Gipfel::N,barr,vertex
107,Höhle::N,kav,caverna
108,Höhle::N,kav,spelunca
109,Abhang::N,naou,declivum
110,Quelle::N,feunteun,fons
111,Bach::N,gwazh,rivus
112,Fluss::N,stêr,flumen
113,Ufer::N,ribl,ripa
114,Küste::N,aod,litus
115,Festland::N,douar,continens
116,Meer::N,mor,mare
117,Bucht::N,mor-bihan,sinus
118,Insel::N,enez,insula
119,Blume::N,bleunienn,flos
120,Gras::N,geot,herba
121,Gras::N,geot,gramen
122,Wurzel::N,gwrizienn,radix
123,Baum::N,gwezenn,arbor
124,Stamm::N,kef,truncus
125,Rinde::N,rusk,cortex
126,Ast::N,barr,ramus
127,Zweig::N,bod,ramus
128,Blatt::N,delienn,folium
129,Birke::N,bezvenn,betulla
130,Kiefer[Baum]::N,pinenn,pinus
131,Weide[Baum]::N,halegenn,salix
132,Tanne::N,sapenn,abies
133,Horn::N,korn,cornu
134,Feder::N,pluñv,penna
135,Fell::N,kreoñ,pellis
136,Flügel::N,askell,ala
137,Klaue::N,skilf,unguis
138,Kralle::N,skilf,unguis
139,Schwanz::N,lost,cauda
140,Ei::N,vi,ovum
141,Nest::N,neizh,nidus
142,Bau::N,douarenn,cavum
143,Bau::N,douarenn,latibulum
