,Concept_ID,ba,ro
0,Auge::N,күҙ,ochi
1,Ohr::N,ҡолаҡ,ureche
2,Nase::N,танау,nas
3,Mund::N,ауыҙ,gură
4,Zahn::N,теш,dinte
5,Zunge::N,тел,limbă
6,Lippe::N,ирен,buză
7,Wange::N,яцаҡтар,bucă
8,Wange::N,яцаҡтар,obraz
9,Gesicht::N,бит,față
10,Gesicht::N,бит,figură
11,Stirn::N,маңлай,frunte
12,Haar::N,сәс,păr
13,Schnurrbart::N,мылтыҡ,mustață
14,Bart::N,һаҡал,barbă
15,Kinn::N,эйэк,bărbie
16,Kiefer[Anatomie]::N,яңаҡ һөйәге,falcă
17,Kehle::N,тамаҡ,beregată
18,Hals::N,муйын,gât
19,Genick::N,соңҡа,ceafă
20,Kopf::N,баш,cap
21,Rücken::N,арҡа,dos
22,Rücken::N,арҡа,spate
23,Rücken::N,арҡа,spinare
24,Bauch::N,ҡорһаҡ,burtă
25,Bauch::N,ҡорһаҡ,pântece
26,Nabel::N,кендек,buric
27,Busen::N,күкрәк,sân
28,Brust::N,түш,piept
29,Schulter::N,яурын,umăr
30,Schulter::N,яурын,spate
31,Arm::N,ҡул,braț
32,Ellenbogen::N,терһәк,cot
33,Hand::N,ҡул,mână
34,Hand::N,ҡул суғы,mână
35,Handfläche::N,ус төбө,palmă
36,Finger::N,бармаҡ,deget
37,Fingernagel::N,тырнаҡ,unghie
38,Nagel[Anatomie]::N,тырнаҡ,unghie
39,Zeh::N,бармаҡ,deget de la picior
40,Fuß::N,табан,picior
41,Ferse::N,үксә,călcâi
42,Knie::N,тубыҡ,genunchi
43,Oberschenkel::N,сандыр,coapsă
44,Bein::N,аяҡ,picior
45,Körper::N,тән,corp
46,Haut::N,тире,piele
47,Blut::N,ҡан,sânge
48,Ader::N,тамыр,vână
49,Ader::N,тамыр,arteră
50,Sehne::N,һеңер,tendon
51,Sehne::N,тарамыш,tendon
52,Knochen::N,һойәк,os
53,Gehirn::N,мейе,creier
54,Herz::N,йорәк,inimă
55,Magen::N,ашҡаҙан,stomac
56,Leber::N,бауыр,ficat
57,Atem::N,һулыш,răsuflare
58,Atem::N,һулыш,respirație
59,Hunger::N,аслыҡ,foame
60,Träne::N,күҙ иәше,lacrimă
61,Geschmack::N,тәм,gust
62,Geruch::N,еҫ,miros
63,Schlaf::N,йоҡлау,somn
64,Traum::N,төш,vis
65,Himmel::N,күк,cer
66,Sonne::N,ҡояш,soare
67,Mond::N,ай,lună
68,Stern::N,йондоҙ,stea
69,Luft::N,һауа,aer
70,Wind::N,ел,vânt
71,Welle::N,тулҡын,val
72,Welle::N,тулҡын,undă
73,Wasser::N,һыу,apă
74,Stein::N,таш,piatră
75,Boden::N,тупраҡ,sol
76,Boden::N,тупраҡ,pământ
77,Erde::N,балсҡ,pământ
78,Staub::N,туҙан,praf
79,Rauch::N,төтөн,fum
80,Funke::N,осҡон,scânteie
81,Feuer::N,ут,foc
82,Licht::N,яҡтылыҡ,lumină
83,Schatten::N,күләгә,umbră
84,Wetter::N,һауа торошо,timp
85,Wetter::N,һауа торошо,vreme
86,Nebel::N,төман,ceață
87,Nebel::N,төман,negură
88,Wolke::N,болот,nor
89,Regen::N,ямғыр,ploaie
90,Schnee::N,ҡар,zăpadă
91,Eis::N,боҙ,gheață
92,Frost::N,һалҡын,ger
93,Kälte::N,һыуыҡ,frig
94,Hitze::N,томра,arșiță
95,Hitze::N,томра,căldură
96,Hitze::N,эҫелек,arșiță
97,Hitze::N,эҫелек,căldură
98,Raureif::N,ҡырау,chiciură
99,Regenbogen::N,йәйғор,curcubeu
100,Donner::N,күк күкрәү,tunet
101,Strömung::N,ағым,curent
102,Tropfen::N,тамсы,picătură
103,Schaum::N,күбек,spumă
104,Schmutz::N,батҡаҡ,murdărie
105,See::N,күл,lac
106,Sumpf::N,һаҙлык,mlaștină
107,Moor::N,һаҙ,bărăgan
108,Wiese::N,болон,fânaț
109,Wiese::N,болон,livadă
110,Wald::N,урман,codru
111,Wald::N,урман,pădure
112,Hügel::N,түбә,deal
113,Hügel::N,түбә,movilă
114,Anhöhe::N,түбә,deal
115,Anhöhe::N,түбә,ridicătură
116,Anhöhe::N,ҡалҡыулыҡ,deal
117,Anhöhe::N,ҡалҡыулыҡ,ridicătură
118,Berg::N,тау,munte
119,Gipfel::N,түбә,pisc
120,Höhle::N,мәмерйә,peșteră
121,Abhang::N,ипкен,pantă
122,Abhang::N,ипкен,versant
123,Quelle::N,шишмә,izvor
124,Bach::N,шишмә,gârlă
125,Fluss::N,йылға,râu
126,Fluss::N,йылға,fluviu
127,Ufer::N,яр,mal
128,Ufer::N,яр,țărm
129,Küste::N,яр буйы,coastă
130,Festland::N,ҡоро ер,uscat
131,Meer::N,диңгез,mare
132,Bucht::N,бухта,golf
133,Insel::N,үтрау,insulă
134,Blume::N,сәскә,floare
135,Gras::N,үлән,iarbă
136,Wurzel::N,тамыр,rădăcină
137,Baum::N,ағас,copac
138,Baum::N,ағас,arbore
139,Stamm::N,олон,tulpină
140,Stamm::N,көбәк,tulpină
141,Rinde::N,ҡабыҡ,scoarță
142,Ast::N,ботаҡ,cracă
143,Ast::N,ботаҡ,creangă
144,Zweig::N,ботаҡ,ramură
145,Zweig::N,ботаҡ,creangă
146,Zweig::N,тармаҡ,ramură
147,Zweig::N,тармаҡ,creangă
148,Blatt::N,япраҡ,frunză
149,Birke::N,ҡайын,mesteacăn
150,Kiefer[Baum]::N,ҡарғай,pin
151,Weide[Baum]::N,тал,salcie
152,Weide[Baum]::N,тал,răchită
153,Tanne::N,шыршы,brad
154,Horn::N,мөғөҙ,corn
155,Feder::N,ҡауырһын,pană
156,Fell::N,тире,piele
157,Flügel::N,ҡанат,aripă
