,Concept_ID,ja,ka
0,Auge::N,目,თვალი
1,Ohr::N,耳,ყური
2,Nase::N,鼻,ცხვირი
3,Mund::N,口,პირი
4,Zahn::N,歯,კბილი
5,Zunge::N,舌,ენა
6,Lippe::N,唇,ბაგე
7,Wange::N,頬,ლოყა
8,Gesicht::N,顔,სახე
9,Stirn::N,額,შუბლი
10,Haar::N,髪,თმა
11,Schnurrbart::N,口髭,ულვაში
12,Bart::N,髭,წვერი
13,Kinn::N,顎,ნიკაპი
14,Kiefer[Anatomie]::N,顎,ყბა
15,Kehle::N,喉,ყელი
16,Hals::N,首,ყელი
17,Hals::N,首,კისერი
18,Genick::N,首,კეფა
19,Kopf::N,頭,თავი
20,Rücken::N,背中,ზურგი
21,Bauch::N,腹,მუცელი
22,Bauch::N,お腹,მუცელი
23,Nabel::N,へそ,ჭიპი
24,Busen::N,乳房,ძუძუ
25,Brust::N,胸,მკერდი
26,Schulter::N,肩,მხარი
27,Schulter::N,肩,მკლავი
28,Arm::N,腕,ხელი
29,Ellenbogen::N,肘,იდაყვი
30,Hand::N,手,ხელი
31,Handfläche::N,手のひら,ნები
32,Handfläche::N,手のひら,ხელისგული
33,Finger::N,指,თითი
34,Fingernagel::N,爪,ფრჩხილი
35,Nagel[Anatomie]::N,爪,ფრჩხილი
36,Zeh::N,足の指,ფეხის თითი
37,Fuß::N,足,ტერფი
38,Fuß::N,足,ფეხისგული
39,Ferse::N,かかと,ქუსლი
40,Knie::N,膝,მუხლი
41,Oberschenkel::N,上腿,ბარძაყი
42,Bein::N,足,ფეხი
43,Körper::N,体,ტანი
44,Körper::N,体,სხეული
45,Haut::N,皮膚,კანი
46,Blut::N,血,სისხლი
47,Ader::N,血管,ძარღვი
48,Sehne::N,腱,მყესი
49,Knochen::N,骨,ძვალი
50,Gehirn::N,脳,ტვინი
51,Herz::N,心,გული
52,Herz::N,心臓,გული
53,Magen::N,胃,კუჭი
54,Leber::N,肝臓,ღვიძლი
55,Atem::N,息,სუნთქვა
56,Atem::N,呼吸,სუნთქვა
57,Hunger::N,空腹,შიმშილი
58,Träne::N,涙,ცრემლი
