,Concept_ID,mrj,it
0,Auge::N,сӹнзӓ,occhio
1,Ohr::N,пӹлӹш,orecchio
2,Nase::N,нер,naso
3,Mund::N,ышма,bocca
4,Zahn::N,пӱ,dente
5,Zunge::N,йӹлмӹ,lingua
6,Lippe::N,тӹрвӹ,labbro
7,Wange::N,шӹргӹ,guancia
8,Gesicht::N,лицӓ,viso
9,Gesicht::N,лицӓ,faccia
10,Stirn::N,лепкӓ,fronte
11,Haar::N,ӱп,capello
12,Schnurrbart::N,öрш,baffi
13,Schnurrbart::N,öрш,mustacchi
14,Bart::N,пандаш,barba
15,Kinn::N,онгылаш,mento
16,Kiefer[Anatomie]::N,пӱ арата,mascella
17,Kehle::N,логер,gola
18,Hals::N,шӱ,collo
19,Genick::N,ланга,nuca
20,Kopf::N,вуй,capo
21,Kopf::N,вуй,testa
22,Rücken::N,туп,dorso
23,Rücken::N,туп,schiena
24,Bauch::N,мӹшкӹр,ventre
25,Nabel::N,кӹлӹмдӹ,ombelico
26,Busen::N,цӹзӹ,seno
27,Brust::N,мел,petto
28,Schulter::N,ӹнгӹжӓ,spalla
29,Arm::N,кид,braccio
30,Ellenbogen::N,кӹнервуй,gomito
31,Hand::N,лапа,mano
32,Handfläche::N,кид лапа,palma
33,Finger::N,парня,dito
34,Fingernagel::N,кӹч,unghia
35,Nagel[Anatomie]::N,кӹч,unghia
36,Zeh::N,парня,dito del piede
37,Fuß::N,ял лапа,piede
38,Ferse::N,ялгавал,tallone
39,Ferse::N,ялгавал,calcagno
40,Ferse::N,ял кавал,tallone
41,Ferse::N,ял кавал,calcagno
42,Knie::N,пылвуй,ginocchio
43,Oberschenkel::N,ӓрдӹ,fèmore
44,Bein::N,ял,gamba
45,Körper::N,монгыр,corpo
46,Haut::N,кавашты,pelle
47,Blut::N,вӹр,sangue
48,Ader::N,вӹршӓр,vena
49,Sehne::N,кукшышӱн,tèndine
50,Knochen::N,лу,osso
51,Gehirn::N,вим,cervello
52,Herz::N,шӱм,cuore
53,Magen::N,шӱм,stòmaco
54,Leber::N,мокш,fegato
55,Atem::N,шӱлӹш,fiato
56,Atem::N,шӱлӹш,respiro
57,Hunger::N,шужымаш,fame
58,Träne::N,сӹнзӓвӹд,làcrima
59,Geschmack::N,тот,gusto
60,Geschmack::N,тот,sapore
61,Geruch::N,пыш,odore
62,Schlaf::N,ом,sonno
63,Traum::N,ом,sogno
64,Himmel::N,пӹлгом,cielo
65,Sonne::N,кечӹ,sole
66,Mond::N,тӹлзӹ,luna
67,Stern::N,шӹдӹр,stella
68,Luft::N,юж,aria
69,Luft::N,воздух,aria
70,Wind::N,мардеж,vento
71,Welle::N,ко,onda
72,Welle::N,коэ,onda
73,Wasser::N,вӹд,acqua
74,Stein::N,кӱ,sasso
75,Stein::N,кӱ,pietra
76,Boden::N,рок,suolo
77,Boden::N,рок,terreno
78,Erde::N,свет,terra
79,Staub::N,пырак,polvere
80,Rauch::N,шӹкш,fumo
81,Funke::N,ип,scintilla
82,Funke::N,тылип,scintilla
83,Feuer::N,тыл,fuoco
84,Licht::N,соты,luce
85,Licht::N,валгыды,luce
86,Schatten::N,ӹмӹл,ombra
87,Wetter::N,игечӹ,tempo
88,Nebel::N,тӹтӹрӓ,nebbia
89,Wolke::N,пӹл,nube
90,Wolke::N,пӹл,nùvola
91,Regen::N,юр,pioggia
92,Schnee::N,лым,neve
93,Eis::N,и,ghiaccio
94,Frost::N,ӱштӹ,gelo
95,Kälte::N,ӱштӹ,freddo
96,Hitze::N,шокшы,caldo
97,Hitze::N,шокшы,calura
98,Raureif::N,пöрш,brina
99,Regenbogen::N,шанавӹл,arcobaleno
100,Donner::N,хӹдӹртӹш,tuono
101,Strömung::N,йогы,corrente
102,Tropfen::N,капльы,goccia
103,Tropfen::N,капльык,goccia
104,Schaum::N,шонг,spuma
105,Schaum::N,шонг,schiuma
106,Schmutz::N,лявӹрӓ,sudiciume
107,See::N,йӓр,lago
108,Sumpf::N,лӱкӹ,palude
109,Moor::N,куп,torbiera
110,Wiese::N,алык,prato
111,Wald::N,шӹргӹ,bosco
112,Wald::N,шӹргӹ,foresta
113,Hügel::N,пӱгӹрикӓ,colle
114,Hügel::N,пӱгӹрикӓ,collina
115,Anhöhe::N,кӱкшикӓ,altura
116,Berg::N,кырык,monte
117,Berg::N,кырык,montagna
118,Gipfel::N,неркӓ,cima
119,Höhle::N,ы́раж,grotta
120,Höhle::N,ы́раж,caverna
121,Abhang::N,полом,pendìo
122,Quelle::N,вӹдсӹнзӓ,sorgente
123,Bach::N,ӓнгӹр,ruscello
124,Fluss::N,вӹд,fiume
125,Ufer::N,сир,riva
126,Küste::N,сир,costa
127,Festland::N,мӱлӓндӹ,terraferma
128,Meer::N,тангыж,mare
129,Bucht::N,вӹдъял,cala
130,Insel::N,острок,ìsola
131,Blume::N,пеледӹш,fiore
