,Concept_ID,cy,da
0,Auge::N,llygad,øje
1,Ohr::N,clust,øre
2,Nase::N,trwyn,næse
3,Mund::N,ceg,mund
4,Zahn::N,dant,tand
5,Zunge::N,tafod,tunge
6,Lippe::N,gwefus,læbe
7,Wange::N,boch,kind
8,Gesicht::N,wyneb,ansigt
9,Stirn::N,talcen,pande
10,Haar::N,blew,hår
11,Schnurrbart::N,mwstas,overskæg
12,Bart::N,barf,skæg
13,Kinn::N,gên,hage
14,Kiefer[Anatomie]::N,gên,kæbe
15,Kehle::N,gwddf,strube
16,Hals::N,gwddf,hals
17,Genick::N,gwar,nakke
18,Genick::N,gwegil,nakke
19,Kopf::N,pen,hoved
20,Rücken::N,cefn,ryg
21,Bauch::N,bol,mave
22,Nabel::N,bogail,navle
23,Busen::N,bron,barm
24,Brust::N,brest,bryst
25,Schulter::N,ysgwydd,skulder
26,Arm::N,braich,arm
27,Ellenbogen::N,penelin,albue
28,Hand::N,llaw,hånd
29,Handfläche::N,palf,håndflade
30,Finger::N,bys,finger
31,Fingernagel::N,ewin,fingernegl
32,Nagel[Anatomie]::N,ewin,negl
33,Zeh::N,bys troed,tå
34,Fuß::N,troed,fod
35,Ferse::N,sawdl,hæl
36,Knie::N,glin,knæ
37,Oberschenkel::N,clun,lår
38,Bein::N,coes,ben
39,Körper::N,corff,krop
40,Körper::N,corff,legeme
41,Haut::N,croen,hud
42,Blut::N,gwaed,blod
43,Ader::N,gwythïen,åre
44,Sehne::N,gewyn,sene
45,Knochen::N,asgwrn,ben
46,Gehirn::N,ymennydd,hjerne
47,Herz::N,calon,hjerte
48,Magen::N,cylla,mave
49,Magen::N,stumog,mave
50,Leber::N,iau,lever
51,Atem::N,anadl,ånde
52,Hunger::N,newyn,sult
53,Träne::N,deigryn,tåre
54,Geschmack::N,cyflas,smag
55,Geruch::N,aroglau,lugt
56,Schlaf::N,cwsg,søvn
57,Traum::N,breuddwyd,drøm
58,Himmel::N,awyr,himmel
59,Sonne::N,haul,sol
60,Mond::N,lleuad,måne
61,Stern::N,seren,stjerne
62,Luft::N,awyr,luft
63,Wind::N,gwynt,vind
64,Welle::N,ton,bølge
65,Wasser::N,dŵr,vand
66,Stein::N,carreg,sten
67,Boden::N,llawr,jord
68,Erde::N,pridd,jord
69,Staub::N,llwch,støv
70,Rauch::N,mwg,røg
71,Funke::N,gwreichioni,gnist
72,Feuer::N,tân,ild
73,Licht::N,golau,lys
74,Schatten::N,cysgod,skygge
75,Wetter::N,tywydd,vejr
76,Nebel::N,niwl,tåge
77,Wolke::N,cwmwl,sky
78,Regen::N,glaw,regn
79,Schnee::N,ôd,sne
80,Schnee::N,eira,sne
81,Eis::N,iâ,is
82,Frost::N,rhew,frost
83,Kälte::N,oerni,kulde
84,Kälte::N,annwyd,kulde
85,Hitze::N,gwres,hede
86,Raureif::N,barrug,rimfrost
87,Regenbogen::N,enfys,regnbue
88,Donner::N,tyrfau,torden
89,Strömung::N,cerrynt,strømning
90,Tropfen::N,dafn,dråbe
91,Tropfen::N,diferyn,dråbe
92,Schaum::N,ewyn,skum
93,Schmutz::N,baw,snavs
94,Schmutz::N,budreddi,snavs
95,See::N,llyn,sø
96,Sumpf::N,cors,sump
97,Moor::N,rhos,mose
98,Wiese::N,dôl,eng
99,Wald::N,coedwig,skov
100,Hügel::N,bryn,høj
101,Hügel::N,bryn,bakke
102,Anhöhe::N,bryn,høj
103,Anhöhe::N,bryn,bakke
104,Berg::N,mynydd,bjerg
105,Gipfel::N,copa,top
106,Höhle::N,ogof,hule
107,Abhang::N,llethr,skrænt
108,Abhang::N,llethr,skråning
109,Quelle::N,tarddiad,kilde
110,Quelle::N,ffynhonnell,kilde
111,Bach::N,nant,bæk
112,Bach::N,afonig,bæk
113,Bach::N,cornant,bæk
114,Fluss::N,afon,flod
115,Ufer::N,glan,bred
116,Küste::N,traeth,kyst
117,Küste::N,arfordir,kyst
118,Festland::N,tir,fastland
119,Meer::N,môr,hav
120,Bucht::N,bae,bugt
121,Insel::N,ynys,ø
122,Blume::N,blodyn,blomst
123,Gras::N,glaswellt,græs
124,Wurzel::N,gwreiddyn,rod
125,Baum::N,coeden,træ
126,Stamm::N,colfen,stamme
127,Stamm::N,boncyff,stamme
128,Rinde::N,rhisgl,bark
129,Ast::N,cangen,gren
130,Zweig::N,cainc,kvist
131,Zweig::N,cangen,kvist
132,Blatt::N,deilen,blad
133,Birke::N,bedwen,birk
134,Kiefer[Baum]::N,pinwydden,fyrretræ
135,Weide[Baum]::N,helygen,piletræ
136,Tanne::N,ffynidwydden,gran
137,Horn::N,corn,horn
138,Feder::N,plufyn,fjer
139,Fell::N,ffwr,skind
140,Flügel::N,adain,vinge
141,Klaue::N,crafanc,klov
142,Kralle::N,ewin,klo
143,Schwanz::N,cwt,hale
144,Schwanz::N,cynffon,hale
145,Ei::N,wy,æg
146,Nest::N,nyth,rede
147,Bau::N,ffau,bo
148,Tier::N,anifail,dyr
149,Herde::N,praidd,flok
150,Herde::N,diadell,flok
151,Kuh::N,buwch,ko
152,Bulle::N,tarw,tyr
153,Pferd::N,ceffyl,hest
154,Schaf::N,dafad,får
155,Schwein::N,mochyn,gris
156,Hund::N,ci,hund
157,Katze::N,cath,kat
158,Bär::N,arth,bjørn
159,Eichhörnchen::N,gwiwer,egern
160,Elch::N,elc,elg
161,Fuchs::N,cadno,ræv
162,Hase::N,ysgyfarnog,hare
163,Maus::N,llygoden,mus
164,Wolf::N,blaidd,ulv
165,Vogel::N,aderyn,fugl
166,Schwarm::N,haid,sværm
167,Huhn::N,cyw,høne
168,Hahn::N,ceiliog,hane
169,Gans::N,gŵydd,gås
170,Adler::N,eryr,ørn
171,Ente::N,hwyad,and
172,Eule::N,tylluan,ugle
