,Concept_ID,bg,sv
0,Auge::N,око,öga
1,Ohr::N,ухо,öra
2,Nase::N,нос,näsa
3,Mund::N,уста,mun
4,Zahn::N,зъб,tand
5,Zunge::N,език,tunga
6,Lippe::N,устна,läpp
7,Wange::N,буза,kind
8,Gesicht::N,лице,syn
9,Gesicht::N,лице,ansikte
10,Gesicht::N,образ,syn
11,Gesicht::N,образ,ansikte
12,Stirn::N,чело,panna
13,Haar::N,коса,hår
14,Haar::N,косъм,hår
15,Schnurrbart::N,мустаци,mustasch
16,Bart::N,брада,skägg
17,Kinn::N,брада,haka
18,Kinn::N,брадичка,haka
19,Kiefer[Anatomie]::N,челюст,käke
20,Kehle::N,гърло,strupe
21,Hals::N,врат,hals
22,Genick::N,тил,nacke
23,Kopf::N,глава,huvud
24,Rücken::N,гръб,rygg
25,Bauch::N,корем,buk
26,Bauch::N,корем,mage
27,Nabel::N,пъп,navel
28,Busen::N,бозка,barm
29,Brust::N,гръд,bröst
30,Schulter::N,рамо,skuldra
31,Schulter::N,плещи,skuldra
32,Arm::N,ръка,arm
33,Ellenbogen::N,лакът,armbåge
34,Hand::N,ръка,hand
35,Hand::N,китка,hand
36,Handfläche::N,длан,handflata
37,Finger::N,пръст,finger
38,Fingernagel::N,нокът,fingernagel
39,Nagel[Anatomie]::N,нокът,nagel
40,Zeh::N,пръст на крак,tå
41,Fuß::N,крак,fot
42,Fuß::N,нога,fot
43,Ferse::N,пета,häl
44,Knie::N,коляно,knä
45,Oberschenkel::N,бедро,lår
46,Bein::N,крак,ben
47,Bein::N,нога,ben
48,Körper::N,тяло,kropp
49,Haut::N,кожа,hud
50,Haut::N,кожа,skinn
51,Blut::N,кръв,blod
52,Ader::N,вена,åder
53,Ader::N,артерия,åder
54,Sehne::N,жила,sena
55,Sehne::N,сухожилие,sena
56,Knochen::N,кост,ben
57,Gehirn::N,мозък,hjärna
58,Herz::N,сърце,hjärta
59,Magen::N,стомах,mage
60,Leber::N,черен дроб,lever
61,Atem::N,дишане,anda
62,Atem::N,дишане,andedräkt
63,Hunger::N,глад,svält
64,Hunger::N,глад,hunger
65,Träne::N,сълза,tår
66,Geschmack::N,вкус,smak
67,Geruch::N,миризма,lukt
68,Schlaf::N,сън,sömn
69,Traum::N,сън,dröm
70,Himmel::N,небе,himmel
71,Sonne::N,слънце,sol
72,Mond::N,луна,måne
73,Mond::N,месец,måne
74,Stern::N,звезда,stjärna
75,Luft::N,въздух,luft
76,Wind::N,вятър,vind
77,Welle::N,вълна,våg
78,Welle::N,вълна,bölja
79,Wasser::N,вода,vatten
80,Stein::N,камък,sten
81,Boden::N,земя,mark
82,Boden::N,почва,mark
83,Erde::N,земя,jord
84,Erde::N,почва,jord
85,Staub::N,прах,damm
86,Rauch::N,дим,rök
87,Rauch::N,пушек,rök
88,Funke::N,искра,gnista
89,Feuer::N,огън,eld
90,Licht::N,светлина,ljus
91,Schatten::N,сянка,skugga
92,Wetter::N,време,väder
93,Nebel::N,мъгла,dimma
94,Nebel::N,мъгла,töcken
95,Wolke::N,облак,sky
96,Wolke::N,облак,moln
97,Regen::N,дъжд,regn
98,Schnee::N,сняг,snö
99,Eis::N,лед,is
100,Frost::N,мраз,frost
101,Kälte::N,студ,köld
102,Hitze::N,жега,hetta
103,Hitze::N,горещина,hetta
104,Raureif::N,скреж,rimfrost
105,Raureif::N,слана,rimfrost
106,Regenbogen::N,дъга,regnbåge
107,Donner::N,гръм,åska
108,Donner::N,гръм,dunder
109,Strömung::N,течение,strömning
110,Tropfen::N,капка,dropper
111,Schaum::N,пяна,skum
112,Schmutz::N,кал,lort
113,Schmutz::N,кал,smuts
114,Schmutz::N,мръсотия,lort
115,Schmutz::N,мръсотия,smuts
116,See::N,езеро,sjö
117,Sumpf::N,блато,träsk
118,Moor::N,мочурище,myr
119,Moor::N,мочурище,mosse
120,Wiese::N,ливада,äng
121,Wald::N,гора,skog
122,Hügel::N,рид,höjd
123,Hügel::N,рид,kulle
124,Hügel::N,хълм,höjd
