,Concept_ID,sq,kl
0,Auge::N,sy,isi
1,Ohr::N,vesh,siut
2,Nase::N,hundë,
3,Mund::N,gojë,paaq
4,Mund::N,gojë,qaneq
5,Zahn::N,dhëmb,kigut
6,Zunge::N,gjuhë,oqaq
7,Lippe::N,buzë,qarloq
8,Wange::N,faqe,ersaq
9,Wange::N,mollëz,ersaq
10,Gesicht::N,fytyrë,kiinaq
11,Stirn::N,ballë,qaaq
12,Haar::N,flokë,meqqoq
13,Schnurrbart::N,mustaqe,
14,Bart::N,mjekër,umik
15,Kinn::N,mjekër,talloq
16,Kiefer[Anatomie]::N,nofull,alleroq
17,Kehle::N,fyt,malaq
18,Kehle::N,grykë,malaq
19,Hals::N,qafë,qungaseq
20,Genick::N,arrëz,pukusuk
21,Kopf::N,kokë,niaqoq
22,Rücken::N,kurriz,qimerlut
23,Bauch::N,bark,naaq
24,Nabel::N,kërthizë,qalaseq
25,Busen::N,gji,iviangeq
26,Brust::N,gjoks,iviangeq
27,Brust::N,kraharor,iviangeq
28,Schulter::N,sup,ersik
29,Schulter::N,sup,assaqqoq
30,Schulter::N,krah,ersik
31,Schulter::N,krah,assaqqoq
32,Arm::N,krah,taleq
33,Ellenbogen::N,bërryl,ikusik
34,Hand::N,dorë,assak
35,Handfläche::N,pëllëmbë,itumak
36,Finger::N,gisht,inuak
37,Fingernagel::N,thua,kikiak
38,Nagel[Anatomie]::N,thua,kukik
39,Zeh::N,gisht i këmbës,isigak
40,Fuß::N,këmbë,
41,Ferse::N,thembër,kimmik
42,Knie::N,gju,seeqqoq
43,Oberschenkel::N,kofshë,uppat
44,Oberschenkel::N,kofshë,quttoraq
45,Bein::N,këmbë,isigak
46,Körper::N,trup,timi
47,Haut::N,lëkurë,mattak
48,Blut::N,gjak,aak
49,Ader::N,venë,taqaq
50,Sehne::N,dell,ujalu
51,Sehne::N,dell,ujaloq
52,Knochen::N,asht,saanikut
53,Knochen::N,kockë,saanikut
54,Gehirn::N,tru,qarasaq
55,Herz::N,zemër,uummat
56,Magen::N,stomak,aqajaroq
57,Leber::N,mëlçi,tinguk
58,Atem::N,frymë,anerneq
59,Hunger::N,uri,kaanneq
60,Träne::N,lot,qia
61,Träne::N,lot,qiak
62,Geschmack::N,shije,qilanaartuut
63,Geruch::N,erë,tipi
64,Geruch::N,erë,tipik
65,Schlaf::N,gjumë,
66,Traum::N,ëndërr,sinnattoq
67,Traum::N,ëndërr,sinnattugaq
68,Himmel::N,qiell,qilak
69,Sonne::N,diell,seqineq
70,Mond::N,hënë,qaammat
71,Stern::N,yll,ulloriaq
72,Luft::N,ajër,silaannaq
73,Wind::N,erë,anori
