,Concept_ID,br,kv
0,Auge::N,lagad,син
1,Ohr::N,skouarn,пель
2,Nase::N,fri,ныр
3,Mund::N,genoù,ӧм
4,Zahn::N,dant,пинь
5,Zunge::N,teod,кыв
6,Lippe::N,muzell,тырп
7,Wange::N,chot,рожабан
8,Gesicht::N,dremm,бан
9,Stirn::N,tal,кымӧс
10,Haar::N,blev,юрси
11,Schnurrbart::N,mourenn,уссэз
12,Bart::N,barv,тош
13,Kinn::N,groñj,тшӧка
14,Kiefer[Anatomie]::N,javed,ан
15,Kehle::N,gouzoug,юан
16,Hals::N,gouzoug,юан
17,Genick::N,choug,юр бӧр
18,Kopf::N,penn,юр
19,Rücken::N,kein,мышк
20,Bauch::N,kof,кынӧм
21,Nabel::N,begel,гӧг
22,Busen::N,bronn,морос
23,Brust::N,bruched,морос
24,Schulter::N,skoaz,пельпон
25,Arm::N,brec'h,ки
26,Ellenbogen::N,ilin,гырдзза
27,Hand::N,dorn,кикар
28,Handfläche::N,palv,ки пыдӧс
29,Finger::N,biz,чунь
30,Fingernagel::N,ivin,гыж
31,Nagel[Anatomie]::N,ivin,гыж
32,Zeh::N,biz-troad,чунь
33,Fuß::N,troad,кокпыдӧс
34,Ferse::N,seul,кокдзир
35,Knie::N,glin,пидзӧс
36,Oberschenkel::N,morzhed,лядьбей
37,Bein::N,gar,кок
38,Körper::N,korf,вывтыр
39,Haut::N,kroc'hen,кучик
40,Blut::N,gwad,вир
41,Ader::N,gwazhi,сӧн
42,Sehne::N,stir,жила
43,Knochen::N,askorn,коска
44,Gehirn::N,empenn,вем
45,Herz::N,kalon,сьӧлӧм
46,Magen::N,stomog,жӧвдӧк
47,Leber::N,avu,мус
48,Atem::N,anal,лолалӧм
49,Hunger::N,naon,тшыг
50,Träne::N,daer,синва
51,Geschmack::N,blaz,кӧр
52,Geruch::N,c'hwezh,дук
53,Schlaf::N,kousked,он
54,Traum::N,hune,вӧт
55,Himmel::N,oabl,небо
56,Sonne::N,heol,шондi
57,Mond::N,loar,тӧлiсь
58,Stern::N,steredenn,кӧдзыв
59,Luft::N,aer,ру
60,Wind::N,avel,тӧв
61,Welle::N,houlenn,гы
62,Wasser::N,dour,ва
63,Stein::N,maen,из
64,Boden::N,tachenn,му
65,Erde::N,douar,му
66,Staub::N,poultr,бус
67,Rauch::N,moged,тшын
68,Funke::N,ful,бичир
69,Feuer::N,tan,би
70,Licht::N,gouloù,би
71,Schatten::N,disheol,вуджӧр
