,Concept_ID,sl,mrj
170,Hahn::N,petêlin,ӓптӓн
171,Gans::N,gós,комбы
172,Adler::N,ôrel,кучкыж
173,Ente::N,ráca,лыды
174,Eule::N,sôva,тымана
175,Kranich::N,žerjàv,тырня
176,Kranich::N,žerjàv,тыртня
177,Krähe::N,vrána,лудыгарак
178,Kuckuck::N,kúkavica,куку
179,Schwan::N,labód,йӱксӹ
180,Fisch::N,ríba,кол
181,Barsch::N,ostríž,алангы
182,Hecht::N,ščúka,нуж
183,Hecht::N,ščúka,нужгол
184,Schlange[Tier]::N,káča,кӹшкы
185,Wurm::N,čr̀v,шукш
186,Wurm::N,glísta,шукш
187,Spinne::N,pájek,ӓнгӹремшӹ
188,Ameise::N,mrávlja,кыткы
189,Laus::N,úš,ти
190,Mücke::N,komár,кужнер
191,Mücke::N,komár,кужынер
192,Fliege::N,múha,шӹнгӓ
193,Schmetterling::N,metúlj,лӹпӹ
194,Beere::N,jágoda,мöр
195,Apfel::N,jábolko,олма
196,Pilz::N,góba,понгы
197,Zwiebel::N,čebúla,охыра
198,Saat::N,séme,нӱшмӹ
199,Saat::N,séme,нӱшмӱ
200,Korn::N,zŕno,пӹрцӹ
201,Heu::N,senó,шуды
202,Schale::N,lupína,аваха
203,Schale::N,lupína,карлангы
204,Grube::N,jáma,йӓм
205,Falle::N,pást,лӱдӹ
206,Falle::N,pást,лӱдӹш
207,Schlinge::N,zánka,онгы
208,Schlinge::N,pêtlja,онгы
209,Spur::N,sléd,кишӓ
210,Asche::N,pepél,ломых
211,Asche::N,pepél,ломпыж
212,Dreck::N,bláto,лявӹрӓ
213,Eisen::N,želézo,кӹртни
214,Gold::N,zlató,шöртни
215,Gold::N,zlató,шöртньӹ
216,Silber::N,srebró,ши
217,Kohle::N,ógel,шӱ
218,Glas::N,stêklo,охоница
219,Lehm::N,ílo,шун
220,Sand::N,pések,ошма
221,Mensch::N,člôvek,эдем
222,Mann::N,móž,пӱэргӹ
223,Mann::N,môški,пӱэргӹ
224,Frau::N,gospá,ӹдӹрӓмӓш
225,Frau::N,žénska,ӹдӹрӓмӓш
226,Kind::N,déte,ӓзӓ
227,Kind::N,déte,шачшы
228,Kind::N,otròk,ӓзӓ
229,Kind::N,otròk,шачшы
230,Junge::N,fànt,рвезӹ
231,Junge::N,fànt,ӹрвезӹ
232,Junge::N,déček,рвезӹ
233,Junge::N,déček,ӹрвезӹ
234,Mädchen::N,deklè,ӹдӹрӓш
235,Mädchen::N,déklica,ӹдӹрӓш
236,Familie::N,družína,йиш
237,Familie::N,družína,семня
238,Großvater::N,dèd,тьоти
239,Großvater::N,dédek,тьоти
240,Großmutter::N,bábica,папа
241,Eltern::N,stárši,ӓтя-ӓвӓ
242,Vater::N,ôče,ӓтя
243,Mutter::N,máma,ӓвӓ
244,Sohn::N,sín,эргӹ
245,Tochter::N,hčí,ӹдӹр
246,Tochter::N,hčérka,ӹдӹр
247,Bruder::N,bràt,ӹза
248,Schwester::N,sêstra,ӓкӓ
249,Onkel::N,újec,кугуза
250,Onkel::N,stríc,кугуза
251,Tante::N,têta,куака
252,Tante::N,strína,куака
253,Ehemann::N,móž,мары
254,Ehemann::N,sopróg,мары
255,Ehefrau::N,žêna,вӓтӹ
256,Ehefrau::N,sopróga,вӓтӹ
257,Freude::N,rádost,ӹвӹртӹмӓш
258,Freude::N,vesêlje,ӹвӹртӹмӓш
259,Gelächter::N,sméh,ваштылмаш
260,Gelächter::N,grohòt,ваштылмаш
261,Glück::N,sréča,пиӓл
262,Kummer::N,gorjé,ясы
263,Wunsch::N,žêlja,охата
264,Wunsch::N,žêlja,шанымаш
265,Lust::N,poželênje,шӓр
266,Lust::N,poželênje,охата
267,Lust::N,poželênje,шанымаш
268,Geist::N,dúša,тух
269,Gedanke::N,mísel,шанымаш
270,Gedächtnis::N,pámet,ӓш
271,Sinn::N,pomèn,кын
272,Sinn::N,smísel,кын
273,Grund::N,vzròk,вир
274,Wahrheit::N,resníca,тöр
275,Gespräch::N,pogóvor,хытырымаш
276,Märchen::N,právljica,ямак
277,Erzählung::N,povést,шайыштмаш
278,Nachricht::N,sporočílo,увертӓрӹмӓш
279,Neuigkeit::N,novóst,увер
280,Name::N,imé,лӹм
281,Rätsel::N,ugánka,тышты
282,Rede::N,góvor,шая
283,Rede::N,góvor,шамак
284,Sprache::N,jêzik,йӹлмӹ
285,Stimme::N,glás,юк
286,Wort::N,beséda,шамак
287,Zeichen::N,znák,палӹ
288,Ruf::N,klíc,сӹгӹрӹмӓш
289,Lärm::N,hrúp,юкланымащ
290,Lärm::N,trúšč,юкланымащ
291,Laut::N,glás,юк
292,Ton::N,tón,юк
293,Lied::N,pésem,мыры
294,Ruhe::N,pokòj,тыр
295,Leute::N,ljudjé,эдемвлӓ
296,Volk::N,národ,халык
297,Arbeit::N,délo,пӓшӓ
298,Gast::N,gòst,хына
299,Geschenk::N,darílo,подарка
300,Spiel::N,ígra,мадыш
301,Gesellschaft::N,drúžba,йӓл
302,Gesellschaft::N,drúžba,йӓлвлӓ
303,Hilfe::N,pomóč,палшык
304,Freund::N,prijátelj,тӓнг
305,Kamerad::N,továriš,тос
306,Angelegenheit::N,zadéva,дела
307,Angelegenheit::N,zadéva,йела
308,Angelegenheit::N,zadéva,йыла
309,Angelegenheit::N,zadéva,пӓшӓ
310,Anzahl::N,števílo,шот
311,Art::N,vŕsta,цӹре
312,Stück::N,kós,лаштык
313,Teil::N,dél,пай
314,Teil::N,dél,часть
315,Hälfte::N,polovíca,пел
316,Kreis::N,króg,тӹртӹш
317,Kreis::N,kolobár,тӹртӹш
318,Kreuz::N,kríž,крестӹ
319,Linie::N,próga,
320,Strich::N,čŕta,
321,Abstand::N,preslédek,ло
322,Entfernung::N,oddáljenost,ло
323,Gegend::N,kràj,вӓр
324,Gegend::N,dežêla,вӓр
325,Platz::N,prôstor,вӓр
326,Ort::N,mésto,вӓр
327,Seite::N,bòk,öрдӹж
328,Seite::N,strán,öрдӹж
329,Mitte::N,sredína,ло
330,Gegenstand::N,prédmet,хӓдӹр
331,Sache::N,réč,хӓдӹр
332,Sache::N,stvár,хӓдӹр
333,Rand::N,kràj,шöр
334,Kante::N,rób,шöр
335,Ecke::N,vogál,лык
336,Spitze::N,óst,вуй
337,Ende::N,kônec,вуй
338,Ende::N,kônec,мычаш
339,Loch::N,lúknja,ыраж
340,Winkel::N,kót,лык
341,Muster::N,vzórec,тӹрлец
342,Größe::N,veličína,кӱкшӹц
343,Länge::N,dolžína,кыт
344,Höhe::N,vršína,кӱкшӹц
345,Gewicht::N,téža,нелӹц
346,Menge::N,količína,шот
347,Haufen::N,kùp,ара
348,Haufen::N,kopíca,ара
349,Reihe::N,níz,ряд
350,Reihe::N,vŕsta,ряд
351,Boot::N,čóln,пыш
352,Ruder::N,vêslo,вешлӓ
353,Schlitten::N,saní,тир
354,Ski::N,smučí,ечӹ
355,Lagerfeuer::N,táborni ôgenj,тыл
356,Last::N,tôvor,нелӹц
357,Gang::N,hòd,ход
358,Schritt::N,korák,ашкыл
359,Norden::N,séver,йыдпелвел
360,Süden::N,júg,кечӹвӓлвел
361,Westen::N,zapàd,кечӹ шӹцмӹ
362,Osten::N,vzhòd,ирвел
363,Osten::N,vzhòd,кечӹ лӱлтмӹ
364,Holz::N,lés,пушӓнгӹ
365,Brett::N,deskà,ханга
366,Platte::N,plôča,плитӓ
367,Stütze::N,opóra,цӓрӓк
368,Stütze::N,zaslómba,цӓрӓк
369,Stange::N,gréd,равы
370,Stange::N,gréd,намаш
371,Stock::N,pálica,панды
372,Stab::N,pálica,равы
373,Rohr::N,cév,пыч
374,Haus::N,híša,пöрт
375,Heim::N,dóm,пöрт
376,Ofen::N,péč,камака
377,Fußboden::N,pòd,седӹрӓ
378,Tisch::N,míza,стöл
379,Stuhl::N,stòl,пöкен
380,Wiege::N,zíbel,шипкӓ
381,Bett::N,póstelja,койка
382,Bett::N,póstelja,кравать
383,Regal::N,políca,полицӓ
384,Kiste::N,zabòj,шӱ́ндӹк
385,Fenster::N,ôkno,окня
386,Tür::N,vráta,амаса
387,Tor::N,velíka vráta,хапка
388,Zaun::N,ográja,забор
389,Dach::N,stréha,левӓш
390,Leiter::N,léstev,ташкалтыш
391,Besen::N,mêtla,сало
392,Besen::N,mêtla,салко
393,Spaten::N,lopáta,кольмы
394,Schaufel::N,lopáta,лоток
395,Gabel::N,vílice,ви́лка
396,Löffel::N,žlíca,савала
397,Messer::N,nòž,кӹзӹ
398,Nagel::N,žebèlj,пыда
399,Netz::N,mréža,вӓпш
400,Haken::N,kljúka,крӱк
401,Haken::N,kljúka,кагак
402,Griff::N,ročáj,кычем
403,Griff::N,oprijèm,кычем
404,Schloss::N,ključávnica,замок
405,Schloss::N,ključávnica,сыравач
406,Bild::N,slíka,картин
407,Figur::N,figúra,кӓн
408,Figur::N,postáva,кӓн
409,Puppe::N,lútka,поханя
410,Beutel::N,môšnja,мешӓк
411,Bündel::N,cúla,топ
412,Bündel::N,cúla,пидӹш
413,Bündel::N,cúla,кӹлдӹш
414,Bündel::N,svéženj,топ
415,Bündel::N,svéženj,пидӹш
416,Bündel::N,svéženj,кӹлдӹш
417,Tasche::N,tórba,сумкы
418,Tasche::N,tobôlec,сумкы
419,Eimer::N,vêdro,ведӹрӓ
420,Deckel::N,pokròv,комдыш
421,Deckel::N,poklópec,комдыш
422,Geschirr::N,posóda,ӓтӹ
423,Sack::N,vréča,мешӓк
424,Tasse::N,skodélica,цӓшкӓ
425,Topf::N,lônec,ми́ска
426,Kessel::N,kôtel,пад
427,Essen::N,hrána,качкыш
428,Essen::N,hrána,качкыш-йӱш
429,Nahrung::N,živílo,качкыш
430,Nahrung::N,živílo,качкыш-йӱш
431,Speise::N,jéd,няня
432,Fleisch::N,mesó,пай
433,Getreide::N,žíto,киндӹ
434,Brei::N,káša,шӹрӓш
435,Brot::N,krùh,сыкыр
436,Scheibe::N,réženj,ламыт
437,Scheibe::N,réženj,лаштык
438,Fett::N,mást,кая
439,Fett::N,maščôba,кая
440,Butter::N,máslo,ӱ
441,Öl::N,ólje,ӱ
442,Salz::N,sól,санзал
443,Suppe::N,júha,лем
444,Honig::N,méd,мӱ
445,Milch::N,mléko,шӹшер
446,Tee::N,čáj,чӓй
447,Leder::N,úsnje,шарга
448,Leder::N,úsnje,кавашты
449,Wolle::N,vólna,миж
450,Stoff::N,blagó,матер
451,Stoff::N,blagó,матери
452,Nadel::N,ígla,им
453,Faden::N,nít,шӹртӹ
454,Knopf::N,gúmb,полдыш
455,Knoten::N,vôzel,пӱкшем
456,Farbe::N,bárva,чиӓ
457,Farbe::N,bárva,крӓскӓ
458,Kleidung::N,obléka,выргем
459,Hemd::N,srájca,тыгыр
460,Kragen::N,ovrátnik,шӱ
461,Ärmel::N,rokáv,шокш
462,Hose::N,hláče,ялаш
463,Gürtel::N,pás,ӹштӹ
464,Mütze::N,kápa,упш
465,Mütze::N,čépica,упш
466,Schuh::N,čévelj,ту́фльы
467,Stiefel::N,škórenj,кем
468,Ring::N,pŕstan,шӓргӓш
469,Band::N,trák,лемтӓ
470,Kamm::N,glavník,шерге
471,Spiegel::N,zrcálo,тӹгӹр
472,Spiegel::N,ogledálo,тӹгӹр
473,Riemen::N,jêrmen,прӓжӓ
474,Schnur::N,vŕvca,кӓндӹра
475,Leine::N,konôpec,керем
476,Decke::N,odéja,одеял
477,Kissen::N,blazína,кӹпцӹк
478,Tuch::N,pŕt,савыц
479,Tuch::N,rúta,савыц
480,Handtuch::N,brisáča,шӹргӹсавыц
481,Handtuch::N,brisáča,шӹргӹмсавыц
482,Kraft::N,síla,ви
483,Stärke::N,jákost,ви
484,Gesundheit::N,zdrávje,шу
485,Gesundheit::N,zdrávje,шулык
486,Krankheit::N,bolézen,мыж
487,Schmerz::N,ból,карштыш
488,Schmerz::N,bolečína,карштыш
489,Wunde::N,rána,шушыр
490,Fieber::N,vročína,ӱштӹмыж
491,Arznei::N,lék,лекӓрцӹ
492,Arznei::N,zdravílo,лекӓрцӹ
493,Brücke::N,móst,кӹвер
494,Brunnen::N,vodnják,вӹдсӹнзӓ
495,Weide::N,páša,ныр
496,Pfad::N,stezà,ялгорны
497,Weg::N,pót,корны
498,Straße::N,césta,корны
499,Dorf::N,vás,сола
500,Stadt::N,mésto,города
501,Brief::N,písmo,сирмӓш
502,Buch::N,knjíga,книгӓ
503,Buchstabe::N,čŕka,буква́
504,Zeitung::N,čásnik,газет
505,Zeitung::N,čásnik,кайзет
506,Leben::N,življênje,житя
507,Tod::N,smŕt,смöрт
508,Grab::N,gròb,шӹгер
509,Grab::N,gròb,мыгилӓ
510,Grab::N,gròb,шӹгерлӓ
511,Kirche::N,cérkev,церкӹ
512,Sünde::N,gréh,сулык
513,Gott::N,bóg,йымы
514,Arbeiter::N,délavec,пӓшӓзӹ
515,Chef::N,šéf,вуй
516,Meister::N,mójster,мастар
517,Arzt::N,zdravník,доктор
518,Lehrer::N,učítelj,тымдышы
519,Geld::N,denár,окса
520,Geschäft::N,kupčíja,торге́йӹмӓш
521,Laden::N,trgovína,лапка
522,Laden::N,trgovína,магазин
523,Preis::N,céna,ӓк
524,Ware::N,róba,товар
525,Nutzen::N,príd,пайда
526,Reichtum::N,bogástvo,перке
527,Welt::N,svét,сӓндӓлӹк
528,Welt::N,svét,свет
529,Land::N,dežêla,сӓндӓлӹк
530,Staat::N,držáva,кугижӓншӹ
531,König::N,králj,король
532,Macht::N,oblást,власть
533,Grenze::N,mêja,пӹсмӓн
534,Krieg::N,vôjna,вырсы
535,Feind::N,sovrážnik,тышман
536,Gewalt::N,nasílje,ви
537,Kampf::N,bòj,кредӓлмӓш
538,Kampf::N,bórba,кредӓлмӓш
539,Bogen[Waffe]::N,lók,янгеж
540,Pfeil::N,puščíca,пикш
541,Gewehr::N,púška,пичӓл
542,Fehler::N,zmóta,самынь
543,Lüge::N,láž,шая
544,Schaden::N,okvára,вре́дӓ
545,Unglück::N,nesréča,пёда
546,Unglück::N,nesréča,тымаша
547,Schuld::N,krívda,вуйнамат
548,Alter::N,dôba,иӓш
549,Alter::N,dôba,игечӹ
550,Schluss::N,kônec,пӹтӓртӹш
551,Zeit::N,čàs,веремӓ
552,Tag::N,dán,кечӹ
553,Morgen::N,jútro,ир
554,Morgen::N,jútro,ирок
555,Mittag::N,póldan,кечӹвӓл
556,Abend::N,večér,вады
557,Nacht::N,nóč,йыд
558,Woche::N,téden,ӓрня
559,Monat::N,mésec,тӹ́лзӹ
560,Jahr::N,léto,год
561,Frühling::N,pomlád,шошым
562,Sommer::N,polétje,кӓнгӹж
563,Herbst::N,jesén,шӹжӹ
564,Winter::N,zíma,тел
565,Winter::N,zíma,телӹ
566,Januar::N,jánuar,январ
567,Januar::N,jánuar,январь
568,Februar::N,fébruar,февраль
569,März::N,márec,март
570,April::N,apríl,апрель
571,Mai::N,máj,май
572,Juni::N,júnij,июнь
573,Juli::N,júlij,июль
574,August::N,avgúst,август
575,September::N,septêmber,сентябрь
576,Oktober::N,október,октябрь
577,November::N,novêmber,ноябрь
578,Dezember::N,decémber,декавыр
579,Montag::N,ponedéljek,шачмы
580,Dienstag::N,tôrek,кышкыжмы
581,Mittwoch::N,sréda,вӹрчегӹ
582,Donnerstag::N,četŕtek,изӓрня
583,Freitag::N,pétek,когарня
584,Samstag::N,sobóta,кукшыгечӹ
585,Sonntag::N,nedélja,рушӓрня
586,groß::A,vêlik,кого
587,klein::A,májhen,изи
588,lang::A,dólg,кужы
589,kurz::A,krátek,кӹтӹк
590,breit::A,širòk,кымда
591,schmal::A,ózek,ӓнгӹсӹр
592,dicht::A,góst,шӹре
593,dick[Gegenstand]::A,dêbel,кӹжгӹ
594,dünn::A,tánek,вӹцкӹж
595,fein::A,drôben,пыльга
596,fest::A,tŕden,цаткыды
597,flach::A,plán,тӓлякӓ
598,flach::A,plòsk,тӓлякӓ
599,glatt::A,gládek,ягылгы
600,hart::A,tŕd,пингӹдӹ
601,weich::A,mehák,пышкыды
602,rund::A,okrógel,тӹртӹш
603,spitz::A,šílast,кашар
604,scharf::A,óster,кашар
605,stumpf::A,tóp,нӹшкӹ
606,stumpf::A,skŕhan,нӹшкӹ
607,schwer::A,têžek,нелӹ
608,schön::A,lép,цевер
609,schön::A,lép,олмыдшы
610,schön::A,krásen,цевер
611,schön::A,krásen,олмыдшы
612,heiß::A,vròč,шокшы
613,warm::A,tôpel,шокшы
614,kalt::A,mŕzel,ӱштӹ
615,kalt::A,hláden,ӱштӹ
616,kühl::A,hláden,юалгы
617,kühl::A,hláden,йонгата
618,frisch::A,svéž,йонгата
619,feucht::A,vlážen,ӹлӹкшӹ
620,feucht::A,vlážen,вӹдӹжгӹ
621,nass::A,móker,начкы
622,trocken::A,súh,кукшы
623,voll::A,póln,темшӹ
624,voll::A,póln,темыман
625,leer::A,prázen,йӓрӓ
626,offen::A,odpŕt,виш
627,geschlossen::A,zapŕt,чӱчмӹ
