,Concept_ID,bn,lt
0,Auge::N,চক্ষু,akis
1,Ohr::N,কর্ণ,ausis
2,Nase::N,নাক,nosis
3,Mund::N,মুখ,burna
4,Zahn::N,দাঁত,dantis
5,Zunge::N,জিহবা,liežuvis
6,Lippe::N,অধর,lūpa
7,Wange::N,গণ্ড,žandas
8,Wange::N,গণ্ড,skruostas
9,Gesicht::N,মুখমণ্ডল,veidas
10,Stirn::N,কপাল,kakta
11,Haar::N,চুল,plaukai
12,Schnurrbart::N,গোঁফ,ūsai
13,Bart::N,শ্মশ্রু,barzda
14,Kinn::N,চিবুক,smakras
15,Kiefer[Anatomie]::N,চোয়াল,žandikaulis
16,Kehle::N,কণ্ঠ,gerklė
17,Hals::N,গল,kaklas
18,Genick::N,ঘাড়,sprandas
19,Kopf::N,মাথা,galva
20,Rücken::N,পৃষ্ঠ,nugara
21,Bauch::N,উদর,pilvas
22,Nabel::N,নাভি,bamba
23,Busen::N,স্তন,krūtinė
24,Brust::N,বুক,krūtis
25,Schulter::N,স্কন্ধ,petys
26,Arm::N,বাহু,ranka
27,Ellenbogen::N,কনুই,alkūnė
28,Hand::N,হাত,ranka
29,Hand::N,হাত,plaštaka
30,Handfläche::N,করতল,delnas
31,Handfläche::N,করতল,plaštaka
32,Finger::N,আঙ্গুল,pirštas
33,Fingernagel::N,হাতের নখ,nagas
34,Nagel[Anatomie]::N,নখ,nagas
35,Zeh::N,আঙ্গুল,pirštas
36,Fuß::N,পা,pėda
37,Ferse::N,গোড়ালি,kulnas
38,Knie::N,হাঁটু,kelis
39,Oberschenkel::N,ঊরু,kulšis
40,Oberschenkel::N,ঊরু,šlaunis
41,Bein::N,পা,koja
42,Körper::N,দেহ,kūnas
43,Haut::N,ত্বক,oda
44,Blut::N,রক্ত,kraujas
45,Ader::N,শিরা,kraujagyslė
46,Sehne::N,কণ্ডরা,sausgyslė
47,Knochen::N,অস্থি,kaulas
48,Gehirn::N,মস্তিষ্ক,smegenys
49,Herz::N,হৃৎপিণ্ড,širdis
50,Magen::N,পাকস্থলী,skrandis
51,Leber::N,যকৃৎ,kepenys
52,Atem::N,শ্বাস,kvapas
53,Hunger::N,ক্ষুধা,badas
54,Hunger::N,ক্ষুধা,alkis
55,Träne::N,অশ্রু,ašara
56,Geschmack::N,স্বাদ,skonis
57,Geruch::N,গন্ধ,kvapas
58,Schlaf::N,ঘুম,miegas
59,Traum::N,স্বপ্ন,sapnas
60,Himmel::N,আকাশ,dangus
61,Sonne::N,সূর্য,saulė
62,Mond::N,চন্দ্র,mėnulis
63,Stern::N,নক্ষত্র,žvaigždė
64,Luft::N,বায়ু,oras
65,Wind::N,বাতাস,vėjas
66,Welle::N,ঢেউ,banga
67,Welle::N,ঢেউ,vilnis
68,Welle::N,তরঙ্গ,banga
69,Welle::N,তরঙ্গ,vilnis
70,Wasser::N,জল,vanduo
71,Stein::N,ঢিল,akmuo
72,Stein::N,প্রস্তর,akmuo
73,Boden::N,ভূতল,žemė
74,Boden::N,ভূতল,dugnas
75,Erde::N,ভূমি,žemė
76,Staub::N,ধুলা,dulkės
77,Rauch::N,ধোঁয়া,dūmai
78,Funke::N,স্ফুলিঙ্গ,kibirkštis
79,Feuer::N,অগ্নি,ugnis
80,Licht::N,আলো,šviesa
81,Schatten::N,ছায়া,paūksmė
82,Wetter::N,আবহাওয়া,oras
83,Nebel::N,কুহেলিকা,migla
84,Nebel::N,কুহেলিকা,rūkas
85,Wolke::N,মেঘ,debesis
86,Regen::N,বৃষ্টি,lietus
87,Schnee::N,তুষার,sniegas
88,Eis::N,বরফ,ledas
89,Frost::N,তুষার,šalna
90,Kälte::N,শৈত্য,šaltis
91,Hitze::N,তাপ,karštis
92,Raureif::N,তুহিন,šerkšnas
93,Regenbogen::N,রামধনু,vaivorykštė
94,Donner::N,বজ্রধ্বনি,perkūnas
95,Donner::N,বজ্রধ্বনি,griaustinis
96,Strömung::N,স্রোত,tėkmė
97,Tropfen::N,ফোঁটা,lašas
98,Schaum::N,ফেনা,putos
99,Schmutz::N,ধুলা,purvas
100,See::N,হ্রদ,ežeras
101,Sumpf::N,জলা,klampynė
102,Sumpf::N,জলা,liūnas
103,Moor::N,মাঠ,pelkė
104,Wiese::N,তৃণভূমি,pieva
105,Wald::N,বন,miškas
106,Hügel::N,পাহাড়,kalva
107,Anhöhe::N,টিলা,kauburys
108,Berg::N,পর্বত,kalnas
109,Gipfel::N,শীর্ষ,viršūnė
110,Höhle::N,গুহা,ola
111,Abhang::N,ঢাল,šlaitas
112,Abhang::N,ঢাল,nuokalnė
113,Quelle::N,উৎস,versmė
114,Quelle::N,উৎস,šaltinis
115,Bach::N,ক্ষুদ্র নদী,upelis
116,Fluss::N,নদী,upė
117,Ufer::N,উপকূল,krantas
118,Küste::N,তীর,pajūris
119,Festland::N,ভূমি,sausuma
120,Meer::N,সমুদ্র,jūra
121,Bucht::N,উপসাগর,įlanka
122,Bucht::N,উপসাগর,užutekis
123,Insel::N,দ্বীপ,sala
124,Blume::N,ফুল,gėlė
125,Gras::N,ঘাস,žolė
126,Wurzel::N,শিকড়,šaknis
127,Baum::N,গাছ,medis
128,Stamm::N,স্কন্ধ,kamienas
129,Rinde::N,বল্কল,žievė
130,Ast::N,শাখা,šaka
131,Zweig::N,ডাল,šakelė
132,Blatt::N,পর্ণ,lapas
133,Birke::N,ভুর্জ,beržas
134,Kiefer[Baum]::N,পাইন গাছ,pušis
135,Weide[Baum]::N,উইলো,karklas
136,Tanne::N,দেবদারূ গাছ,eglė
137,Tanne::N,দেবদারূ গাছ,kėnis
138,Horn::N,শিং,ragas
139,Feder::N,পালক,plunksna
140,Fell::N,রোম,kailis
141,Flügel::N,ডানা,sparnas
142,Klaue::N,নখর,kanopa
143,Kralle::N,নখর,nagas
144,Schwanz::N,লেজ,uodega
145,Ei::N,ডিম,kiaušinis
146,Nest::N,কুলায়,gūžta
147,Nest::N,কুলায়,lizdas
148,Bau::N,ডেরা,ola
149,Tier::N,জন্তু,gyvūnas
150,Herde::N,ঝাঁক,banda
151,Herde::N,ঝাঁক,kaimenė
152,Kuh::N,গোরু,karvė
153,Bulle::N,বৃষ,bulius
154,Pferd::N,ঘোড়া,arklys
155,Schaf::N,ভেড়া,avis
156,Schwein::N,শূকর,kiaulė
157,Hund::N,কুকুর,šuo
158,Katze::N,বেড়াল,katė
159,Bär::N,ভল্লুক,lokys
160,Eichhörnchen::N,কাঠবিড়াল,voveraitė
161,Elch::N,হরিণবিশেষ,briedis
162,Fuchs::N,পাঁতিশিয়াল,lapė
163,Hase::N,শশক,kiškas
164,Maus::N,নেংটি ইঁদুর,pelė
165,Wolf::N,নেকড়ে,vilkas
166,Vogel::N,পক্ষী,paukštis
167,Schwarm::N,ঝাঁক,spiečius
168,Huhn::N,মোরগ,višta
169,Hahn::N,কুক্কুট,gaidys
170,Gans::N,হংসী,žąsis
171,Adler::N,ইগল,erelis
172,Ente::N,হংসী,antis
173,Eule::N,পেচক,pelėda
174,Kranich::N,সারস,gervė
175,Krähe::N,কাক,varna
176,Kuckuck::N,কোকিল,gegužė
177,Schwan::N,মরাল,gulbė
178,Fisch::N,মাছ,žuvis
179,Barsch::N,মৎন্যবিশেষ,ešerys
180,Hecht::N,বানমাছ,lydeka
181,Schlange[Tier]::N,সর্প,gyvatė
182,Wurm::N,কীট,kirmėlė
183,Spinne::N,মাকড়সা,voras
184,Ameise::N,পিপীলিকা,skruzdė
185,Laus::N,উকুন,utėlė
186,Mücke::N,মশা,uodas
187,Fliege::N,মাছি,musė
188,Schmetterling::N,প্রজাপতি,drugys
189,Schmetterling::N,প্রজাপতি,peteliškė
190,Beere::N,বেরি,uoga
191,Apfel::N,আপেল,obuolys
192,Pilz::N,ছত্রক,grybas
193,Zwiebel::N,পিয়াজ,svogūnas
194,Saat::N,বীজ,sėkla
195,Korn::N,শস্য,grūdai
196,Heu::N,খড়,šienas
197,Schale::N,খোসা,žievelė
198,Grube::N,গর্ত,duobė
199,Falle::N,ফাঁদ,pinklės
200,Falle::N,ফাঁদ,žabangai
201,Schlinge::N,পাশ,kilpa
202,Spur::N,চিহ্ন,vėžė
203,Spur::N,চিহ্ন,pėdos
204,Spur::N,চিহ্ন,pėdsakas
205,Asche::N,ভস্ম,pelenai
206,Dreck::N,ময়লা,purvas
207,Eisen::N,লোহা,geležis
208,Gold::N,স্বর্ণ,auksas
209,Silber::N,রৌপ্য,sidabras
210,Kohle::N,অঙ্গার,anglis
211,Glas::N,কাচ,stiklas
212,Lehm::N,মৃত্তিকা,molis
213,Sand::N,বালি,smėlis
214,Mensch::N,নর,žmogus
215,Mensch::N,মানুষ,žmogus
216,Mann::N,মানুষ,vyras
217,Mann::N,মানুষ,vyriškis
218,Frau::N,নারী,moteris
219,Kind::N,বাচ্চা,vaikas
220,Junge::N,ছেলে,vaikinas
221,Junge::N,ছেলে,berniukas
222,Mädchen::N,মেয়ে,mergytė
223,Mädchen::N,মেয়ে,mergaitė
224,Familie::N,পরিবার,šeima
225,Großvater::N,মাতামহ,senelis
226,Großmutter::N,মাতামহী,senelė
227,Eltern::N,মাতাপিতা,tėvai
228,Vater::N,পিতা,tėvas
229,Mutter::N,মাতা,motina
230,Sohn::N,ছেলে,sūnus
231,Tochter::N,মেয়ে,duktė
232,Bruder::N,দাদা,brolis
233,Schwester::N,বোন,sesuo
234,Schwester::N,দিদি,sesuo
235,Onkel::N,মামা,dėdė
236,Tante::N,মাসী,teta
237,Ehemann::N,স্বামী,vyras
238,Ehefrau::N,পত্নী,žmona
239,Freude::N,উল্লাস,džiaugsmas
240,Gelächter::N,হাসি,juokas
241,Glück::N,সুখ,laimė
242,Kummer::N,দুঃখ,vargas
243,Kummer::N,দুঃখ,rūpestis
244,Wunsch::N,আকাঙ্ক্ষা,troškimas
245,Wunsch::N,আকাঙ্ক্ষা,pageidavimas
246,Lust::N,বাসনা,noras
247,Lust::N,বাসনা,geidulys
248,Geist::N,আত্না,dvasia
249,Gedanke::N,চিন্তা,mintis
250,Gedächtnis::N,স্মরণশক্তি,atmintis
251,Verstand::N,মন,protas
252,Sinn::N,পদার্থ,prasmė
253,Grund::N,কারণ,priežastis
254,Wahrheit::N,সত্য,tiesa
255,Wahrheit::N,সত্য,teisybė
256,Gespräch::N,কথাবার্তা,pokalbis
257,Märchen::N,রূপকথা,pasaka
258,Erzählung::N,গল্প,apsakymas
259,Erzählung::N,গল্প,pasakojimas
260,Nachricht::N,তথ্য,žinia
261,Neuigkeit::N,খবরাখবর,naujiena
262,Name::N,নাম,vardas
263,Rätsel::N,ধাঁধা,mįslė
264,Rede::N,বক্তৃতা,kalba
265,Sprache::N,ভাষা,kalba
266,Stimme::N,স্বর,balsas
267,Wort::N,শব্দ,žodis
268,Zeichen::N,প্রতীক,žymė
269,Zeichen::N,প্রতীক,ženklas
270,Ruf::N,ডাক,šauksmas
271,Lärm::N,হৈচৈ,triukšmas
272,Laut::N,ধ্বনি,garsas
273,Ton::N,স্বর,tonas
274,Ton::N,স্বর,garsas
275,Lied::N,গান,daina
276,Lied::N,গান,giesmė
277,Ruhe::N,শান্তি,ramybė
278,Ruhe::N,শান্তি,ramumas
279,Leute::N,প্রজাপুঞ্জ,žmonės
280,Volk::N,জাতি,tauta
281,Arbeit::N,চাকরি,darbas
282,Arbeit::N,চাকরি,triūsas
283,Gast::N,অতিথি,svečias
284,Geschenk::N,উপহার,dovana
285,Spiel::N,খেলা,žaismas
286,Spiel::N,খেলা,žaidimas
287,Gesellschaft::N,সঙ্গিগণ,draugija
288,Gesellschaft::N,সঙ্গিগণ,kompanija
289,Hilfe::N,সাহায্য,pagalba
290,Freund::N,বন্ধু,draugas
291,Freund::N,বন্ধু,bičiulis
292,Kamerad::N,সঙ্গী,draugas
293,Angelegenheit::N,বিষয়,dalykas
294,Angelegenheit::N,বিষয়,reikalas
295,Anzahl::N,পরিমাণ,kiekis
296,Anzahl::N,পরিমাণ,skaičius
297,Art::N,রকম,rūšis
298,Stück::N,টুকরো,gabalas
299,Teil::N,অংশ,dalis
300,Hälfte::N,অর্ধেক,pusė
301,Kreis::N,বৃত্ত,ratas
302,Kreis::N,বৃত্ত,apskritis
303,Kreis::N,বৃত্ত,apskritimas
304,Kreuz::N,ক্রুশ,kryžius
305,Linie::N,রেখা,linija
306,Strich::N,কষি,brėžis
307,Strich::N,কষি,brūkšnys
308,Abstand::N,ফাঁক,atstumas
309,Entfernung::N,ব্যবধান,atstumas
310,Gegend::N,ক্ষেত্র,vietovė
311,Platz::N,জায়গা,vieta
312,Ort::N,স্থান,vieta
313,Ort::N,স্থান,vietovė
314,Seite::N,পার্শ্ব,pusė
315,Seite::N,পার্শ্ব,šonas
316,Mitte::N,মধ্য,vidurys
317,Gegenstand::N,জিনিস,dalykas
318,Sache::N,বস্তু,daiktas
319,Rand::N,কানা,kraštas
320,Rand::N,কানা,pakraštys
321,Kante::N,ধার,kraštas
322,Ecke::N,কোণ,kertė
323,Ecke::N,কোণ,kampas
324,Spitze::N,ডগা,priekis
325,Spitze::N,ডগা,priešakys
326,Ende::N,প্রান্ত,galas
327,Loch::N,গর্ত,skylė
328,Winkel::N,কোণ,kampas
329,Winkel::N,কোণ,kampelis
330,Muster::N,নমুন্,raštas
331,Größe::N,আয়তন,dydis
332,Größe::N,আয়তন,didumas
333,Länge::N,দৈর্ঘ্য,ilgis
334,Länge::N,দৈর্ঘ্য,ilgumas
335,Höhe::N,উচ্চতা,aukštis
336,Höhe::N,উচ্চতা,aukštuma
337,Gewicht::N,ওজন,svoris
