,Concept_ID,hr,zh
0,Auge::N,oko,眼睛
1,Ohr::N,uho,耳朵
2,Nase::N,nos,鼻子
3,Mund::N,usta,嘴
4,Zahn::N,zub,牙齿
5,Zunge::N,jezik,舌头
6,Lippe::N,usna,嘴唇
7,Wange::N,obraz,面颊
8,Gesicht::N,lice,脸
9,Stirn::N,čelo,额
10,Haar::N,kosa,头发
11,Schnurrbart::N,brkovi,髭须
12,Bart::N,brada,胡子
13,Kinn::N,brada,下巴
14,Kinn::N,podbradak,下巴
15,Kiefer[Anatomie]::N,čeljust,颌
16,Kehle::N,grlo,嗓子
17,Hals::N,vrat,颈
18,Genick::N,zatiljak,后颈
19,Kopf::N,glava,头
20,Rücken::N,leđa,背
21,Rücken::N,hrbat,背
22,Bauch::N,trbuh,肚子
23,Nabel::N,pupak,肚脐
24,Busen::N,sisa,胸脯
25,Busen::N,njedra,胸脯
26,Brust::N,prsa,胸
27,Schulter::N,rame,肩膀
28,Schulter::N,pleći,肩膀
29,Arm::N,ruka,臂膀
30,Ellenbogen::N,lakat,肘
31,Hand::N,ruka,手
32,Handfläche::N,dlan,手掌
33,Finger::N,prst,手指
34,Fingernagel::N,nokat,指甲
35,Nagel[Anatomie]::N,nokat,指甲
36,Zeh::N,nozni prst,脚趾
37,Fuß::N,noga,脚
38,Fuß::N,stopalo,脚
39,Ferse::N,peta,后跟
40,Knie::N,koljeno,膝
41,Oberschenkel::N,bedro,大腿
42,Bein::N,noga,腿
43,Körper::N,tijelo,身体
44,Haut::N,put,皮肤
45,Haut::N,koža,皮肤
46,Blut::N,krv,血
47,Ader::N,žila,血管
48,Sehne::N,tetiva,腱
49,Knochen::N,kost,骨
50,Herz::N,srce,心
51,Magen::N,stomak,胃
52,Magen::N,želudac,胃
53,Leber::N,jetra,肝
54,Atem::N,dah,呼吸
55,Hunger::N,glad,饿
56,Träne::N,suza,眼泪
57,Geschmack::N,ukus,味道
58,Geruch::N,njuh,气味
59,Geruch::N,miris,气味
60,Schlaf::N,san,睡眠
61,Traum::N,san,梦
62,Himmel::N,nebo,天空
63,Sonne::N,sunce,太阳
64,Mond::N,mjesec,月亮
65,Stern::N,zvijezda,星
66,Luft::N,zrak,空气
67,Wind::N,vjetar,风
68,Welle::N,val,波
69,Welle::N,talas,波
70,Wasser::N,voda,水
71,Stein::N,kamen,石头
72,Boden::N,tlo,地面
73,Boden::N,zemlja,地面
74,Erde::N,zemlja,地
75,Staub::N,prah,灰尘
76,Staub::N,prašina,灰尘
77,Rauch::N,dim,烟
78,Funke::N,iskra,火花
79,Funke::N,varnica,火花
80,Feuer::N,vatra,火
81,Licht::N,svjetlo,光
82,Schatten::N,hlad,影子
83,Schatten::N,sjena,影子
84,Wetter::N,vrijeme,天气
85,Nebel::N,magla,雾
86,Wolke::N,oblak,云
87,Regen::N,kiša,雨
88,Schnee::N,snijeg,雪
89,Eis::N,led,冰
90,Frost::N,mraz,霜冻
91,Kälte::N,studen,寒冷
92,Kälte::N,hladnoća,寒冷
93,Hitze::N,vrućina,炎热
94,Raureif::N,inje,霜
95,Regenbogen::N,duga,虹
96,Donner::N,grom,雷
97,Donner::N,grmljavina,雷
98,Strömung::N,struja,水流
99,Strömung::N,strujanje,水流
100,Tropfen::N,kap,滴
101,Tropfen::N,kaplja,滴
102,Schaum::N,pjena,泡沫
103,Schmutz::N,nečistoća,赃物
104,Schmutz::N,prljavština,赃物
105,See::N,jezero,湖
106,Sumpf::N,bara,沼泽
107,Moor::N,močvara,沼泽
108,Wiese::N,livada,草地
109,Wald::N,šuma,森林
110,Hügel::N,brijeg,丘陵
111,Hügel::N,brežuljak,丘陵
112,Anhöhe::N,uzvišica,山丘
113,Berg::N,brdo,山
114,Gipfel::N,vrh,峰
115,Höhle::N,pećina,洞穴
116,Höhle::N,spilja,洞穴
117,Abhang::N,obronak,斜坡
118,Abhang::N,nizbrdica,斜坡
119,Quelle::N,izvor,泉
120,Quelle::N,vrelo,泉
121,Bach::N,potok,溪
122,Fluss::N,rijeka,河流
123,Ufer::N,obala,岸
124,Küste::N,obala,海岸
125,Küste::N,morska obala,海岸
126,Festland::N,kopno,大陆
127,Meer::N,more,海
128,Bucht::N,zaliv,海湾
129,Insel::N,ada,岛
130,Insel::N,otok,岛
131,Blume::N,cvijet,花
132,Gras::N,trava,草
133,Wurzel::N,korijen,根
134,Baum::N,drvo,树
135,Baum::N,stablo,树
136,Stamm::N,deblo,树干
137,Stamm::N,stablo,树干
138,Rinde::N,kora,树皮
139,Ast::N,grana,树枝
140,Zweig::N,grana,树枝
141,Blatt::N,list,叶子
142,Birke::N,breza,桦木
143,Kiefer[Baum]::N,bor,松树
144,Weide[Baum]::N,iva,柳树
145,Weide[Baum]::N,vŕba,柳树
146,Tanne::N,jela,冷杉
147,Horn::N,rog,角
148,Feder::N,pero,羽毛
149,Fell::N,koža,皮毛
150,Flügel::N,krilo,翅膀
151,Klaue::N,papak,爪子
152,Kralle::N,pandža,爪子
153,Schwanz::N,rep,尾巴
154,Ei::N,jaje,蛋
155,Nest::N,gnijezdo,巢
156,Bau::N,jazbina,穴
157,Tier::N,životinja,动物
158,Herde::N,krdo,群
159,Herde::N,stado,群
160,Kuh::N,krava,母牛
161,Bulle::N,bik,公牛
162,Pferd::N,konj,马
163,Schaf::N,ovca,羊
164,Schwein::N,svinja,猪
165,Hund::N,pas,狗
166,Hund::N,pseto,狗
167,Katze::N,mačka,猫
168,Bär::N,medvjed,熊
169,Eichhörnchen::N,vjeverica,松鼠
170,Elch::N,los,麋鹿
171,Fuchs::N,lisica,狐狸
172,Hase::N,zec,兔子
173,Maus::N,miš,老鼠
174,Wolf::N,vuk,狼
175,Wolf::N,kurjak,狼
176,Vogel::N,ptica,鸟
177,Schwarm::N,roj,群
178,Schwarm::N,jato,群
179,Huhn::N,kokoš,鸡
180,Hahn::N,kokot,公鸡
181,Hahn::N,pijevac,公鸡
182,Gans::N,guska,鹅
183,Adler::N,orao,鹰
184,Ente::N,patka,鸭
185,Eule::N,sova,猫头鹰
186,Kranich::N,ždral,鹤
187,Krähe::N,vrana,乌鸦
188,Kuckuck::N,kukavica,布谷鸟
189,Schwan::N,labud,天鹅
190,Fisch::N,riba,鱼
191,Barsch::N,grgeč,鲈鱼
192,Hecht::N,štuka,狗鱼
193,Schlange[Tier]::N,guja,蛇
194,Schlange[Tier]::N,zmija,蛇
195,Wurm::N,crv,蠕虫
196,Spinne::N,pauk,蜘蛛
197,Ameise::N,mrav,蚂蚁
198,Laus::N,uš,虱子
199,Mücke::N,komarac,蚊子
200,Fliege::N,muha,苍蝇
201,Schmetterling::N,leptir,蝴蝶
202,Beere::N,boba,将果
203,Beere::N,bobica,将果
204,Apfel::N,jabuka,苹果
205,Pilz::N,pečurka,蘑菇
206,Zwiebel::N,luk,洋葱
207,Zwiebel::N,kapula,洋葱
208,Saat::N,sjemenje,种子
209,Korn::N,zrno,谷粒
210,Heu::N,sijeno,干草
211,Schale::N,kora,壳
212,Schale::N,ljuska,壳
213,Grube::N,jama,坑
214,Falle::N,zamka,圈套
215,Falle::N,klopka,圈套
216,Schlinge::N,uzao,活扣
217,Schlinge::N,petlja,活扣
218,Spur::N,trag,踪迹
219,Spur::N,slijed,踪迹
220,Asche::N,pepeo,灰烬
221,Dreck::N,blato,污垢
222,Eisen::N,željezo,铁
223,Gold::N,zlato,金子
224,Silber::N,srebro,银
225,Kohle::N,ugalj,煤
226,Kohle::N,ugljen,煤
227,Glas::N,staklo,玻璃
228,Lehm::N,glina,粘土
229,Lehm::N,ilovača,粘土
230,Sand::N,pijesak,沙
231,Mensch::N,čovjek,人
232,Mann::N,muškarac,男子
233,Frau::N,žena,妇女
234,Kind::N,čedo,小孩
235,Kind::N,dijete,小孩
236,Junge::N,momče,男孩
237,Junge::N,dječak,男孩
238,Mädchen::N,djevojka,女孩
239,Mädchen::N,djevojčica,女孩
240,Familie::N,obitelj,家庭
241,Familie::N,porodica,家庭
242,Großvater::N,djed,祖父
243,Großmutter::N,baka,祖母
244,Eltern::N,roditelji,父母
245,Vater::N,otac,父亲
246,Mutter::N,majka,母亲
247,Sohn::N,sin,儿子
248,Tochter::N,kći,女儿
249,Tochter::N,kćerka,女儿
250,Bruder::N,brat,兄弟
251,Schwester::N,sestra,姐妹
252,Onkel::N,čika,伯父
253,Onkel::N,ujak,伯父
254,Tante::N,ujna,阿姨
255,Tante::N,tetka,阿姨
256,Ehemann::N,muž,丈夫
257,Ehemann::N,suprug,丈夫
258,Ehefrau::N,žena,妻子
259,Ehefrau::N,supruga,妻子
260,Freude::N,radost,愉快
261,Gelächter::N,grohot,大笑
262,Glück::N,sreća,运气
263,Kummer::N,jad,苦恼
264,Kummer::N,briga,苦恼
265,Wunsch::N,želja,愿望
266,Lust::N,volja,乐趣
267,Geist::N,duh,精神
268,Gedanke::N,misao,思想
269,Gedächtnis::N,pamćenje,记性
270,Verstand::N,um,理智
271,Verstand::N,razum,理智
272,Sinn::N,smisao,感觉
273,Sinn::N,značenje,感觉
274,Grund::N,razlog,理由
275,Wahrheit::N,istina,真理
276,Gespräch::N,razgovor,谈话
277,Märchen::N,bajka,童话
278,Erzählung::N,priča,故事
279,Erzählung::N,pripovijest,故事
280,Nachricht::N,vijest,消息
281,Neuigkeit::N,novost,新闻
282,Name::N,ime,名字
283,Rätsel::N,zagonetka,谜语
284,Rede::N,govor,讲话
285,Rede::N,besjeda,讲话
286,Sprache::N,jezik,语言
287,Stimme::N,glas,声音
288,Wort::N,riječ,词
289,Zeichen::N,znak,标记
290,Ruf::N,povik,呼喊
291,Ruf::N,poklik,呼喊
292,Lärm::N,buka,噪音
293,Lärm::N,galama,噪音
294,Laut::N,zvuk,响声
295,Ton::N,ton,声音
296,Lied::N,pjesma,歌曲
297,Ruhe::N,tišina,安静
298,Ruhe::N,počinak,安静
299,Leute::N,ljudi,人们
300,Volk::N,puk,人民
301,Volk::N,narod,人民
302,Arbeit::N,rad,劳动
303,Arbeit::N,posao,劳动
304,Gast::N,gost,客人
305,Geschenk::N,dar,礼物
306,Geschenk::N,poklon,礼物
307,Spiel::N,igra,游戏
308,Gesellschaft::N,društvo,陪同
309,Gesellschaft::N,kompanija,陪同
310,Hilfe::N,pomoć,帮助
311,Freund::N,prijatelj,朋友
312,Kamerad::N,drug,同志
313,Kamerad::N,drugar,同志
314,Angelegenheit::N,posao,事情
315,Anzahl::N,broj,数目
316,Anzahl::N,brojnost,数目
317,Art::N,vid,种类
318,Art::N,vrst,种类
319,Stück::N,komad,块
320,Teil::N,dio,部分
321,Hälfte::N,polovina,一半
322,Kreis::N,krug,圆
323,Kreuz::N,križ,十字架
324,Linie::N,crta,线条
325,Strich::N,crta,划
326,Abstand::N,razmak,距离
327,Abstand::N,odstojanje,距离
328,Entfernung::N,udaljenost,距离
329,Gegend::N,kraj,地区
330,Gegend::N,predeo,地区
331,Platz::N,mjesto,场所
332,Ort::N,mjesto,地点
333,Seite::N,bok,面
334,Seite::N,strana,面
335,Mitte::N,sredina,中间
336,Gegenstand::N,predmet,物品
337,Sache::N,posao,物
338,Rand::N,rub,边
339,Rand::N,kraj,边
340,Kante::N,brid,棱
341,Kante::N,ivica,棱
342,Ecke::N,ugao,角
343,Spitze::N,vrh,尖
344,Spitze::N,šiljak,尖
345,Ende::N,konac,结尾
346,Loch::N,rupa,洞
347,Winkel::N,kut,角度
348,Winkel::N,ugao,角度
349,Muster::N,uzor,模型
350,Größe::N,veličina,大小
351,Länge::N,duljina,长度
352,Höhe::N,visina,高度
353,Gewicht::N,težina,重量
354,Menge::N,mnoštvo,数量
355,Menge::N,količina,数量
356,Haufen::N,hrpa,堆
357,Haufen::N,gomila,堆
358,Reihe::N,red,行
359,Boot::N,čun,小船
360,Boot::N,čamac,小船
361,Ruder::N,veslo,奖
362,Schlitten::N,saone,雪橇
363,Ski::N,ski,雪板
364,Ski::N,smučka,雪板
365,Lagerfeuer::N,logorska vatra,营火
366,Last::N,tovar,负担
367,Gang::N,hod,行走
368,Schritt::N,korak,步伐
369,Norden::N,sjever,北
370,Süden::N,jug,南
371,Westen::N,zapad,西
372,Osten::N,istok,东
373,Holz::N,drvo,木材
374,Brett::N,daska,木板
375,Platte::N,ploča,平板
376,Stütze::N,potpora,支架
377,Stange::N,motka,杆
378,Stock::N,štap,棒
379,Stock::N,palica,棒
380,Stab::N,štap,棍
381,Stab::N,šipka,棍
382,Rohr::N,cijev,管子
383,Haus::N,kuća,房屋
384,Heim::N,dom,家
385,Ofen::N,peć,炉子
386,Fußboden::N,pod,地板
387,Tisch::N,stol,桌子
388,Tisch::N,trpeza,桌子
389,Stuhl::N,stolac,椅子
390,Stuhl::N,stolica,椅子
391,Wiege::N,kolijevka,摇蓝
392,Bett::N,krevet,床
393,Bett::N,postelja,床
394,Regal::N,polica,架子
395,Kiste::N,sanduk,箱子
396,Fenster::N,prozor,窗户
397,Tür::N,vrata,门
398,Tor::N,vrata,大门
399,Tor::N,kapija,大门
400,Zaun::N,plot,篱笆
401,Zaun::N,ograda,篱笆
402,Dach::N,krov,屋顶
403,Leiter::N,ljestve,梯子
404,Leiter::N,ljestvice,梯子
405,Besen::N,metla,扫帚
406,Spaten::N,ašov,铁锹
407,Schaufel::N,lopata,铁锹
408,Gabel::N,viljuška,叉
409,Löffel::N,žlica,食匙
410,Messer::N,nož,刀
411,Nagel::N,čavao,钉子
412,Netz::N,mreža,网
413,Haken::N,kuka,钩子
414,Griff::N,držak,把柄
415,Griff::N,ručica,把柄
416,Schloss::N,brava,锁
417,Bild::N,slika,图画
418,Figur::N,figura,人像
419,Puppe::N,lutka,娃娃
420,Beutel::N,kesa,袋子
421,Bündel::N,snop,捆
422,Bündel::N,svežanj,捆
423,Tasche::N,torba,手提包
424,Tasche::N,taška,手提包
425,Eimer::N,kabao,桶
426,Deckel::N,poklopac,盖子
427,Geschirr::N,suđe,餐具
428,Geschirr::N,posuđe,餐具
429,Sack::N,džak,袋子
430,Sack::N,vreća,袋子
431,Tasse::N,šalica,杯子
432,Topf::N,lonac,锅
433,Kessel::N,kazan,水壶
434,Essen::N,obrok,进餐
435,Nahrung::N,hrana,食物
436,Speise::N,jelo,菜肴
437,Fleisch::N,meso,肉
438,Getreide::N,žito,谷物
439,Getreide::N,žitarice,谷物
440,Brei::N,kaša,粥
441,Brot::N,kruh,面包
442,Scheibe::N,kriška,片
443,Fett::N,mast,脂肪
444,Fett::N,salo,脂肪
445,Butter::N,buter,黄油
446,Butter::N,maslac,黄油
447,Öl::N,ulje,油
448,Salz::N,sol,盐
449,Suppe::N,supa,汤
450,Honig::N,med,蜂蜜
451,Milch::N,mlijeko,奶
452,Tee::N,čaj,茶
453,Leder::N,koža,皮革
454,Wolle::N,vuna,毛线
455,Stoff::N,štof,织物
456,Stoff::N,tkanina,织物
457,Nadel::N,igla,针
458,Faden::N,nit,线
459,Faden::N,konac,线
460,Knopf::N,dugme,纽扣
461,Knoten::N,čvor,结
462,Knoten::N,uzao,结
463,Farbe::N,farba,颜色
464,Kleidung::N,odjeća,衣服
465,Hemd::N,košulja,衬衫
466,Kragen::N,ovratnik,领子
467,Ärmel::N,rukav,袖子
468,Hose::N,hlače,裤子
