,Concept_ID,be,ja
0,Auge::N,вока,目
1,Ohr::N,вуха,耳
2,Nase::N,нос,鼻
3,Mund::N,рот,口
4,Zahn::N,зуб,歯
5,Zunge::N,язык,舌
6,Lippe::N,губа,唇
7,Wange::N,шчака,頬
8,Gesicht::N,твар,顔
9,Stirn::N,лоб,額
10,Haar::N,волас,髪
11,Haar::N,валасы,髪
12,Schnurrbart::N,вус,口髭
13,Schnurrbart::N,вусы,口髭
14,Bart::N,барада,髭
15,Kinn::N,падбародак,顎
16,Kiefer[Anatomie]::N,сківіца,顎
17,Kehle::N,горла,喉
18,Hals::N,шыя,首
19,Genick::N,патыліца,首
20,Kopf::N,галава,頭
21,Rücken::N,спіна,背中
22,Bauch::N,жывот,腹
23,Bauch::N,жывот,お腹
24,Nabel::N,пупок,へそ
25,Busen::N,грудзі,乳房
26,Brust::N,грудзі,胸
27,Schulter::N,плячо,肩
28,Arm::N,рука,腕
29,Ellenbogen::N,локаць,肘
30,Hand::N,кісць,手
31,Handfläche::N,далонь,手のひら
32,Finger::N,палец,指
33,Fingernagel::N,ногаць,爪
34,Nagel[Anatomie]::N,ногаць,爪
35,Zeh::N,палец,足の指
36,Fuß::N,нага,足
37,Ferse::N,пята,かかと
38,Ferse::N,пятка,かかと
39,Knie::N,калена,膝
40,Oberschenkel::N,бядро,上腿
41,Oberschenkel::N,сцягно,上腿
42,Bein::N,нага,足
43,Körper::N,цела,体
44,Haut::N,скура,皮膚
45,Blut::N,кроў,血
46,Ader::N,вена,血管
47,Ader::N,сасуд,血管
48,Sehne::N,жыла,腱
49,Sehne::N,цеціва,腱
50,Sehne::N,сухажылле,腱
51,Knochen::N,косць,骨
52,Gehirn::N,мозг,脳
53,Herz::N,сэрца,心
54,Herz::N,сэрца,心臓
55,Magen::N,страўнік,胃
56,Leber::N,печань,肝臓
57,Atem::N,дыханне,息
58,Atem::N,дыханне,呼吸
59,Hunger::N,голад,空腹
60,Träne::N,сляза,涙
61,Geschmack::N,смак,味
62,Geruch::N,пах,匂い
63,Schlaf::N,сон,睡眠
64,Traum::N,сон,夢
65,Himmel::N,неба,空
66,Sonne::N,сонца,太陽
67,Mond::N,месяц,月
68,Stern::N,зорка,星
69,Luft::N,паветра,空気
70,Wind::N,вецер,風
71,Welle::N,хваля,波
72,Wasser::N,вада,水
73,Stein::N,камень,石
74,Boden::N,глеба,土地
75,Erde::N,зямля,土
76,Staub::N,пыл,埃
77,Rauch::N,дым,煙
78,Funke::N,іскра,火花
79,Feuer::N,агонь,火
80,Licht::N,святло,光
81,Schatten::N,цень,陰
82,Wetter::N,пагода,天気
83,Wetter::N,надворʼе,天気
84,Nebel::N,туман,霧
85,Wolke::N,воблака,雲
86,Regen::N,дождж,雨
87,Schnee::N,снег,雪
88,Eis::N,лёд,氷
89,Frost::N,мароз,霜
90,Kälte::N,холад,寒さ
91,Hitze::N,спёка,暑さ
92,Raureif::N,іней,霧氷
93,Regenbogen::N,вясёлка,虹
94,Donner::N,гром,雷
95,Strömung::N,цячэнне,流れ
96,Tropfen::N,кропля,滴
97,Schaum::N,пена,泡
98,Schmutz::N,гразь,汚れ
99,See::N,возера,湖
100,Sumpf::N,багна,沼
101,Moor::N,балота,湿原
102,Wiese::N,луг,草原
103,Wald::N,лес,森
104,Hügel::N,узгорак,丘
105,Anhöhe::N,узвышша,高み
106,Berg::N,гара,山
107,Gipfel::N,вяршыня,頂上
108,Höhle::N,пячора,洞窟
109,Abhang::N,схіл,斜面
110,Quelle::N,крыніца,泉
111,Bach::N,ручай,小川
112,Fluss::N,рака,川
113,Ufer::N,бераг,岸
114,Küste::N,узбярэжжа,海岸
115,Festland::N,суша,陸
116,Meer::N,мора,海
117,Bucht::N,бухта,湾
118,Insel::N,востраў,島
119,Blume::N,кветка,花
120,Gras::N,трава,草
121,Wurzel::N,корань,根
122,Baum::N,дрэва,木
123,Stamm::N,ствол,幹
124,Rinde::N,кара,皮層
125,Ast::N,сук,枝
126,Zweig::N,галіна,小枝
127,Blatt::N,ліст,葉
128,Birke::N,бяроза,樺
129,Kiefer[Baum]::N,хвоя,松
130,Kiefer[Baum]::N,сасна,松
131,Weide[Baum]::N,вярба,柳
132,Tanne::N,яліна,樅
133,Horn::N,рог,角
134,Feder::N,пяро,羽根
135,Fell::N,шкура,毛皮
136,Flügel::N,крыло,羽
137,Klaue::N,кіпцюр,鉤爪
138,Kralle::N,лапа,爪
139,Schwanz::N,хвост,尻尾
140,Ei::N,яйка,卵
141,Nest::N,гняздо,巣
142,Bau::N,нара,穴
143,Tier::N,жывёла,動物
144,Herde::N,статак,群れ
145,Kuh::N,карова,牛
146,Bulle::N,бык,雄牛
147,Pferd::N,конь,馬
148,Schaf::N,авечка,羊
149,Schwein::N,свіння,豚
150,Hund::N,сабака,犬
151,Katze::N,кошка,猫
152,Bär::N,мядзведзь,熊
153,Eichhörnchen::N,вавёрка,栗鼠
154,Elch::N,лось,ヘラジカ
155,Fuchs::N,ліса,狐
156,Hase::N,заяц,兎
157,Maus::N,мыш,鼠
158,Wolf::N,воўк,狼
159,Vogel::N,птах,鳥
160,Vogel::N,птушка,鳥
161,Schwarm::N,чарада,群れ
162,Huhn::N,курыца,鶏
163,Hahn::N,певень,雄鶏
164,Gans::N,гусь,ガチョウ
165,Adler::N,арол,鷲
166,Ente::N,качка,鴨
167,Eule::N,сава,フクロウ
168,Kranich::N,жораў,鶴
169,Kranich::N,журавель,鶴
170,Krähe::N,варона,烏
171,Kuckuck::N,зязюля,郭公
172,Schwan::N,лебедзь,白鳥
173,Fisch::N,рыба,魚
174,Barsch::N,акунь,鱸
175,Hecht::N,шчупак,川魳
176,Schlange[Tier]::N,змяя,蛇
177,Wurm::N,чарвяк,虫
178,Spinne::N,павук,蜘蛛
179,Ameise::N,мурашка,蟻
180,Laus::N,вош,虱
181,Mücke::N,камар,蚊
182,Fliege::N,муха,蝿
183,Schmetterling::N,матыль,蝶
184,Beere::N,ягада,漿果
185,Apfel::N,яблык,林檎
186,Pilz::N,грыб,茸
187,Zwiebel::N,цыбуля,玉葱
188,Saat::N,семя,種
189,Korn::N,зерне,粒
190,Heu::N,сена,干し草
191,Schale::N,шалупінне,皮
192,Grube::N,яма,穴
193,Falle::N,пастка,わな
194,Schlinge::N,сіло,輪
195,Spur::N,след,跡
196,Asche::N,попел,灰
197,Dreck::N,бруд,泥
198,Eisen::N,жалеза,鉄
199,Gold::N,золата,金
200,Silber::N,сребра,銀
201,Kohle::N,вугаль,炭
202,Glas::N,шкло,ガラス
203,Lehm::N,гліна,ローム
204,Sand::N,пясок,砂
205,Mensch::N,чалавек,人
206,Mann::N,мужчына,男
207,Mann::N,мужчына,男性
208,Frau::N,жанчына,女
209,Frau::N,жанчына,女性
210,Kind::N,дзіця,子
211,Kind::N,дзіця,子供
212,Junge::N,хлопчык,男の子
