,Concept_ID,cy,en
0,Auge::N,llygad,eye
1,Ohr::N,clust,ear
2,Nase::N,trwyn,nose
3,Mund::N,ceg,mouth
4,Zahn::N,dant,tooth
5,Zunge::N,tafod,tongue
6,Lippe::N,gwefus,lip
7,Wange::N,boch,cheek
8,Gesicht::N,wyneb,face
9,Stirn::N,talcen,forehead
10,Haar::N,blew,hair
11,Schnurrbart::N,mwstas,moustache
12,Bart::N,barf,beard
13,Kinn::N,gên,chin
14,Kiefer[Anatomie]::N,gên,jaw
15,Kehle::N,gwddf,throat
16,Hals::N,gwddf,neck
17,Genick::N,gwar,nape
18,Genick::N,gwegil,nape
19,Kopf::N,pen,head
20,Rücken::N,cefn,back
21,Rücken::N,cefn,spine
22,Bauch::N,bol,belly
23,Nabel::N,bogail,navel
24,Busen::N,bron,bosom
25,Brust::N,brest,chest
26,Brust::N,brest,breast
27,Schulter::N,ysgwydd,shoulder
28,Arm::N,braich,arm
29,Ellenbogen::N,penelin,elbow
30,Hand::N,llaw,hand
31,Handfläche::N,palf,palm
32,Finger::N,bys,finger
33,Fingernagel::N,ewin,fingernail
34,Nagel[Anatomie]::N,ewin,nail
35,Zeh::N,bys troed,toe
36,Fuß::N,troed,foot
37,Ferse::N,sawdl,heel
38,Knie::N,glin,knee
39,Oberschenkel::N,clun,thigh
40,Bein::N,coes,leg
41,Körper::N,corff,body
42,Haut::N,croen,skin
43,Blut::N,gwaed,blood
44,Ader::N,gwythïen,vein
45,Sehne::N,gewyn,sinew
46,Knochen::N,asgwrn,bone
47,Gehirn::N,ymennydd,brain
48,Herz::N,calon,heart
49,Magen::N,cylla,stomach
50,Magen::N,stumog,stomach
51,Leber::N,iau,liver
52,Atem::N,anadl,breath
53,Hunger::N,newyn,hunger
54,Träne::N,deigryn,tear
55,Geschmack::N,cyflas,flavour
56,Geschmack::N,cyflas,flavor
57,Geruch::N,aroglau,odour
58,Geruch::N,aroglau,odor
59,Schlaf::N,cwsg,sleep
60,Traum::N,breuddwyd,dream
61,Himmel::N,awyr,sky
62,Sonne::N,haul,sun
63,Mond::N,lleuad,moon
64,Stern::N,seren,star
65,Luft::N,awyr,air
66,Wind::N,gwynt,wind
67,Welle::N,ton,wave
68,Wasser::N,dŵr,water
69,Stein::N,carreg,stone
70,Boden::N,llawr,soil
71,Boden::N,llawr,ground
72,Erde::N,pridd,earth
73,Staub::N,llwch,dust
74,Rauch::N,mwg,smoke
75,Funke::N,gwreichioni,spark
76,Feuer::N,tân,fire
77,Licht::N,golau,light
78,Schatten::N,cysgod,shadow
79,Wetter::N,tywydd,weather
80,Nebel::N,niwl,fog
81,Wolke::N,cwmwl,cloud
82,Regen::N,glaw,rain
83,Schnee::N,ôd,snow
84,Schnee::N,eira,snow
85,Eis::N,iâ,ice
86,Frost::N,rhew,frost
87,Kälte::N,oerni,chill
88,Kälte::N,annwyd,chill
89,Hitze::N,gwres,heat
90,Raureif::N,barrug,hoarfrost
91,Regenbogen::N,enfys,rainbow
92,Donner::N,tyrfau,thunder
93,Strömung::N,cerrynt,current
94,Tropfen::N,dafn,drop
95,Tropfen::N,diferyn,drop
96,Schaum::N,ewyn,foam
97,Schmutz::N,baw,dirt
98,Schmutz::N,budreddi,dirt
99,See::N,llyn,lake
100,Sumpf::N,cors,swamp
101,Moor::N,rhos,moor
102,Wiese::N,dôl,meadow
103,Wald::N,coedwig,forest
104,Hügel::N,bryn,hill
105,Anhöhe::N,bryn,elevation
106,Berg::N,mynydd,mountain
107,Gipfel::N,copa,summit
108,Höhle::N,ogof,cave
109,Abhang::N,llethr,slope
110,Quelle::N,tarddiad,source
111,Quelle::N,ffynhonnell,source
112,Bach::N,nant,brook
113,Bach::N,afonig,brook
114,Bach::N,cornant,brook
115,Fluss::N,afon,river
116,Ufer::N,glan,shore
117,Küste::N,traeth,coast
118,Küste::N,arfordir,coast
119,Festland::N,tir,land
120,Meer::N,môr,sea
121,Bucht::N,bae,cove
122,Insel::N,ynys,island
123,Blume::N,blodyn,flower
124,Gras::N,glaswellt,grass
125,Wurzel::N,gwreiddyn,root
126,Baum::N,coeden,tree
127,Stamm::N,colfen,trunk
128,Stamm::N,boncyff,trunk
129,Rinde::N,rhisgl,bark
130,Ast::N,cangen,limb
131,Zweig::N,cainc,branch
132,Zweig::N,cangen,branch
133,Blatt::N,deilen,leaf
134,Birke::N,bedwen,birch
135,Kiefer[Baum]::N,pinwydden,pine
136,Weide[Baum]::N,helygen,willow
137,Tanne::N,ffynidwydden,fir
138,Horn::N,corn,horn
139,Feder::N,plufyn,feather
140,Fell::N,ffwr,fur
141,Flügel::N,adain,wing
142,Klaue::N,crafanc,claw
143,Kralle::N,ewin,claw
144,Schwanz::N,cwt,tail
145,Schwanz::N,cynffon,tail
146,Ei::N,wy,egg
147,Nest::N,nyth,nest
148,Bau::N,ffau,lair
149,Tier::N,anifail,animal
150,Herde::N,praidd,flock
151,Herde::N,diadell,flock
152,Kuh::N,buwch,cow
153,Bulle::N,tarw,bull
154,Pferd::N,ceffyl,horse
155,Schaf::N,dafad,sheep
156,Schwein::N,mochyn,pig
157,Hund::N,ci,dog
158,Katze::N,cath,cat
159,Bär::N,arth,bear
160,Eichhörnchen::N,gwiwer,squirrel
161,Elch::N,elc,elk
162,Fuchs::N,cadno,fox
163,Hase::N,ysgyfarnog,hare
164,Maus::N,llygoden,mouse
165,Wolf::N,blaidd,wolf
166,Vogel::N,aderyn,bird
167,Schwarm::N,haid,swarm
168,Huhn::N,cyw,chicken
169,Hahn::N,ceiliog,cock
170,Gans::N,gŵydd,goose
171,Adler::N,eryr,eagle
172,Ente::N,hwyad,duck
173,Eule::N,tylluan,owl
174,Kranich::N,garan,crane
175,Kranich::N,crychydd,crane
176,Krähe::N,brân,crow
177,Kuckuck::N,cog,cuckoo
178,Kuckuck::N,cwcw,cuckoo
179,Schwan::N,alarch,swan
180,Fisch::N,pysgod,fish
181,Barsch::N,draenog,perch
182,Hecht::N,penhwyad,pike
183,Schlange[Tier]::N,neidr,snake
184,Wurm::N,abwydyn,worm
185,Wurm::N,pryf genwair,worm
186,Spinne::N,cor,spider
187,Spinne::N,pryf copyn,spider
188,Ameise::N,morgrugyn,ant
189,Laus::N,lleuen,louse
190,Mücke::N,gwybedyn,midge
191,Fliege::N,cleren,fly
192,Schmetterling::N,glöyn byw,butterfly
193,Schmetterling::N,iâr fach yr haf,butterfly
194,Beere::N,aeronen,berry
195,Apfel::N,afal,apple
196,Pilz::N,madarch,mushroom
197,Zwiebel::N,nionyn,onion
198,Zwiebel::N,winwnsyn,onion
199,Saat::N,had,seed
200,Korn::N,grawn,grain
201,Heu::N,gwair,hay
202,Schale::N,croen,husk
203,Schale::N,plisgyn,husk
204,Grube::N,pwll,pit
205,Grube::N,pydew,pit
206,Falle::N,magl,trap
207,Schlinge::N,cwlwm rhedeg,noose
208,Spur::N,ôl,track
209,Asche::N,lludw,ashes
210,Dreck::N,baw,filth
211,Dreck::N,budreddi,filth
212,Eisen::N,haearn,iron
213,Gold::N,aur,gold
214,Silber::N,arian,silver
215,Kohle::N,glo,coal
216,Glas::N,gwydr,glass
217,Lehm::N,clai,clay
218,Sand::N,tywod,sand
219,Mensch::N,dyn,human
220,Mann::N,dyn,man
221,Frau::N,merch,woman
222,Frau::N,gwraig,woman
223,Kind::N,plentyn,child
224,Junge::N,hogyn,boy
225,Junge::N,bachgen,boy
226,Mädchen::N,merch,girl
227,Mädchen::N,geneth,girl
228,Familie::N,teulu,family
229,Familie::N,tylwyth,family
230,Großvater::N,taid,grandfather
231,Großvater::N,tad-cu,grandfather
232,Großmutter::N,nain,grandmother
233,Großmutter::N,mam-gu,grandmother
234,Eltern::N,rhieni,parents
235,Vater::N,tad,father
236,Mutter::N,mam,mother
237,Sohn::N,mab,son
238,Tochter::N,merch,daughter
239,Bruder::N,brawd,brother
240,Schwester::N,chwaer,sister
241,Onkel::N,ewythr,uncle
242,Tante::N,modryb,aunt
243,Ehemann::N,gŵr,husband
244,Ehefrau::N,gwraig,wife
245,Freude::N,gorfoledd,joy
246,Gelächter::N,chwerthin,laughter
247,Glück::N,hapusrwydd,happiness
248,Kummer::N,galar,grief
249,Wunsch::N,dymuniad,wish
250,Lust::N,chwant,desire
251,Geist::N,ysbryd,spirit
252,Gedanke::N,meddwl,thought
253,Gedächtnis::N,cof,memory
254,Verstand::N,meddwl,mind
255,Sinn::N,ystyr,meaning
256,Grund::N,achos,reason
257,Grund::N,rheswm,reason
258,Wahrheit::N,gwir,truth
259,Wahrheit::N,gwirionedd,truth
260,Gespräch::N,sgwrs,talk
261,Märchen::N,chwedl werin,fairy tale
262,Erzählung::N,stori,story
263,Nachricht::N,neges,message
264,Neuigkeit::N,newydd,news
265,Name::N,enw,name
266,Rätsel::N,pos,puzzle
267,Rede::N,araith,speech
268,Sprache::N,iaith,language
269,Stimme::N,llais,voice
270,Wort::N,gair,word
271,Zeichen::N,arwydd,sign
272,Ruf::N,galwad,call
273,Lärm::N,trwst,noise
274,Laut::N,sain,sound
275,Ton::N,tôn,tone
276,Lied::N,cân,song
277,Ruhe::N,tawelwch,calm
278,Leute::N,pobl,people
279,Volk::N,pobl,nation
280,Arbeit::N,gwaith,work
281,Gast::N,gwestai,guest
282,Geschenk::N,rhodd,gift
283,Geschenk::N,anrheg,gift
284,Spiel::N,chwarae,game
285,Gesellschaft::N,cwmni,company
286,Hilfe::N,cymorth,help
287,Freund::N,cyfaill,friend
288,Kamerad::N,cydymaith,companion
289,Angelegenheit::N,pwnc,matter
290,Anzahl::N,cyfrif,count
291,Art::N,bath,sort
292,Stück::N,darn,piece
293,Teil::N,rhan,part
294,Hälfte::N,hanner,half
295,Kreis::N,cylch,circle
296,Kreuz::N,croes,cross
297,Linie::N,llinell,line
298,Strich::N,strôc,stroke
299,Strich::N,trawiad,stroke
300,Abstand::N,bwlch,gap
301,Abstand::N,pellter,gap
302,Entfernung::N,pellter,distance
303,Gegend::N,cylch,area
304,Platz::N,lle,space
305,Ort::N,lle,place
306,Seite::N,ochr,side
307,Mitte::N,canol,middle
308,Gegenstand::N,eitem,item
309,Sache::N,peth,thing
310,Rand::N,cwr,fringe
311,Rand::N,ymyl,fringe
312,Kante::N,min,edge
313,Kante::N,ymyl,edge
314,Ecke::N,cornel,corner
315,Spitze::N,blaen,tip
316,Ende::N,pen,end
317,Loch::N,twll,hole
318,Winkel::N,congl,angle
