,Concept_ID,kv,el
0,Auge::N,син,μάτι
1,Auge::N,син,οφθαλμός
2,Ohr::N,пель,αυτί
3,Nase::N,ныр,μύτη
4,Mund::N,ӧм,στόμα
5,Zahn::N,пинь,δόντι
6,Zunge::N,кыв,γλώσσα
7,Lippe::N,тырп,χείλος
8,Wange::N,рожабан,παρειά
9,Wange::N,рожабан,μάγουλο
10,Gesicht::N,бан,πρόσωπο
11,Stirn::N,кымӧс,μέτωπο
12,Haar::N,юрси,μαλλιά
13,Schnurrbart::N,уссэз,μουστάκι
14,Bart::N,тош,γένια
15,Kinn::N,тшӧка,πιγούνι
16,Kiefer[Anatomie]::N,ан,σαγόνι
17,Kehle::N,юан,λαρύγγι
18,Hals::N,юан,λαιμός
19,Genick::N,юр бӧр,σβέρκος
20,Kopf::N,юр,κεφάλι
21,Rücken::N,мышк,ράχη
22,Bauch::N,кынӧм,κοιλιά
23,Nabel::N,гӧг,αφαλός
24,Busen::N,морос,στήθος
25,Brust::N,морос,στήθος
26,Schulter::N,пельпон,ώμος
27,Arm::N,ки,χέρι
28,Arm::N,ки,μπράτςο
29,Ellenbogen::N,гырдзза,αγκώνας
30,Hand::N,кикар,χέρι
31,Handfläche::N,ки пыдӧс,παλάμη
32,Finger::N,чунь,δάχτυλο
33,Fingernagel::N,гыж,νύχι
34,Nagel[Anatomie]::N,гыж,νύχι
35,Zeh::N,чунь,δάχτυλο του ποδιού
36,Fuß::N,кокпыдӧс,πόδι
37,Ferse::N,кокдзир,φτέρνα
38,Knie::N,пидзӧс,γόνατο
39,Oberschenkel::N,лядьбей,μηρός
40,Bein::N,кок,πόδι
41,Körper::N,вывтыр,σώμα
42,Körper::N,вывтыр,κορμί
43,Haut::N,кучик,πετσί
44,Blut::N,вир,αίμα
45,Ader::N,сӧн,φλέβα
46,Sehne::N,жила,νεύρο
47,Sehne::N,жила,τένοντας
48,Knochen::N,коска,οστό
49,Knochen::N,коска,κόκκαλο
50,Gehirn::N,вем,μυαλό
51,Gehirn::N,вем,εγκέφαλος
52,Herz::N,сьӧлӧм,καρδιά
53,Magen::N,жӧвдӧк,στομάχι
54,Leber::N,мус,ήπαρ
55,Leber::N,мус,συκωτί
56,Atem::N,лолалӧм,αναπνοή
57,Hunger::N,тшыг,πείνα
58,Träne::N,синва,δάκρυ
59,Geschmack::N,кӧр,γεύση
60,Geruch::N,дук,οσμή
61,Geruch::N,дук,μυρωδία
62,Schlaf::N,он,ύπνος
63,Traum::N,вӧт,όνειρο
64,Himmel::N,небо,ουρανός
65,Sonne::N,шондi,ήλιος
66,Mond::N,тӧлiсь,σελήνη
67,Mond::N,тӧлiсь,φεγγάρι
68,Stern::N,кӧдзыв,άστρο
69,Stern::N,кӧдзыв,αστέρι
70,Luft::N,ру,αέρας
71,Wind::N,тӧв,αέρας
72,Wind::N,тӧв,άνεμος
73,Welle::N,гы,κύμα
74,Wasser::N,ва,νερό
75,Stein::N,из,πέτρα
76,Boden::N,му,χώμα
77,Erde::N,му,γη
78,Staub::N,бус,σκόνη
79,Rauch::N,тшын,καπνός
80,Funke::N,бичир,σπίθα
81,Funke::N,бичир,σπινθήρας
82,Feuer::N,би,φωτιά
83,Licht::N,би,φως
84,Schatten::N,вуджӧр,σκιά
85,Schatten::N,вуджӧр,ίσκιος
86,Wetter::N,погоддя,καιρός
87,Nebel::N,туман,ομίχλη
88,Wolke::N,кымӧр,σύννεφο
89,Regen::N,зэр,βροχή
90,Schnee::N,лым,χιόνι
91,Eis::N,йы,πάγος
92,Frost::N,мороз,παγωνία
93,Kälte::N,кӧдзыт,κρύο
94,Kälte::N,кӧдзыт,ψύχος
95,Hitze::N,ӧд,ζέστη
96,Raureif::N,кижа,πάχνη
97,Regenbogen::N,енӧшка,ουράνιο τόξο
98,Donner::N,гым,βροντή
99,Strömung::N,визывтӧм,ρεύμα
100,Tropfen::N,тёп,στάλα
101,Schaum::N,быг,αφρός
102,Schmutz::N,нять,βρωμιά
103,See::N,ты,λίμνη
104,Sumpf::N,арай,βάλτος
105,Moor::N,нюр,έλος
106,Wiese::N,видз,λιβάδι
107,Wald::N,вӧр,δάσος
108,Hügel::N,мыльк,λόφος
109,Anhöhe::N,вывтас,ύψωμα
110,Anhöhe::N,вылынін,ύψωμα
111,Berg::N,керӧс,όρος
112,Berg::N,керӧс,βουνό
113,Gipfel::N,йыв,κορυφή
114,Höhle::N,нора,σπηλιά
115,Abhang::N,покат,πλαγιά
116,Quelle::N,больган,πηγή
117,Quelle::N,больган,βρύση
118,Bach::N,шор,ρυάκι
119,Fluss::N,ю,ποτάμι
120,Fluss::N,ю,ποταμός
121,Ufer::N,берег,όχθη
122,Küste::N,берег,ακτή
123,Küste::N,берег,ακρογιαλιά
124,Festland::N,му,στεριά
125,Meer::N,море,θάλασσα
126,Bucht::N,курья,κόλπος
127,Blume::N,цветок,άνθος
128,Blume::N,цветок,λουλούδι
129,Gras::N,турун,χόρτο
130,Gras::N,турун,χορτάρι
131,Wurzel::N,вуж,ρίζα
132,Baum::N,пу,δέντρο
133,Stamm::N,мыр,κορμός
134,Stamm::N,кер,κορμός
135,Rinde::N,кач,φλούδα
136,Ast::N,ув,κλαδί
137,Zweig::N,ув,κλαδί
138,Zweig::N,ув,κλάδος
139,Blatt::N,лист,φύλλο
140,Birke::N,кыдз,σημύδα
141,Kiefer[Baum]::N,пожум,πεύκο
142,Weide[Baum]::N,бадь,ιτιά
143,Tanne::N,кӧз,έλατο
144,Horn::N,сюр,κέρας
145,Horn::N,сюр,κέρατο
146,Feder::N,гӧн,φτερό
147,Fell::N,кучик,δέρμα
148,Fell::N,кучик,τομάρι
149,Flügel::N,борд,πτερύγιο
150,Klaue::N,гыж,κουλό
151,Kralle::N,кабыр,νύχι
152,Schwanz::N,бӧж,ουρά
153,Ei::N,кольть,αβγό
154,Nest::N,поз,φωλιά
155,Bau::N,осьта,φωλιά
156,Bau::N,нора,φωλιά
157,Tier::N,зверь,ζώο
158,Herde::N,гурт,κοπάδι
159,Kuh::N,мӧс,αγελάδα
160,Bulle::N,ӧшка,ταύρος
161,Pferd::N,вӧв,άλογο
162,Schaf::N,баля,πρόβατο
163,Schwein::N,порсь,γουρούνι
164,Hund::N,пон,σκυλί
165,Hund::N,пон,σκύλος
166,Katze::N,кань,γάτα
167,Bär::N,ош,άρκτος
168,Bär::N,ош,αρκούδα
169,Eichhörnchen::N,ур,βερβερίτσα
170,Elch::N,вӧр мӧс,άλκη
171,Fuchs::N,руч,αλεπού
172,Hase::N,кӧч,λαγός
173,Maus::N,шыр,ποντικός
174,Wolf::N,кӧин,λύκος
175,Vogel::N,кай,πουλί
176,Schwarm::N,стая,σμήνος
177,Schwarm::N,чукӧр,σμήνος
178,Huhn::N,курӧг,κότα
179,Huhn::N,курӧг,όρνιθα
180,Hahn::N,петух,πετεινός
181,Hahn::N,ай курӧг,πετεινός
182,Gans::N,дзодзог,χήνα
183,Adler::N,куч,αετός
184,Adler::N,кутш,αετός
185,Ente::N,утка,πάπια
186,Eule::N,тупка,κουκουβάγια
187,Kranich::N,тури,γερανός
188,Krähe::N,рака,καρακάξα
189,Kuckuck::N,кӧк,κούκος
190,Schwan::N,юсь,κύκνος
191,Fisch::N,чери,ψάρι
192,Barsch::N,ёкыш,πέρκα
193,Hecht::N,сирпинь,λούτσος
194,Schlange[Tier]::N,змей,φίδι
195,Wurm::N,номыр,σκουλήκι
196,Spinne::N,черань,αράχνη
197,Ameise::N,кӧдзывкар,μυρμήγκι
198,Laus::N,ляпа той,ψείρα
199,Mücke::N,ном,κουνούπι
200,Fliege::N,гут,μύγα
201,Schmetterling::N,бабыв,πεταλούδα
202,Beere::N,ягӧд,ρόγα
203,Apfel::N,яблоко,μήλο
204,Pilz::N,тшак,μανιτάρι
205,Zwiebel::N,грез,κρεμμύδι
206,Saat::N,кӧдзыс,σπόρος
207,Korn::N,сю,σπυρί
208,Heu::N,турун,σανός
209,Schale::N,кыш,τσόφλι
