,Concept_ID,te,kl
0,Auge::N,కన్ను,isi
1,Ohr::N,చెవి,siut
2,Nase::N,ముక్కు,
3,Mund::N,నోరు,paaq
4,Mund::N,నోరు,qaneq
5,Zahn::N,పల్లు,kigut
6,Zunge::N,నాలుక,oqaq
7,Lippe::N,పెదవి,qarloq
8,Wange::N,చెంప,ersaq
9,Gesicht::N,ముఖము,kiinaq
10,Stirn::N,నుదురు,qaaq
11,Haar::N,వెండ్రుక,meqqoq
12,Schnurrbart::N,మీసము,
13,Bart::N,గడ్డము,umik
14,Kinn::N,గడ్డము,talloq
15,Kiefer[Anatomie]::N,దౌడ,alleroq
16,Kehle::N,గొంతు,malaq
17,Hals::N,మెడ,qungaseq
18,Genick::N,మూపు,pukusuk
19,Kopf::N,తల,niaqoq
20,Rücken::N,వెన్ను,qimerlut
21,Bauch::N,కడుపు,naaq
22,Nabel::N,బొడ్డు,qalaseq
23,Busen::N,స్తనము,iviangeq
24,Brust::N,ఱొమ్ము,iviangeq
25,Schulter::N,భుజము,ersik
26,Schulter::N,భుజము,assaqqoq
27,Arm::N,చేయి,taleq
28,Ellenbogen::N,మోచేయి,ikusik
29,Hand::N,చేయి,assak
30,Handfläche::N,అరచేయు,itumak
31,Finger::N,చేతిప్రేలు,inuak
32,Fingernagel::N,గోరు,kikiak
33,Nagel[Anatomie]::N,గోరు,kukik
34,Zeh::N,కాలిప్రేలు,isigak
35,Fuß::N,అడుగు,
36,Ferse::N,మడమ,kimmik
37,Knie::N,మోకాలు,seeqqoq
38,Oberschenkel::N,తొడ,uppat
39,Oberschenkel::N,తొడ,quttoraq
40,Bein::N,కాలు,isigak
41,Körper::N,కాయము,timi
42,Haut::N,చర్మము,mattak
43,Blut::N,రక్తము,aak
44,Ader::N,సిర,taqaq
45,Sehne::N,స్నాయువు,ujalu
46,Sehne::N,స్నాయువు,ujaloq
47,Knochen::N,ఎముక,saanikut
48,Gehirn::N,మెదడు,qarasaq
49,Herz::N,హృదయము,uummat
50,Magen::N,కడుపు,aqajaroq
51,Leber::N,కాలేయము,tinguk
52,Atem::N,ఉపిరి,anerneq
53,Hunger::N,ఆకలి,kaanneq
54,Träne::N,కన్నీటిచుక్క,qia
55,Träne::N,కన్నీటిచుక్క,qiak
56,Geschmack::N,రుచి,qilanaartuut
57,Geruch::N,వాసన,tipi
58,Geruch::N,వాసన,tipik
59,Schlaf::N,నిద్ర,
60,Traum::N,కల,sinnattoq
61,Traum::N,కల,sinnattugaq
62,Himmel::N,ఆకాశము,qilak
63,Sonne::N,సూర్యుడు,seqineq
64,Mond::N,చంద్రుడు,qaammat
65,Stern::N,నక్షత్రము,ulloriaq
66,Luft::N,గాలి,silaannaq
67,Wind::N,వీచుచున్నగాలి,anori
68,Wind::N,వీచుచున్నగాలి,anorsarik
69,Welle::N,అల,aalappaa
70,Wasser::N,నీరు,imeq
71,Stein::N,ఱాయి,ujarak
72,Boden::N,నేల,nateq
73,Erde::N,మన్ను,issoq
74,Staub::N,దుమ్ము,pujualanerit
75,Staub::N,దుమ్ము,pujoralanerit
76,Rauch::N,పొగ,iseq
77,Rauch::N,పొగ,pujoq
78,Funke::N,అగ్నికణము,illoorneq
79,Feuer::N,అగ్ని,inneq
80,Licht::N,కాంతి,qaamaneq
81,Schatten::N,నీడ,tarraq
82,Wetter::N,వాతావరణ స్థితి,sila
83,Nebel::N,పొగమంచు,pujoq
84,Wolke::N,మేఘము,nuia
85,Regen::N,వాన,sialuk
86,Schnee::N,హిమము,aput
87,Eis::N,మంచుగడ్డ,siku
88,Frost::N,పేరిన మంచు,issi
89,Frost::N,పేరిన మంచు,issik
