,Concept_ID,el,cs
0,Auge::N,μάτι,oko
1,Auge::N,οφθαλμός,oko
2,Ohr::N,αυτί,ucho
3,Nase::N,μύτη,nos
4,Mund::N,στόμα,pusa
5,Zahn::N,δόντι,zub
6,Zunge::N,γλώσσα,jazyk
7,Lippe::N,χείλος,ret
8,Wange::N,παρειά,tvář
9,Wange::N,μάγουλο,tvář
10,Gesicht::N,πρόσωπο,obličej
11,Stirn::N,μέτωπο,čelo
12,Haar::N,μαλλιά,vlas
13,Haar::N,μαλλιά,vlasy
14,Schnurrbart::N,μουστάκι,kníry
15,Bart::N,γένια,vousy
16,Kinn::N,πιγούνι,brada
17,Kiefer[Anatomie]::N,σαγόνι,čelist
18,Kehle::N,λαρύγγι,hrdlo
19,Hals::N,λαιμός,krk
20,Genick::N,σβέρκος,týl
21,Kopf::N,κεφάλι,hlava
22,Rücken::N,ράχη,záda
23,Rücken::N,ράχη,hřbet
24,Bauch::N,κοιλιά,břicho
25,Nabel::N,αφαλός,pupek
26,Busen::N,στήθος,ňadra
27,Brust::N,στήθος,prsa
28,Schulter::N,ώμος,plece
29,Schulter::N,ώμος,rameno
30,Arm::N,χέρι,ruka
31,Arm::N,μπράτςο,ruka
32,Ellenbogen::N,αγκώνας,loket
33,Hand::N,χέρι,ruka
34,Handfläche::N,παλάμη,dlaň
35,Finger::N,δάχτυλο,prst
36,Fingernagel::N,νύχι,nehet
37,Nagel[Anatomie]::N,νύχι,nehet
38,Zeh::N,δάχτυλο του ποδιού,prst u nohy
39,Fuß::N,πόδι,noha
40,Ferse::N,φτέρνα,pata
41,Knie::N,γόνατο,koleno
42,Oberschenkel::N,μηρός,stehno
43,Bein::N,πόδι,noha
44,Körper::N,σώμα,tělo
45,Körper::N,κορμί,tělo
46,Haut::N,πετσί,kůže
47,Blut::N,αίμα,krev
48,Ader::N,φλέβα,céva
49,Sehne::N,νεύρο,šlacha
50,Sehne::N,τένοντας,šlacha
51,Knochen::N,οστό,kost
52,Knochen::N,κόκκαλο,kost
53,Gehirn::N,μυαλό,mozek
54,Gehirn::N,εγκέφαλος,mozek
55,Herz::N,καρδιά,srdce
56,Magen::N,στομάχι,žaludek
57,Leber::N,ήπαρ,játra
58,Leber::N,συκωτί,játra
59,Atem::N,αναπνοή,dech
60,Hunger::N,πείνα,hlad
61,Träne::N,δάκρυ,slza
62,Geschmack::N,γεύση,vkus
63,Geruch::N,οσμή,vůně
64,Geruch::N,οσμή,zápach
65,Geruch::N,μυρωδία,vůně
66,Geruch::N,μυρωδία,zápach
67,Schlaf::N,ύπνος,spánek
68,Traum::N,όνειρο,sen
69,Himmel::N,ουρανός,nebe
70,Sonne::N,ήλιος,slunce
71,Mond::N,σελήνη,měsíc
72,Mond::N,φεγγάρι,měsíc
73,Stern::N,άστρο,hvězda
74,Stern::N,αστέρι,hvězda
75,Luft::N,αέρας,vzduch
76,Wind::N,αέρας,vítr
77,Wind::N,άνεμος,vítr
78,Welle::N,κύμα,vlna
79,Wasser::N,νερό,voda
80,Stein::N,πέτρα,kámen
81,Boden::N,χώμα,půda
82,Erde::N,γη,země
83,Staub::N,σκόνη,prach
84,Rauch::N,καπνός,dým
85,Rauch::N,καπνός,kouř
86,Funke::N,σπίθα,jiskra
87,Funke::N,σπινθήρας,jiskra
88,Feuer::N,φωτιά,oheň
89,Licht::N,φως,světlo
90,Schatten::N,σκιά,stín
91,Schatten::N,ίσκιος,stín
92,Wetter::N,καιρός,počasí
93,Nebel::N,ομίχλη,mlha
94,Wolke::N,σύννεφο,mrak
95,Wolke::N,σύννεφο,oblak
96,Regen::N,βροχή,déšť
97,Schnee::N,χιόνι,sníh
98,Eis::N,πάγος,led
99,Frost::N,παγωνία,mráz
100,Kälte::N,κρύο,chlad
101,Kälte::N,ψύχος,chlad
102,Hitze::N,ζέστη,horko
103,Raureif::N,πάχνη,jinovatka
104,Regenbogen::N,ουράνιο τόξο,duha
105,Donner::N,βροντή,hrom
106,Strömung::N,ρεύμα,proudění
107,Tropfen::N,στάλα,kapka
108,Schaum::N,αφρός,pěna
109,Schmutz::N,βρωμιά,špína
110,See::N,λίμνη,jezero
111,Sumpf::N,βάλτος,močál
112,Sumpf::N,βάλτος,bažina
113,Moor::N,έλος,bažina
114,Moor::N,έλος,slatina
115,Wiese::N,λιβάδι,louka
116,Wald::N,δάσος,les
117,Hügel::N,λόφος,kopec
118,Anhöhe::N,ύψωμα,pahorek
119,Berg::N,όρος,hora
120,Berg::N,βουνό,hora
121,Gipfel::N,κορυφή,vrchol
122,Höhle::N,σπηλιά,jeskyně
123,Abhang::N,πλαγιά,svah
124,Abhang::N,πλαγιά,stráň
125,Quelle::N,πηγή,pramen
126,Quelle::N,βρύση,pramen
127,Bach::N,ρυάκι,potok
128,Fluss::N,ποτάμι,řeka
129,Fluss::N,ποταμός,řeka
130,Ufer::N,όχθη,břeh
131,Küste::N,ακτή,pobřeží
132,Küste::N,ακρογιαλιά,pobřeží
133,Festland::N,στεριά,souš
134,Festland::N,στεριά,pevnina
135,Meer::N,θάλασσα,moře
