,Concept_ID,be,bg
0,Auge::N,вока,око
1,Ohr::N,вуха,ухо
2,Nase::N,нос,нос
3,Mund::N,рот,уста
4,Zahn::N,зуб,зъб
5,Zunge::N,язык,език
6,Lippe::N,губа,устна
7,Wange::N,шчака,буза
8,Gesicht::N,твар,лице
9,Gesicht::N,твар,образ
10,Stirn::N,лоб,чело
11,Haar::N,волас,коса
12,Haar::N,волас,косъм
13,Haar::N,валасы,коса
14,Haar::N,валасы,косъм
15,Schnurrbart::N,вус,мустаци
16,Schnurrbart::N,вусы,мустаци
17,Bart::N,барада,брада
18,Kinn::N,падбародак,брада
19,Kinn::N,падбародак,брадичка
20,Kiefer[Anatomie]::N,сківіца,челюст
21,Kehle::N,горла,гърло
22,Hals::N,шыя,врат
23,Genick::N,патыліца,тил
24,Kopf::N,галава,глава
25,Rücken::N,спіна,гръб
26,Bauch::N,жывот,корем
27,Nabel::N,пупок,пъп
28,Busen::N,грудзі,бозка
29,Brust::N,грудзі,гръд
30,Schulter::N,плячо,рамо
31,Schulter::N,плячо,плещи
32,Arm::N,рука,ръка
33,Ellenbogen::N,локаць,лакът
34,Hand::N,кісць,ръка
35,Hand::N,кісць,китка
36,Handfläche::N,далонь,длан
37,Finger::N,палец,пръст
38,Fingernagel::N,ногаць,нокът
39,Nagel[Anatomie]::N,ногаць,нокът
40,Zeh::N,палец,пръст на крак
41,Fuß::N,нага,крак
42,Fuß::N,нага,нога
43,Ferse::N,пята,пета
44,Ferse::N,пятка,пета
45,Knie::N,калена,коляно
46,Oberschenkel::N,бядро,бедро
47,Oberschenkel::N,сцягно,бедро
48,Bein::N,нага,крак
49,Bein::N,нага,нога
50,Körper::N,цела,тяло
51,Haut::N,скура,кожа
52,Blut::N,кроў,кръв
53,Ader::N,вена,вена
54,Ader::N,вена,артерия
55,Ader::N,сасуд,вена
56,Ader::N,сасуд,артерия
57,Sehne::N,жыла,жила
58,Sehne::N,жыла,сухожилие
59,Sehne::N,цеціва,жила
60,Sehne::N,цеціва,сухожилие
61,Sehne::N,сухажылле,жила
62,Sehne::N,сухажылле,сухожилие
63,Knochen::N,косць,кост
64,Gehirn::N,мозг,мозък
65,Herz::N,сэрца,сърце
66,Magen::N,страўнік,стомах
67,Leber::N,печань,черен дроб
68,Atem::N,дыханне,дишане
69,Hunger::N,голад,глад
70,Träne::N,сляза,сълза
71,Geschmack::N,смак,вкус
72,Geruch::N,пах,миризма
73,Schlaf::N,сон,сън
74,Traum::N,сон,сън
75,Himmel::N,неба,небе
76,Sonne::N,сонца,слънце
77,Mond::N,месяц,луна
78,Mond::N,месяц,месец
79,Stern::N,зорка,звезда
80,Luft::N,паветра,въздух
81,Wind::N,вецер,вятър
82,Welle::N,хваля,вълна
83,Wasser::N,вада,вода
84,Stein::N,камень,камък
85,Boden::N,глеба,земя
86,Boden::N,глеба,почва
87,Erde::N,зямля,земя
88,Erde::N,зямля,почва
89,Staub::N,пыл,прах
90,Rauch::N,дым,дим
91,Rauch::N,дым,пушек
92,Funke::N,іскра,искра
93,Feuer::N,агонь,огън
94,Licht::N,святло,светлина
95,Schatten::N,цень,сянка
96,Wetter::N,пагода,време
97,Wetter::N,надворʼе,време
98,Nebel::N,туман,мъгла
99,Wolke::N,воблака,облак
100,Regen::N,дождж,дъжд
101,Schnee::N,снег,сняг
102,Eis::N,лёд,лед
103,Frost::N,мароз,мраз
104,Kälte::N,холад,студ
105,Hitze::N,спёка,жега
106,Hitze::N,спёка,горещина
107,Raureif::N,іней,скреж
108,Raureif::N,іней,слана
109,Regenbogen::N,вясёлка,дъга
110,Donner::N,гром,гръм
111,Strömung::N,цячэнне,течение
112,Tropfen::N,кропля,капка
113,Schaum::N,пена,пяна
114,Schmutz::N,гразь,кал
115,Schmutz::N,гразь,мръсотия
116,See::N,возера,езеро
117,Sumpf::N,багна,блато
118,Moor::N,балота,мочурище
119,Wiese::N,луг,ливада
120,Wald::N,лес,гора
121,Hügel::N,узгорак,рид
122,Hügel::N,узгорак,хълм
123,Anhöhe::N,узвышша,могила
124,Anhöhe::N,узвышша,възвишение
125,Berg::N,гара,планина
126,Gipfel::N,вяршыня,връх
127,Höhle::N,пячора,пещера
128,Abhang::N,схіл,склон
129,Abhang::N,схіл,стръмнина
130,Quelle::N,крыніца,извор
131,Bach::N,ручай,поток
132,Fluss::N,рака,река
133,Ufer::N,бераг,бряг
134,Küste::N,узбярэжжа,бряг
135,Küste::N,узбярэжжа,крайбрежие
136,Festland::N,суша,суша
137,Meer::N,мора,море
138,Bucht::N,бухта,залив
139,Insel::N,востраў,остров
140,Blume::N,кветка,цвете
141,Gras::N,трава,трева
142,Wurzel::N,корань,корен
143,Baum::N,дрэва,дърво
144,Stamm::N,ствол,стъбло
145,Rinde::N,кара,кора
146,Ast::N,сук,клон
147,Zweig::N,галіна,клон
148,Blatt::N,ліст,лист
149,Birke::N,бяроза,бреза
150,Kiefer[Baum]::N,хвоя,бор
151,Kiefer[Baum]::N,сасна,бор
152,Weide[Baum]::N,вярба,върба
153,Tanne::N,яліна,ела
154,Horn::N,рог,рог
155,Feder::N,пяро,перо
156,Fell::N,шкура,кожа
157,Flügel::N,крыло,крило
158,Klaue::N,кіпцюр,нокът
159,Kralle::N,лапа,нокът
160,Schwanz::N,хвост,опашка
161,Ei::N,яйка,яйце
162,Nest::N,гняздо,гнездо
163,Bau::N,нара,дупка
164,Tier::N,жывёла,животно
165,Herde::N,статак,стадо
166,Kuh::N,карова,крава
167,Bulle::N,бык,бик
168,Pferd::N,конь,кон
169,Schaf::N,авечка,овца
170,Schwein::N,свіння,свиня
171,Hund::N,сабака,куче
172,Katze::N,кошка,котка
173,Bär::N,мядзведзь,мечка
174,Eichhörnchen::N,вавёрка,катерица
175,Elch::N,лось,лос
176,Fuchs::N,ліса,лисица
177,Hase::N,заяц,заек
178,Maus::N,мыш,мишка
179,Wolf::N,воўк,вълк
180,Vogel::N,птах,птица
181,Vogel::N,птушка,птица
182,Schwarm::N,чарада,рой
183,Schwarm::N,чарада,рояк
184,Huhn::N,курыца,кокошка
185,Hahn::N,певень,петел
186,Gans::N,гусь,гъска
187,Adler::N,арол,орел
188,Ente::N,качка,патица
189,Eule::N,сава,сова
