,Concept_ID,mn,ta
84,Wetter::N,тэнгэр,வானிலை
85,Wetter::N,цаг уур,வானிலை
86,Nebel::N,будан,பனிமூட்டம்
87,Wolke::N,үүл,மேகம்
88,Regen::N,бороо,மழை
89,Schnee::N,цас,உறைபனி
90,Eis::N,мөс,பனிக்கட்டி
91,Frost::N,хүйт,உறைபனி
92,Kälte::N,хүйт,குளிர்ந்த
93,Hitze::N,халуун,சூடு
94,Raureif::N,цан,உறைபனி வெண்திரை
95,Raureif::N,хяруу,உறைபனி வெண்திரை
96,Regenbogen::N,солонго,வானவில்
97,Donner::N,тэнгэрийн дуу,இடி
98,Strömung::N,урсгал,நீரோட்டம்
99,Tropfen::N,дусал,துளி
100,Schaum::N,хөөс,நுரை
101,Schmutz::N,хир,அழுக்கு
102,Schmutz::N,шавхай,அழுக்கு
103,See::N,нуур,ஏரி
104,Sumpf::N,намаг,சதுப்பு நிலம்
105,Sumpf::N,балчиг,சதுப்பு நிலம்
106,Moor::N,хүлрийн намаг,முட்புதற்காடு
107,Wiese::N,нуга,பசும் புல்தரை
108,Wald::N,ой,காடு
109,Hügel::N,болдог,குன்று
110,Anhöhe::N,гүвээ,பதுக்கை
111,Berg::N,уул,மலை
112,Gipfel::N,орой,உச்சி மாநாடு
113,Gipfel::N,оргил,உச்சி மாநாடு
114,Höhle::N,агуй,குகை
115,Abhang::N,хүр,சரிவு
116,Quelle::N,булаг,மூலம்
117,Bach::N,горхи,ஓடை
118,Fluss::N,гол,ஆறு
119,Fluss::N,мөрөн,ஆறு
120,Ufer::N,эрэг,நீர்க்கரை
121,Küste::N,эрэг,கடற்கரை
122,Festland::N,хуурай газар,நிலம்
123,Meer::N,далай,கடல்
124,Meer::N,тэнгис,கடல்
125,Bucht::N,булан,சிறுகுடா
126,Bucht::N,далайн тохой,சிறுகுடா
127,Insel::N,арал,தீவு
128,Blume::N,цэцэг,பூ
129,Gras::N,өвс,புல்தரை
130,Gras::N,ногоо,புல்தரை
131,Wurzel::N,үндэс,வேர்
132,Baum::N,мод,மரம்
133,Stamm::N,иш,அடிமரம்
134,Stamm::N,гуалин,அடிமரம்
135,Rinde::N,холтос,பட்டை
136,Rinde::N,холтос,மரப்பட்டை
137,Ast::N,гишүү,கினை
138,Zweig::N,салаа,குச்சி
139,Blatt::N,навч,இலை
140,Birke::N,хус,பிர்ச் மரம்
141,Kiefer[Baum]::N,нарс,தேவதாரு மரம்
142,Weide[Baum]::N,уд,மர வகைகளுள் ஒன்று
143,Weide[Baum]::N,бургас,மர வகைகளுள் ஒன்று
144,Tanne::N,гачуур,சாதிக்கய்
145,Horn::N,эвэр,கொம்பு
146,Feder::N,өд,இறகு
147,Fell::N,арьс,மென்முடி
148,Flügel::N,жигүүр,இறக்கை
149,Flügel::N,далавч,இறக்கை
150,Klaue::N,савар,நகம்
151,Klaue::N,хумс,நகம்
152,Kralle::N,савар,நகம்
153,Schwanz::N,сүүл,வால்
154,Ei::N,өндөг,முட்டை
155,Nest::N,үүр,கூடு
156,Bau::N,нүх,குகை
157,Bau::N,элүү,குகை
158,Tier::N,амьтан,விலங்கு
159,Tier::N,адгуус,விலங்கு
160,Herde::N,сүрэг,கூட்டம்
161,Kuh::N,үнээ,பசு
162,Bulle::N,бух,காளை
163,Pferd::N,морь,குதிரை
164,Pferd::N,адуу,குதிரை
165,Schaf::N,хонь,செம்மறிஆடு
166,Schwein::N,гахай,பன்றி
167,Hund::N,нохой,நாய்
168,Katze::N,муур,பூனை
169,Katze::N,мигуй,பூனை
170,Bär::N,баавгай,கரடி
171,Eichhörnchen::N,хэрэм,அணில்
172,Elch::N,хандгай,கடம்பை
173,Fuchs::N,үнэг,நரி
174,Hase::N,туулай,முயல்
175,Maus::N,хулгана,எலி
176,Wolf::N,чоно,ஓநாய்
177,Vogel::N,шувуу,பறவை
178,Schwarm::N,сүрэг,தொகுதி
179,Huhn::N,тахиа,கோழிக்குஞசு
180,Hahn::N,эр тахиа,சேவல்
181,Gans::N,галуу,பெண் வாத்து
182,Adler::N,бүргэд,பருநது
183,Ente::N,нугас,வாத்து
184,Eule::N,ууль,ஆந்தை
185,Kranich::N,тогоруу,நாரை
186,Krähe::N,хэрээ,காகம்
187,Kuckuck::N,хөхөө,குயில்
188,Schwan::N,хун,அன்னம்
189,Fisch::N,загас,மீன்
190,Barsch::N,алгана,பேர்ச்
191,Hecht::N,цурхай,கோலாச்சி மீன்
192,Schlange[Tier]::N,могой,பாம்பு
193,Wurm::N,өт,புழு
194,Wurm::N,хорхой,புழு
195,Spinne::N,аалз,சிலந்தி
196,Ameise::N,шоргоолж,எறும்பு
197,Laus::N,бөөс,பேன்
198,Mücke::N,шумуул,கொசுவினப்பூச்சி
199,Fliege::N,ялаа,ஈ
200,Schmetterling::N,эрвээхэй,வண்ணத்துப்பூச்சி
201,Beere::N,жимсгэнэ,சதைப்பழம்
202,Apfel::N,алим,ஆப்பிள பழம்
203,Pilz::N,мөөг,காளான்
204,Zwiebel::N,сонгино,வெங்காயம்
205,Saat::N,тариа,விதை
206,Korn::N,үр,தானியம்
207,Korn::N,мөхлөг,தானியம்
208,Heu::N,өвс,வைக்கோல்
209,Schale::N,хальс,தோல்
210,Grube::N,алам,குழி
211,Grube::N,нүх,குழி
212,Falle::N,хавх,பொறி
213,Falle::N,занга,பொறி
214,Schlinge::N,урхи,கண்ணி
215,Spur::N,мөр,சுவடு
216,Asche::N,үнс,சாம்பல்
217,Dreck::N,хир,அழுக்கு
218,Eisen::N,төмөр,இரும்பு
219,Gold::N,алт,தங்கம்
220,Silber::N,мөнгө,வெள்ளி
221,Kohle::N,нүүрс,நிலக்கரி
222,Glas::N,шил,கண்ணாடி
223,Lehm::N,шавар,களிமண்
224,Sand::N,элс,மணல்
225,Mensch::N,хүн,மனிதர்கள்
226,Mann::N,эр,மனிதன்
227,Mann::N,эрэгтэй,மனிதன்
228,Frau::N,эмэгтэй,பெண்
229,Frau::N,хатагтай,பெண்
230,Kind::N,хүүхэд,குழந்தை
231,Junge::N,хүү,பையன்
232,Mädchen::N,охин,சிறுமி
