,Concept_ID,sk,da
0,Auge::N,oko,øje
1,Ohr::N,ucho,øre
2,Nase::N,nos,næse
3,Mund::N,ústa,mund
4,Zahn::N,zub,tand
5,Zunge::N,jazyk,tunge
6,Lippe::N,pera,læbe
7,Wange::N,líce,kind
8,Gesicht::N,tvár,ansigt
9,Gesicht::N,obličaj,ansigt
10,Stirn::N,čelo,pande
11,Haar::N,vlas,hår
12,Schnurrbart::N,fúzy,overskæg
13,Bart::N,brada,skæg
14,Kinn::N,brada,hage
15,Kiefer[Anatomie]::N,čeľusť,kæbe
16,Kehle::N,hrdlo,strube
17,Hals::N,krk,hals
18,Genick::N,väzy,nakke
19,Kopf::N,hlava,hoved
20,Rücken::N,chrbát,ryg
21,Bauch::N,brucho,mave
22,Nabel::N,pupok,navle
23,Busen::N,prsia,barm
24,Brust::N,hruď,bryst
25,Schulter::N,plece,skulder
26,Arm::N,rameno,arm
27,Ellenbogen::N,lakeť,albue
28,Hand::N,ruka,hånd
29,Handfläche::N,dlaň,håndflade
30,Finger::N,prst,finger
31,Fingernagel::N,necht,fingernegl
32,Nagel[Anatomie]::N,necht,negl
33,Zeh::N,prst na nohe,tå
34,Fuß::N,noha,fod
35,Ferse::N,päta,hæl
36,Knie::N,koleno,knæ
37,Oberschenkel::N,stehno,lår
38,Bein::N,noha,ben
39,Körper::N,telo,krop
40,Körper::N,telo,legeme
41,Haut::N,koža,hud
42,Blut::N,krv,blod
43,Ader::N,žila,åre
44,Sehne::N,šľacha,sene
45,Knochen::N,kosť,ben
46,Gehirn::N,mozog,hjerne
47,Herz::N,srdce,hjerte
48,Magen::N,žalúdok,mave
49,Leber::N,pečeň,lever
50,Atem::N,dych,ånde
51,Hunger::N,hlad,sult
52,Träne::N,slza,tåre
53,Geschmack::N,chuť,smag
54,Geruch::N,pach,lugt
55,Schlaf::N,spánok,søvn
56,Traum::N,sen,drøm
57,Himmel::N,nebo,himmel
58,Sonne::N,slnko,sol
59,Mond::N,mesiac,måne
60,Stern::N,hviezda,stjerne
61,Luft::N,vzduch,luft
62,Wind::N,vietor,vind
63,Welle::N,vlna,bølge
64,Wasser::N,voda,vand
65,Stein::N,kameň,sten
66,Boden::N,zem,jord
67,Boden::N,pôda,jord
68,Erde::N,zem,jord
69,Staub::N,prach,støv
70,Rauch::N,dym,røg
71,Funke::N,iskra,gnist
72,Feuer::N,oheň,ild
73,Licht::N,svetlo,lys
74,Schatten::N,tieň,skygge
75,Wetter::N,počasie,vejr
76,Nebel::N,hmla,tåge
77,Wolke::N,oblak,sky
78,Wolke::N,mračno,sky
79,Regen::N,dážď,regn
80,Schnee::N,sneh,sne
81,Eis::N,ľad,is
82,Frost::N,mráz,frost
83,Kälte::N,zima,kulde
84,Kälte::N,chlad,kulde
85,Hitze::N,horúčava,hede
86,Raureif::N,srieň,rimfrost
87,Raureif::N,inovať,rimfrost
88,Regenbogen::N,dúha,regnbue
89,Donner::N,hrom,torden
90,Strömung::N,prúdenie,strømning
91,Tropfen::N,kvapka,dråbe
92,Schaum::N,pena,skum
93,Schmutz::N,špina,snavs
94,Schmutz::N,nečistota,snavs
95,See::N,jazero,sø
96,Sumpf::N,bahno,sump
97,Moor::N,močiar,mose
98,Wiese::N,lúka,eng
99,Wald::N,les,skov
100,Wald::N,hora,skov
101,Hügel::N,vŕšok,høj
102,Hügel::N,vŕšok,bakke
103,Anhöhe::N,výšina,høj
104,Anhöhe::N,výšina,bakke
105,Anhöhe::N,vyvýšenina,høj
106,Anhöhe::N,vyvýšenina,bakke
107,Berg::N,hora,bjerg
108,Gipfel::N,vrchol,top
109,Höhle::N,jaskyňa,hule
110,Abhang::N,úbočie,skrænt
111,Abhang::N,úbočie,skråning
112,Quelle::N,prameň,kilde
113,Bach::N,potok,bæk
114,Fluss::N,rieka,flod
115,Ufer::N,breh,bred
116,Küste::N,pobrežie,kyst
117,Festland::N,pevnina,fastland
118,Meer::N,more,hav
119,Bucht::N,záliv,bugt
120,Bucht::N,zátoka,bugt
121,Insel::N,ostrov,ø
122,Blume::N,kvet,blomst
123,Blume::N,kvetina,blomst
124,Gras::N,tráva,græs
125,Wurzel::N,koreň,rod
126,Baum::N,strom,træ
127,Stamm::N,kmeň,stamme
128,Rinde::N,kôra,bark
129,Ast::N,konár,gren
130,Zweig::N,vetva,kvist
131,Blatt::N,list,blad
132,Birke::N,breza,birk
133,Kiefer[Baum]::N,sosna,fyrretræ
134,Kiefer[Baum]::N,borovica,fyrretræ
135,Weide[Baum]::N,vŕba,piletræ
136,Tanne::N,jedľa,gran
137,Horn::N,roh,horn
138,Feder::N,pero,fjer
139,Fell::N,koža,skind
140,Fell::N,kožušina,skind
141,Flügel::N,krídlo,vinge
142,Klaue::N,paznecht,klov
143,Kralle::N,pazúr,klo
144,Schwanz::N,chvost,hale
145,Ei::N,vajce,æg
146,Ei::N,vajíčko,æg
147,Nest::N,hniezdo,rede
148,Bau::N,nora,bo
149,Tier::N,zviera,dyr
150,Herde::N,stádo,flok
151,Kuh::N,krava,ko
152,Bulle::N,býk,tyr
153,Pferd::N,kôň,hest
154,Schaf::N,ovca,får
155,Schwein::N,sviňa,gris
156,Hund::N,pes,hund
157,Katze::N,mačka,kat
158,Bär::N,medveď,bjørn
159,Eichhörnchen::N,veverička,egern
160,Elch::N,los,elg
161,Fuchs::N,líška,ræv
162,Hase::N,zajac,hare
163,Maus::N,myš,mus
164,Wolf::N,vlk,ulv
165,Vogel::N,vták,fugl
166,Schwarm::N,roj,sværm
167,Huhn::N,kurča,høne
168,Huhn::N,sliepka,høne
169,Hahn::N,kohút,hane
170,Gans::N,hus,gås
171,Adler::N,orol,ørn
172,Ente::N,kačka,and
173,Ente::N,kačica,and
174,Eule::N,sova,ugle
175,Kranich::N,žeriav,trane
176,Krähe::N,vrana,krage
177,Kuckuck::N,kukučka,gøg
178,Schwan::N,labuť,svane
179,Fisch::N,ryba,fisk
180,Barsch::N,ostriež,aborre
181,Hecht::N,šťuka,gedde
182,Schlange[Tier]::N,had,slange
183,Wurm::N,červ,orm
184,Spinne::N,pavúk,edderkop
185,Ameise::N,mravec,myre
186,Laus::N,voš,lus
187,Mücke::N,komár,myg
188,Fliege::N,mucha,flue
189,Schmetterling::N,motýľ,sommerfugl
190,Beere::N,bobuľa,bær
191,Apfel::N,jablko,æble
192,Pilz::N,hríb,svamp
193,Zwiebel::N,cibuľa,løg
194,Saat::N,osivo,sæd
195,Korn::N,zrno,korn
196,Heu::N,seno,hø
197,Schale::N,šupa,skræl
198,Schale::N,škrupina,skræl
199,Grube::N,jama,grav
200,Falle::N,pasca,fælde
201,Falle::N,klepec,fælde
202,Schlinge::N,slučka,snare
