,Concept_ID,ja,he
0,Auge::N,目,עין
1,Ohr::N,耳,אזן
2,Nase::N,鼻,אף
3,Nase::N,鼻,חטם
4,Mund::N,口,פה
5,Zahn::N,歯,שן
6,Zunge::N,舌,לשון
7,Lippe::N,唇,שפה
8,Wange::N,頬,לחי
9,Gesicht::N,顔,פנים
10,Stirn::N,額,מצח
11,Haar::N,髪,שערה
12,Schnurrbart::N,口髭,שפם
13,Bart::N,髭,זקן
14,Kinn::N,顎,סנטר
15,Kiefer[Anatomie]::N,顎,לסת
16,Kehle::N,喉,גרון
17,Hals::N,首,צואר
18,Genick::N,首,ערף
19,Kopf::N,頭,ראש
20,Rücken::N,背中,גב
21,Bauch::N,腹,בטן
22,Bauch::N,お腹,בטן
23,Nabel::N,へそ,טבור
24,Busen::N,乳房,שד
25,Brust::N,胸,חזה
26,Schulter::N,肩,כתף
27,Arm::N,腕,זרוע
28,Ellenbogen::N,肘,מרפק
29,Hand::N,手,יד
30,Handfläche::N,手のひら,כף יד
31,Finger::N,指,אצבע
32,Fingernagel::N,爪,צפרן
33,Nagel[Anatomie]::N,爪,צפרן
34,Zeh::N,足の指,אצבע
35,Fuß::N,足,רגל
36,Ferse::N,かかと,עקב
37,Knie::N,膝,ברך
38,Oberschenkel::N,上腿,ירך
39,Bein::N,足,רגל
40,Körper::N,体,גוף
41,Haut::N,皮膚,עור
42,Blut::N,血,דם
43,Ader::N,血管,וריד
44,Sehne::N,腱,גיד
45,Knochen::N,骨,עצם
46,Gehirn::N,脳,מוח
47,Herz::N,心,לב
48,Herz::N,心臓,לב
49,Magen::N,胃,קבה
50,Leber::N,肝臓,כבד
51,Atem::N,息,נשימה
52,Atem::N,呼吸,נשימה
53,Hunger::N,空腹,רעב
54,Träne::N,涙,דמעה
55,Geschmack::N,味,טעם
56,Geruch::N,匂い,ריח
57,Schlaf::N,睡眠,שנה
58,Traum::N,夢,חלום
59,Himmel::N,空,שמים
60,Sonne::N,太陽,שמש
61,Mond::N,月,ירח
62,Stern::N,星,כוכב
63,Luft::N,空気,אויר
64,Wind::N,風,רוח
65,Welle::N,波,גל
66,Wasser::N,水,מים
67,Stein::N,石,אבן
68,Boden::N,土地,קרקע
69,Erde::N,土,אדמה
70,Staub::N,埃,אבק
71,Rauch::N,煙,עשן
72,Funke::N,火花,ניצוץ
73,Feuer::N,火,אש
74,Licht::N,光,אור
75,Schatten::N,陰,צל
76,Wetter::N,天気,מזג אויר
77,Nebel::N,霧,ערפל
78,Wolke::N,雲,ענן
79,Regen::N,雨,גשם
80,Schnee::N,雪,שלג
81,Eis::N,氷,קרח
82,Frost::N,霜,צנה
83,Kälte::N,寒さ,קר
84,Hitze::N,暑さ,חם
85,Raureif::N,霧氷,כפור
86,Regenbogen::N,虹,קשת
87,Donner::N,雷,רעם
88,Strömung::N,流れ,זרימה
89,Tropfen::N,滴,טפה
90,Schaum::N,泡,קצף
91,Schmutz::N,汚れ,לכלוך
92,See::N,湖,אגם
93,Sumpf::N,沼,בצה
94,Moor::N,湿原,בצה
95,Wiese::N,草原,מרעה
96,Wald::N,森,יער
97,Hügel::N,丘,תל
98,Anhöhe::N,高み,מעלה
99,Berg::N,山,הר
100,Gipfel::N,頂上,פסגה
101,Höhle::N,洞窟,מערה
102,Abhang::N,斜面,מדרון
103,Abhang::N,斜面,שפוע
104,Quelle::N,泉,מעין
105,Bach::N,小川,נחל
106,Fluss::N,川,נהר
107,Ufer::N,岸,גדה
108,Küste::N,海岸,חוף
109,Festland::N,陸,יבשה
110,Meer::N,海,ים
111,Bucht::N,湾,מפרץ
112,Insel::N,島,אי
113,Blume::N,花,פרח
114,Gras::N,草,דשא
115,Wurzel::N,根,שרש
116,Baum::N,木,עץ
117,Stamm::N,幹,גזע
118,Rinde::N,皮層,קלפת עץ
119,Ast::N,枝,ענף
120,Zweig::N,小枝,ענף
121,Blatt::N,葉,עלה
122,Birke::N,樺,שדר
123,Kiefer[Baum]::N,松,ארן
124,Weide[Baum]::N,柳,ערבה
125,Tanne::N,樅,אשוח
126,Horn::N,角,קרן
127,Feder::N,羽根,נוצה
128,Fell::N,毛皮,פרוה
129,Flügel::N,羽,כנף
130,Klaue::N,鉤爪,טלף
131,Kralle::N,爪,טפר
132,Schwanz::N,尻尾,זנב
133,Ei::N,卵,ביצה
134,Nest::N,巣,קן
135,Bau::N,穴,מחלה
136,Tier::N,動物,חיה
137,Herde::N,群れ,עדר
138,Kuh::N,牛,פרה
139,Bulle::N,雄牛,פר
140,Pferd::N,馬,סוס
141,Schaf::N,羊,כבשה
142,Schwein::N,豚,חזיר
143,Hund::N,犬,כלב
144,Katze::N,猫,חתול
145,Bär::N,熊,דב
146,Eichhörnchen::N,栗鼠,סנאי
147,Elch::N,ヘラジカ,דישון
148,Fuchs::N,狐,שועל
149,Hase::N,兎,ארנב
150,Maus::N,鼠,עכבר
151,Wolf::N,狼,זאב
152,Vogel::N,鳥,צפור
153,Schwarm::N,群れ,נחיל
154,Schwarm::N,群れ,להקה
155,Huhn::N,鶏,תרנגלת
156,Hahn::N,雄鶏,תרנגול
157,Gans::N,ガチョウ,אוז
158,Adler::N,鷲,עיט
159,Ente::N,鴨,ברוז
160,Eule::N,フクロウ,ינשוף
161,Kranich::N,鶴,עגור
162,Kranich::N,鶴,כרוכיה
163,Krähe::N,烏,עורב
164,Kuckuck::N,郭公,קוקיה
165,Schwan::N,白鳥,ברבור
166,Fisch::N,魚,דג
167,Barsch::N,鱸,אוקונוס
168,Hecht::N,川魳,זאב הים
169,Schlange[Tier]::N,蛇,נחש
170,Wurm::N,虫,תולעת
171,Spinne::N,蜘蛛,עכביש
172,Ameise::N,蟻,נמלה
173,Laus::N,虱,כנה
174,Mücke::N,蚊,יתוש
175,Fliege::N,蝿,זבוב
176,Schmetterling::N,蝶,פרפר
177,Beere::N,漿果,ענבה
178,Apfel::N,林檎,תפוח
179,Pilz::N,茸,פטריה
180,Zwiebel::N,玉葱,בצל
181,Saat::N,種,זרעים
182,Korn::N,粒,גרעין
183,Heu::N,干し草,חציר
184,Schale::N,皮,קלפה
185,Grube::N,穴,בור
186,Grube::N,穴,שוחה
187,Falle::N,わな,מלכדת
188,Schlinge::N,輪,לולאה
189,Spur::N,跡,עקבה
190,Asche::N,灰,אפר
191,Dreck::N,泥,זהמה
192,Eisen::N,鉄,ברזל
193,Gold::N,金,זהב
194,Silber::N,銀,כסף
195,Kohle::N,炭,פחם
196,Glas::N,ガラス,זכוכית
197,Lehm::N,ローム,חרסית
198,Sand::N,砂,חול
199,Mensch::N,人,אדם
200,Mann::N,男,איש
201,Mann::N,男,גבר
202,Mann::N,男性,איש
203,Mann::N,男性,גבר
204,Frau::N,女,אשה
205,Frau::N,女,גברת
206,Frau::N,女性,אשה
207,Frau::N,女性,גברת
208,Kind::N,子,ילד
209,Kind::N,子供,ילד
210,Junge::N,男の子,ילד
211,Mädchen::N,女の子,נערה
212,Familie::N,家族,משפחה
213,Großvater::N,祖父,סבא
214,Großvater::N,おじいさん,סבא
215,Großmutter::N,祖母,סבתא
216,Großmutter::N,おばあさん,סבתא
217,Eltern::N,親,הורים
218,Eltern::N,両親,הורים
219,Vater::N,父,אב
220,Vater::N,お父さん,אב
221,Mutter::N,母,אם
222,Mutter::N,お母さん,אם
223,Sohn::N,息子,בן
224,Sohn::N,息子さん,בן
225,Tochter::N,娘,בת
226,Tochter::N,お嬢さん,בת
227,Bruder::N,弟,אח
228,Schwester::N,妹,אחות
229,Onkel::N,伯父,דוד
230,Onkel::N,伯父さん,דוד
231,Tante::N,叔母,דודה
232,Tante::N,叔母さん,דודה
233,Ehemann::N,夫,איש
234,Ehemann::N,夫,בעל
235,Ehemann::N,主人,איש
236,Ehemann::N,主人,בעל
237,Ehefrau::N,妻,אשה
238,Ehefrau::N,奥さん,אשה
239,Freude::N,喜び,שמחה
240,Gelächter::N,笑い,צחוק
241,Glück::N,幸せ,אשר
242,Kummer::N,悩み,יגון
243,Kummer::N,悩み,עגמה
244,Wunsch::N,希望,אחול
245,Wunsch::N,希望,משאלה
246,Lust::N,気,חשק
247,Lust::N,気,תשוקה
248,Geist::N,精神,רוח
249,Gedanke::N,考え,מחשבה
250,Gedächtnis::N,記憶,זכרון
251,Verstand::N,理解力,שכל
252,Sinn::N,意味,מובן
253,Sinn::N,意味,משמעות
254,Grund::N,理由,סבה
255,Wahrheit::N,真実,אמת
256,Gespräch::N,会話,דיון
257,Märchen::N,童話,אגדה
258,Erzählung::N,物語,ספור
259,Nachricht::N,報告,ידיעה
260,Neuigkeit::N,ニュース,חדשה
261,Name::N,名前,שם
262,Rätsel::N,謎,תעלומה
263,Rede::N,演説,נאום
264,Sprache::N,言語,לשון
265,Stimme::N,声,קול
266,Wort::N,言葉,מלה
267,Zeichen::N,記号,סימן
268,Ruf::N,呼び声,קריאה
269,Lärm::N,騒音,רעש
270,Laut::N,音,הגה
271,Ton::N,音,צליל
272,Lied::N,歌,שיר
273,Ruhe::N,静けさ,שלוה
274,Leute::N,人々,אנשים
275,Volk::N,民族,עם
276,Arbeit::N,仕事,עבודה
277,Gast::N,客,אורח
278,Geschenk::N,贈り物,מתנה
279,Spiel::N,遊び,משחק
280,Gesellschaft::N,社会,חברה
281,Hilfe::N,援助,עזרה
282,Freund::N,友達,חבר
283,Freund::N,友達,ידיד
284,Kamerad::N,同志,רע
285,Angelegenheit::N,件,ענין
286,Anzahl::N,数,מספר
287,Art::N,種類,סוג
288,Stück::N,部分,חתיכה
289,Teil::N,部分,פרק
290,Hälfte::N,半分,חצי
291,Kreis::N,円,מעגל
292,Kreuz::N,十字,צלב
293,Linie::N,線,קו
294,Strich::N,線,קו קצר
295,Abstand::N,距離,מרחק
296,Entfernung::N,距離,מרחק
297,Gegend::N,辺,נוף
298,Gegend::N,地域,נוף
299,Platz::N,ゆとり,שטח
