,Concept_ID,udm,pl
0,Auge::N,син,oko
1,Ohr::N,пель,ucho
2,Nase::N,ныр,nos
3,Mund::N,ым,usta
4,Zahn::N,пинь,ząb
5,Zunge::N,кыл,język
6,Lippe::N,ымдур,warga
7,Wange::N,бам,policzek
8,Gesicht::N,ымныр,twarz
9,Stirn::N,кымес,czoło
10,Haar::N,йырси,włos
11,Haar::N,йырси,włosy
12,Schnurrbart::N,мыйык,wąsy
13,Bart::N,туш,broda
14,Kinn::N,ангес,podbródek
15,Kiefer[Anatomie]::N,ан,czeluść
16,Kiefer[Anatomie]::N,анлы,czeluść
17,Kehle::N,гульым,gardło
18,Hals::N,чырты,szyja
19,Genick::N,йырбер,kark
20,Kopf::N,йыр,głowa
21,Rücken::N,мыш,plecy
22,Rücken::N,мыш,grzbiet
23,Bauch::N,кӧт,brzuch
24,Nabel::N,гогы,pępek
25,Busen::N,ноны,biust
26,Brust::N,мӧля,pierś
27,Schulter::N,пельпум,bark
28,Schulter::N,пельпум,ramię
29,Arm::N,суй,ręka
30,Arm::N,суй,ramię
31,Ellenbogen::N,гырпум,łokieć
32,Hand::N,ки,dłoń
33,Handfläche::N,ки пыдэс,dłoń
34,Handfläche::N,кырым пыдэс,dłoń
35,Finger::N,чиньы,palec
36,Fingernagel::N,гижы,paznokieć
37,Fingernagel::N,гиждӥнь,paznokieć
38,Nagel[Anatomie]::N,гижы,paznokieć
39,Zeh::N,пыдчиньы,palec
40,Fuß::N,пыд,stopa
41,Ferse::N,пыдбер,pięta
42,Knie::N,пыдес,kolano
43,Oberschenkel::N,макес,udo
44,Bein::N,пыд,noga
45,Körper::N,мугор,ciało
46,Körper::N,вылтыр,ciało
47,Haut::N,ку,skóra
48,Blut::N,вир,krew
49,Ader::N,вирсэр,żyła
50,Sehne::N,вуж,ścięgno
51,Knochen::N,лы,kość
52,Gehirn::N,вим,mózg
53,Herz::N,сюлэм,serce
54,Magen::N,ӝуш,żołądek
55,Leber::N,мус,wątroba
56,Atem::N,лул,dech
57,Atem::N,лул,oddech
58,Atem::N,шокан,dech
59,Atem::N,шокан,oddech
60,Hunger::N,кӧтсюман,głód
61,Träne::N,синкыли,łza
62,Geschmack::N,шӧм,smak
63,Geruch::N,зын,woń
64,Geruch::N,зын,zapach
65,Schlaf::N,вӧт,sen
66,Traum::N,уйвӧт,sen
67,Himmel::N,ин,niebo
68,Sonne::N,шунды,słońce
69,Mond::N,толэзь,księżyc
70,Stern::N,кизили,gwiazda
71,Luft::N,омыр,powietrze
72,Wind::N,тӧл,wiatr
73,Welle::N,тулкым,fala
74,Wasser::N,ву,woda
75,Stein::N,из,kamień
76,Boden::N,музъем,grunt
77,Erde::N,му,ziemia
78,Staub::N,пыль,pył
79,Staub::N,пыль,kurz
80,Rauch::N,ӵын,dym
81,Funke::N,гизьы,iskra
82,Feuer::N,тыл,ogień
83,Licht::N,тыл,światło
84,Schatten::N,вужер,cień
85,Wetter::N,куазь,pogoda
86,Nebel::N,бус,mgła
87,Wolke::N,пилем,obłok
88,Wolke::N,пилем,chmura
89,Regen::N,зор,deszcz
90,Schnee::N,лымы,śnieg
91,Eis::N,йӧ,lód
92,Frost::N,кезьыт,mróz
93,Kälte::N,кезьыт,chłód
94,Hitze::N,пӧсь,gorąco
95,Raureif::N,гӧр,szron
96,Regenbogen::N,вуюись,tęcza
97,Donner::N,гудыри,grzmot
98,Strömung::N,бызён,nurt
99,Tropfen::N,шапык,kropla
100,Schaum::N,шукы,piana
101,Schmutz::N,нӧд,brud
102,Schmutz::N,дэри,brud
103,See::N,ты,jezioro
104,Sumpf::N,нюр,bagno
105,Moor::N,нюр,bagno
106,Wiese::N,возь,łąka
107,Wiese::N,возьвыл,łąka
108,Wald::N,сик,las
109,Wald::N,нюлэс,las
110,Hügel::N,выр,pagórek
111,Hügel::N,вырйыл,pagórek
112,Anhöhe::N,выр,wzgórze
113,Anhöhe::N,вырйыл,wzgórze
114,Berg::N,гурезь,góra
115,Gipfel::N,йыл,szczyt
116,Gipfel::N,йыл,wierzchołek
117,Höhle::N,гу,pieczara
118,Abhang::N,бам,stok
119,Abhang::N,бам,zbocze
120,Quelle::N,ошмес,zdrój
121,Quelle::N,ошмес,źródło
122,Bach::N,пичи шур,potok
123,Bach::N,пичи шур,strumień
124,Fluss::N,шур,rzeka
125,Ufer::N,ярдур,brzeg
126,Küste::N,вудур,wybrzeże
127,Festland::N,мувыр,ląd
128,Meer::N,зарезь,morze
129,Bucht::N,вукож,zatoka
130,Insel::N,вумуӵ,wyspa
131,Insel::N,шормуӵ,wyspa
132,Blume::N,сяська,kwiat
133,Gras::N,турын,trawa
134,Wurzel::N,выжы,korzeń
135,Baum::N,пу,drzewo
136,Stamm::N,модос,pień
137,Rinde::N,сул,kora
138,Ast::N,ул,gałąź
139,Zweig::N,вай,gałąź
140,Blatt::N,куар,liść
141,Birke::N,кызьпу,brzoza
142,Kiefer[Baum]::N,пужым,sosna
143,Weide[Baum]::N,бадьпу,wierzba
144,Tanne::N,кыз,jodła
145,Horn::N,сюр,róg
146,Feder::N,тылы,pióro
147,Fell::N,ку,futro
148,Flügel::N,бурд,skrzydło
149,Klaue::N,гижы,szpon
150,Kralle::N,пыд,pazur
151,Schwanz::N,быж,ogon
152,Ei::N,пуз,jajko
153,Ei::N,кукей,jajko
