,Concept_ID,te,kv
0,Auge::N,కన్ను,син
1,Ohr::N,చెవి,пель
2,Nase::N,ముక్కు,ныр
3,Mund::N,నోరు,ӧм
4,Zahn::N,పల్లు,пинь
5,Zunge::N,నాలుక,кыв
6,Lippe::N,పెదవి,тырп
7,Wange::N,చెంప,рожабан
8,Gesicht::N,ముఖము,бан
9,Stirn::N,నుదురు,кымӧс
10,Haar::N,వెండ్రుక,юрси
11,Schnurrbart::N,మీసము,уссэз
12,Bart::N,గడ్డము,тош
13,Kinn::N,గడ్డము,тшӧка
14,Kiefer[Anatomie]::N,దౌడ,ан
15,Kehle::N,గొంతు,юан
16,Hals::N,మెడ,юан
17,Genick::N,మూపు,юр бӧр
18,Kopf::N,తల,юр
19,Rücken::N,వెన్ను,мышк
20,Bauch::N,కడుపు,кынӧм
21,Nabel::N,బొడ్డు,гӧг
22,Busen::N,స్తనము,морос
23,Brust::N,ఱొమ్ము,морос
24,Schulter::N,భుజము,пельпон
25,Arm::N,చేయి,ки
26,Ellenbogen::N,మోచేయి,гырдзза
27,Hand::N,చేయి,кикар
28,Handfläche::N,అరచేయు,ки пыдӧс
29,Finger::N,చేతిప్రేలు,чунь
30,Fingernagel::N,గోరు,гыж
31,Nagel[Anatomie]::N,గోరు,гыж
32,Zeh::N,కాలిప్రేలు,чунь
33,Fuß::N,అడుగు,кокпыдӧс
34,Ferse::N,మడమ,кокдзир
35,Knie::N,మోకాలు,пидзӧс
36,Oberschenkel::N,తొడ,лядьбей
37,Bein::N,కాలు,кок
38,Körper::N,కాయము,вывтыр
39,Haut::N,చర్మము,кучик
40,Blut::N,రక్తము,вир
41,Ader::N,సిర,сӧн
42,Sehne::N,స్నాయువు,жила
43,Knochen::N,ఎముక,коска
44,Gehirn::N,మెదడు,вем
45,Herz::N,హృదయము,сьӧлӧм
46,Magen::N,కడుపు,жӧвдӧк
47,Leber::N,కాలేయము,мус
48,Atem::N,ఉపిరి,лолалӧм
49,Hunger::N,ఆకలి,тшыг
50,Träne::N,కన్నీటిచుక్క,синва
51,Geschmack::N,రుచి,кӧр
52,Geruch::N,వాసన,дук
53,Schlaf::N,నిద్ర,он
54,Traum::N,కల,вӧт
55,Himmel::N,ఆకాశము,небо
56,Sonne::N,సూర్యుడు,шондi
57,Mond::N,చంద్రుడు,тӧлiсь
58,Stern::N,నక్షత్రము,кӧдзыв
59,Luft::N,గాలి,ру
60,Wind::N,వీచుచున్నగాలి,тӧв
61,Welle::N,అల,гы
62,Wasser::N,నీరు,ва
63,Stein::N,ఱాయి,из
64,Boden::N,నేల,му
65,Erde::N,మన్ను,му
66,Staub::N,దుమ్ము,бус
67,Rauch::N,పొగ,тшын
68,Funke::N,అగ్నికణము,бичир
69,Feuer::N,అగ్ని,би
70,Licht::N,కాంతి,би
71,Schatten::N,నీడ,вуджӧр
72,Wetter::N,వాతావరణ స్థితి,погоддя
73,Nebel::N,పొగమంచు,туман
74,Wolke::N,మేఘము,кымӧр
75,Regen::N,వాన,зэр
76,Schnee::N,హిమము,лым
77,Eis::N,మంచుగడ్డ,йы
78,Frost::N,పేరిన మంచు,мороз
79,Kälte::N,చలి,кӧдзыт
80,Hitze::N,వేడిమి,ӧд
81,Raureif::N,మంచు,кижа
82,Regenbogen::N,ఇంద్రధనుస్సు,енӧшка
83,Donner::N,ఉరుము,гым
84,Strömung::N,ప్రవాహము,визывтӧм
85,Tropfen::N,చుక్క,тёп
86,Schaum::N,నురుగు,быг
87,Schmutz::N,మైల,нять
88,See::N,సరస్సు,ты
89,Sumpf::N,చిత్తడినేల,арай
90,Moor::N,చిత్తడినేల,нюр
91,Wiese::N,పచ్చిక బయలు,видз
92,Wald::N,అడవి,вӧр
93,Hügel::N,చివ్నకొండ,мыльк
94,Anhöhe::N,కొండ,вывтас
95,Anhöhe::N,కొండ,вылынін
96,Berg::N,పర్వతము,керӧс
97,Gipfel::N,శిఖరము,йыв
98,Höhle::N,గుహ,нора
99,Abhang::N,ఏటవాలు,покат
100,Quelle::N,మూలము,больган
101,Bach::N,కాలువ,шор
102,Fluss::N,నది,ю
103,Ufer::N,తీరము,берег
104,Küste::N,తీరము,берег
105,Festland::N,భూమి,му
106,Meer::N,సముద్రము,море
107,Bucht::N,మరుగు,курья
108,Insel::N,దీవి,
109,Blume::N,పుష్పము,цветок
110,Gras::N,పచ్చగడ్డి,турун
111,Wurzel::N,వేరు,вуж
112,Baum::N,చెట్టు,пу
113,Stamm::N,చెట్టుబోదె,мыр
114,Stamm::N,చెట్టుబోదె,кер
115,Rinde::N,చెట్టుపట్ట,кач
116,Ast::N,కొమ్మ,ув
117,Zweig::N,చివుకు,ув
118,Blatt::N,ఆకు,лист
119,Birke::N,తరహా చెట్టు,кыдз
120,Kiefer[Baum]::N,దేవదారు చెట్టు,пожум
121,Weide[Baum]::N,జాతిచెట్టు,бадь
122,Tanne::N,దేవదారుచెట్టు,кӧз
123,Horn::N,కొమ్ము,сюр
124,Feder::N,ఈక,гӧн
125,Fell::N,తోలు,кучик
126,Flügel::N,ఱెక్క,борд
127,Klaue::N,వంకరగోరు,гыж
128,Kralle::N,వంకరగోరు,кабыр
129,Schwanz::N,తోక,бӧж
130,Ei::N,గ్రుడ్డు,кольть
131,Nest::N,పక్షిగూడు,поз
132,Bau::N,గుహ,осьта
133,Bau::N,గుహ,нора
134,Tier::N,జంతువు,зверь
135,Herde::N,మంద,гурт
136,Kuh::N,ఆవు,мӧс
137,Bulle::N,గిత్త,ӧшка
138,Pferd::N,గుఱ్ఱము,вӧв
139,Schaf::N,గొఱ్ఱె,баля
140,Schwein::N,పంది,порсь
141,Hund::N,కుక్క,пон
142,Katze::N,పిల్లి,кань
143,Bär::N,ఎలుగుబంటి,ош
144,Eichhörnchen::N,ఉడుత,ур
145,Elch::N,కణంజు,вӧр мӧс
146,Fuchs::N,గుంటనక్క,руч
147,Hase::N,కుందేలు,кӧч
148,Maus::N,చిట్టెలుక,шыр
149,Wolf::N,తోడేలు,кӧин
150,Vogel::N,పక్షి,кай
151,Schwarm::N,గుంపు,стая
152,Schwarm::N,గుంపు,чукӧр
153,Huhn::N,కోడిపిల్ల,курӧг
154,Hahn::N,కోడివుంజు,петух
155,Hahn::N,కోడివుంజు,ай курӧг
156,Gans::N,ఆడుబాతు,дзодзог
157,Adler::N,గ్రద్ద,куч
158,Adler::N,గ్రద్ద,кутш
159,Ente::N,పాట్టిబాతు,утка
160,Eule::N,గ్రుడ్లగూబ,тупка
161,Kranich::N,కొంగ,тури
162,Krähe::N,కాకి,рака
163,Kuckuck::N,కోయల,кӧк
164,Schwan::N,హంస,юсь
165,Fisch::N,చేప,чери
166,Barsch::N,ఒకచేఁప,ёкыш
167,Hecht::N,గండుమీను,сирпинь
168,Schlange[Tier]::N,పాము,змей
169,Wurm::N,పురుగు,номыр
170,Spinne::N,సాలె పురుగు,черань
171,Ameise::N,చీమ,кӧдзывкар
172,Laus::N,పేను,ляпа той
173,Mücke::N,చీకటీగ,ном
174,Fliege::N,ఈగ,гут
175,Schmetterling::N,సీతాకోకచిలుక,бабыв
176,Beere::N,కాయ,ягӧд
177,Apfel::N,ఆపిల్ పండు,яблоко
178,Pilz::N,కుక్కగొడుగు,тшак
179,Zwiebel::N,నీరుల్లి,грез
180,Saat::N,విత్తనము,кӧдзыс
181,Korn::N,గింజ,сю
182,Heu::N,ఎండుగడ్డి,турун
183,Schale::N,పొట్టు,кыш
184,Schale::N,పొట్టు,киль
185,Grube::N,గొయ్యి,яма
186,Falle::N,బోను,нальк
187,Falle::N,బోను,кляпча
188,Schlinge::N,ఉరి,лӧч
189,Spur::N,జాడ,туй
190,Asche::N,బూడిద,пӧим
191,Dreck::N,ముఱికి,нять
192,Eisen::N,ఇనుము,кӧрт
193,Gold::N,బంగారము,зарни
194,Silber::N,వెండి,язісь
195,Kohle::N,నేలబొగ్గు,шом
196,Kohle::N,నేలబొగ్గు,уголь
197,Glas::N,గాజు,стекло
198,Lehm::N,బంకమన్ను,сёй
199,Sand::N,ఇసుక,лыа
200,Mensch::N,నరుడు,морт
201,Mann::N,పురుమడు,мужик
202,Frau::N,ఆడుది,инька
203,Kind::N,బిడ్డ,кага
204,Junge::N,బాలుడు,зонка
205,Mädchen::N,బాలిక,нывкаок
206,Familie::N,కుటుంబము,семья
207,Großvater::N,తాత,дед
208,Großmutter::N,అయ్యమ్మ,баб
209,Eltern::N,తల్లితండ్రులు,ай-мам
210,Vater::N,తండ్రి,ай
211,Mutter::N,తల్లి,мам
212,Sohn::N,కొడుకు,зон
213,Tochter::N,కూతురు,ныв
214,Bruder::N,పోదరుడు,вон
215,Schwester::N,సోదరి,сой
216,Onkel::N,మేనమామ,дядь
217,Tante::N,మేనత్త,айӧлӧн сой
218,Tante::N,మేనత్త,ичинь
219,Tante::N,పినతల్లి,айӧлӧн сой
220,Tante::N,పినతల్లి,ичинь
221,Ehemann::N,భర్త,жӧник
222,Ehefrau::N,భార్య,инь
223,Freude::N,సంతోషము,гаж
224,Freude::N,సంతోషము,радъялӧм
225,Gelächter::N,నవ్వు,сералӧм
226,Glück::N,సంతోషము,мичлун
227,Kummer::N,దుఃఖము,шог
228,Wunsch::N,కోరిక,мӧдӧм
229,Wunsch::N,కోరిక,охотитӧм
230,Lust::N,కోరిక,охота
231,Geist::N,ఆత్మ,лов
232,Gedanke::N,ఆలోచన,дума
233,Gedächtnis::N,జ్ఞాపకము,тӧдвыв
234,Verstand::N,మనస్సు,вежӧр
235,Sinn::N,అర్థము,ылӧс
236,Grund::N,కారణము,мог
237,Wahrheit::N,సత్యము,правда
238,Gespräch::N,పంభాషణ,сёрни
239,Märchen::N,అద్భుతకథ,сказка
240,Erzählung::N,కథ,висьт
241,Nachricht::N,వార్త,юӧр
242,Nachricht::N,వార్త,висьталӧм
243,Neuigkeit::N,వార్త,новость
244,Name::N,పేరు,ним
245,Rätsel::N,చిక్కు,загадка
246,Rede::N,ఉపన్యాసము,сёрни
247,Sprache::N,భాష,кыв
248,Stimme::N,కంరథ్సని,голос
249,Wort::N,మాట,кыв
250,Zeichen::N,గుర్తు,пас
251,Ruf::N,పిలువు,чуксӧм
252,Ruf::N,పిలువు,чукӧстӧм
253,Lärm::N,సందడి,шум
254,Laut::N,ధ్వని,шы
255,Ton::N,స్వరము,гор
256,Lied::N,పాట,сьыланкыв
257,Ruhe::N,గాలిలేమి,спокой
258,Leute::N,జనులు,йӧз
259,Volk::N,జాతి,йӧз
260,Volk::N,జాతి,народ
261,Arbeit::N,పని,удж
262,Gast::N,అతిధి,гӧсь
263,Geschenk::N,దానము,гӧснеч
264,Geschenk::N,దానము,подарок
265,Spiel::N,ఆట,орсӧм
266,Gesellschaft::N,జట్టు,компания
267,Hilfe::N,సాహాయ్యము,отсӧт
268,Freund::N,స్నేహితుడు,модз
269,Freund::N,స్నేహితుడు,дружок
270,Kamerad::N,చెలికాడు,тӧдса
271,Angelegenheit::N,విషయము,дело
272,Anzahl::N,లెక్క,лыд
273,Art::N,జాతి,пӧлӧс
274,Stück::N,తునుక,тор
275,Teil::N,భాగము,юкӧм
276,Hälfte::N,సగము,джын
277,Kreis::N,వృత్తము,круг
278,Kreuz::N,సిలువ,перна
279,Linie::N,గీత,визь
280,Strich::N,గీత,кырӧв
281,Abstand::N,సందు,колас
282,Entfernung::N,దూరము,ылына
283,Gegend::N,విస్తీర్ణము,места
284,Platz::N,ఎడము,места
285,Ort::N,స్థలము,места
286,Seite::N,ప్రక్క,ладор
287,Mitte::N,నడిమి,шӧр
288,Gegenstand::N,పద్దు,тор
289,Sache::N,వస్తువు,тор
290,Rand::N,అంచు,дор
291,Kante::N,అంచు,ордлы
292,Ecke::N,మూల,пельӧс
293,Spitze::N,మొన,йыв
294,Ende::N,కొన,йыв
295,Loch::N,రంధ్రము,осьта
296,Winkel::N,కోణము,пельӧс
297,Muster::N,మాదిరి,сер
298,Größe::N,పరిమాణము,ыжда
299,Länge::N,పొడుగు,кузя
300,Höhe::N,పొడుగు,сувда
301,Höhe::N,పొడుగు,вылына
302,Gewicht::N,భారము,сьӧкта
303,Menge::N,మొత్తము,
304,Haufen::N,రాశి,куча
305,Reihe::N,వరుస,лёдз
306,Boot::N,పడవ,пыж
307,Ruder::N,అడక,пелыс
308,Schlitten::N,సరవండ్లు,додь
309,Ski::N,స్కీ,лямпа
310,Lagerfeuer::N,నెగడు,бипур
311,Last::N,బరువు,тягота
312,Gang::N,నడక,мунӧм
313,Schritt::N,అడుగు,вожмӧв
314,Norden::N,ఉత్తరదిక్కు,ой
315,Süden::N,దక్షిణము,лун
316,Westen::N,పడమర,рытвыв
317,Osten::N,తూర్పు,асыв
318,Holz::N,కొయ్య,пу
319,Brett::N,పలక,пӧв
320,Platte::N,పలక,плита
321,Stütze::N,వాల్సేడ్లు,пика
322,Stange::N,స్తంభము,зор
323,Stange::N,స్తంభము,потш
324,Stock::N,కఱ్ఱ,бедь
325,Stab::N,కఱ్ఱ,шест
326,Rohr::N,గొట్టము,труба
327,Haus::N,ఇల్లు,керку
328,Heim::N,స్వగృహము,керку
329,Ofen::N,పొయ్యి,пӧжавны
330,Fußboden::N,నేల,джодж
331,Tisch::N,మేజా,пызан
332,Stuhl::N,కుర్చీ,стул
333,Wiege::N,ఉయ్యాల,зыбка
334,Bett::N,పడక,кровать
335,Bett::N,మంచం,кровать
336,Regal::N,అటక,джадж
337,Kiste::N,వెట్టె,ящик
338,Fenster::N,కిటికి,ӧшын
339,Tür::N,ద్వారము,ыбӧс
340,Tor::N,ద్వారము,ворота
341,Zaun::N,కంచె,забор
342,Dach::N,ఇంటివైకప్పు,крыша
343,Leiter::N,నిచ్చెన,лиснич
344,Besen::N,చీపురుకట్ట,рос
345,Spaten::N,పాఱ,зыр
346,Schaufel::N,పాఱ,зыр
347,Gabel::N,ముండ్లగరిటె,вила
348,Löffel::N,గరిటె,пань
349,Messer::N,కత్తి,пурт
350,Nagel::N,మేకు,кӧрттув
351,Netz::N,వల,кыйӧт
352,Haken::N,కొక్కెము,ем
353,Griff::N,పిడి,пу
354,Schloss::N,తాళము,замок
355,Bild::N,చిత్రము,картина
356,Figur::N,రూపము,мыгӧр
357,Puppe::N,బొమ్మ,акань
358,Beutel::N,సంచి,мешӧк
359,Bündel::N,మూట,нин
360,Tasche::N,సంచి,сумка
361,Eimer::N,చేద,ведра
362,Deckel::N,మూత,вевт
363,Geschirr::N,వంటకాలు,доз
364,Geschirr::N,వంటకాలు,бекӧрпань
365,Sack::N,గోనెసంచి,мешӧк
366,Tasse::N,గిన్నె,бекӧр
367,Topf::N,కుండ,кастрюля
368,Kessel::N,నీరుకాచుపాత్ర,пӧрт
369,Essen::N,ఆహారము,сёйӧм
370,Nahrung::N,ఆహారము,вердан
371,Speise::N,ఆహారము,сёян
372,Fleisch::N,మాంసము,яй
373,Getreide::N,ధాన్యము,сю
374,Brei::N,గుజ్జు,каша
375,Brot::N,రొట్టె,нянь
376,Scheibe::N,బద్ద,шӧрӧм
377,Fett::N,క్రొవ్వు,гос
378,Butter::N,వెన్న,ви
379,Öl::N,నూనె,ви
380,Salz::N,ఉప్పు,сов
381,Suppe::N,చారు,шыд
382,Honig::N,తెనె,ма
383,Milch::N,పాలు,йӧв
384,Tee::N,తేనీరు,чай
385,Leder::N,బాగుచేసివతోలు,кучик
386,Wolle::N,ఉన్ని,гӧн
387,Stoff::N,బట్ట,дӧра
388,Nadel::N,సూది,ем
389,Faden::N,దారము,сунис
390,Knopf::N,బొత్తాము,кизь
391,Knoten::N,ముడి,узӧв
392,Knoten::N,ముడి,гӧрӧд
393,Farbe::N,రంగు,краска
394,Kleidung::N,బట్టలు,паськӧм
395,Hemd::N,చొక్కాయ,йӧрнӧс
396,Kragen::N,మాల,воротник
397,Ärmel::N,చొక్కాయచెయ్యి,сос
398,Hose::N,ఇజారు,вешьян
399,Gürtel::N,పటకా,йи
400,Mütze::N,టోపి,шапка
401,Schuh::N,పాదరక్ష,ботинки
402,Stiefel::N,బూటు,сапог
403,Ring::N,ఉంగరము,чунькытш
404,Band::N,నాడా,ленточка
405,Kamm::N,దువ్వెన,сынан
406,Spiegel::N,అద్దము,зеркало
407,Riemen::N,వాడా,ремень
408,Schnur::N,దారము,гез
409,Leine::N,వారు,повод
410,Decke::N,కంబళి,одеяло
411,Kissen::N,తలగడ,подушка
412,Tuch::N,బట్ట,чышьян
413,Handtuch::N,తువాలు,чышкӧт
414,Kraft::N,బలము,прак
415,Stärke::N,శక్తి,вын
416,Gesundheit::N,ఆరోగ్యము,здоровье
417,Krankheit::N,రోగము,шог
418,Schmerz::N,నొప్పి,зубыт
419,Wunde::N,గాయము,рана
420,Fieber::N,జ్వరము,лёк тресся
421,Fieber::N,జ్వరము,кынтан шогӧт
422,Arznei::N,మందు,лекарство
423,Brücke::N,వంతెన,пос
424,Brunnen::N,బావి,колодец 
425,Brunnen::N,కూపము,колодец 
426,Brunnen::N,నుయ్యి,колодец 
427,Weide::N,పచ్చికబయలు,пода йирсян
428,Pfad::N,కాలిత్రోవ,туй
429,Weg::N,మార్గము,туй
430,Straße::N,బాట,туй
431,Dorf::N,గ్రామము,деревня
432,Stadt::N,పట్టణము,город
433,Brief::N,జాబు,гижӧт
434,Buch::N,పుస్తకము,книга
435,Buchstabe::N,అక్షరము,буква
436,Zeitung::N,వార్తాపత్రిక,газета
437,Leben::N,ప్రాణము,олан
438,Tod::N,మరణము,кулӧм
439,Grab::N,సమాధి,гу
440,Kirche::N,క్రెస్తవులగుడి,вичку
441,Sünde::N,పాపము,грек
442,Gott::N,దేవుడు,ен
443,Arbeiter::N,పనిపాటుచేశేవాడు,уджалiсь
444,Chef::N,యజమానుడు,начальник
445,Meister::N,కళాకారుడు,мастер
446,Arzt::N,వైద్యుడు,врач
447,Lehrer::N,ఉపాధ్యాయుడు,велӧтісь
448,Geld::N,ద్రవ్యము,деньга
449,Geschäft::N,వ్యాపారము,удж
450,Laden::N,అంగడి,магазин
451,Preis::N,వెల,дон
452,Ware::N,సరకులు,товар
453,Nutzen::N,ప్రయోజనము,путь
454,Reichtum::N,ధనము,богатство
455,Welt::N,ప్రపంచము,му
456,Land::N,దేశము,страна
457,Staat::N,రాజ్యము,государство
458,König::N,రాజు,кан
459,Macht::N,అధికారము,власть
460,Grenze::N,సరిహద్దు,граница
461,Krieg::N,యుద్ధము,война
462,Feind::N,శత్రువు,враг
463,Gewalt::N,దౌర్జన్యము,
464,Kampf::N,పోట్లాట,нярасьӧм
465,Kampf::N,పోట్లాట,вермасьӧм
466,Bogen[Waffe]::N,విల్లు,лук
467,Pfeil::N,బాణము,ньӧв
468,Gewehr::N,తుపాకి,ружьё
469,Fehler::N,తప్ప,ошибка
470,Lüge::N,అసత్యము,ылӧтӧм
471,Lüge::N,అసత్యము,пӧрьялӧм
472,Schaden::N,నష్టము,лёк
473,Unglück::N,దురదృష్టము,пик
474,Unglück::N,దురదృష్టము,оказзё
475,Schuld::N,తప్పు,вина
476,Alter::N,వయస్సు,
477,Schluss::N,ముగింపు,ком
478,Zeit::N,కాలము,кад
479,Tag::N,దినము,лун
480,Morgen::N,ఉదయము,асыв
481,Mittag::N,మధ్యాహ్నము,луншӧр кад
