,Concept_ID,ru,pl
0,Auge::N,глаз,oko
1,Ohr::N,ухо,ucho
2,Nase::N,нос,nos
3,Mund::N,рот,usta
4,Zahn::N,зуб,ząb
5,Zunge::N,язык,język
6,Lippe::N,губа,warga
7,Wange::N,щека,policzek
8,Gesicht::N,лицо,twarz
9,Stirn::N,лоб,czoło
10,Haar::N,волос,włos
11,Haar::N,волос,włosy
12,Haar::N,волосы,włos
13,Haar::N,волосы,włosy
14,Schnurrbart::N,ус,wąsy
15,Schnurrbart::N,усы,wąsy
16,Bart::N,борода,broda
17,Kinn::N,подбородок,podbródek
18,Kiefer[Anatomie]::N,челюсть,czeluść
19,Kehle::N,горло,gardło
20,Hals::N,шея,szyja
21,Genick::N,затылок,kark
22,Kopf::N,голова,głowa
23,Rücken::N,спина,plecy
24,Rücken::N,спина,grzbiet
25,Bauch::N,живот,brzuch
26,Nabel::N,пупок,pępek
27,Busen::N,женская грудь,biust
28,Brust::N,грудь,pierś
29,Schulter::N,плечо,bark
30,Schulter::N,плечо,ramię
31,Arm::N,рука,ręka
32,Arm::N,рука,ramię
33,Ellenbogen::N,локоть,łokieć
34,Hand::N,кисть,dłoń
35,Handfläche::N,ладонь,dłoń
36,Finger::N,палец,palec
37,Fingernagel::N,ноготь,paznokieć
38,Nagel[Anatomie]::N,ноготь,paznokieć
39,Zeh::N,палец,palec
40,Fuß::N,ступня,stopa
41,Ferse::N,пята,pięta
42,Ferse::N,пятка,pięta
43,Knie::N,колено,kolano
44,Oberschenkel::N,бедро,udo
45,Bein::N,нога,noga
46,Körper::N,тело,ciało
47,Haut::N,кожа,skóra
48,Blut::N,кровь,krew
49,Ader::N,вена,żyła
50,Ader::N,сосуд,żyła
51,Sehne::N,жила,ścięgno
52,Sehne::N,тетива,ścięgno
53,Sehne::N,сухожилие,ścięgno
54,Knochen::N,кость,kość
55,Gehirn::N,мозг,mózg
56,Herz::N,сердце,serce
57,Magen::N,желудок,żołądek
58,Leber::N,печень,wątroba
59,Atem::N,дух,dech
60,Atem::N,дух,oddech
61,Atem::N,дыхание,dech
62,Atem::N,дыхание,oddech
63,Hunger::N,голод,głód
64,Träne::N,слеза,łza
65,Geschmack::N,вкус,smak
66,Geruch::N,запах,woń
67,Geruch::N,запах,zapach
68,Schlaf::N,сон,sen
69,Traum::N,сновидение,sen
70,Himmel::N,небо,niebo
71,Sonne::N,солнце,słońce
72,Mond::N,луна,księżyc
73,Stern::N,звезда,gwiazda
74,Luft::N,воздух,powietrze
75,Wind::N,ветер,wiatr
76,Welle::N,волна,fala
77,Wasser::N,вода,woda
78,Stein::N,камень,kamień
79,Boden::N,почва,grunt
80,Erde::N,земля,ziemia
81,Staub::N,пыль,pył
82,Staub::N,пыль,kurz
83,Rauch::N,дым,dym
84,Funke::N,искра,iskra
85,Feuer::N,огонь,ogień
86,Licht::N,свет,światło
87,Schatten::N,тень,cień
88,Wetter::N,погода,pogoda
89,Nebel::N,туман,mgła
90,Wolke::N,облако,obłok
91,Wolke::N,облако,chmura
92,Regen::N,дождь,deszcz
93,Schnee::N,снег,śnieg
94,Eis::N,лед,lód
95,Frost::N,мороз,mróz
96,Kälte::N,холод,chłód
97,Hitze::N,жара,gorąco
98,Raureif::N,иней,szron
99,Regenbogen::N,радуга,tęcza
100,Donner::N,гром,grzmot
101,Strömung::N,течение,nurt
102,Tropfen::N,капля,kropla
103,Schaum::N,пена,piana
104,Schmutz::N,грязь,brud
105,See::N,озеро,jezioro
106,Sumpf::N,топь,bagno
107,Moor::N,болото,bagno
108,Wiese::N,луг,łąka
109,Wald::N,лес,las
110,Hügel::N,холм,pagórek
111,Anhöhe::N,возвышенность,wzgórze
112,Berg::N,гора,góra
113,Gipfel::N,вершина,szczyt
114,Gipfel::N,вершина,wierzchołek
115,Höhle::N,пещера,pieczara
116,Abhang::N,склон,stok
117,Abhang::N,склон,zbocze
118,Quelle::N,источник,zdrój
119,Quelle::N,источник,źródło
120,Bach::N,ручей,potok
121,Bach::N,ручей,strumień
122,Fluss::N,река,rzeka
123,Ufer::N,берег,brzeg
124,Küste::N,побережье,wybrzeże
125,Festland::N,суша,ląd
126,Meer::N,море,morze
127,Bucht::N,бухта,zatoka
128,Insel::N,остров,wyspa
129,Blume::N,цветок,kwiat
130,Gras::N,трава,trawa
131,Wurzel::N,корень,korzeń
132,Baum::N,дерево,drzewo
133,Stamm::N,ствол,pień
134,Rinde::N,кора,kora
135,Ast::N,сук,gałąź
136,Zweig::N,ветвь,gałąź
137,Blatt::N,лист,liść
138,Birke::N,береза,brzoza
139,Kiefer[Baum]::N,сосна,sosna
140,Weide[Baum]::N,ива,wierzba
141,Tanne::N,ель,jodła
142,Horn::N,рог,róg
143,Feder::N,перо,pióro
144,Fell::N,шкура,futro
145,Flügel::N,крыло,skrzydło
146,Klaue::N,коготь,szpon
