,Concept_ID,lv,sq
0,Auge::N,син,sy
1,Auge::N,acs,sy
2,Ohr::N,пель,vesh
3,Ohr::N,auss,vesh
4,Nase::N,ныр,hundë
5,Nase::N,deguns,hundë
6,Mund::N,вом,gojë
7,Mund::N,mute,gojë
8,Zahn::N,пинь,dhëmb
9,Zahn::N,zobs,dhëmb
10,Zunge::N,кыв,gjuhë
11,Zunge::N,mēle,gjuhë
12,Lippe::N,вом дор,buzë
13,Lippe::N,lūpa,buzë
14,Wange::N,бан,faqe
15,Wange::N,бан,mollëz
16,Wange::N,vaigs,faqe
17,Wange::N,vaigs,mollëz
18,Gesicht::N,чужӧм,fytyrë
19,Gesicht::N,seja,fytyrë
20,Gesicht::N,ģīmis,fytyrë
21,Stirn::N,плеш,ballë
22,Stirn::N,кымӧс,ballë
23,Stirn::N,piere,ballë
24,Haar::N,си,flokë
25,Haar::N,юрси,flokë
26,Haar::N,mats,flokë
27,Schnurrbart::N,ус,mustaqe
28,Schnurrbart::N,пыртсим,mustaqe
29,Schnurrbart::N,ūsas,mustaqe
30,Bart::N,тош,mjekër
31,Bart::N,bārda,mjekër
32,Kinn::N,тшӧка,mjekër
33,Kinn::N,zods,mjekër
34,Kinn::N,smakrs,mjekër
35,Kiefer[Anatomie]::N,черлы,nofull
36,Kiefer[Anatomie]::N,алака лы,nofull
37,Kiefer[Anatomie]::N,вомкӧтш лы,nofull
38,Kiefer[Anatomie]::N,žoklis,nofull
39,Kehle::N,голя,fyt
40,Kehle::N,голя,grykë
41,Kehle::N,rīkle,fyt
42,Kehle::N,rīkle,grykë
43,Hals::N,сьылі,qafë
44,Hals::N,kakls,qafë
45,Genick::N,юрбӧр,arrëz
46,Genick::N,балябӧж,arrëz
47,Genick::N,sprands,arrëz
48,Kopf::N,юр,kokë
49,Kopf::N,galva,kokë
50,Rücken::N,мыш,kurriz
51,Rücken::N,mugura,kurriz
52,Bauch::N,рушку,bark
53,Bauch::N,vēders,bark
54,Nabel::N,гӧг,kërthizë
55,Nabel::N,naba,kërthizë
56,Busen::N,морӧс,gji
57,Busen::N,krūts,gji
58,Brust::N,морӧс,gjoks
59,Brust::N,морӧс,kraharor
60,Brust::N,krūts,gjoks
61,Brust::N,krūts,kraharor
62,Schulter::N,пельпом,sup
63,Schulter::N,пельпом,krah
64,Schulter::N,plecs,sup
65,Schulter::N,plecs,krah
66,Arm::N,ки,krah
67,Arm::N,roka,krah
68,Arm::N,delms,krah
69,Ellenbogen::N,гырддза,bërryl
70,Ellenbogen::N,elkonis,bërryl
71,Hand::N,ки,dorë
72,Hand::N,roka,dorë
73,Hand::N,plauksta,dorë
74,Handfläche::N,ки пыдӧс,pëllëmbë
75,Handfläche::N,delna,pëllëmbë
76,Handfläche::N,plauksta,pëllëmbë
77,Finger::N,чунь,gisht
78,Finger::N,pirksts,gisht
79,Fingernagel::N,гыж,thua
80,Fingernagel::N,nags,thua
81,Nagel[Anatomie]::N,гыж,thua
82,Nagel[Anatomie]::N,nags,thua
83,Zeh::N,кок чунь,gisht i këmbës
84,Zeh::N,pirksts,gisht i këmbës
85,Fuß::N,кок,këmbë
86,Fuß::N,kāja,këmbë
87,Ferse::N,кокбӧр,thembër
88,Ferse::N,papēdis,thembër
89,Knie::N,пидзӧс,gju
90,Knie::N,celis,gju
91,Oberschenkel::N,лядьвей,kofshë
92,Oberschenkel::N,бек,kofshë
93,Oberschenkel::N,ciska,kofshë
94,Oberschenkel::N,augšstilbs,kofshë
95,Bein::N,кок,këmbë
96,Bein::N,kāja,këmbë
97,Körper::N,туша,trup
98,Körper::N,вывтыр,trup
99,Körper::N,miesa,trup
100,Körper::N,ķermenis,trup
101,Haut::N,ку,lëkurë
102,Haut::N,āda,lëkurë
103,Blut::N,вир,gjak
104,Blut::N,asins,gjak
105,Ader::N,сӧн,venë
106,Ader::N,asinsvads,venë
107,Sehne::N,вез,dell
108,Sehne::N,dzīsla,dell
109,Knochen::N,лы,asht
110,Knochen::N,лы,kockë
111,Knochen::N,kauls,asht
112,Knochen::N,kauls,kockë
113,Gehirn::N,вем,tru
114,Gehirn::N,smadzenes,tru
115,Herz::N,сьӧлӧм,zemër
116,Herz::N,sirds,zemër
117,Magen::N,кынӧм,stomak
118,Magen::N,kuņģis,stomak
119,Leber::N,мус,mëlçi
120,Leber::N,aknas,mëlçi
121,Atem::N,лов,frymë
122,Atem::N,elpa,frymë
123,Hunger::N,тшыг,uri
124,Hunger::N,bads,uri
125,Hunger::N,izsalkums,uri
126,Träne::N,синва,lot
127,Träne::N,asara,lot
128,Geschmack::N,кӧр,shije
129,Geschmack::N,чӧсмӧс,shije
130,Geschmack::N,garša,shije
131,Geruch::N,зын,erë
132,Geruch::N,дук,erë
133,Geruch::N,smaka,erë
134,Schlaf::N,узьӧм,gjumë
135,Schlaf::N,miegs,gjumë
136,Traum::N,вӧт,ëndërr
137,Traum::N,вӧтасьӧм,ëndërr
138,Traum::N,sapnis,ëndërr
139,Himmel::N,енэж,qiell
140,Himmel::N,debess,qiell
141,Sonne::N,шонді,diell
142,Sonne::N,saule,diell
143,Mond::N,тӧлысь,hënë
144,Mond::N,mēness,hënë
145,Stern::N,кодзув,yll
146,Stern::N,zvaigzne,yll
147,Luft::N,сынӧд,ajër
148,Luft::N,gaiss,ajër
149,Wind::N,тӧв,erë
150,Wind::N,vējš,erë
151,Welle::N,гы,valë
152,Welle::N,гы,dallgë
153,Welle::N,vilnis,valë
154,Welle::N,vilnis,dallgë
155,Wasser::N,ва,ujë
156,Wasser::N,ūdens,ujë
157,Stein::N,из,gur
158,Stein::N,akmens,gur
159,Boden::N,му,tokë
160,Boden::N,му,truall
161,Boden::N,augsne,tokë
162,Boden::N,augsne,truall
163,Erde::N,му,dhe
164,Erde::N,му,baltë
165,Erde::N,му-ва,dhe
166,Erde::N,му-ва,baltë
167,Erde::N,zeme,dhe
168,Erde::N,zeme,baltë
169,Staub::N,бус,pluhur
170,Staub::N,putekļi,pluhur
171,Rauch::N,тшын,tym
172,Rauch::N,dūmi,tym
173,Funke::N,кинь,xixë
174,Funke::N,кинь,shkëndijë
175,Funke::N,би кинь,xixë
176,Funke::N,би кинь,shkëndijë
177,Funke::N,dzirkstele,xixë
178,Funke::N,dzirkstele,shkëndijë
179,Feuer::N,би,zjarr
180,Feuer::N,uguns,zjarr
181,Licht::N,югӧр,dritë
182,Licht::N,gaisma,dritë
183,Schatten::N,вуджӧр,hije
184,Schatten::N,ēna,hije
185,Wetter::N,поводдя,mot
186,Wetter::N,laiks,mot
187,Nebel::N,ру,mjegull
188,Nebel::N,онь,mjegull
