,Concept_ID,pt,bg
0,Auge::N,olho,око
1,Ohr::N,orelha,ухо
2,Nase::N,nariz,нос
3,Mund::N,boca,уста
4,Zahn::N,dente,зъб
5,Zunge::N,língua,език
6,Lippe::N,lábio,устна
7,Wange::N,face,буза
8,Gesicht::N,cara,лице
9,Gesicht::N,cara,образ
10,Gesicht::N,rosto,лице
11,Gesicht::N,rosto,образ
12,Stirn::N,testa,чело
13,Haar::N,cabelo,коса
14,Haar::N,cabelo,косъм
15,Schnurrbart::N,bigode,мустаци
16,Bart::N,barba,брада
17,Kinn::N,queixo,брада
18,Kinn::N,queixo,брадичка
19,Kiefer[Anatomie]::N,maxila,челюст
20,Kiefer[Anatomie]::N,mandíbula,челюст
21,Kehle::N,garganta,гърло
22,Hals::N,colo,врат
23,Hals::N,pescoço,врат
24,Genick::N,nuca,тил
25,Kopf::N,cabeça,глава
26,Rücken::N,dorso,гръб
27,Rücken::N,costas,гръб
28,Bauch::N,ventre,корем
29,Bauch::N,barriga,корем
30,Nabel::N,umbigo,пъп
31,Busen::N,seio,бозка
32,Brust::N,peito,гръд
33,Schulter::N,ombro,рамо
34,Schulter::N,ombro,плещи
35,Arm::N,braço,ръка
36,Ellenbogen::N,cotovelo,лакът
37,Hand::N,mão,ръка
38,Hand::N,mão,китка
39,Handfläche::N,palma,длан
40,Handfläche::N,palma da mão,длан
41,Finger::N,dedo,пръст
42,Fingernagel::N,unha,нокът
43,Nagel[Anatomie]::N,unha,нокът
44,Zeh::N,dedo do pé,пръст на крак
45,Fuß::N,pé,крак
46,Fuß::N,pé,нога
47,Ferse::N,calcanhar,пета
48,Knie::N,joelho,коляно
49,Oberschenkel::N,coxa,бедро
50,Bein::N,perna,крак
51,Bein::N,perna,нога
52,Körper::N,corpo,тяло
53,Haut::N,pele,кожа
54,Blut::N,sangue,кръв
55,Ader::N,veia,вена
56,Ader::N,veia,артерия
57,Sehne::N,tendão,жила
58,Sehne::N,tendão,сухожилие
59,Knochen::N,osso,кост
60,Gehirn::N,cérebro,мозък
61,Herz::N,coração,сърце
62,Magen::N,estômago,стомах
63,Leber::N,fígado,черен дроб
64,Atem::N,fôlego,дишане
65,Hunger::N,fome,глад
66,Träne::N,lágrima,сълза
67,Geschmack::N,gosto,вкус
68,Geruch::N,odor,миризма
69,Geruch::N,cheiro,миризма
70,Schlaf::N,sono,сън
71,Traum::N,sonho,сън
72,Himmel::N,céu,небе
73,Sonne::N,sol,слънце
74,Mond::N,lua,луна
75,Mond::N,lua,месец
76,Stern::N,estrela,звезда
77,Luft::N,ar,въздух
78,Wind::N,vento,вятър
79,Welle::N,onda,вълна
80,Wasser::N,água,вода
81,Stein::N,pedra,камък
82,Boden::N,solo,земя
83,Boden::N,solo,почва
84,Erde::N,terra,земя
85,Erde::N,terra,почва
86,Staub::N,pó,прах
87,Rauch::N,fumo,дим
88,Rauch::N,fumo,пушек
89,Funke::N,faísca,искра
90,Funke::N,centelha,искра
91,Feuer::N,fogo,огън
92,Licht::N,luz,светлина
93,Schatten::N,sombra,сянка
94,Wetter::N,tempo,време
95,Nebel::N,nevoeiro,мъгла
96,Wolke::N,nuvem,облак
97,Regen::N,chuva,дъжд
98,Schnee::N,neve,сняг
99,Eis::N,gelo,лед
100,Frost::N,gelo,мраз
101,Frost::N,geada,мраз
102,Kälte::N,frio,студ
103,Hitze::N,ardor,жега
104,Hitze::N,ardor,горещина
105,Raureif::N,geada,скреж
106,Raureif::N,geada,слана
107,Regenbogen::N,arco-iris,дъга
108,Donner::N,trovão,гръм
109,Strömung::N,corrente,течение
110,Tropfen::N,gota,капка
111,Schaum::N,espuma,пяна
112,Schmutz::N,sujidade,кал
113,Schmutz::N,sujidade,мръсотия
114,Schmutz::N,imundície,кал
115,Schmutz::N,imundície,мръсотия
116,See::N,lago,езеро
117,Sumpf::N,charco,блато
118,Sumpf::N,pântano,блато
119,Moor::N,pântano,мочурище
120,Wiese::N,prado,ливада
121,Wald::N,bosque,гора
122,Wald::N,floresta,гора
123,Hügel::N,colina,рид
124,Hügel::N,colina,хълм
125,Anhöhe::N,alto,могила
126,Anhöhe::N,alto,възвишение
127,Anhöhe::N,outeiro,могила
128,Anhöhe::N,outeiro,възвишение
129,Berg::N,monte,планина
130,Berg::N,montanha,планина
131,Gipfel::N,pico,връх
132,Höhle::N,caverna,пещера
133,Abhang::N,encosta,склон
134,Abhang::N,encosta,стръмнина
135,Quelle::N,fonte,извор
136,Bach::N,regato,поток
137,Bach::N,ribeiro,поток
138,Fluss::N,rio,река
139,Ufer::N,beira,бряг
140,Küste::N,costa,бряг
141,Küste::N,costa,крайбрежие
142,Festland::N,terra firme,суша
143,Meer::N,mar,море
144,Bucht::N,baía,залив
145,Insel::N,ilha,остров
146,Blume::N,flor,цвете
147,Gras::N,erva,трева
148,Wurzel::N,raiz,корен
149,Baum::N,árvore,дърво
150,Stamm::N,tronco,стъбло
151,Rinde::N,casca,кора
152,Ast::N,ramo,клон
153,Zweig::N,galho,клон
154,Blatt::N,folha,лист
155,Birke::N,bétula,бреза
156,Kiefer[Baum]::N,pinheiro,бор
157,Weide[Baum]::N,salgueiro,върба
158,Tanne::N,abeto,ела
159,Horn::N,corno,рог
160,Horn::N,chifre,рог
161,Feder::N,pena,перо
162,Fell::N,pele,кожа
163,Flügel::N,asa,крило
164,Klaue::N,pata,нокът
165,Kralle::N,unha,нокът
166,Kralle::N,garra,нокът
167,Schwanz::N,rabo,опашка
168,Schwanz::N,cauda,опашка
169,Ei::N,ovo,яйце
170,Nest::N,ninho,гнездо
171,Bau::N,toca,дупка
172,Bau::N,covil,дупка
173,Tier::N,animal,животно
174,Herde::N,rebanho,стадо
175,Kuh::N,vaca,крава
176,Bulle::N,touro,бик
177,Pferd::N,cavalo,кон
178,Schaf::N,ovelha,овца
179,Schwein::N,porco,свиня
180,Hund::N,cão,куче
181,Katze::N,gata,котка
182,Bär::N,urso,мечка
183,Eichhörnchen::N,esquilo,катерица
184,Elch::N,alce,лос
185,Fuchs::N,raposa,лисица
186,Hase::N,lebre,заек
187,Maus::N,rato,мишка
188,Wolf::N,lobo,вълк
189,Vogel::N,ave,птица
190,Vogel::N,pássaro,птица
191,Schwarm::N,bando,рой
192,Schwarm::N,bando,рояк
193,Schwarm::N,enxame,рой
194,Schwarm::N,enxame,рояк
195,Huhn::N,galinha,кокошка
196,Hahn::N,galo,петел
197,Gans::N,ganso,гъска
198,Adler::N,águia,орел
199,Ente::N,pata,патица
200,Eule::N,mocho,сова
201,Eule::N,coruja,сова
202,Kranich::N,grou,жерав
203,Krähe::N,gralha,врана
204,Kuckuck::N,cuco,кукувица
205,Schwan::N,cisne,лебед
206,Fisch::N,peixe,риба
207,Barsch::N,perca,костур
208,Hecht::N,lúcio,щука
209,Schlange[Tier]::N,serpente,змия
210,Wurm::N,verme,червей
211,Spinne::N,aranha,паяк
212,Ameise::N,formiga,мравка
213,Laus::N,piolho,въшка
214,Mücke::N,mosquito,комар
215,Fliege::N,mosca,муха
216,Schmetterling::N,borboleta,пеперуда
217,Beere::N,bago,плод
218,Apfel::N,maçã,ябълка
219,Pilz::N,fungo,гъба
220,Pilz::N,cogumelo,гъба
221,Zwiebel::N,cebola,лук
222,Zwiebel::N,cebola,кромид
223,Saat::N,sementeira,семе
224,Korn::N,grão,зърно
225,Heu::N,feno,сено
226,Schale::N,casca,кора
227,Grube::N,cova,яма
228,Grube::N,cova,дупка
229,Grube::N,fossa,яма
230,Grube::N,fossa,дупка
231,Falle::N,armadilha,примка
232,Schlinge::N,laço,клуп
233,Spur::N,pista,диря
234,Spur::N,pista,следа
235,Spur::N,vestígio,диря
236,Spur::N,vestígio,следа
237,Asche::N,cinza,пепел
238,Dreck::N,sujidade,кал
239,Eisen::N,ferro,желязо
240,Gold::N,ouro,злато
241,Silber::N,prata,сребро
242,Kohle::N,carvão,въглища
243,Glas::N,vidro,стъкло
244,Lehm::N,barro,глина
245,Lehm::N,argila,глина
246,Sand::N,areia,пясък
247,Mensch::N,homem,човек
248,Mensch::N,pessoa,човек
249,Mann::N,homem,мъж
250,Frau::N,mulher,жена
251,Kind::N,filho,дете
252,Kind::N,criança,дете
253,Junge::N,rapaz,момче
254,Junge::N,menino,момче
255,Mädchen::N,menina,момиче
256,Mädchen::N,rapariga,момиче
257,Familie::N,família,фамилия
258,Familie::N,família,семейство
259,Großvater::N,avô,дядо
260,Großmutter::N,avó,баба
261,Eltern::N,pais,родители
262,Vater::N,pai,баща
263,Mutter::N,mãe,майка
264,Sohn::N,filho,син
265,Tochter::N,filha,дъщеря
266,Bruder::N,irmão,брат
267,Schwester::N,irmã,сестра
268,Onkel::N,tio,чичо
269,Onkel::N,tio,вуйчо
270,Tante::N,tia,леля
271,Ehemann::N,esposo,съпруг
272,Ehefrau::N,esposa,съпруга
273,Freude::N,prazer,радост
274,Freude::N,alegria,радост
275,Gelächter::N,risada,смях
276,Gelächter::N,gargalhada,смях
277,Glück::N,felicidade,щастие
278,Kummer::N,aflição,тъга
279,Kummer::N,desgosto,тъга
280,Wunsch::N,desejo,желание
281,Lust::N,vontade,желание
282,Geist::N,mente,дух
283,Geist::N,espírito,дух
284,Gedanke::N,ideia,мисъл
285,Gedanke::N,pensamento,мисъл
286,Gedächtnis::N,memória,памет
287,Verstand::N,razão,ум
288,Verstand::N,razão,разум
289,Verstand::N,inteligência,ум
290,Verstand::N,inteligência,разум
291,Sinn::N,sentido,смисъл
292,Sinn::N,significado,смисъл
293,Grund::N,causa,причина
294,Grund::N,motivo,причина
295,Wahrheit::N,verdade,правда
296,Gespräch::N,conversa,разговор
297,Gespräch::N,conversação,разговор
298,Märchen::N,conto,приказка
299,Erzählung::N,conto,разказ
