,Concept_ID,sah,cs
0,Auge::N,харах,oko
1,Ohr::N,кулгаах,ucho
2,Nase::N,мурун,nos
3,Mund::N,айах,pusa
4,Zahn::N,тиис,zub
5,Zunge::N,тыл,jazyk
6,Lippe::N,уос,ret
7,Wange::N,иэдэс,tvář
8,Gesicht::N,сирэй,obličej
9,Stirn::N,сүүс,čelo
10,Haar::N,баттах,vlas
11,Haar::N,баттах,vlasy
12,Schnurrbart::N,уос бытыга,kníry
13,Bart::N,сэҥийэ бытыга,vousy
14,Kinn::N,сэҥийэ,brada
15,Kiefer[Anatomie]::N,сыҥаах,čelist
16,Kehle::N,тамах,hrdlo
17,Kehle::N,күөмэй,hrdlo
18,Hals::N,моой,krk
19,Genick::N,кэтэх,týl
20,Kopf::N,бас,hlava
21,Rücken::N,көҕүс,záda
22,Rücken::N,көҕүс,hřbet
23,Bauch::N,ис,břicho
24,Nabel::N,киин,pupek
25,Busen::N,эмиий,ňadra
26,Brust::N,түөс,prsa
27,Schulter::N,сарын,plece
28,Schulter::N,сарын,rameno
29,Arm::N,илии,ruka
30,Ellenbogen::N,тоҕонох,loket
31,Hand::N,илии,ruka
32,Handfläche::N,ытыс,dlaň
33,Finger::N,тарбах,prst
34,Fingernagel::N,тыҥырах,nehet
35,Nagel[Anatomie]::N,тыҥырах,nehet
36,Zeh::N,тарбах,prst u nohy
37,Fuß::N,уллуҥах,noha
38,Ferse::N,тилэх,pata
39,Knie::N,тобук,koleno
40,Knie::N,дьилбэк,koleno
41,Oberschenkel::N,уллук,stehno
42,Oberschenkel::N,өттүк,stehno
43,Bein::N,атах,noha
44,Körper::N,бэйэ,tělo
45,Haut::N,тирии,kůže
46,Blut::N,хаан,krev
47,Ader::N,вена,céva
48,Ader::N,күөх_тымыр,céva
49,Sehne::N,иҥиир,šlacha
50,Knochen::N,уҥуох,kost
51,Knochen::N,уҥгуох,kost
52,Gehirn::N,мэйии,mozek
53,Herz::N,сүрэх,srdce
54,Magen::N,куртах,žaludek
55,Leber::N,быар,játra
56,Atem::N,тыын,dech
57,Hunger::N,аас,hlad
58,Träne::N,харах уута,slza
59,Geschmack::N,амтан,vkus
60,Geruch::N,сыт,vůně
61,Geruch::N,сыт,zápach
62,Schlaf::N,утуйуу,spánek
63,Traum::N,түүл,sen
64,Himmel::N,халлаан,nebe
65,Sonne::N,күн,slunce
66,Mond::N,ый,měsíc
67,Stern::N,сулус,hvězda
68,Luft::N,салгын,vzduch
69,Wind::N,тыал,vítr
70,Welle::N,долгун,vlna
71,Welle::N,балхаан,vlna
72,Wasser::N,уу,voda
73,Stein::N,таас,kámen
74,Boden::N,сир,půda
75,Erde::N,буор,země
76,Staub::N,быыл,prach
77,Rauch::N,буруо,dým
78,Rauch::N,буруо,kouř
79,Funke::N,кыым,jiskra
80,Feuer::N,уот,oheň
81,Licht::N,уот,světlo
82,Schatten::N,күлүк,stín
83,Wetter::N,күн-дьыл,počasí
84,Nebel::N,туман,mlha
85,Wolke::N,былыт,mrak
86,Wolke::N,былыт,oblak
87,Regen::N,самыыр,déšť
88,Schnee::N,хаар,sníh
89,Eis::N,муус,led
90,Frost::N,тымныы,mráz
91,Kälte::N,тымныы,chlad
92,Hitze::N,куйаас,horko
93,Raureif::N,кырыа,jinovatka
94,Regenbogen::N,кустук,duha
95,Donner::N,этиҥ,hrom
96,Strömung::N,сүүрүк,proudění
97,Tropfen::N,таммах,kapka
98,Tropfen::N,хааппыла,kapka
99,Schaum::N,күүгэн,pěna
100,Schmutz::N,кир,špína
101,See::N,күөл,jezero
102,Sumpf::N,бадараан,močál
103,Sumpf::N,бадараан,bažina
104,Moor::N,дьэбэрэ,bažina
105,Moor::N,дьэбэрэ,slatina
