,Concept_ID,te,cs
0,Auge::N,కన్ను,oko
1,Ohr::N,చెవి,ucho
2,Nase::N,ముక్కు,nos
3,Mund::N,నోరు,pusa
4,Zahn::N,పల్లు,zub
5,Zunge::N,నాలుక,jazyk
6,Lippe::N,పెదవి,ret
7,Wange::N,చెంప,tvář
8,Gesicht::N,ముఖము,obličej
9,Stirn::N,నుదురు,čelo
10,Haar::N,వెండ్రుక,vlas
11,Haar::N,వెండ్రుక,vlasy
12,Schnurrbart::N,మీసము,kníry
13,Bart::N,గడ్డము,vousy
14,Kinn::N,గడ్డము,brada
15,Kiefer[Anatomie]::N,దౌడ,čelist
16,Kehle::N,గొంతు,hrdlo
17,Hals::N,మెడ,krk
18,Genick::N,మూపు,týl
19,Kopf::N,తల,hlava
20,Rücken::N,వెన్ను,záda
21,Rücken::N,వెన్ను,hřbet
22,Bauch::N,కడుపు,břicho
23,Nabel::N,బొడ్డు,pupek
24,Busen::N,స్తనము,ňadra
25,Brust::N,ఱొమ్ము,prsa
26,Schulter::N,భుజము,plece
27,Schulter::N,భుజము,rameno
28,Arm::N,చేయి,ruka
29,Ellenbogen::N,మోచేయి,loket
30,Hand::N,చేయి,ruka
31,Handfläche::N,అరచేయు,dlaň
32,Finger::N,చేతిప్రేలు,prst
33,Fingernagel::N,గోరు,nehet
34,Nagel[Anatomie]::N,గోరు,nehet
35,Zeh::N,కాలిప్రేలు,prst u nohy
36,Fuß::N,అడుగు,noha
37,Ferse::N,మడమ,pata
38,Knie::N,మోకాలు,koleno
39,Oberschenkel::N,తొడ,stehno
40,Bein::N,కాలు,noha
41,Körper::N,కాయము,tělo
42,Haut::N,చర్మము,kůže
43,Blut::N,రక్తము,krev
44,Ader::N,సిర,céva
45,Sehne::N,స్నాయువు,šlacha
46,Knochen::N,ఎముక,kost
47,Gehirn::N,మెదడు,mozek
48,Herz::N,హృదయము,srdce
49,Magen::N,కడుపు,žaludek
50,Leber::N,కాలేయము,játra
51,Atem::N,ఉపిరి,dech
52,Hunger::N,ఆకలి,hlad
53,Träne::N,కన్నీటిచుక్క,slza
54,Geschmack::N,రుచి,vkus
55,Geruch::N,వాసన,vůně
56,Geruch::N,వాసన,zápach
57,Schlaf::N,నిద్ర,spánek
58,Traum::N,కల,sen
59,Himmel::N,ఆకాశము,nebe
60,Sonne::N,సూర్యుడు,slunce
61,Mond::N,చంద్రుడు,měsíc
62,Stern::N,నక్షత్రము,hvězda
63,Luft::N,గాలి,vzduch
64,Wind::N,వీచుచున్నగాలి,vítr
65,Welle::N,అల,vlna
66,Wasser::N,నీరు,voda
67,Stein::N,ఱాయి,kámen
68,Boden::N,నేల,půda
69,Erde::N,మన్ను,země
70,Staub::N,దుమ్ము,prach
71,Rauch::N,పొగ,dým
72,Rauch::N,పొగ,kouř
73,Funke::N,అగ్నికణము,jiskra
74,Feuer::N,అగ్ని,oheň
75,Licht::N,కాంతి,světlo
76,Schatten::N,నీడ,stín
77,Wetter::N,వాతావరణ స్థితి,počasí
78,Nebel::N,పొగమంచు,mlha
79,Wolke::N,మేఘము,mrak
80,Wolke::N,మేఘము,oblak
81,Regen::N,వాన,déšť
82,Schnee::N,హిమము,sníh
83,Eis::N,మంచుగడ్డ,led
84,Frost::N,పేరిన మంచు,mráz
85,Kälte::N,చలి,chlad
86,Hitze::N,వేడిమి,horko
87,Raureif::N,మంచు,jinovatka
88,Regenbogen::N,ఇంద్రధనుస్సు,duha
89,Donner::N,ఉరుము,hrom
90,Strömung::N,ప్రవాహము,proudění
91,Tropfen::N,చుక్క,kapka
92,Schaum::N,నురుగు,pěna
93,Schmutz::N,మైల,špína
94,See::N,సరస్సు,jezero
95,Sumpf::N,చిత్తడినేల,močál
96,Sumpf::N,చిత్తడినేల,bažina
97,Moor::N,చిత్తడినేల,bažina
98,Moor::N,చిత్తడినేల,slatina
99,Wiese::N,పచ్చిక బయలు,louka
100,Wald::N,అడవి,les
101,Hügel::N,చివ్నకొండ,kopec
102,Anhöhe::N,కొండ,pahorek
103,Berg::N,పర్వతము,hora
104,Gipfel::N,శిఖరము,vrchol
105,Höhle::N,గుహ,jeskyně
106,Abhang::N,ఏటవాలు,svah
107,Abhang::N,ఏటవాలు,stráň
108,Quelle::N,మూలము,pramen
109,Bach::N,కాలువ,potok
110,Fluss::N,నది,řeka
111,Ufer::N,తీరము,břeh
112,Küste::N,తీరము,pobřeží
113,Festland::N,భూమి,souš
114,Festland::N,భూమి,pevnina
115,Meer::N,సముద్రము,moře
116,Bucht::N,మరుగు,záliv
117,Bucht::N,మరుగు,zátoka
118,Insel::N,దీవి,ostrov
119,Blume::N,పుష్పము,květina
120,Gras::N,పచ్చగడ్డి,tráva
121,Wurzel::N,వేరు,kořen
122,Baum::N,చెట్టు,strom
123,Stamm::N,చెట్టుబోదె,kmen
124,Rinde::N,చెట్టుపట్ట,kůra
125,Ast::N,కొమ్మ,větev
126,Zweig::N,చివుకు,větev
127,Blatt::N,ఆకు,lupen
128,Birke::N,తరహా చెట్టు,bříza
129,Kiefer[Baum]::N,దేవదారు చెట్టు,sosna
130,Kiefer[Baum]::N,దేవదారు చెట్టు,borovice
131,Weide[Baum]::N,జాతిచెట్టు,vrba
132,Tanne::N,దేవదారుచెట్టు,jedle
133,Horn::N,కొమ్ము,roh
134,Feder::N,ఈక,pero
135,Fell::N,తోలు,srst
136,Flügel::N,ఱెక్క,křídlo
137,Klaue::N,వంకరగోరు,dráp
138,Klaue::N,వంకరగోరు,pazneht
139,Kralle::N,వంకరగోరు,dráp
140,Schwanz::N,తోక,ocas
141,Ei::N,గ్రుడ్డు,vejce
142,Nest::N,పక్షిగూడు,hnízdo
143,Bau::N,గుహ,nora
144,Tier::N,జంతువు,zvíře
145,Herde::N,మంద,stádo
146,Kuh::N,ఆవు,kráva
147,Bulle::N,గిత్త,býk
148,Pferd::N,గుఱ్ఱము,kůň
149,Schaf::N,గొఱ్ఱె,ovce
150,Schwein::N,పంది,vepř
151,Schwein::N,పంది,prase
152,Hund::N,కుక్క,pes
153,Katze::N,పిల్లి,kočka
154,Bär::N,ఎలుగుబంటి,medvěd
155,Eichhörnchen::N,ఉడుత,veverka
156,Elch::N,కణంజు,los
157,Fuchs::N,గుంటనక్క,liška
158,Hase::N,కుందేలు,zajíc
159,Maus::N,చిట్టెలుక,myš
160,Wolf::N,తోడేలు,vlk
161,Vogel::N,పక్షి,pták
162,Schwarm::N,గుంపు,roj
163,Schwarm::N,గుంపు,hejno
164,Huhn::N,కోడిపిల్ల,kuře
165,Huhn::N,కోడిపిల్ల,slepice
166,Hahn::N,కోడివుంజు,kohout
167,Gans::N,ఆడుబాతు,husa
168,Adler::N,గ్రద్ద,orel
169,Ente::N,పాట్టిబాతు,kachna
170,Eule::N,గ్రుడ్లగూబ,sova
171,Kranich::N,కొంగ,jeřáb
172,Krähe::N,కాకి,vrána
173,Kuckuck::N,కోయల,kukačka
174,Schwan::N,హంస,labuť
175,Fisch::N,చేప,ryba
176,Barsch::N,ఒకచేఁప,okoun
177,Hecht::N,గండుమీను,štika
178,Schlange[Tier]::N,పాము,had
179,Wurm::N,పురుగు,červ
180,Spinne::N,సాలె పురుగు,pavouk
181,Ameise::N,చీమ,mravenec
182,Laus::N,పేను,veš
183,Mücke::N,చీకటీగ,komár
184,Fliege::N,ఈగ,moucha
185,Schmetterling::N,సీతాకోకచిలుక,motýl
186,Beere::N,కాయ,bobule
187,Apfel::N,ఆపిల్ పండు,jablko
188,Pilz::N,కుక్కగొడుగు,houba
189,Zwiebel::N,నీరుల్లి,cibule
190,Saat::N,విత్తనము,osivo
191,Korn::N,గింజ,zrno
192,Heu::N,ఎండుగడ్డి,seno
193,Schale::N,పొట్టు,slupka
194,Schale::N,పొట్టు,skořápka
195,Grube::N,గొయ్యి,jáma
196,Falle::N,బోను,past
197,Falle::N,బోను,léčka
198,Schlinge::N,ఉరి,smyčka
199,Spur::N,జాడ,stopa
200,Asche::N,బూడిద,popel
201,Dreck::N,ముఱికి,špína
202,Eisen::N,ఇనుము,železo
203,Gold::N,బంగారము,zlato
204,Silber::N,వెండి,stříbro
205,Kohle::N,నేలబొగ్గు,uhlí
206,Glas::N,గాజు,sklo
207,Lehm::N,బంకమన్ను,jíl
208,Lehm::N,బంకమన్ను,hlína
209,Sand::N,ఇసుక,písek
210,Mensch::N,నరుడు,člověk
211,Mann::N,పురుమడు,muž
212,Frau::N,ఆడుది,žena
213,Kind::N,బిడ్డ,dítě
214,Junge::N,బాలుడు,hoch
215,Junge::N,బాలుడు,chlapec
216,Mädchen::N,బాలిక,děvče
217,Familie::N,కుటుంబము,rodina
218,Großvater::N,తాత,děd
219,Großvater::N,తాత,dědeček
220,Großmutter::N,అయ్యమ్మ,babička
221,Eltern::N,తల్లితండ్రులు,rodiče
222,Vater::N,తండ్రి,otec
223,Mutter::N,తల్లి,matka
224,Sohn::N,కొడుకు,syn
225,Tochter::N,కూతురు,dcera
226,Bruder::N,పోదరుడు,bratr
227,Schwester::N,సోదరి,sestra
228,Onkel::N,మేనమామ,strýc
229,Tante::N,మేనత్త,teta
230,Tante::N,పినతల్లి,teta
231,Ehemann::N,భర్త,choť
232,Ehemann::N,భర్త,manžel
233,Ehefrau::N,భార్య,choť
234,Ehefrau::N,భార్య,manželka
235,Freude::N,సంతోషము,radost
236,Gelächter::N,నవ్వు,smích
237,Glück::N,సంతోషము,štěstí
238,Kummer::N,దుఃఖము,žal
239,Kummer::N,దుఃఖము,trápení
240,Wunsch::N,కోరిక,přání
241,Lust::N,కోరిక,chuť
242,Geist::N,ఆత్మ,duch
243,Gedanke::N,ఆలోచన,myšlenka
244,Gedächtnis::N,జ్ఞాపకము,paměť
245,Verstand::N,మనస్సు,rozum
246,Sinn::N,అర్థము,smysl
247,Grund::N,కారణము,důvod
248,Wahrheit::N,సత్యము,pravda
249,Gespräch::N,పంభాషణ,rozhovor
250,Märchen::N,అద్భుతకథ,pohádka
251,Erzählung::N,కథ,povídka
252,Nachricht::N,వార్త,zpráva
253,Neuigkeit::N,వార్త,novina
254,Neuigkeit::N,వార్త,novinka
255,Name::N,పేరు,jméno
256,Rätsel::N,చిక్కు,hádanka
257,Rede::N,ఉపన్యాసము,řeč
258,Rede::N,ఉపన్యాసము,proslov
259,Sprache::N,భాష,řeč
260,Sprache::N,భాష,jazyk
261,Stimme::N,కంరథ్సని,hlas
262,Wort::N,మాట,slovo
263,Zeichen::N,గుర్తు,znamení
264,Ruf::N,పిలువు,zavolání
265,Lärm::N,సందడి,hluk
266,Laut::N,ధ్వని,zvuk
267,Ton::N,స్వరము,tón
268,Lied::N,పాట,píseň
269,Ruhe::N,గాలిలేమి,klid
270,Ruhe::N,గాలిలేమి,pokoj
271,Leute::N,జనులు,lidé
272,Volk::N,జాతి,národ
273,Arbeit::N,పని,práce
274,Gast::N,అతిధి,host
275,Geschenk::N,దానము,dar
276,Spiel::N,ఆట,hra
277,Gesellschaft::N,జట్టు,společnost
278,Hilfe::N,సాహాయ్యము,pomoc
279,Freund::N,స్నేహితుడు,přítel
280,Kamerad::N,చెలికాడు,kamarád
281,Angelegenheit::N,విషయము,záležitost
282,Anzahl::N,లెక్క,počet
283,Art::N,జాతి,druh
284,Stück::N,తునుక,kus
285,Stück::N,తునుక,kousek
286,Teil::N,భాగము,díl
287,Teil::N,భాగము,část
288,Hälfte::N,సగము,půl
289,Kreis::N,వృత్తము,kruh
290,Kreuz::N,సిలువ,kříž
291,Linie::N,గీత,linka
292,Strich::N,గీత,čára
293,Strich::N,గీత,čárka
294,Abstand::N,సందు,vzdálenost
295,Entfernung::N,దూరము,vzdálenost
296,Gegend::N,విస్తీర్ణము,krajina
297,Platz::N,ఎడము,prostor
298,Ort::N,స్థలము,místo
299,Seite::N,ప్రక్క,strana
300,Mitte::N,నడిమి,střed
301,Mitte::N,నడిమి,prostředek
302,Gegenstand::N,పద్దు,předmět
303,Sache::N,వస్తువు,věc
304,Rand::N,అంచు,kraj
305,Rand::N,అంచు,okraj
306,Kante::N,అంచు,hrana
307,Ecke::N,మూల,roh
308,Spitze::N,మొన,hrot
309,Spitze::N,మొన,špička
310,Ende::N,కొన,konec
311,Loch::N,రంధ్రము,díra
312,Winkel::N,కోణము,kout
313,Muster::N,మాదిరి,vzor
314,Größe::N,పరిమాణము,velikost
315,Länge::N,పొడుగు,délka
316,Höhe::N,పొడుగు,výška
317,Gewicht::N,భారము,váha
318,Menge::N,మొత్తము,množství
319,Haufen::N,రాశి,kupa
320,Haufen::N,రాశి,hromada
321,Reihe::N,వరుస,řada
322,Reihe::N,వరుస,řádek
323,Boot::N,పడవ,člun
324,Ruder::N,అడక,veslo
325,Schlitten::N,సరవండ్లు,sáně
326,Ski::N,స్కీ,lyže
327,Lagerfeuer::N,నెగడు,táborák
328,Last::N,బరువు,náklad
329,Last::N,బరువు,břemeno
330,Gang::N,నడక,chůze
331,Gang::N,నడక,chodba
332,Schritt::N,అడుగు,krok
333,Norden::N,ఉత్తరదిక్కు,sever
334,Süden::N,దక్షిణము,jih
335,Westen::N,పడమర,západ
336,Osten::N,తూర్పు,východ
337,Holz::N,కొయ్య,dřevo
338,Brett::N,పలక,prkno
339,Platte::N,పలక,deska
340,Stütze::N,వాల్సేడ్లు,opěra
341,Stange::N,స్తంభము,tyč
342,Stange::N,స్తంభము,tyčka
343,Stock::N,కఱ్ఱ,hůlka
344,Stab::N,కఱ్ఱ,hůl
345,Rohr::N,గొట్టము,trubka
346,Haus::N,ఇల్లు,dům
347,Heim::N,స్వగృహము,domov
348,Ofen::N,పొయ్యి,kamna
349,Fußboden::N,నేల,podlaha
350,Tisch::N,మేజా,stůl
351,Stuhl::N,కుర్చీ,židle
352,Wiege::N,ఉయ్యాల,kolébka
353,Bett::N,పడక,postel
354,Bett::N,మంచం,postel
355,Regal::N,అటక,regál
356,Regal::N,అటక,police
357,Kiste::N,వెట్టె,bedna
358,Fenster::N,కిటికి,okno
359,Tür::N,ద్వారము,dveře
360,Tor::N,ద్వారము,vrata
361,Zaun::N,కంచె,plot
362,Dach::N,ఇంటివైకప్పు,střecha
363,Leiter::N,నిచ్చెన,žebřík
364,Besen::N,చీపురుకట్ట,koště
365,Besen::N,చీపురుకట్ట,smeták
366,Spaten::N,పాఱ,rýč
367,Schaufel::N,పాఱ,lopata
368,Gabel::N,ముండ్లగరిటె,vidlička
369,Löffel::N,గరిటె,lžíce
370,Messer::N,కత్తి,nůž
371,Nagel::N,మేకు,hřebík
372,Netz::N,వల,síť
373,Haken::N,కొక్కెము,hák
374,Griff::N,పిడి,držadlo
375,Schloss::N,తాళము,zámek
376,Bild::N,చిత్రము,obraz
377,Figur::N,రూపము,figura
378,Puppe::N,బొమ్మ,panenka
379,Beutel::N,సంచి,pytlík
380,Bündel::N,మూట,svazek
381,Tasche::N,సంచి,taška
382,Tasche::N,సంచి,brašna
383,Eimer::N,చేద,kýbl
384,Eimer::N,చేద,vědro
385,Deckel::N,మూత,víko
386,Deckel::N,మూత,příklop
387,Geschirr::N,వంటకాలు,nádobí
388,Sack::N,గోనెసంచి,pytel
389,Tasse::N,గిన్నె,šálek
390,Topf::N,కుండ,hrnec
391,Kessel::N,నీరుకాచుపాత్ర,kotel
392,Essen::N,ఆహారము,jídlo
393,Nahrung::N,ఆహారము,strava
394,Nahrung::N,ఆహారము,potrava
395,Speise::N,ఆహారము,jídlo
396,Fleisch::N,మాంసము,maso
397,Getreide::N,ధాన్యము,obilí
398,Brei::N,గుజ్జు,kaše
399,Brot::N,రొట్టె,chléb
400,Scheibe::N,బద్ద,krajíc
401,Fett::N,క్రొవ్వు,tuk
402,Fett::N,క్రొవ్వు,omastek
403,Butter::N,వెన్న,máslo
404,Öl::N,నూనె,olej
405,Salz::N,ఉప్పు,sůl
406,Suppe::N,చారు,polévka
407,Honig::N,తెనె,med
408,Milch::N,పాలు,mléko
409,Tee::N,తేనీరు,čaj
410,Leder::N,బాగుచేసివతోలు,kůže
411,Wolle::N,ఉన్ని,vlna
412,Stoff::N,బట్ట,látka
413,Nadel::N,సూది,jehla
414,Faden::N,దారము,nit
415,Knopf::N,బొత్తాము,knoflík
416,Knoten::N,ముడి,uzel
417,Farbe::N,రంగు,barva
418,Kleidung::N,బట్టలు,šaty
419,Kleidung::N,బట్టలు,šatstvo
420,Hemd::N,చొక్కాయ,košile
421,Kragen::N,మాల,límec
422,Ärmel::N,చొక్కాయచెయ్యి,rukáv
423,Hose::N,ఇజారు,kalhoty
424,Gürtel::N,పటకా,pás
425,Gürtel::N,పటకా,opasek
426,Mütze::N,టోపి,čepice
427,Schuh::N,పాదరక్ష,bota
428,Stiefel::N,బూటు,holínka
429,Ring::N,ఉంగరము,prsten
430,Band::N,నాడా,pásek
431,Kamm::N,దువ్వెన,hřeben
432,Spiegel::N,అద్దము,zrcadlo
433,Riemen::N,వాడా,řemen
434,Schnur::N,దారము,šňůra
435,Leine::N,వారు,vodítko
436,Decke::N,కంబళి,pokrývka
437,Decke::N,కంబళి,přikrývka
438,Kissen::N,తలగడ,polštář
439,Tuch::N,బట్ట,šátek
440,Handtuch::N,తువాలు,ručník
441,Kraft::N,బలము,síla
442,Stärke::N,శక్తి,síla
443,Gesundheit::N,ఆరోగ్యము,zdraví
444,Krankheit::N,రోగము,nemoc
445,Krankheit::N,రోగము,choroba
446,Schmerz::N,నొప్పి,bolest
447,Wunde::N,గాయము,rána
448,Fieber::N,జ్వరము,horečka
449,Arznei::N,మందు,lék
450,Brücke::N,వంతెన,most
451,Brunnen::N,బావి,studna
452,Brunnen::N,కూపము,studna
453,Brunnen::N,నుయ్యి,studna
454,Weide::N,పచ్చికబయలు,pastva
455,Weide::N,పచ్చికబయలు,pastvina
456,Pfad::N,కాలిత్రోవ,pěšina
457,Weg::N,మార్గము,cesta
458,Straße::N,బాట,silnice
459,Dorf::N,గ్రామము,vesnice
460,Stadt::N,పట్టణము,město
461,Brief::N,జాబు,dopis
462,Buch::N,పుస్తకము,kniha
463,Buchstabe::N,అక్షరము,písmeno
464,Zeitung::N,వార్తాపత్రిక,noviny
465,Leben::N,ప్రాణము,život
466,Tod::N,మరణము,smrt
467,Grab::N,సమాధి,hrob
468,Kirche::N,క్రెస్తవులగుడి,kostel
469,Sünde::N,పాపము,hřích
470,Gott::N,దేవుడు,bůh
471,Arbeiter::N,పనిపాటుచేశేవాడు,dělník
472,Arbeiter::N,పనిపాటుచేశేవాడు,pracovník
473,Chef::N,యజమానుడు,šéf
474,Chef::N,యజమానుడు,vedoucí
475,Meister::N,కళాకారుడు,mistr
476,Arzt::N,వైద్యుడు,lékař
477,Lehrer::N,ఉపాధ్యాయుడు,učitel
478,Geld::N,ద్రవ్యము,peníze
479,Geschäft::N,వ్యాపారము,obchod
480,Laden::N,అంగడి,krám
481,Preis::N,వెల,cena
482,Ware::N,సరకులు,zboží
483,Nutzen::N,ప్రయోజనము,užitek
484,Reichtum::N,ధనము,bohatství
485,Welt::N,ప్రపంచము,svět
486,Land::N,దేశము,země
487,Staat::N,రాజ్యము,stát
488,König::N,రాజు,král
489,Macht::N,అధికారము,moc
490,Macht::N,అధికారము,mocnost
491,Grenze::N,సరిహద్దు,hranice
492,Krieg::N,యుద్ధము,válka
493,Feind::N,శత్రువు,nepřítel
494,Gewalt::N,దౌర్జన్యము,násilí
495,Kampf::N,పోట్లాట,boj
496,Bogen[Waffe]::N,విల్లు,luk
497,Pfeil::N,బాణము,šíp
498,Gewehr::N,తుపాకి,puška
499,Gewehr::N,తుపాకి,ručnice
500,Fehler::N,తప్ప,chyba
501,Lüge::N,అసత్యము,lež
502,Schaden::N,నష్టము,škoda
503,Unglück::N,దురదృష్టము,neštěstí
504,Schuld::N,తప్పు,vina
