,Concept_ID,he,ady
0,Auge::N,עין,нэ
1,Ohr::N,אזן,тхьакӏу́м
2,Nase::N,אף,пэ
3,Nase::N,חטם,пэ
4,Mund::N,פה,жэ
5,Zahn::N,שן,цэ
6,Zunge::N,לשון,бзэгу
7,Lippe::N,שפה,ӏупшӏэ́
8,Wange::N,לחי,нэкӏу́шъу
9,Gesicht::N,פנים,нэ́гу
10,Stirn::N,מצח,натӏэ́
11,Haar::N,שערה,шъхьацы́
12,Schnurrbart::N,שפם,
13,Bart::N,זקן,жакӏэ́
14,Kinn::N,סנטר,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,לסת,жэпкъы́
16,Kehle::N,גרון,чый
17,Hals::N,צואר,пшъэ
18,Genick::N,ערף,шъхьэпхэтыку
19,Kopf::N,ראש,шъхьэ́
20,Rücken::N,גב,кӏыбы́
21,Bauch::N,בטן,ныбэ́
22,Nabel::N,טבור,
23,Busen::N,שד,бгъэ́
24,Brust::N,חזה,бгъэ́
25,Schulter::N,כתף,блыпкъ
26,Arm::N,זרוע,ӏэ
27,Ellenbogen::N,מרפק,ӏэнтэ́гъу
28,Hand::N,יד,ӏэтхьэцу
29,Handfläche::N,כף יד,ӏэ́гу
30,Finger::N,אצבע,ӏэхъуа́мб
31,Fingernagel::N,צפרן,ӏэбжъа́н
32,Nagel[Anatomie]::N,צפרן,ӏэбжъа́н
33,Zeh::N,אצבע,ӏэхъуа́мб
34,Fuß::N,רגל,лъэгу
35,Ferse::N,עקב,лъэдакъэ
36,Knie::N,ברך,лъагуа́ндж
37,Oberschenkel::N,ירך,ко
38,Bein::N,רגל,лъакъо́
39,Körper::N,גוף,пкъышъол
40,Haut::N,עור,кӏы́шъу
41,Blut::N,דם,лъы
42,Ader::N,וריד,льытф
43,Sehne::N,גיד,фэ
44,Knochen::N,עצם,къупшъхьэ́
45,Gehirn::N,מוח,куцӏы
46,Herz::N,לב,гу
47,Magen::N,קבה,мышкӏу
48,Leber::N,כבד,шӏу
49,Atem::N,נשימה,къэщэныр
50,Hunger::N,רעב,гъаблэ́
51,Träne::N,דמעה,нэпсы
52,Geschmack::N,טעם,ӏэшӏугъа́кӏ
53,Geruch::N,ריח,мэ
54,Schlaf::N,שנה,пчыхьы́пӏ
55,Traum::N,חלום,пчыхьы́пӏ
56,Himmel::N,שמים,уашъо́
57,Sonne::N,שמש,тыгъэ
58,Mond::N,ירח,мазэ
59,Stern::N,כוכב,жъуагъо́
60,Luft::N,אויר,жьы
61,Wind::N,רוח,жьыбгъэ́
62,Welle::N,גל,ор
63,Welle::N,גל,оры
64,Wasser::N,מים,псы
65,Stein::N,אבן,мыжъо́
66,Boden::N,קרקע,чӏ́ыгу
67,Erde::N,אדמה,чӏ́ыгу
68,Staub::N,אבק,сап
69,Rauch::N,עשן,ӏугъо́
70,Funke::N,ניצוץ,мэшӏуа́ч
71,Feuer::N,אש,машӏо́
72,Licht::N,אור,нэфы
73,Licht::N,אור,нэфын
74,Schatten::N,צל,жьау́
75,Schatten::N,צל,ныбжьыкъу
76,Wetter::N,מזג אויר,
77,Nebel::N,ערפל,пща́гъу
78,Wolke::N,ענן,ошъуапщэ
79,Regen::N,גשם,ощхы
80,Schnee::N,שלג,осы́
81,Eis::N,קרח,мылы
82,Frost::N,צנה,
83,Kälte::N,קר,чъыӏэ́
84,Hitze::N,חם,фэба́е
85,Raureif::N,כפור,
86,Regenbogen::N,קשת, лэгъупэкъо́пс
87,Donner::N,רעם,шыблэ́
88,Strömung::N,זרימה,ток
89,Tropfen::N,טפה,ткӏопс
90,Tropfen::N,טפה,гъуаткӏу
91,Schaum::N,קצף,тхъурбэ
92,Schmutz::N,לכלוך,псынжъы
93,See::N,אגם,хыку́м
94,See::N,אגם,псыхъура́й
95,Sumpf::N,בצה,орыжъ
96,Moor::N,בצה,орыжъ
97,Wiese::N,מרעה,хъупӏэ́
98,Wiese::N,מרעה,мэкъупӏ
99,Wald::N,יער,мэзы́
100,Hügel::N,תל,ӏуашъхь
101,Anhöhe::N,מעלה,чӏыӏэтыгъ
102,Berg::N,הר,къушъхьэ́
103,Gipfel::N,פסגה,шыгу
104,Höhle::N,מערה,гъочӏэгъ
105,Abhang::N,מדרון,чапэ
106,Abhang::N,שפוע,чапэ
107,Quelle::N,מעין,псынэчэ́чъ
108,Bach::N,נחל,псышкуашку
109,Fluss::N,נהר,псыхъо́
110,Ufer::N,גדה,нэпкъы
111,Küste::N,חוף,ӏушъо
112,Festland::N,יבשה,чӏл́ыгу
113,Meer::N,ים,хы
114,Bucht::N,מפרץ,хыблыгу
115,Insel::N,אי,хыгъэхъу́н
116,Blume::N,פרח,къэгъа́гь
117,Gras::N,דשא,уцы́
118,Wurzel::N,שרש,лъапсэ́
119,Baum::N,עץ,чъыгы́
120,Stamm::N,גזע,пкъы
121,Rinde::N,קלפת עץ,пхъашъо́
122,Ast::N,ענף,куамэ
123,Zweig::N,ענף,къутамэ́
124,Blatt::N,עלה,тхьап
125,Birke::N,שדר,пчэн
126,Kiefer[Baum]::N,ארן,сэснэй
127,Weide[Baum]::N,ערבה,пце́л
128,Tanne::N,אשוח,ель
129,Horn::N,קרן,бжъэ
130,Feder::N,נוצה,къамӏы́й
131,Fell::N,פרוה,шъо
132,Flügel::N,כנף,тамэ́
133,Klaue::N,טלף,лъэбжъа́н
134,Kralle::N,טפר,лъакъо
135,Schwanz::N,זנב,кӏэ
136,Ei::N,ביצה,кӏэнкӏэ́
137,Nest::N,קן,набгъо́
138,Bau::N,מחלה,гъу
139,Bau::N,מחלה,бы
140,Tier::N,חיה,псэу́шъхь
141,Herde::N,עדר,ӏэхъогъу
142,Kuh::N,פרה,чэмы́
143,Bulle::N,פר,цу
144,Pferd::N,סוס,шы
145,Schaf::N,כבשה,мэлы́
146,Schwein::N,חזיר,къо
147,Hund::N,כלב,бьэ
148,Katze::N,חתול,чэты́у
149,Bär::N,דב,мышъэ́
