,Concept_ID,la,uz
0,Auge::N,oculus,ko'z
1,Ohr::N,auris,quloq
2,Nase::N,nasus,burun
3,Mund::N,os,og'iz
4,Zahn::N,dens,tish
5,Zunge::N,lingua,til
6,Lippe::N,labrum,dudoq
7,Wange::N,gena,bet
8,Gesicht::N,vultus,yuz
9,Stirn::N,frons,manglay
10,Haar::N,capillus,soch
11,Schnurrbart::N,barba labri superioris,mo'ylov
12,Bart::N,barba,soqol
13,Kinn::N,mentum,ängak
14,Kiefer[Anatomie]::N,mala,iyak
15,Kehle::N,iugulums,bo'g'iz
16,Hals::N,collum,bo'yin
17,Genick::N,cervices,gardan
18,Kopf::N,caput,bosh
19,Rücken::N,tergum,orqa
20,Bauch::N,venter,qorin
21,Nabel::N,umbilicus,kindik
22,Busen::N,sinus,ämchak
23,Brust::N,pectus,ko'krak
24,Schulter::N,umerus,elka
25,Arm::N,bracchium,bilak
26,Ellenbogen::N,cubitum,tirsak
27,Hand::N,manus,qo'l
28,Handfläche::N,palma,kaft
29,Finger::N,digitus,barmoq
30,Fingernagel::N,unguiculus,tirnoq
31,Nagel[Anatomie]::N,unguis,tirnoq
32,Zeh::N,digitus,oyoq barmog'i
33,Fuß::N,pes,oyoq
34,Ferse::N,calx,tovon
35,Knie::N,genu,tiz
36,Oberschenkel::N,femur,son
37,Bein::N,crus,oyoq
38,Körper::N,corpus,badna
39,Haut::N,cutis,teri
40,Haut::N,pellis,teri
41,Blut::N,sanguis,qon
42,Ader::N,vena,qon tomir
43,Sehne::N,nervus,tomir
44,Knochen::N,os,suyak
45,Gehirn::N,cerebrum,miya
46,Herz::N,cor,qalb
47,Herz::N,animus,qalb
48,Magen::N,stomachus,oshqozon
49,Leber::N,iecur,bag'ir
50,Atem::N,spiritus,dam
51,Hunger::N,fames,ochlik
52,Träne::N,lacrima,yosh
53,Geschmack::N,sapor,tam
54,Geschmack::N,gustus,tam
55,Geruch::N,odor,jid
56,Schlaf::N,somnus,uyqu
57,Traum::N,somnium,tush
58,Himmel::N,caelum,osmon
59,Sonne::N,sol,quyosh
60,Mond::N,luna,oy
61,Stern::N,sidus,yulduz
62,Stern::N,stella,yulduz
63,Luft::N,aer,havo
64,Wind::N,ventus,el
65,Welle::N,unda,to'lqin
66,Wasser::N,aqua,suv
67,Stein::N,lapis,tosh
68,Boden::N,solum,tuproq
69,Erde::N,terra,er
70,Staub::N,pulvis,chang
71,Rauch::N,fumus,tutun
72,Funke::N,scintilla,yalt
73,Feuer::N,ignis,o't
74,Licht::N,lux,yorug'
75,Licht::N,lumen,yorug'
76,Schatten::N,umbra,soya
77,Wetter::N,caelum,havo
78,Wetter::N,tempestas,havo
79,Nebel::N,nebula,tuman
80,Wolke::N,nubes,bulut
81,Regen::N,imber,yomg'ir
82,Regen::N,pluvia,yomg'ir
83,Schnee::N,nix,qor
84,Eis::N,glacies,muz
85,Frost::N,gelu,ajoz
86,Kälte::N,frigus,ajoz
87,Hitze::N,calor,issiq
88,Hitze::N,aestus,issiq
89,Raureif::N,pruina,qirov
90,Regenbogen::N,arcus,kamalak
91,Donner::N,tonitrus,guldur
92,Strömung::N,fluctus,oqim
93,Tropfen::N,gutta,tomchi
94,Schaum::N,spuma,ko'pik
95,Schmutz::N,sordes,gard
96,Schmutz::N,squalor,gard
97,See::N,lacus,ko'l
98,Sumpf::N,palus,botqoq
99,Moor::N,palus,qir-adir
100,Wiese::N,pratum,o'tzor
101,Wald::N,silva,o'rmon
102,Hügel::N,collis,tepa
103,Anhöhe::N,specula,adir
104,Berg::N,mons,tog'
105,Gipfel::N,vertex,cho'qqi
106,Höhle::N,caverna,kavak
107,Höhle::N,spelunca,kavak
108,Abhang::N,declivum,to'sh
109,Quelle::N,fons,buloq
110,Bach::N,rivus,o'zan
111,Fluss::N,flumen,daryo
112,Ufer::N,ripa,sohil
113,Küste::N,litus,qirg'oq
