,Concept_ID,mrj,bg
0,Auge::N,сӹнзӓ,око
1,Ohr::N,пӹлӹш,ухо
2,Nase::N,нер,нос
3,Mund::N,ышма,уста
4,Zahn::N,пӱ,зъб
5,Zunge::N,йӹлмӹ,език
6,Lippe::N,тӹрвӹ,устна
7,Wange::N,шӹргӹ,буза
8,Gesicht::N,лицӓ,лице
9,Gesicht::N,лицӓ,образ
10,Stirn::N,лепкӓ,чело
11,Haar::N,ӱп,коса
12,Haar::N,ӱп,косъм
13,Schnurrbart::N,öрш,мустаци
14,Bart::N,пандаш,брада
15,Kinn::N,онгылаш,брада
16,Kinn::N,онгылаш,брадичка
17,Kiefer[Anatomie]::N,пӱ арата,челюст
18,Kehle::N,логер,гърло
19,Hals::N,шӱ,врат
20,Genick::N,ланга,тил
21,Kopf::N,вуй,глава
22,Rücken::N,туп,гръб
23,Bauch::N,мӹшкӹр,корем
24,Nabel::N,кӹлӹмдӹ,пъп
25,Busen::N,цӹзӹ,бозка
26,Brust::N,мел,гръд
27,Schulter::N,ӹнгӹжӓ,рамо
28,Schulter::N,ӹнгӹжӓ,плещи
29,Arm::N,кид,ръка
30,Ellenbogen::N,кӹнервуй,лакът
31,Hand::N,лапа,ръка
32,Hand::N,лапа,китка
33,Handfläche::N,кид лапа,длан
34,Finger::N,парня,пръст
35,Fingernagel::N,кӹч,нокът
36,Nagel[Anatomie]::N,кӹч,нокът
37,Zeh::N,парня,пръст на крак
38,Fuß::N,ял лапа,крак
39,Fuß::N,ял лапа,нога
40,Ferse::N,ялгавал,пета
41,Ferse::N,ял кавал,пета
42,Knie::N,пылвуй,коляно
43,Oberschenkel::N,ӓрдӹ,бедро
44,Bein::N,ял,крак
45,Bein::N,ял,нога
46,Körper::N,монгыр,тяло
47,Haut::N,кавашты,кожа
48,Blut::N,вӹр,кръв
49,Ader::N,вӹршӓр,вена
50,Ader::N,вӹршӓр,артерия
51,Sehne::N,кукшышӱн,жила
52,Sehne::N,кукшышӱн,сухожилие
53,Knochen::N,лу,кост
54,Gehirn::N,вим,мозък
55,Herz::N,шӱм,сърце
56,Magen::N,шӱм,стомах
57,Leber::N,мокш,черен дроб
58,Atem::N,шӱлӹш,дишане
59,Hunger::N,шужымаш,глад
60,Träne::N,сӹнзӓвӹд,сълза
61,Geschmack::N,тот,вкус
62,Geruch::N,пыш,миризма
63,Schlaf::N,ом,сън
64,Traum::N,ом,сън
65,Himmel::N,пӹлгом,небе
66,Sonne::N,кечӹ,слънце
67,Mond::N,тӹлзӹ,луна
68,Mond::N,тӹлзӹ,месец
69,Stern::N,шӹдӹр,звезда
70,Luft::N,юж,въздух
71,Luft::N,воздух,въздух
72,Wind::N,мардеж,вятър
73,Welle::N,ко,вълна
74,Welle::N,коэ,вълна
75,Wasser::N,вӹд,вода
76,Stein::N,кӱ,камък
77,Boden::N,рок,земя
78,Boden::N,рок,почва
79,Erde::N,свет,земя
80,Erde::N,свет,почва
81,Staub::N,пырак,прах
82,Rauch::N,шӹкш,дим
83,Rauch::N,шӹкш,пушек
84,Funke::N,ип,искра
85,Funke::N,тылип,искра
86,Feuer::N,тыл,огън
87,Licht::N,соты,светлина
88,Licht::N,валгыды,светлина
89,Schatten::N,ӹмӹл,сянка
90,Wetter::N,игечӹ,време
91,Nebel::N,тӹтӹрӓ,мъгла
92,Wolke::N,пӹл,облак
93,Regen::N,юр,дъжд
94,Schnee::N,лым,сняг
95,Eis::N,и,лед
96,Frost::N,ӱштӹ,мраз
97,Kälte::N,ӱштӹ,студ
98,Hitze::N,шокшы,жега
99,Hitze::N,шокшы,горещина
100,Raureif::N,пöрш,скреж
101,Raureif::N,пöрш,слана
102,Regenbogen::N,шанавӹл,дъга
103,Donner::N,хӹдӹртӹш,гръм
104,Strömung::N,йогы,течение
105,Tropfen::N,капльы,капка
106,Tropfen::N,капльык,капка
107,Schaum::N,шонг,пяна
108,Schmutz::N,лявӹрӓ,кал
109,Schmutz::N,лявӹрӓ,мръсотия
110,See::N,йӓр,езеро
111,Sumpf::N,лӱкӹ,блато
112,Moor::N,куп,мочурище
113,Wiese::N,алык,ливада
114,Wald::N,шӹргӹ,гора
115,Hügel::N,пӱгӹрикӓ,рид
116,Hügel::N,пӱгӹрикӓ,хълм
117,Anhöhe::N,кӱкшикӓ,могила
118,Anhöhe::N,кӱкшикӓ,възвишение
119,Berg::N,кырык,планина
120,Gipfel::N,неркӓ,връх
121,Höhle::N,ы́раж,пещера
122,Abhang::N,полом,склон
123,Abhang::N,полом,стръмнина
