,Concept_ID,sk,zh
0,Auge::N,oko,眼睛
1,Ohr::N,ucho,耳朵
2,Nase::N,nos,鼻子
3,Mund::N,ústa,嘴
4,Zahn::N,zub,牙齿
5,Zunge::N,jazyk,舌头
6,Lippe::N,pera,嘴唇
7,Wange::N,líce,面颊
8,Gesicht::N,tvár,脸
9,Gesicht::N,obličaj,脸
10,Stirn::N,čelo,额
11,Haar::N,vlas,头发
12,Schnurrbart::N,fúzy,髭须
13,Bart::N,brada,胡子
14,Kinn::N,brada,下巴
15,Kiefer[Anatomie]::N,čeľusť,颌
16,Kehle::N,hrdlo,嗓子
17,Hals::N,krk,颈
18,Genick::N,väzy,后颈
19,Kopf::N,hlava,头
20,Rücken::N,chrbát,背
21,Bauch::N,brucho,肚子
22,Nabel::N,pupok,肚脐
23,Busen::N,prsia,胸脯
24,Brust::N,hruď,胸
25,Schulter::N,plece,肩膀
26,Arm::N,rameno,臂膀
27,Ellenbogen::N,lakeť,肘
28,Hand::N,ruka,手
29,Handfläche::N,dlaň,手掌
30,Finger::N,prst,手指
31,Fingernagel::N,necht,指甲
32,Nagel[Anatomie]::N,necht,指甲
33,Zeh::N,prst na nohe,脚趾
34,Fuß::N,noha,脚
35,Ferse::N,päta,后跟
36,Knie::N,koleno,膝
37,Oberschenkel::N,stehno,大腿
38,Bein::N,noha,腿
39,Körper::N,telo,身体
40,Haut::N,koža,皮肤
41,Blut::N,krv,血
42,Ader::N,žila,血管
43,Sehne::N,šľacha,腱
44,Knochen::N,kosť,骨
45,Gehirn::N,mozog,脑
46,Herz::N,srdce,心
47,Magen::N,žalúdok,胃
48,Leber::N,pečeň,肝
49,Atem::N,dych,呼吸
50,Hunger::N,hlad,饿
51,Träne::N,slza,眼泪
52,Geschmack::N,chuť,味道
53,Geruch::N,pach,气味
54,Schlaf::N,spánok,睡眠
55,Traum::N,sen,梦
56,Himmel::N,nebo,天空
57,Sonne::N,slnko,太阳
58,Mond::N,mesiac,月亮
59,Stern::N,hviezda,星
60,Luft::N,vzduch,空气
61,Wind::N,vietor,风
62,Welle::N,vlna,波
63,Wasser::N,voda,水
64,Stein::N,kameň,石头
65,Boden::N,zem,地面
66,Boden::N,pôda,地面
67,Erde::N,zem,地
68,Staub::N,prach,灰尘
69,Rauch::N,dym,烟
70,Funke::N,iskra,火花
71,Feuer::N,oheň,火
72,Licht::N,svetlo,光
73,Schatten::N,tieň,影子
74,Wetter::N,počasie,天气
75,Nebel::N,hmla,雾
76,Wolke::N,oblak,云
77,Wolke::N,mračno,云
78,Regen::N,dážď,雨
79,Schnee::N,sneh,雪
80,Eis::N,ľad,冰
81,Frost::N,mráz,霜冻
82,Kälte::N,zima,寒冷
83,Kälte::N,chlad,寒冷
84,Hitze::N,horúčava,炎热
85,Raureif::N,srieň,霜
86,Raureif::N,inovať,霜
87,Regenbogen::N,dúha,虹
88,Donner::N,hrom,雷
89,Strömung::N,prúdenie,水流
90,Tropfen::N,kvapka,滴
91,Schaum::N,pena,泡沫
92,Schmutz::N,špina,赃物
93,Schmutz::N,nečistota,赃物
94,See::N,jazero,湖
95,Sumpf::N,bahno,沼泽
96,Moor::N,močiar,沼泽
97,Wiese::N,lúka,草地
98,Wald::N,les,森林
99,Wald::N,hora,森林
100,Hügel::N,vŕšok,丘陵
101,Anhöhe::N,výšina,山丘
102,Anhöhe::N,vyvýšenina,山丘
103,Berg::N,hora,山
104,Gipfel::N,vrchol,峰
105,Höhle::N,jaskyňa,洞穴
106,Abhang::N,úbočie,斜坡
107,Quelle::N,prameň,泉
108,Bach::N,potok,溪
109,Fluss::N,rieka,河流
110,Ufer::N,breh,岸
111,Küste::N,pobrežie,海岸
112,Festland::N,pevnina,大陆
113,Meer::N,more,海
114,Bucht::N,záliv,海湾
115,Bucht::N,zátoka,海湾
116,Insel::N,ostrov,岛
117,Blume::N,kvet,花
118,Blume::N,kvetina,花
119,Gras::N,tráva,草
120,Wurzel::N,koreň,根
121,Baum::N,strom,树
122,Stamm::N,kmeň,树干
123,Rinde::N,kôra,树皮
124,Ast::N,konár,树枝
125,Zweig::N,vetva,树枝
126,Blatt::N,list,叶子
127,Birke::N,breza,桦木
128,Kiefer[Baum]::N,sosna,松树
129,Kiefer[Baum]::N,borovica,松树
130,Weide[Baum]::N,vŕba,柳树
131,Tanne::N,jedľa,冷杉
132,Horn::N,roh,角
133,Feder::N,pero,羽毛
134,Fell::N,koža,皮毛
135,Fell::N,kožušina,皮毛
136,Flügel::N,krídlo,翅膀
137,Klaue::N,paznecht,爪子
138,Kralle::N,pazúr,爪子
139,Schwanz::N,chvost,尾巴
140,Ei::N,vajce,蛋
141,Ei::N,vajíčko,蛋
142,Nest::N,hniezdo,巢
143,Bau::N,nora,穴
144,Tier::N,zviera,动物
145,Herde::N,stádo,群
146,Kuh::N,krava,母牛
147,Bulle::N,býk,公牛
148,Pferd::N,kôň,马
149,Schaf::N,ovca,羊
150,Schwein::N,sviňa,猪
151,Hund::N,pes,狗
152,Katze::N,mačka,猫
153,Bär::N,medveď,熊
154,Eichhörnchen::N,veverička,松鼠
155,Elch::N,los,麋鹿
156,Fuchs::N,líška,狐狸
157,Hase::N,zajac,兔子
158,Maus::N,myš,老鼠
159,Wolf::N,vlk,狼
160,Vogel::N,vták,鸟
161,Schwarm::N,roj,群
162,Huhn::N,kurča,鸡
163,Huhn::N,sliepka,鸡
164,Hahn::N,kohút,公鸡
165,Gans::N,hus,鹅
166,Adler::N,orol,鹰
167,Ente::N,kačka,鸭
168,Ente::N,kačica,鸭
169,Eule::N,sova,猫头鹰
170,Kranich::N,žeriav,鹤
171,Krähe::N,vrana,乌鸦
172,Kuckuck::N,kukučka,布谷鸟
173,Schwan::N,labuť,天鹅
174,Fisch::N,ryba,鱼
175,Barsch::N,ostriež,鲈鱼
176,Hecht::N,šťuka,狗鱼
177,Schlange[Tier]::N,had,蛇
178,Wurm::N,červ,蠕虫
179,Spinne::N,pavúk,蜘蛛
180,Ameise::N,mravec,蚂蚁
181,Laus::N,voš,虱子
182,Mücke::N,komár,蚊子
183,Fliege::N,mucha,苍蝇
184,Schmetterling::N,motýľ,蝴蝶
185,Beere::N,bobuľa,将果
186,Apfel::N,jablko,苹果
187,Pilz::N,hríb,蘑菇
188,Zwiebel::N,cibuľa,洋葱
189,Saat::N,osivo,种子
190,Korn::N,zrno,谷粒
191,Heu::N,seno,干草
192,Schale::N,šupa,壳
193,Schale::N,škrupina,壳
194,Grube::N,jama,坑
195,Falle::N,pasca,圈套
196,Falle::N,klepec,圈套
197,Schlinge::N,slučka,活扣
198,Spur::N,stopa,踪迹
199,Asche::N,popol,灰烬
200,Dreck::N,kal,污垢
201,Dreck::N,blato,污垢
202,Eisen::N,železo,铁
203,Gold::N,zlato,金子
204,Silber::N,striebro,银
205,Kohle::N,uhlie,煤
206,Glas::N,sklo,玻璃
207,Lehm::N,íl,粘土
208,Lehm::N,hlina,粘土
209,Sand::N,piesok,沙
210,Mensch::N,človek,人
211,Mann::N,muž,男子
212,Mann::N,chlap,男子
213,Frau::N,žena,妇女
214,Kind::N,dieťa,小孩
215,Junge::N,chlapec,男孩
216,Mädchen::N,dievka,女孩
217,Familie::N,rodina,家庭
218,Großvater::N,dedo,祖父
219,Großvater::N,starý otec,祖父
220,Großmutter::N,babička,祖母
221,Großmutter::N,stará mať,祖母
222,Eltern::N,rodičia,父母
