,Concept_ID,la,cs
0,Auge::N,oculus,oko
1,Ohr::N,auris,ucho
2,Nase::N,nasus,nos
3,Mund::N,os,pusa
4,Zahn::N,dens,zub
5,Zunge::N,lingua,jazyk
6,Lippe::N,labrum,ret
7,Wange::N,gena,tvář
8,Gesicht::N,vultus,obličej
9,Stirn::N,frons,čelo
10,Haar::N,capillus,vlas
11,Haar::N,capillus,vlasy
12,Schnurrbart::N,barba labri superioris,kníry
13,Bart::N,barba,vousy
14,Kinn::N,mentum,brada
15,Kiefer[Anatomie]::N,mala,čelist
16,Kehle::N,iugulums,hrdlo
17,Hals::N,collum,krk
18,Genick::N,cervices,týl
19,Kopf::N,caput,hlava
20,Rücken::N,tergum,záda
21,Rücken::N,tergum,hřbet
22,Bauch::N,venter,břicho
23,Nabel::N,umbilicus,pupek
24,Busen::N,sinus,ňadra
25,Brust::N,pectus,prsa
26,Schulter::N,umerus,plece
27,Schulter::N,umerus,rameno
28,Arm::N,bracchium,ruka
29,Ellenbogen::N,cubitum,loket
30,Hand::N,manus,ruka
31,Handfläche::N,palma,dlaň
32,Finger::N,digitus,prst
33,Fingernagel::N,unguiculus,nehet
34,Nagel[Anatomie]::N,unguis,nehet
35,Zeh::N,digitus,prst u nohy
36,Fuß::N,pes,noha
37,Ferse::N,calx,pata
38,Knie::N,genu,koleno
39,Oberschenkel::N,femur,stehno
40,Bein::N,crus,noha
41,Körper::N,corpus,tělo
42,Haut::N,cutis,kůže
43,Haut::N,pellis,kůže
44,Blut::N,sanguis,krev
45,Ader::N,vena,céva
46,Sehne::N,nervus,šlacha
47,Knochen::N,os,kost
48,Gehirn::N,cerebrum,mozek
49,Herz::N,cor,srdce
50,Herz::N,animus,srdce
51,Magen::N,stomachus,žaludek
52,Leber::N,iecur,játra
53,Atem::N,spiritus,dech
54,Hunger::N,fames,hlad
55,Träne::N,lacrima,slza
56,Geschmack::N,sapor,vkus
57,Geschmack::N,gustus,vkus
58,Geruch::N,odor,vůně
59,Geruch::N,odor,zápach
60,Schlaf::N,somnus,spánek
61,Traum::N,somnium,sen
62,Himmel::N,caelum,nebe
63,Sonne::N,sol,slunce
64,Mond::N,luna,měsíc
65,Stern::N,sidus,hvězda
66,Stern::N,stella,hvězda
67,Luft::N,aer,vzduch
68,Wind::N,ventus,vítr
69,Welle::N,unda,vlna
70,Wasser::N,aqua,voda
71,Stein::N,lapis,kámen
72,Boden::N,solum,půda
73,Erde::N,terra,země
74,Staub::N,pulvis,prach
75,Rauch::N,fumus,dým
76,Rauch::N,fumus,kouř
77,Funke::N,scintilla,jiskra
78,Feuer::N,ignis,oheň
79,Licht::N,lux,světlo
80,Licht::N,lumen,světlo
81,Schatten::N,umbra,stín
82,Wetter::N,caelum,počasí
83,Wetter::N,tempestas,počasí
84,Nebel::N,nebula,mlha
85,Wolke::N,nubes,mrak
86,Wolke::N,nubes,oblak
87,Regen::N,imber,déšť
88,Regen::N,pluvia,déšť
89,Schnee::N,nix,sníh
90,Eis::N,glacies,led
91,Frost::N,gelu,mráz
92,Kälte::N,frigus,chlad
93,Hitze::N,calor,horko
94,Hitze::N,aestus,horko
95,Raureif::N,pruina,jinovatka
96,Regenbogen::N,arcus,duha
97,Donner::N,tonitrus,hrom
98,Strömung::N,fluctus,proudění
99,Tropfen::N,gutta,kapka
100,Schaum::N,spuma,pěna
101,Schmutz::N,sordes,špína
102,Schmutz::N,squalor,špína
103,See::N,lacus,jezero
104,Sumpf::N,palus,močál
105,Sumpf::N,palus,bažina
106,Moor::N,palus,bažina
107,Moor::N,palus,slatina
108,Wiese::N,pratum,louka
109,Wald::N,silva,les
110,Hügel::N,collis,kopec
111,Anhöhe::N,specula,pahorek
112,Berg::N,mons,hora
113,Gipfel::N,vertex,vrchol
114,Höhle::N,caverna,jeskyně
115,Höhle::N,spelunca,jeskyně
116,Abhang::N,declivum,svah
117,Abhang::N,declivum,stráň
118,Quelle::N,fons,pramen
119,Bach::N,rivus,potok
120,Fluss::N,flumen,řeka
121,Ufer::N,ripa,břeh
122,Küste::N,litus,pobřeží
123,Festland::N,continens,souš
124,Festland::N,continens,pevnina
125,Meer::N,mare,moře
126,Bucht::N,sinus,záliv
127,Bucht::N,sinus,zátoka
128,Insel::N,insula,ostrov
129,Blume::N,flos,květina
130,Gras::N,herba,tráva
131,Gras::N,gramen,tráva
132,Wurzel::N,radix,kořen
133,Baum::N,arbor,strom
134,Stamm::N,truncus,kmen
135,Rinde::N,cortex,kůra
136,Ast::N,ramus,větev
137,Zweig::N,ramus,větev
138,Blatt::N,folium,lupen
139,Birke::N,betulla,bříza
140,Kiefer[Baum]::N,pinus,sosna
141,Kiefer[Baum]::N,pinus,borovice
142,Weide[Baum]::N,salix,vrba
143,Tanne::N,abies,jedle
144,Horn::N,cornu,roh
145,Feder::N,penna,pero
146,Fell::N,pellis,srst
147,Flügel::N,ala,křídlo
148,Klaue::N,unguis,dráp
149,Klaue::N,unguis,pazneht
150,Kralle::N,unguis,dráp
151,Schwanz::N,cauda,ocas
152,Ei::N,ovum,vejce
153,Nest::N,nidus,hnízdo
154,Bau::N,cavum,nora
155,Bau::N,latibulum,nora
156,Tier::N,bestia,zvíře
157,Herde::N,grex,stádo
158,Kuh::N,vacca,kráva
159,Bulle::N,taurus,býk
160,Pferd::N,equus,kůň
161,Schaf::N,ovis,ovce
162,Schwein::N,sus,vepř
163,Schwein::N,sus,prase
164,Schwein::N,porcus,vepř
165,Schwein::N,porcus,prase
166,Hund::N,canis,pes
167,Katze::N,felis,kočka
168,Bär::N,ursus,medvěd
169,Eichhörnchen::N,sciurus,veverka
170,Elch::N,alces,los
171,Fuchs::N,vulpes,liška
172,Hase::N,lepus,zajíc
173,Maus::N,mus,myš
174,Wolf::N,lupus,vlk
175,Vogel::N,avis,pták
176,Schwarm::N,examen,roj
177,Schwarm::N,examen,hejno
178,Huhn::N,gallina,kuře
179,Huhn::N,gallina,slepice
180,Hahn::N,gallus,kohout
181,Gans::N,anser,husa
182,Adler::N,aquila,orel
183,Ente::N,anas,kachna
184,Eule::N,ulula,sova
185,Eule::N,noctua,sova
186,Kranich::N,grus,jeřáb
187,Krähe::N,cornix,vrána
188,Kuckuck::N,cuculus,kukačka
189,Schwan::N,olor,labuť
190,Schwan::N,cycnus,labuť
191,Fisch::N,piscis,ryba
192,Barsch::N,perca,okoun
193,Hecht::N,esox,štika
194,Schlange[Tier]::N,serpens,had
195,Wurm::N,vermis,červ
196,Spinne::N,aranea,pavouk
197,Ameise::N,formica,mravenec
198,Laus::N,pediculus,veš
199,Mücke::N,culex,komár
200,Fliege::N,musca,moucha
201,Schmetterling::N,papilio,motýl
202,Beere::N,baca,bobule
203,Apfel::N,malum,jablko
204,Pilz::N,fungus,houba
