,Concept_ID,ca,el
0,Auge::N,ull,μάτι
1,Auge::N,ull,οφθαλμός
2,Ohr::N,orella,αυτί
3,Nase::N,nas,μύτη
4,Mund::N,boca,στόμα
5,Zahn::N,dent,δόντι
6,Zunge::N,llēngua,γλώσσα
7,Lippe::N,llavi,χείλος
8,Wange::N,galta,παρειά
9,Wange::N,galta,μάγουλο
10,Gesicht::N,cara,πρόσωπο
11,Stirn::N,front,μέτωπο
12,Haar::N,cabēll,μαλλιά
13,Schnurrbart::N,bigoti,μουστάκι
14,Bart::N,barba,γένια
15,Kinn::N,mentó,πιγούνι
16,Kinn::N,barbeta,πιγούνι
17,Kiefer[Anatomie]::N,queix,σαγόνι
18,Kiefer[Anatomie]::N,mandíbula,σαγόνι
19,Kehle::N,gola,λαρύγγι
20,Kehle::N,gorja,λαρύγγι
21,Hals::N,coll,λαιμός
22,Genick::N,nuca,σβέρκος
23,Kopf::N,cap,κεφάλι
24,Rücken::N,esquena,ράχη
25,Bauch::N,panxa,κοιλιά
26,Nabel::N,llombrígol,αφαλός
27,Busen::N,pit,στήθος
28,Busen::N,mama,στήθος
29,Brust::N,pit,στήθος
30,Schulter::N,espatlla,ώμος
31,Arm::N,braç,χέρι
32,Arm::N,braç,μπράτςο
33,Ellenbogen::N,colze,αγκώνας
34,Hand::N,mà,χέρι
35,Handfläche::N,palma,παλάμη
36,Finger::N,dit,δάχτυλο
37,Fingernagel::N,ungla,νύχι
38,Nagel[Anatomie]::N,ungla,νύχι
39,Zeh::N,dit del peu,δάχτυλο του ποδιού
40,Fuß::N,peu,πόδι
41,Ferse::N,taló,φτέρνα
42,Knie::N,genoll,γόνατο
43,Oberschenkel::N,cuixa,μηρός
44,Bein::N,cama,πόδι
45,Körper::N,cos,σώμα
46,Körper::N,cos,κορμί
47,Haut::N,pell,πετσί
48,Blut::N,sang,αίμα
49,Ader::N,vena,φλέβα
50,Sehne::N,tendó,νεύρο
51,Sehne::N,tendó,τένοντας
52,Knochen::N,os,οστό
53,Knochen::N,os,κόκκαλο
54,Gehirn::N,cervell,μυαλό
55,Gehirn::N,cervell,εγκέφαλος
56,Herz::N,cor,καρδιά
57,Magen::N,estómac,στομάχι
58,Leber::N,fetge,ήπαρ
59,Leber::N,fetge,συκωτί
60,Atem::N,alè,αναπνοή
61,Atem::N,hàlit,αναπνοή
62,Hunger::N,fam,πείνα
63,Hunger::N,gana,πείνα
64,Träne::N,llàgrima,δάκρυ
65,Geschmack::N,gust,γεύση
66,Geschmack::N,sabor,γεύση
67,Geruch::N,olor,οσμή
68,Geruch::N,olor,μυρωδία
69,Schlaf::N,son,ύπνος
70,Traum::N,somni,όνειρο
71,Himmel::N,celm,ουρανός
72,Sonne::N,sol,ήλιος
73,Mond::N,lluna,σελήνη
74,Mond::N,lluna,φεγγάρι
75,Stern::N,estel,άστρο
76,Stern::N,estel,αστέρι
77,Stern::N,estrella,άστρο
78,Stern::N,estrella,αστέρι
79,Luft::N,aire,αέρας
80,Wind::N,vent,αέρας
81,Wind::N,vent,άνεμος
82,Welle::N,ona,κύμα
83,Wasser::N,āigua,νερό
84,Stein::N,pedra,πέτρα
85,Boden::N,sòl,χώμα
86,Erde::N,terra,γη
87,Staub::N,pols,σκόνη
88,Rauch::N,fum,καπνός
89,Funke::N,guspira,σπίθα
90,Funke::N,guspira,σπινθήρας
91,Funke::N,centella,σπίθα
92,Funke::N,centella,σπινθήρας
93,Feuer::N,foc,φωτιά
94,Licht::N,llum,φως
95,Schatten::N,ombra,σκιά
96,Schatten::N,ombra,ίσκιος
97,Wetter::N,temps,καιρός
98,Nebel::N,boira,ομίχλη
99,Wolke::N,núvol,σύννεφο
100,Regen::N,pluja,βροχή
101,Schnee::N,neu,χιόνι
102,Eis::N,gel,πάγος
103,Eis::N,glaç,πάγος
104,Frost::N,glaçada,παγωνία
105,Kälte::N,fred,κρύο
106,Kälte::N,fred,ψύχος
107,Hitze::N,calor,ζέστη
108,Raureif::N,gebre,πάχνη
109,Regenbogen::N,arc iris,ουράνιο τόξο
110,Donner::N,tro,βροντή
111,Strömung::N,corrent,ρεύμα
112,Tropfen::N,gota,στάλα
113,Schaum::N,escuma,αφρός
114,Schmutz::N,brutícia,βρωμιά
115,See::N,llac,λίμνη
116,Sumpf::N,pantà,βάλτος
117,Moor::N,pantà,έλος
118,Wiese::N,prat,λιβάδι
119,Wiese::N,prada,λιβάδι
120,Wald::N,bosc,δάσος
121,Hügel::N,puig,λόφος
122,Hügel::N,pujol,λόφος
123,Anhöhe::N,turó,ύψωμα
124,Berg::N,muntanya,όρος
125,Berg::N,muntanya,βουνό
126,Gipfel::N,cim,κορυφή
127,Höhle::N,cova,σπηλιά
128,Abhang::N,coster,πλαγιά
129,Quelle::N,font,πηγή
130,Quelle::N,font,βρύση
131,Bach::N,riera,ρυάκι
132,Fluss::N,riu,ποτάμι
133,Fluss::N,riu,ποταμός
134,Ufer::N,riba,όχθη
135,Küste::N,costa,ακτή
136,Küste::N,costa,ακρογιαλιά
137,Festland::N,terra ferma,στεριά
138,Meer::N,mar,θάλασσα
139,Bucht::N,cala,κόλπος
140,Bucht::N,badia,κόλπος
141,Insel::N,illa,νησί
142,Insel::N,illa,νήσος
143,Blume::N,flor,άνθος
144,Blume::N,flor,λουλούδι
145,Gras::N,herba,χόρτο
146,Gras::N,herba,χορτάρι
147,Wurzel::N,rel,ρίζα
148,Wurzel::N,arrel,ρίζα
149,Baum::N,arbre,δέντρο
150,Stamm::N,tronc,κορμός
151,Rinde::N,escorça,φλούδα
152,Ast::N,branca,κλαδί
153,Zweig::N,ram,κλαδί
154,Zweig::N,ram,κλάδος
155,Blatt::N,fulla,φύλλο
156,Birke::N,bedoll,σημύδα
157,Kiefer[Baum]::N,pi,πεύκο
158,Weide[Baum]::N,salze,ιτιά
159,Tanne::N,avet,έλατο
160,Horn::N,corn,κέρας
161,Horn::N,corn,κέρατο
162,Horn::N,banya,κέρας
163,Horn::N,banya,κέρατο
164,Feder::N,ploma,φτερό
165,Fell::N,pell,δέρμα
166,Fell::N,pell,τομάρι
167,Flügel::N,ala,πτερύγιο
168,Klaue::N,urpa,κουλό
169,Kralle::N,grapa,νύχι
170,Schwanz::N,cua,ουρά
171,Ei::N,ou,αβγό
172,Nest::N,niu,φωλιά
173,Bau::N,cau,φωλιά
174,Tier::N,animāl,ζώο
175,Herde::N,ramat,κοπάδι
176,Kuh::N,vaca,αγελάδα
177,Bulle::N,toro,ταύρος
178,Pferd::N,cavāll,άλογο
179,Schaf::N,be,πρόβατο
180,Schaf::N,ovella,πρόβατο
181,Schwein::N,bacó,γουρούνι
182,Hund::N,ca,σκυλί
183,Hund::N,ca,σκύλος
184,Hund::N,gos,σκυλί
185,Hund::N,gos,σκύλος
186,Katze::N,gat,γάτα
187,Bär::N,ós,άρκτος
188,Bär::N,ós,αρκούδα
189,Eichhörnchen::N,esquirol,βερβερίτσα
190,Elch::N,ant,άλκη
191,Fuchs::N,guilla,αλεπού
192,Hase::N,llebre,λαγός
193,Maus::N,ratolí,ποντικός
194,Wolf::N,llop,λύκος
195,Vogel::N,au,πουλί
196,Vogel::N,ocēll,πουλί
197,Schwarm::N,bandada,σμήνος
198,Huhn::N,gallina,κότα
199,Huhn::N,gallina,όρνιθα
200,Hahn::N,gall,πετεινός
201,Gans::N,oca,χήνα
202,Adler::N,àguila,αετός
203,Ente::N,ànec,πάπια
204,Eule::N,òliba,κουκουβάγια
205,Eule::N,mussol,κουκουβάγια
206,Kranich::N,grua,γερανός
207,Krähe::N,cornella,καρακάξα
208,Kuckuck::N,cucut,κούκος
209,Schwan::N,cigne,κύκνος
210,Fisch::N,peix,ψάρι
211,Barsch::N,perca,πέρκα
212,Hecht::N,lluç,λούτσος
213,Schlange[Tier]::N,serp,φίδι
214,Wurm::N,cuc,σκουλήκι
215,Spinne::N,aranya,αράχνη
216,Ameise::N,formiga,μυρμήγκι
217,Laus::N,poll,ψείρα
218,Mücke::N,mosquit,κουνούπι
219,Fliege::N,mosca,μύγα
220,Schmetterling::N,papallona,πεταλούδα
221,Beere::N,baia,ρόγα
222,Apfel::N,poma,μήλο
223,Pilz::N,bolet,μανιτάρι
224,Zwiebel::N,ceba,κρεμμύδι
225,Saat::N,sembra,σπόρος
226,Korn::N,gra,σπυρί
227,Heu::N,fenc,σανός
228,Schale::N,closca,τσόφλι
229,Grube::N,sot,λάκκος
230,Grube::N,clot,λάκκος
231,Falle::N,trampa,παγίδα
232,Schlinge::N,baga,θηλειά
233,Spur::N,traça,ίχνος
234,Asche::N,cendra,στάχτη
235,Dreck::N,llot,βρωμιά
236,Eisen::N,ferro,σίδερο
237,Gold::N,or,μάλαμα
238,Gold::N,or,χρυσάφι
239,Silber::N,plata,ασήμι
240,Silber::N,plata,άργυρος
241,Kohle::N,carbó,κάρβουνο
242,Glas::N,vidre,γυαλί
243,Lehm::N,fang,πηλός
244,Lehm::N,argila,πηλός
245,Sand::N,arena,άμμος
246,Mensch::N,humà,άνθρωπος
247,Mensch::N,persona,άνθρωπος
248,Mann::N,home,άνδρας
249,Frau::N,dona,γυναίκα
250,Kind::N,nen,παιδί
251,Junge::N,noi,αγόρι
252,Mädchen::N,noia,κοπέλα
253,Mädchen::N,noia,κορίτσι
254,Familie::N,família,οικογένεια
255,Großvater::N,avi,παππούς
256,Großmutter::N,àvia,γιαγιά
257,Eltern::N,pares,γονείς
258,Vater::N,pare,πατέρας
259,Mutter::N,mare,μητέρα
260,Sohn::N,fill,γιος
261,Tochter::N,filla,κόρη
262,Bruder::N,germà,αδελφός
263,Schwester::N,germana,αδελφή
264,Onkel::N,oncle,θείος
265,Tante::N,tia,θεία
266,Ehemann::N,espòs,σύζυγος
267,Ehefrau::N,muller,σύζυγος
268,Freude::N,goig,χαρά
269,Freude::N,alegria,χαρά
270,Gelächter::N,riallada,γέλια
271,Glück::N,felicitat,ευτυχία
272,Kummer::N,pena,έγνοια
