,Concept_ID,ku,uz
0,Auge::N,çav,ko'z
1,Ohr::N,guh,quloq
2,Nase::N,bêvil,burun
3,Mund::N,dev,og'iz
4,Zahn::N,didan,tish
5,Zunge::N,ziman,til
6,Lippe::N,lêv,dudoq
7,Wange::N,dêm,bet
8,Wange::N,hinarik,bet
9,Gesicht::N,rû,yuz
10,Stirn::N,enî,manglay
11,Haar::N,por,soch
12,Schnurrbart::N,simbêl,mo'ylov
13,Bart::N,rih,soqol
14,Kinn::N,zenî,ängak
15,Kiefer[Anatomie]::N,arguşk,iyak
16,Kehle::N,qirik,bo'g'iz
17,Hals::N,stû,bo'yin
18,Hals::N,qirik,bo'yin
19,Genick::N,stû,gardan
20,Kopf::N,serî,bosh
21,Rücken::N,pişt,orqa
22,Bauch::N,ûr,qorin
23,Bauch::N,zik,qorin
24,Nabel::N,navik,kindik
25,Busen::N,sîng,ämchak
26,Brust::N,sîng,ko'krak
27,Schulter::N,mil,elka
28,Arm::N,çepil,bilak
29,Ellenbogen::N,enîşk,tirsak
30,Hand::N,dest,qo'l
31,Handfläche::N,kefadest,kaft
32,Finger::N,tilî,barmoq
33,Fingernagel::N,neynuk,tirnoq
34,Nagel[Anatomie]::N,bizmar,tirnoq
35,Zeh::N,tilî linga,oyoq barmog'i
36,Fuß::N,ling,oyoq
37,Ferse::N,pahnî,tovon
38,Knie::N,kabok,tiz
39,Oberschenkel::N,rahn,son
40,Bein::N,çip,oyoq
41,Körper::N,laş,badna
42,Körper::N,gowde,badna
43,Haut::N,çerm,teri
44,Blut::N,xwîn,qon
45,Ader::N,reh,qon tomir
46,Sehne::N,reh,tomir
47,Knochen::N,hestî,suyak
48,Gehirn::N,mêjî,miya
49,Herz::N,dil,qalb
50,Magen::N,navêş,oshqozon
51,Leber::N,kezeb,bag'ir
52,Atem::N,hilm,dam
53,Hunger::N,birçîtî,ochlik
54,Träne::N,hêstir,yosh
55,Geschmack::N,tam,tam
56,Geruch::N,bêhn,jid
57,Schlaf::N,xew,uyqu
58,Traum::N,xewn,tush
59,Himmel::N,ezman,osmon
60,Sonne::N,roj,quyosh
61,Mond::N,heyv,oy
62,Stern::N,stêrk,yulduz
63,Luft::N,ba,havo
64,Wind::N,ba,el
65,Welle::N,şewl,to'lqin
66,Wasser::N,av,suv
67,Stein::N,kevir,tosh
68,Boden::N,herd,tuproq
69,Erde::N,ax,er
70,Staub::N,toz,chang
71,Rauch::N,dû,tutun
72,Funke::N,çirûşk,yalt
73,Feuer::N,agir,o't
74,Licht::N,ronahî,yorug'
75,Schatten::N,sî,soya
76,Wetter::N,hewa,havo
77,Nebel::N,mij,tuman
78,Wolke::N,ewr,bulut
79,Regen::N,baran,yomg'ir
80,Schnee::N,berf,qor
81,Eis::N,qeşa,muz
82,Frost::N,xûsik,ajoz
83,Kälte::N,serma,ajoz
84,Hitze::N,germayî,issiq
85,Raureif::N,şext,qirov
86,Regenbogen::N,heftreng,kamalak
87,Donner::N,gire-gir,guldur
88,Strömung::N,şewl,oqim
89,Tropfen::N,dilop,tomchi
90,Schaum::N,kef,ko'pik
91,Schmutz::N,gemar,gard
92,See::N,gol,ko'l
93,Sumpf::N,hezek,botqoq
94,Moor::N,mafêl,qir-adir
95,Wiese::N,sûrik,o'tzor
96,Wald::N,çiya,o'rmon
97,Wald::N,daristan,o'rmon
98,Hügel::N,gir,tepa
99,Anhöhe::N,sere gir,adir
100,Berg::N,kaş,tog'
101,Gipfel::N,sere gir,cho'qqi
102,Höhle::N,şikeft,kavak
103,Abhang::N,kaş,to'sh
104,Quelle::N,kanî,buloq
105,Bach::N,çem,o'zan
106,Fluss::N,çem,daryo
107,Fluss::N,rûbar,daryo
108,Ufer::N,kevî,sohil
109,Küste::N,berav,qirg'oq
110,Festland::N,bejahî,materik
111,Meer::N,behr,dengiz
112,Bucht::N,derav,qo'ltiq
113,Insel::N,girav,orol
114,Blume::N,kulînk,gul
115,Gras::N,giha,sabza
116,Wurzel::N,reh,tub
117,Wurzel::N,reh,tomir
118,Baum::N,dar,daraxt
119,Stamm::N,bavik,o'simta
120,Rinde::N,qaqil,qobiq
121,Ast::N,gulî,shox
122,Zweig::N,şax,butoq
123,Blatt::N,pel,barg
124,Birke::N,dara sipî,qayin
125,Kiefer[Baum]::N,dara bî,qarag'ay
126,Weide[Baum]::N,dara belalûk,shum
127,Tanne::N,merx,archa
128,Horn::N,strô,mugiz
129,Feder::N,pîrtîk,par
130,Fell::N,heyar,mo'yna
131,Flügel::N,per,qanot
132,Klaue::N,napîk,tirnoq
133,Kralle::N,dinik,tirnoq
134,Kralle::N,dirnax,tirnoq
135,Schwanz::N,dûv,quyruq
136,Ei::N,hêk,tuxum
137,Nest::N,hêlîn,oshyon
138,Bau::N,avahî,o'pqon
139,Tier::N,heywan,hayvon
140,Herde::N,hoz,gala
141,Kuh::N,çêlek,inak
142,Bulle::N,ga,ho'kiz
143,Pferd::N,hesp,ot
144,Schaf::N,mîh,qo'y
145,Schwein::N,beraz,cho'chqa
146,Hund::N,seh,it
147,Katze::N,pişîk,mushuk
148,Bär::N,hirç,ayiq
149,Eichhörnchen::N,pilûr,tiyin
150,Elch::N,pazkovî,los
151,Fuchs::N,rovî,tulki
152,Hase::N,kîroşk,kuyon
153,Maus::N,mişk,sichqon
154,Wolf::N,gur,bo'ri
155,Vogel::N,çûk,qush
156,Schwarm::N,lufik,to'da
157,Huhn::N,mirîşk,tovuq
158,Hahn::N,dîk,xo'roz
159,Gans::N,qaz,g'oz
160,Adler::N,eylo,burgut
161,Ente::N,werdek,o'rdak
162,Eule::N,bûm,boyo'g'li
163,Eule::N,kund,boyo'g'li
164,Kranich::N,quling,turna
165,Krähe::N,qijik,qarg'a
166,Kuckuck::N,pepûk,kakku
167,Schwan::N,qû,oqkush
168,Fisch::N,masî,baliq
169,Barsch::N,okûn,olabug'a
170,Hecht::N,mesîyê lûf,cho'rtan
171,Schlange[Tier]::N,mar,ilon
172,Wurm::N,kurm,qurt
173,Spinne::N,pîrê,o'rgimchak
174,Ameise::N,mîro,chumoli
175,Ameise::N,gêrîk,chumoli
176,Laus::N,spi,bit
177,Mücke::N,mêş,chivin
178,Fliege::N,mêş,pashsha
179,Schmetterling::N,perperîk,kapalak
180,Beere::N,hirç,meva
181,Apfel::N,sêv,olma
182,Pilz::N,bîrov,qo'ziqorin
183,Zwiebel::N,pîvaz,piyoz
184,Saat::N,tov,äkin
185,Korn::N,dexl,zarra
186,Heu::N,sap,xashak
187,Schale::N,qaşik,po'choq
188,Grube::N,çahl,co'ra
189,Falle::N,dafik,qopqon
190,Schlinge::N,dahf,sirtmoq
191,Spur::N,rêç,iz
192,Asche::N,xweli,kul
193,Dreck::N,gemarî,kir
194,Eisen::N,hesing,temir
195,Gold::N,zêr,tilla
196,Silber::N,zîv,kumush
197,Kohle::N,komir,ko'mir
198,Glas::N,qedeh,oyna
199,Lehm::N,kelpîç,loy
200,Sand::N,qûm,qum
201,Mensch::N,mirov,odam
202,Mann::N,mêr,ärkak
203,Frau::N,jin,ayol
204,Kind::N,zarok,bola
205,Kind::N,zarok,kichkintoy
206,Junge::N,kur,bola
207,Mädchen::N,keç,qiz
208,Mädchen::N,keçik,qiz
209,Familie::N,malbat,oila
210,Großvater::N,bapîr,buva
211,Großvater::N,bapîr,katta ota
212,Großmutter::N,pîrik,buvi
213,Großmutter::N,pîrik,katta oyi
214,Eltern::N,bavudê,ota-ona
215,Vater::N,bav,ota
216,Mutter::N,dê,ona
217,Mutter::N,dayik,ona
218,Sohn::N,kur,o'g'il
219,Tochter::N,keç,qiz
220,Bruder::N,bira,og'a
221,Bruder::N,bira,uka
222,Schwester::N,xweh,opa
223,Schwester::N,xweh,singil
224,Onkel::N,am,amaki
225,Onkel::N,xal,amaki
226,Tante::N,metik,amma
227,Tante::N,metik,xola
228,Tante::N,xaltîk,amma
229,Tante::N,xaltîk,xola
230,Ehemann::N,mêr,är
231,Ehefrau::N,kulfet,rafiqa
232,Freude::N,kêfxweşî,ayish
233,Gelächter::N,pîrqînî,kulgi
234,Glück::N,bext,saodat
235,Kummer::N,derd,g'am
236,Wunsch::N,daxwaz,orzu
237,Wunsch::N,xwestek,orzu
238,Lust::N,şewq,rag'bat
239,Geist::N,aqil,ruh
240,Gedanke::N,fikir,fikr
241,Gedächtnis::N,aqil,äs
242,Verstand::N,fêm,aql
243,Sinn::N,aqil,ma'ni
244,Grund::N,asas,sabab
245,Wahrheit::N,rastî,haq
246,Gespräch::N,guftûgo,gap
247,Märchen::N,çirok,ärtak
248,Erzählung::N,çirok,rivoyat
249,Erzählung::N,vegotin,rivoyat
250,Nachricht::N,nûçe,xabar
251,Neuigkeit::N,hewal,yangilik
252,Name::N,nav,ot
253,Name::N,paşnav,ot
254,Rätsel::N,tiştonek,topishmoq
255,Rede::N,gotar,nutq
256,Rede::N,axavtin,nutq
257,Sprache::N,ziman,til
258,Stimme::N,pejn,ovoz
259,Wort::N,gotin,so'z
260,Zeichen::N,şanek,alomat
261,Ruf::N,hawar,chaqiriq
262,Lärm::N,xarbalix,taraq
263,Laut::N,deng,tovush
264,Laut::N,hês,tovush
265,Ton::N,awaz,un
266,Lied::N,sitran,ashula
267,Ruhe::N,rihetî,tinchlik
268,Leute::N,xelk,xaloyiq
269,Volk::N,xelk,xalq
270,Arbeit::N,xebat,ish
271,Gast::N,mêvan,mehmon
272,Geschenk::N,diyarî,hadya
273,Spiel::N,lîstik,o'yin
274,Gesellschaft::N,komal,jamiyat
275,Hilfe::N,alîkarî,yordam
276,Freund::N,heval,do'st
277,Kamerad::N,heval,yo'ldosh
278,Angelegenheit::N,pirsgirêk,daxl
279,Anzahl::N,çend,son
280,Art::N,çeh,tur
281,Stück::N,lib,parcha
282,Stück::N,parçe,parcha
283,Teil::N,parçe,bo'lak
284,Hälfte::N,nîvî,yarim
285,Kreis::N,çemil,aylana
286,Kreuz::N,xaç,xoch
287,Linie::N,xezik,liniya
288,Strich::N,xezik,chiziq
289,Abstand::N,dûrahî,oralik
290,Entfernung::N,dûrahî,uzoqlik
291,Gegend::N,dever,yer
292,Platz::N,çih,oralig
293,Ort::N,dever,joy
294,Seite::N,rûpel,yon
295,Mitte::N,nav,o'rta
296,Mitte::N,nabênê,o'rta
297,Gegenstand::N,tişt,ashyo
298,Sache::N,tişt,buyum
299,Rand::N,kevî,chek
300,Kante::N,kevî,tig'
301,Ecke::N,qunç,burchak
302,Spitze::N,derzî,uch
303,Ende::N,talî,oxir
304,Loch::N,qul,teshik
305,Winkel::N,kurnîşk,go'sha
306,Muster::N,desen,nusha
307,Größe::N,mezinî,kattalik
308,Länge::N,dirêjahî,uzunlik
309,Höhe::N,bilindayî,yuksaklik
310,Gewicht::N,giranî,solmoq
311,Menge::N,qas,miqdor
312,Haufen::N,lod,uyum
313,Reihe::N,rêz,saf
314,Boot::N,kelek,qayiq
315,Ruder::N,bêrik,äshkak
316,Schlitten::N,xîjik,chana
317,Ski::N,lakan,chang'i
318,Lagerfeuer::N,agir,gulxan
319,Last::N,bar,yuk
320,Gang::N,fîtêz,yurish
321,Schritt::N,gav,qadam
322,Norden::N,bakur,shimol
323,Süden::N,başur,janub
324,Westen::N,rojava,g'arb
325,Osten::N,rojhilat,sharq
326,Holz::N,dep,yog'och
327,Brett::N,dep,taxta
328,Platte::N,dep,tabaqa
329,Stütze::N,destek,tayanchi
330,Stange::N,sing,qo'noq
331,Stock::N,çam,tayoq
332,Stab::N,qat,gavron
333,Rohr::N,borî,tarnov
334,Haus::N,mal,uy
335,Haus::N,xanî,uy
336,Heim::N,mal,makon
337,Ofen::N,sobe,pechka
338,Fußboden::N,binpê,pol
339,Tisch::N,mase,mosa
340,Stuhl::N,kursî,o'rindiq
341,Wiege::N,derguş,beshik
342,Bett::N,qerewêle,yotoq
343,Regal::N,rêbaz,tokcha
344,Kiste::N,sindoq,sandiq
345,Fenster::N,çam,deraza
346,Fenster::N,şibeke,deraza
347,Tür::N,derî,äshik
348,Tor::N,derge,darvoza
349,Zaun::N,hejik,panjara
350,Dach::N,sere xanî,tom
351,Leiter::N,pêling,narvon
352,Besen::N,melkes,supurgi
353,Spaten::N,mer,bel
354,Schaufel::N,bêr,kurak
355,Gabel::N,çetel,bilka
356,Löffel::N,kevçî,qoshiq
357,Messer::N,kêr,pichoq
358,Nagel::N,bizmar,mix
359,Netz::N,tor,to'r
360,Haken::N,çenqel,ilgak
361,Griff::N,destî,sop
362,Griff::N,destî,tutqich
363,Schloss::N,qonax,qulf
364,Bild::N,dimen,rasm
365,Figur::N,figûr,shakl
366,Puppe::N,bûk,ko'g'irchoq
367,Beutel::N,kîsik,to'rva
368,Bündel::N,pêçek,bog'lam
369,Tasche::N,bêrîk,kissa
370,Eimer::N,dewl,chelak
371,Deckel::N,devik,qopqoq
372,Geschirr::N,ferax,idish
373,Sack::N,tûr,qop
374,Tasse::N,kada,piyola
375,Topf::N,beroş,tuvak
