,Concept_ID,ps,ce
0,Auge::N,سترګه,бӏаьрг
1,Ohr::N,غوږ,лерг
2,Nase::N,پوزه,мара
3,Mund::N,خوله,бага
4,Zahn::N,غاښ,церг
5,Zunge::N,جبه,мотт
6,Lippe::N,شونډه,балда
7,Wange::N,باړخو,бесни
8,Gesicht::N,مخ,юьхь
9,Stirn::N,تندی,хьаж
10,Stirn::N,وچولی,хьаж
11,Haar::N,وېښته,мас
12,Schnurrbart::N,برېت,мекх
13,Bart::N,ږیره,маж
14,Kinn::N,زنه,чӏениг
15,Kiefer[Anatomie]::N,جامه,мочхал
16,Kehle::N,غاړه,къамкъарг
17,Hals::N,غاړه,ворта
18,Genick::N,ورمېږ,кӏесаркӏаг
19,Kopf::N,سر,корта
20,Rücken::N,شا,букъ
21,Bauch::N,نس,кийра
22,Bauch::N,ګېډه,кийра
23,Nabel::N,نوم,цӏонга
24,Busen::N,تی,зударийн накха
25,Brust::N,سینه,накха
26,Schulter::N,اوږه,белш
27,Arm::N,لاس,пхьарс
28,Ellenbogen::N,څنګل,пхьаьрсан гола
29,Hand::N,لاس,куьг
30,Handfläche::N,ورغوی,кераюкъ
31,Finger::N,ګوته,пӏелг
32,Fingernagel::N,نوک,мӏара
33,Nagel[Anatomie]::N,نوک,мӏара
34,Zeh::N,ګوته,кога пӏелг
35,Fuß::N,پښه,ког
36,Ferse::N,پونده,кӏажа
37,Knie::N,زنګون,гола
38,Oberschenkel::N,پتون,варе
39,Bein::N,پښه,ког
40,Körper::N,ځان,хӏума
41,Haut::N,پوټکی,чкъор
42,Blut::N,وینه,цӏий
43,Ader::N,رګ,пха
44,Sehne::N,پله,хьорзам
45,Knochen::N,هډوکی,даьӏахк
46,Gehirn::N,ماغزه,хье
47,Herz::N,زړه,дог
48,Magen::N,معده,зорх
49,Leber::N,ينه,доӏах
50,Leber::N,ځیګر,доӏах
51,Atem::N,نفس,садеӏар
52,Hunger::N,ولږه,мацалла
53,Träne::N,اوښکه,бӏаьрхи
54,Geschmack::N,مزه,чам
55,Geschmack::N,خوند,чам
56,Geruch::N,بوی,хьожа
57,Schlaf::N,خوب,наб
58,Traum::N,خوب,гӏан
59,Himmel::N,اسمان,стигал
60,Sonne::N,لمر,малх
61,Mond::N,سپوږمۍ,бутт
62,Stern::N,ستوری,седа
63,Luft::N,هوا,xӏаваъ
64,Wind::N,ورښ,мох
65,Welle::N,موج,тулгӏе
66,Wasser::N,اوبه,хи
67,Stein::N,ډبره,тӏулг
68,Boden::N,مځکه,цӏенкъа
69,Erde::N,خاوره,латта
70,Staub::N,ګرد,чан
71,Staub::N,خاوره,чан
72,Rauch::N,دود,кӏур
73,Rauch::N,لوګی,кӏур
74,Funke::N,سپرغۍ,суй
75,Feuer::N,اور,цӏе
76,Licht::N,رڼا,серло
77,Schatten::N,سیوری,ӏиндагӏ
78,Wetter::N,هوا,хенан хӏоттам
79,Nebel::N,لړه,дохк
80,Wolke::N,ورېځ,марха
81,Regen::N,وریا,догӏа
82,Regen::N,باران,догӏа
83,Schnee::N,واوره,ло
84,Eis::N,یخ,ша
85,Eis::N,کنګل,ша
86,Frost::N,یخ,шело
87,Kälte::N,ساړه,шело
88,Hitze::N,تودوخي,йовхо
89,Raureif::N,سپینه پرخه,йис
90,Regenbogen::N,بوډۍ ټال,стелаӏад
91,Regenbogen::N,سره زرغونه,стелаӏад
92,Donner::N,تالنده,ткъес
93,Strömung::N,بهېدنه,дӏаэхар
94,Strömung::N,بهېدنه,дӏасалелар
95,Tropfen::N,قطره,тӏадам
96,Tropfen::N,څاڅکی,тӏадам
97,Schaum::N,ځګ,чопа
98,Schmutz::N,ناپاکي,хатт
99,See::N,جهیل,ӏам
100,Sumpf::N,جبه,уьшал
101,Moor::N,جبه,уьшал
102,Wiese::N,چمن,бай
103,Wiese::N,شنېلی,бай
104,Wald::N,ځنګل,хьун
105,Hügel::N,تپه,гу
106,Hügel::N,تپه,шу
107,Hügel::N,تپه,барз
108,Anhöhe::N,غونډۍ,акъари
109,Berg::N,غ‍‍‍‍‍ر,лам
110,Gipfel::N,څوکه,бохь
111,Höhle::N,کاز,хьех
112,Abhang::N,لمن,басе
113,Quelle::N,چینه,шовда
114,Bach::N,واله,татол
115,Fluss::N,سیند,хи
116,Ufer::N,غاړه,хийист
117,Küste::N,ساحل,йист
118,Festland::N,وچه,латта
119,Meer::N,بحر,xӏорд
120,Meer::N,سمندر,xӏорд
121,Bucht::N,کارۍ,чож
122,Insel::N,ټاپو,гӏайре
123,Insel::N,جزيره,гӏайре
124,Blume::N,ګل,зезаг
125,Gras::N,واښه,буц
126,Wurzel::N,ریښه,орам
127,Baum::N,ونه,дитт
128,Stamm::N,ډډ,гӏад
