,Concept_ID,sk,bg
0,Auge::N,oko,око
1,Ohr::N,ucho,ухо
2,Nase::N,nos,нос
3,Mund::N,ústa,уста
4,Zahn::N,zub,зъб
5,Zunge::N,jazyk,език
6,Lippe::N,pera,устна
7,Wange::N,líce,буза
8,Gesicht::N,tvár,лице
9,Gesicht::N,tvár,образ
10,Gesicht::N,obličaj,лице
11,Gesicht::N,obličaj,образ
12,Stirn::N,čelo,чело
13,Haar::N,vlas,коса
14,Haar::N,vlas,косъм
15,Schnurrbart::N,fúzy,мустаци
16,Bart::N,brada,брада
17,Kinn::N,brada,брада
18,Kinn::N,brada,брадичка
19,Kiefer[Anatomie]::N,čeľusť,челюст
20,Kehle::N,hrdlo,гърло
21,Hals::N,krk,врат
22,Genick::N,väzy,тил
23,Kopf::N,hlava,глава
24,Rücken::N,chrbát,гръб
25,Bauch::N,brucho,корем
26,Nabel::N,pupok,пъп
27,Busen::N,prsia,бозка
28,Brust::N,hruď,гръд
29,Schulter::N,plece,рамо
30,Schulter::N,plece,плещи
31,Arm::N,rameno,ръка
32,Ellenbogen::N,lakeť,лакът
33,Hand::N,ruka,ръка
34,Hand::N,ruka,китка
35,Handfläche::N,dlaň,длан
36,Finger::N,prst,пръст
37,Fingernagel::N,necht,нокът
38,Nagel[Anatomie]::N,necht,нокът
39,Zeh::N,prst na nohe,пръст на крак
40,Fuß::N,noha,крак
41,Fuß::N,noha,нога
42,Ferse::N,päta,пета
43,Knie::N,koleno,коляно
44,Oberschenkel::N,stehno,бедро
45,Bein::N,noha,крак
46,Bein::N,noha,нога
47,Körper::N,telo,тяло
48,Haut::N,koža,кожа
49,Blut::N,krv,кръв
50,Ader::N,žila,вена
51,Ader::N,žila,артерия
52,Sehne::N,šľacha,жила
53,Sehne::N,šľacha,сухожилие
54,Knochen::N,kosť,кост
55,Gehirn::N,mozog,мозък
56,Herz::N,srdce,сърце
57,Magen::N,žalúdok,стомах
58,Leber::N,pečeň,черен дроб
59,Atem::N,dych,дишане
60,Hunger::N,hlad,глад
61,Träne::N,slza,сълза
62,Geschmack::N,chuť,вкус
63,Geruch::N,pach,миризма
64,Schlaf::N,spánok,сън
65,Traum::N,sen,сън
66,Himmel::N,nebo,небе
67,Sonne::N,slnko,слънце
68,Mond::N,mesiac,луна
69,Mond::N,mesiac,месец
70,Stern::N,hviezda,звезда
71,Luft::N,vzduch,въздух
72,Wind::N,vietor,вятър
73,Welle::N,vlna,вълна
74,Wasser::N,voda,вода
75,Stein::N,kameň,камък
76,Boden::N,zem,земя
77,Boden::N,zem,почва
78,Boden::N,pôda,земя
79,Boden::N,pôda,почва
80,Erde::N,zem,земя
81,Erde::N,zem,почва
82,Staub::N,prach,прах
83,Rauch::N,dym,дим
84,Rauch::N,dym,пушек
85,Funke::N,iskra,искра
86,Feuer::N,oheň,огън
87,Licht::N,svetlo,светлина
88,Schatten::N,tieň,сянка
89,Wetter::N,počasie,време
90,Nebel::N,hmla,мъгла
91,Wolke::N,oblak,облак
92,Wolke::N,mračno,облак
93,Regen::N,dážď,дъжд
94,Schnee::N,sneh,сняг
95,Eis::N,ľad,лед
96,Frost::N,mráz,мраз
97,Kälte::N,zima,студ
98,Kälte::N,chlad,студ
99,Hitze::N,horúčava,жега
100,Hitze::N,horúčava,горещина
101,Raureif::N,srieň,скреж
102,Raureif::N,srieň,слана
103,Raureif::N,inovať,скреж
104,Raureif::N,inovať,слана
105,Regenbogen::N,dúha,дъга
106,Donner::N,hrom,гръм
107,Strömung::N,prúdenie,течение
108,Tropfen::N,kvapka,капка
109,Schaum::N,pena,пяна
110,Schmutz::N,špina,кал
111,Schmutz::N,špina,мръсотия
112,Schmutz::N,nečistota,кал
113,Schmutz::N,nečistota,мръсотия
114,See::N,jazero,езеро
115,Sumpf::N,bahno,блато
116,Moor::N,močiar,мочурище
117,Wiese::N,lúka,ливада
118,Wald::N,les,гора
119,Wald::N,hora,гора
120,Hügel::N,vŕšok,рид
121,Hügel::N,vŕšok,хълм
122,Anhöhe::N,výšina,могила
123,Anhöhe::N,výšina,възвишение
124,Anhöhe::N,vyvýšenina,могила
125,Anhöhe::N,vyvýšenina,възвишение
126,Berg::N,hora,планина
127,Gipfel::N,vrchol,връх
128,Höhle::N,jaskyňa,пещера
129,Abhang::N,úbočie,склон
130,Abhang::N,úbočie,стръмнина
131,Quelle::N,prameň,извор
132,Bach::N,potok,поток
133,Fluss::N,rieka,река
134,Ufer::N,breh,бряг
135,Küste::N,pobrežie,бряг
136,Küste::N,pobrežie,крайбрежие
137,Festland::N,pevnina,суша
138,Meer::N,more,море
139,Bucht::N,záliv,залив
140,Bucht::N,zátoka,залив
141,Insel::N,ostrov,остров
142,Blume::N,kvet,цвете
143,Blume::N,kvetina,цвете
144,Gras::N,tráva,трева
145,Wurzel::N,koreň,корен
146,Baum::N,strom,дърво
147,Stamm::N,kmeň,стъбло
148,Rinde::N,kôra,кора
149,Ast::N,konár,клон
150,Zweig::N,vetva,клон
151,Blatt::N,list,лист
152,Birke::N,breza,бреза
153,Kiefer[Baum]::N,sosna,бор
154,Kiefer[Baum]::N,borovica,бор
155,Weide[Baum]::N,vŕba,върба
156,Tanne::N,jedľa,ела
157,Horn::N,roh,рог
158,Feder::N,pero,перо
159,Fell::N,koža,кожа
160,Fell::N,kožušina,кожа
161,Flügel::N,krídlo,крило
162,Klaue::N,paznecht,нокът
163,Kralle::N,pazúr,нокът
164,Schwanz::N,chvost,опашка
165,Ei::N,vajce,яйце
166,Ei::N,vajíčko,яйце
167,Nest::N,hniezdo,гнездо
168,Bau::N,nora,дупка
169,Tier::N,zviera,животно
170,Herde::N,stádo,стадо
171,Kuh::N,krava,крава
172,Bulle::N,býk,бик
173,Pferd::N,kôň,кон
174,Schaf::N,ovca,овца
175,Schwein::N,sviňa,свиня
176,Hund::N,pes,куче
177,Katze::N,mačka,котка
178,Bär::N,medveď,мечка
179,Eichhörnchen::N,veverička,катерица
180,Elch::N,los,лос
181,Fuchs::N,líška,лисица
182,Hase::N,zajac,заек
183,Maus::N,myš,мишка
184,Wolf::N,vlk,вълк
185,Vogel::N,vták,птица
186,Schwarm::N,roj,рой
187,Schwarm::N,roj,рояк
188,Huhn::N,kurča,кокошка
189,Huhn::N,sliepka,кокошка
190,Hahn::N,kohút,петел
191,Gans::N,hus,гъска
192,Adler::N,orol,орел
193,Ente::N,kačka,патица
194,Ente::N,kačica,патица
195,Eule::N,sova,сова
196,Kranich::N,žeriav,жерав
197,Krähe::N,vrana,врана
198,Kuckuck::N,kukučka,кукувица
199,Schwan::N,labuť,лебед
200,Fisch::N,ryba,риба
201,Barsch::N,ostriež,костур
202,Hecht::N,šťuka,щука
203,Schlange[Tier]::N,had,змия
204,Wurm::N,červ,червей
205,Spinne::N,pavúk,паяк
206,Ameise::N,mravec,мравка
207,Laus::N,voš,въшка
208,Mücke::N,komár,комар
209,Fliege::N,mucha,муха
210,Schmetterling::N,motýľ,пеперуда
211,Beere::N,bobuľa,плод
212,Apfel::N,jablko,ябълка
213,Pilz::N,hríb,гъба
214,Zwiebel::N,cibuľa,лук
215,Zwiebel::N,cibuľa,кромид
216,Saat::N,osivo,семе
217,Korn::N,zrno,зърно
218,Heu::N,seno,сено
219,Schale::N,šupa,кора
220,Schale::N,škrupina,кора
221,Grube::N,jama,яма
222,Grube::N,jama,дупка
223,Falle::N,pasca,примка
224,Falle::N,klepec,примка
225,Schlinge::N,slučka,клуп
226,Spur::N,stopa,диря
227,Spur::N,stopa,следа
228,Asche::N,popol,пепел
229,Dreck::N,kal,кал
230,Dreck::N,blato,кал
231,Eisen::N,železo,желязо
232,Gold::N,zlato,злато
233,Silber::N,striebro,сребро
234,Kohle::N,uhlie,въглища
235,Glas::N,sklo,стъкло
236,Lehm::N,íl,глина
237,Lehm::N,hlina,глина
238,Sand::N,piesok,пясък
239,Mensch::N,človek,човек
240,Mann::N,muž,мъж
241,Mann::N,chlap,мъж
242,Frau::N,žena,жена
243,Kind::N,dieťa,дете
244,Junge::N,chlapec,момче
245,Mädchen::N,dievka,момиче
246,Familie::N,rodina,фамилия
247,Familie::N,rodina,семейство
248,Großvater::N,dedo,дядо
249,Großvater::N,starý otec,дядо
250,Großmutter::N,babička,баба
251,Großmutter::N,stará mať,баба
252,Eltern::N,rodičia,родители
253,Vater::N,otec,баща
254,Mutter::N,mať,майка
255,Mutter::N,matka,майка
256,Sohn::N,syn,син
257,Tochter::N,dcéra,дъщеря
258,Bruder::N,brat,брат
259,Schwester::N,sestra,сестра
260,Onkel::N,ujo,чичо
261,Onkel::N,ujo,вуйчо
262,Onkel::N,strýko,чичо
263,Onkel::N,strýko,вуйчо
264,Tante::N,teta,леля
265,Tante::N,tetka,леля
266,Ehemann::N,muž,съпруг
267,Ehemann::N,manžel,съпруг
268,Ehefrau::N,žena,съпруга
269,Ehefrau::N,manželka,съпруга
270,Freude::N,radosť,радост
271,Gelächter::N,smiech,смях
272,Glück::N,šťastie,щастие
273,Kummer::N,žiaľ,тъга
274,Kummer::N,zármutok,тъга
275,Wunsch::N,prianie,желание
276,Lust::N,chuť,желание
277,Geist::N,duch,дух
278,Gedanke::N,myšlienka,мисъл
279,Gedächtnis::N,pamäť,памет
280,Verstand::N,rozum,ум
281,Verstand::N,rozum,разум
282,Sinn::N,zmysel,смисъл
283,Grund::N,dôvod,причина
284,Grund::N,príčina,причина
285,Wahrheit::N,pravda,правда
286,Gespräch::N,reč,разговор
287,Gespräch::N,rozhovor,разговор
288,Märchen::N,rozprávka,приказка
289,Erzählung::N,poviedka,разказ
290,Nachricht::N,správa,вест
291,Nachricht::N,správa,известие
292,Neuigkeit::N,novinka,новина
293,Name::N,meno,име
294,Rätsel::N,záhada,гатанка
295,Rätsel::N,hádanka,гатанка
296,Rede::N,reč,реч
297,Rede::N,reč,слово
298,Sprache::N,reč,език
299,Sprache::N,jazyk,език
300,Stimme::N,hlas,глас
301,Wort::N,slovo,дума
302,Zeichen::N,znak,знак
303,Ruf::N,volanie,зов
304,Ruf::N,zavolanie,зов
305,Lärm::N,hluk,шум
306,Lärm::N,hluk,глъчка
307,Lärm::N,hurhaj,шум
308,Lärm::N,hurhaj,глъчка
309,Laut::N,zvuk,звук
310,Ton::N,tón,тон
311,Ton::N,zvuk,тон
312,Lied::N,pieseň,песен
313,Ruhe::N,pokoj,тишина
314,Ruhe::N,pokoj,спокойствие
315,Leute::N,ľudia,хора
316,Volk::N,ľud,народ
317,Volk::N,národ,народ
318,Arbeit::N,práca,труд
319,Arbeit::N,práca,работа
320,Arbeit::N,robota,труд
321,Arbeit::N,robota,работа
322,Gast::N,hosť,гост
323,Geschenk::N,dar,дар
324,Geschenk::N,dar,подарък
325,Spiel::N,hra,игра
326,Gesellschaft::N,spoločnosť,общество
327,Hilfe::N,pomoc,помощ
328,Freund::N,priateľ,приятел
329,Kamerad::N,kamarát,другар
330,Angelegenheit::N,vec,работа
331,Angelegenheit::N,záležitosť,работа
332,Anzahl::N,počet,брой
333,Anzahl::N,počet,количество
334,Anzahl::N,množstvo,брой
335,Anzahl::N,množstvo,количество
336,Art::N,druh,вид
337,Stück::N,kus,къс
338,Stück::N,kus,парче
339,Stück::N,kúsok,къс
340,Stück::N,kúsok,парче
341,Teil::N,časť,дял
342,Teil::N,časť,част
343,Hälfte::N,polka,половина
344,Hälfte::N,polovica,половина
345,Kreis::N,kruh,кръг
346,Kreuz::N,kríž,кръст
347,Linie::N,línia,черта
348,Strich::N,čiara,щрих
349,Strich::N,čiara,черта
350,Abstand::N,vzdialenosť,дистанция
351,Abstand::N,vzdialenosť,разстояние
352,Entfernung::N,vzdialenosť,разстояние
353,Gegend::N,kraj,местност
354,Gegend::N,krajina,местност
355,Platz::N,miesto,място
356,Ort::N,miesto,място
357,Seite::N,bok,страна
358,Seite::N,strana,страна
359,Mitte::N,stred,среда
360,Gegenstand::N,predmet,предмет
361,Sache::N,vec,вещ
362,Rand::N,kraj,ръб
363,Rand::N,okraj,ръб
364,Kante::N,hrana,ръб
365,Kante::N,hrana,кант
366,Ecke::N,roh,ъгъл
367,Spitze::N,hrot,връх
368,Spitze::N,hrot,острие
369,Spitze::N,špička,връх
370,Spitze::N,špička,острие
371,Ende::N,koniec,край
372,Loch::N,diera,дупка
373,Winkel::N,kút,кът
374,Winkel::N,kút,ъгъл
375,Muster::N,vzor,десен
376,Muster::N,vzor,образец
377,Muster::N,vzorka,десен
378,Muster::N,vzorka,образец
379,Größe::N,veľkosť,големина
380,Länge::N,dĺžka,дължина
381,Höhe::N,výška,висота
382,Höhe::N,výška,височина
383,Gewicht::N,váha,тегло
384,Gewicht::N,váha,тежест
385,Menge::N,množstvo,количество
386,Haufen::N,hŕba,куп
387,Haufen::N,hŕba,грамада
388,Reihe::N,rad,ред
389,Reihe::N,rad,редица
390,Boot::N,čln,лодка
391,Ruder::N,veslo,весло
392,Ruder::N,veslo,гребло
393,Schlitten::N,sane,шейна
394,Ski::N,lyža,ски
395,Lagerfeuer::N,táborák,огнище
396,Last::N,ťarcha,товар
397,Last::N,bremeno,товар
398,Gang::N,chôdza,ход
399,Gang::N,chôdza,вървеж
400,Schritt::N,krok,стъпка
401,Norden::N,sever,север
402,Süden::N,juh,юг
403,Westen::N,západ,запад
404,Osten::N,východ,изток
405,Holz::N,drevo,дърво
406,Brett::N,doska,дъска
407,Platte::N,doska,
408,Platte::N,platňa,
409,Stütze::N,opora,
410,Stange::N,tyč,прът
411,Stange::N,tyč,върлина
412,Stock::N,palica,прът
413,Stock::N,palica,тояга
414,Stab::N,palica,прът
