,Concept_ID,pl,tr
0,Auge::N,oko,göz
1,Ohr::N,ucho,kulak
2,Nase::N,nos,burun
3,Mund::N,usta,ağız
4,Zahn::N,ząb,diş
5,Zunge::N,język,dil
6,Lippe::N,warga,dudak
7,Wange::N,policzek,yanak
8,Gesicht::N,twarz,yüz
9,Stirn::N,czoło,alın
10,Haar::N,włos,saç
11,Haar::N,włosy,saç
12,Schnurrbart::N,wąsy,bıyık
13,Bart::N,broda,sakal
14,Kinn::N,podbródek,çene
15,Kiefer[Anatomie]::N,czeluść,çene
16,Kehle::N,gardło,boğaz
17,Hals::N,szyja,boyun
18,Hals::N,szyja,gerdan
19,Genick::N,kark,ense
20,Kopf::N,głowa,baş
21,Kopf::N,głowa,kafa
22,Rücken::N,plecy,arka
23,Rücken::N,grzbiet,arka
24,Bauch::N,brzuch,karın
25,Nabel::N,pępek,göbek
26,Busen::N,biust,koyun
27,Brust::N,pierś,göğüs
28,Schulter::N,bark,omuz
29,Schulter::N,ramię,omuz
30,Arm::N,ręka,kol
31,Arm::N,ramię,kol
32,Ellenbogen::N,łokieć,dirsek
33,Hand::N,dłoń,el
34,Handfläche::N,dłoń,avuç
35,Handfläche::N,dłoń,el ayası
36,Finger::N,palec,parmak
37,Fingernagel::N,paznokieć,el tırnağı
38,Nagel[Anatomie]::N,paznokieć,tırnak
39,Zeh::N,palec,ayak parmağı
40,Fuß::N,stopa,ayak
41,Ferse::N,pięta,topuk
42,Knie::N,kolano,diz
43,Oberschenkel::N,udo,uyluk
44,Bein::N,noga,bacak
45,Körper::N,ciało,vücut
46,Haut::N,skóra,cilt
47,Blut::N,krew,kan
48,Ader::N,żyła,damar
49,Sehne::N,ścięgno,kiriş
50,Knochen::N,kość,kemik
51,Gehirn::N,mózg,beyin
52,Herz::N,serce,kalp
53,Herz::N,serce,yürek
54,Magen::N,żołądek,mide
55,Leber::N,wątroba,karaciğer
56,Atem::N,dech,nefes
57,Atem::N,oddech,nefes
58,Hunger::N,głód,açlık
59,Träne::N,łza,gözyaşı
60,Geschmack::N,smak,tat
61,Geschmack::N,smak,lezzet
62,Geruch::N,woń,koku
63,Geruch::N,zapach,koku
64,Schlaf::N,sen,uyku
65,Traum::N,sen,düş
66,Traum::N,sen,rüya
67,Himmel::N,niebo,gök
68,Sonne::N,słońce,güneş
69,Mond::N,księżyc,ay
70,Stern::N,gwiazda,yıldız
71,Luft::N,powietrze,hava
