,Concept_ID,tr,mn
0,Auge::N,göz,нүд
1,Ohr::N,kulak,чих
2,Nase::N,burun,хамар
3,Mund::N,ağız,ам
4,Zahn::N,diş,шүд
5,Zunge::N,dil,хэл
6,Lippe::N,dudak,уруул
7,Wange::N,yanak,хацар
8,Gesicht::N,yüz,царай
9,Gesicht::N,yüz,нүүр
10,Stirn::N,alın,дух
11,Haar::N,saç,үс
12,Schnurrbart::N,bıyık,дээд сахал
13,Schnurrbart::N,bıyık,живэр сахал
14,Bart::N,sakal,сахал
15,Kinn::N,çene,эрүү
16,Kiefer[Anatomie]::N,çene,эрүү
17,Kehle::N,boğaz,хоолой
18,Hals::N,boyun,хүзүү
19,Hals::N,gerdan,хүзүү
20,Genick::N,ense,шил
21,Genick::N,ense,хүзүү
22,Kopf::N,baş,толгой
23,Kopf::N,kafa,толгой
24,Rücken::N,arka,ар
25,Rücken::N,arka,нуруу
26,Bauch::N,karın,хэвлий
27,Bauch::N,karın,гэдэс
28,Nabel::N,göbek,хүйс
29,Busen::N,koyun,хөх
30,Brust::N,göğüs,цээж
31,Schulter::N,omuz,мөр
32,Schulter::N,omuz,бугалга
33,Arm::N,kol,гар
34,Ellenbogen::N,dirsek,тохой
35,Hand::N,el,гар
36,Hand::N,el,алга
37,Handfläche::N,avuç,алга
38,Handfläche::N,el ayası,алга
39,Finger::N,parmak,хуруу
40,Fingernagel::N,el tırnağı,хурууны хумс
41,Nagel[Anatomie]::N,tırnak,хумс
42,Zeh::N,ayak parmağı,хуруу
43,Fuß::N,ayak,хөл
44,Ferse::N,topuk,өсгий
45,Knie::N,diz,өвдөг
46,Oberschenkel::N,uyluk,гуя
47,Bein::N,bacak,хөл
48,Körper::N,vücut,бие
49,Haut::N,cilt,арьс
50,Blut::N,kan,цус
51,Ader::N,damar,судас
52,Sehne::N,kiriş,бүлх
53,Sehne::N,kiriş,шандас
54,Knochen::N,kemik,яс
55,Gehirn::N,beyin,тархи
56,Herz::N,kalp,зүрх
57,Herz::N,yürek,зүрх
58,Magen::N,mide,ходоод
59,Leber::N,karaciğer,элэг
60,Atem::N,nefes,амьсгаа
61,Hunger::N,açlık,өлсгөлөн
62,Träne::N,gözyaşı,нулимс
63,Geschmack::N,tat,амт
64,Geschmack::N,lezzet,амт
65,Geruch::N,koku,үнэр
66,Schlaf::N,uyku,нойр
67,Traum::N,düş,зүүд
68,Traum::N,rüya,зүүд
69,Himmel::N,gök,тэнгэр
70,Himmel::N,gök,огторгуй
71,Sonne::N,güneş,нар
72,Mond::N,ay,сар
73,Stern::N,yıldız,од
74,Luft::N,hava,агаар
75,Wind::N,yel,салхи
76,Wind::N,rüzgâr,салхи
77,Welle::N,dalga,долгио
78,Welle::N,dalga,давалгаа
79,Wasser::N,su,ус
80,Stein::N,taş,чулуу
81,Boden::N,yer,хөрс
82,Boden::N,zemin,хөрс
83,Erde::N,toprak,газар
84,Erde::N,toprak,шороо
85,Staub::N,toz,тоос
86,Rauch::N,duman,утаа
87,Funke::N,kıvılcım,оч
88,Feuer::N,ateş,гал
89,Licht::N,ışık,гэрэл
90,Licht::N,ışık,гэгээ
91,Schatten::N,gölge,сүүдэр
92,Wetter::N,hava,тэнгэр
93,Wetter::N,hava,цаг уур
94,Nebel::N,pus,будан
95,Wolke::N,bulut,үүл
96,Regen::N,yağmur,бороо
97,Schnee::N,kar,цас
98,Eis::N,buz,мөс
99,Frost::N,don,хүйт
100,Kälte::N,soğukluk,хүйт
101,Hitze::N,sıcaklık,халуун
102,Raureif::N,kırç,цан
103,Raureif::N,kırç,хяруу
104,Regenbogen::N,gökkuşağı,солонго
105,Donner::N,gök gürlemesi,тэнгэрийн дуу
106,Strömung::N,akıntı,урсгал
107,Strömung::N,cereyan,урсгал
108,Tropfen::N,damla,дусал
109,Schaum::N,köpük,хөөс
110,Schmutz::N,çamur,хир
111,Schmutz::N,çamur,шавхай
112,Schmutz::N,pislik,хир
113,Schmutz::N,pislik,шавхай
114,See::N,göl,нуур
115,Sumpf::N,batak,намаг
116,Sumpf::N,batak,балчиг
117,Moor::N,cılgıt,хүлрийн намаг
118,Wiese::N,çimen,нуга
119,Wald::N,koru,ой
120,Wald::N,orman,ой
121,Hügel::N,tepe,болдог
122,Anhöhe::N,tümsek,гүвээ
123,Anhöhe::N,yükseklik,гүвээ
124,Berg::N,dağ,уул
125,Gipfel::N,zirve,орой
126,Gipfel::N,zirve,оргил
127,Höhle::N,in,агуй
128,Höhle::N,mağara,агуй
129,Abhang::N,bayır,хүр
130,Quelle::N,pınar,булаг
131,Quelle::N,kaynak,булаг
132,Bach::N,çay,горхи
133,Bach::N,dere,горхи
134,Fluss::N,nehir,гол
135,Fluss::N,nehir,мөрөн
136,Ufer::N,kıyı,эрэг
137,Ufer::N,sahil,эрэг
138,Küste::N,kıyı,эрэг
139,Küste::N,sahil,эрэг
140,Festland::N,kara,хуурай газар
141,Meer::N,deniz,далай
142,Meer::N,deniz,тэнгис
143,Bucht::N,koy,булан
144,Bucht::N,koy,далайн тохой
145,Bucht::N,körfez,булан
146,Bucht::N,körfez,далайн тохой
147,Insel::N,ada,арал
148,Blume::N,çiçek,цэцэг
149,Gras::N,ot,өвс
150,Gras::N,ot,ногоо
151,Gras::N,çim,өвс
152,Gras::N,çim,ногоо
153,Wurzel::N,kök,үндэс
154,Baum::N,ağaç,мод
155,Stamm::N,gövde,иш
156,Stamm::N,gövde,гуалин
157,Rinde::N,kabuk,холтос
158,Ast::N,dal,гишүү
159,Ast::N,budak,гишүү
160,Zweig::N,dal,салаа
161,Blatt::N,yaprak,навч
162,Birke::N,huş,хус
163,Kiefer[Baum]::N,çam,нарс
164,Weide[Baum]::N,söğüt,уд
165,Weide[Baum]::N,söğüt,бургас
166,Tanne::N,çam,гачуур
167,Tanne::N,köknar,гачуур
168,Horn::N,boynuz,эвэр
169,Feder::N,tüy,өд
170,Fell::N,post,арьс
171,Flügel::N,kanat,жигүүр
172,Flügel::N,kanat,далавч
173,Klaue::N,pençe,савар
174,Klaue::N,pençe,хумс
175,Kralle::N,tırnak,савар
176,Schwanz::N,kuyruk,сүүл
177,Ei::N,yumurta,өндөг
178,Nest::N,yuva,үүр
179,Bau::N,in,нүх
180,Bau::N,in,элүү
181,Tier::N,hayvan,амьтан
182,Tier::N,hayvan,адгуус
183,Herde::N,sürü,сүрэг
184,Kuh::N,inek,үнээ
185,Bulle::N,boğa,бух
186,Pferd::N,at,морь
187,Pferd::N,at,адуу
188,Pferd::N,beygir,морь
189,Pferd::N,beygir,адуу
190,Schaf::N,koyun,хонь
191,Schwein::N,domuz,гахай
192,Hund::N,it,нохой
193,Hund::N,köpek,нохой
194,Katze::N,kedi,муур
195,Katze::N,kedi,мигуй
196,Bär::N,ayı,баавгай
197,Eichhörnchen::N,sincap,хэрэм
198,Elch::N,büyük kuzey geyiği,хандгай
199,Fuchs::N,tilki,үнэг
200,Hase::N,tavşan,туулай
201,Maus::N,fare,хулгана
202,Maus::N,sıçan,хулгана
203,Wolf::N,kurt,чоно
204,Vogel::N,kuş,шувуу
205,Schwarm::N,sürü,сүрэг
206,Huhn::N,tavuk,тахиа
207,Hahn::N,horoz,эр тахиа
208,Gans::N,kaz,галуу
209,Adler::N,kartal,бүргэд
210,Adler::N,karakuş,бүргэд
211,Ente::N,ördek,нугас
212,Eule::N,baykuş,ууль
213,Kranich::N,turna,тогоруу
214,Krähe::N,karga,хэрээ
215,Kuckuck::N,guguk,хөхөө
216,Schwan::N,kuğu,хун
217,Fisch::N,balık,загас
218,Barsch::N,hani,алгана
219,Barsch::N,levrek,алгана
220,Hecht::N,turnabalığı,цурхай
221,Schlange[Tier]::N,yılan,могой
222,Wurm::N,kurt,өт
223,Wurm::N,kurt,хорхой
224,Wurm::N,solucan,өт
225,Wurm::N,solucan,хорхой
226,Spinne::N,örümcek,аалз
227,Ameise::N,karınca,шоргоолж
228,Laus::N,bit,бөөс
229,Mücke::N,sivrisinek,шумуул
230,Fliege::N,sinek,ялаа
231,Schmetterling::N,kelebek,эрвээхэй
232,Beere::N,tane,жимсгэнэ
233,Apfel::N,elma,алим
234,Pilz::N,mantar,мөөг
235,Zwiebel::N,soğan,сонгино
236,Saat::N,ekin,тариа
237,Korn::N,tane,үр
238,Korn::N,tane,мөхлөг
239,Heu::N,kuru ot,өвс
240,Schale::N,kabuk,хальс
241,Grube::N,çukur,алам
242,Grube::N,çukur,нүх
243,Falle::N,tuzak,хавх
244,Falle::N,tuzak,занга
245,Schlinge::N,ilmik,урхи
246,Spur::N,iz,мөр
247,Asche::N,kül,үнс
248,Dreck::N,pislik,хир
249,Eisen::N,demir,төмөр
250,Gold::N,altın,алт
251,Silber::N,gümüş,мөнгө
252,Kohle::N,kömür,нүүрс
253,Glas::N,cam,шил
254,Lehm::N,balçık,шавар
255,Sand::N,kum,элс
256,Mensch::N,insan,хүн
257,Mann::N,adam,эр
258,Mann::N,adam,эрэгтэй
259,Mann::N,erkek,эр
260,Mann::N,erkek,эрэгтэй
261,Frau::N,bayan,эмэгтэй
262,Frau::N,bayan,хатагтай
263,Kind::N,çocuk,хүүхэд
264,Junge::N,erkek çocuk,хүү
265,Mädchen::N,kız,охин
266,Mädchen::N,kız,бүсгүй
267,Familie::N,aile,айл
268,Großvater::N,dede,өвгөн аав
269,Großvater::N,büyükbaba,өвгөн аав
270,Großmutter::N,nine,эмэг эх
271,Großmutter::N,nine,эмгээ
272,Großmutter::N,büyükanne,эмэг эх
273,Großmutter::N,büyükanne,эмгээ
274,Eltern::N,ebeveyn,эцэг эх
275,Eltern::N,ana baba,эцэг эх
276,Vater::N,ata,аав
277,Vater::N,ata,эцэг
278,Vater::N,baba,аав
279,Vater::N,baba,эцэг
280,Mutter::N,ana,эх
281,Mutter::N,ana,ээж
282,Mutter::N,anne,эх
283,Mutter::N,anne,ээж
284,Sohn::N,oğul,хүү
285,Tochter::N,kız,охин
286,Tochter::N,kız evlât,охин
287,Bruder::N,abi,ах
288,Bruder::N,abi,дүү
289,Bruder::N,erkek kardeş,ах
290,Bruder::N,erkek kardeş,дүү
291,Schwester::N,abla,эгч
292,Schwester::N,abla,охин дүү
293,Schwester::N,kız kardeş,эгч
294,Schwester::N,kız kardeş,охин дүү
295,Onkel::N,dayı,авга ах
296,Onkel::N,dayı,нагац ах
297,Tante::N,hala,авга эгч
298,Tante::N,hala,нагац эгч
299,Tante::N,teyze,авга эгч
300,Tante::N,teyze,нагац эгч
