,Concept_ID,av,tr
0,Ohr::N,гӏин,kulak
1,Nase::N,мегӏер,burun
2,Mund::N,кӏал,ağız
3,Zahn::N,гӏус,diş
4,Zunge::N,мацӏ,dil
5,Lippe::N,кӏветӏ,dudak
6,Wange::N,гӏоно,yanak
7,Gesicht::N,гьумер,yüz
8,Stirn::N,нодо,alın
9,Haar::N,рас,saç
10,Schnurrbart::N,михъ,bıyık
11,Bart::N,мегеж,sakal
12,Kinn::N,нилъу,çene
13,Kiefer[Anatomie]::N,чанагъ,çene
14,Kehle::N,щекъер,boğaz
15,Hals::N,габур,boyun
16,Hals::N,габур,gerdan
17,Genick::N,гъванща,ense
18,Kopf::N,бетӏер,baş
19,Kopf::N,бетӏер,kafa
20,Rücken::N,мугъ,arka
21,Bauch::N,чехь,karın
22,Nabel::N,цӏину,göbek
23,Busen::N,керен,koyun
24,Brust::N,керен,göğüs
25,Schulter::N,гъажазубетӏер,omuz
26,Arm::N,гъеж,kol
27,Ellenbogen::N,гӏункӏрукь,dirsek
28,Hand::N,квер,el
29,Handfläche::N,огъохъат,avuç
30,Handfläche::N,огъохъат,el ayası
31,Handfläche::N,жанисахъат,avuç
32,Handfläche::N,жанисахъат,el ayası
33,Finger::N,килищ,parmak
34,Fingernagel::N,малъ,el tırnağı
35,Nagel[Anatomie]::N,малъ,tırnak
36,Zeh::N,килищ,ayak parmağı
37,Fuß::N,хӏетӏ,ayak
38,Fuß::N,хӏетӏе,ayak
39,Ferse::N,эгъе,topuk
40,Knie::N,наку,diz
41,Oberschenkel::N,мачӏ,uyluk
42,Bein::N,бох,bacak
43,Körper::N,къаркъала,vücut
44,Haut::N,тӏом,cilt
45,Blut::N,би,kan
46,Ader::N,бидурихь,damar
47,Knochen::N,ракьа,kemik
48,Gehirn::N,гӏадалнах,beyin
49,Herz::N,ракӏ,kalp
50,Herz::N,ракӏ,yürek
51,Magen::N,кванирукъ,mide
52,Leber::N,тӏул,karaciğer
53,Atem::N,хӏухь,nefes
54,Hunger::N,ракъи,açlık
55,Träne::N,магӏу,gözyaşı
56,Geschmack::N,тату,tat
57,Geschmack::N,тату,lezzet
58,Geruch::N,махӏ,koku
59,Schlaf::N,макьу,uyku
60,Traum::N,макьу,düş
61,Traum::N,макьу,rüya
62,Himmel::N,зоб,gök
63,Sonne::N,бакъ,güneş
64,Mond::N,моцӏ,ay
65,Stern::N,цӏва,yıldız
66,Luft::N,гьава,hava
67,Wind::N,гьури,yel
68,Wind::N,гьури,rüzgâr
69,Welle::N,карачел,dalga
70,Wasser::N,лъим,su
71,Stein::N,гьецӏо,taş
72,Boden::N,ракь,yer
73,Boden::N,ракь,zemin
74,Erde::N,ракь,toprak
75,Erde::N,дуниял,toprak
76,Staub::N,хӏур,toz
77,Rauch::N,кӏкӏуй,duman
78,Feuer::N,цӏа,ateş
