,Concept_ID,hu,sah
0,Auge::N,szem,харах
1,Ohr::N,fül,кулгаах
2,Nase::N,orr,мурун
3,Mund::N,száj,айах
4,Zahn::N,fog,тиис
5,Zunge::N,nyelv,тыл
6,Lippe::N,ajak,уос
7,Wange::N,orca,иэдэс
8,Gesicht::N,arc,сирэй
9,Stirn::N,homlok,сүүс
10,Haar::N,haj,баттах
11,Schnurrbart::N,bajusz,уос бытыга
12,Bart::N,szakáll,сэҥийэ бытыга
13,Kinn::N,áll,сэҥийэ
14,Kiefer[Anatomie]::N,állkapocs,сыҥаах
15,Kehle::N,gége,тамах
16,Kehle::N,gége,күөмэй
17,Kehle::N,torok,тамах
18,Kehle::N,torok,күөмэй
19,Hals::N,nyak,моой
20,Genick::N,tarkó,кэтэх
21,Kopf::N,fő,бас
22,Kopf::N,fej,бас
23,Rücken::N,hát,көҕүс
24,Bauch::N,has,ис
25,Nabel::N,köldök,киин
26,Busen::N,mell,эмиий
27,Busen::N,kebel,эмиий
28,Brust::N,mell,түөс
29,Schulter::N,váll,сарын
30,Arm::N,kar,илии
31,Ellenbogen::N,könyök,тоҕонох
32,Hand::N,kéz,илии
33,Handfläche::N,tenyér,ытыс
34,Finger::N,ujj,тарбах
35,Fingernagel::N,köröm,тыҥырах
36,Nagel[Anatomie]::N,köröm,тыҥырах
37,Zeh::N,lábujj,тарбах
38,Fuß::N,láb,уллуҥах
39,Ferse::N,sarok,тилэх
40,Knie::N,térd,тобук
41,Knie::N,térd,дьилбэк
42,Oberschenkel::N,comb,уллук
43,Oberschenkel::N,comb,өттүк
44,Bein::N,láb,атах
45,Bein::N,lábszár,атах
46,Körper::N,test,бэйэ
47,Haut::N,bőr,тирии
48,Blut::N,vér,хаан
49,Ader::N,ér,вена
50,Ader::N,ér,күөх_тымыр
51,Sehne::N,ín,иҥиир
52,Knochen::N,csont,уҥуох
53,Knochen::N,csont,уҥгуох
54,Gehirn::N,agy,мэйии
55,Gehirn::N,agyvelő,мэйии
56,Herz::N,szív,сүрэх
57,Magen::N,gyomor,куртах
58,Leber::N,máj,быар
59,Atem::N,lehelet,тыын
60,Atem::N,lélegzet,тыын
61,Hunger::N,éhség,аас
62,Träne::N,könny,харах уута
63,Geschmack::N,íz,амтан
64,Geruch::N,szag,сыт
65,Schlaf::N,álom,утуйуу
66,Schlaf::N,alvás,утуйуу
67,Traum::N,álom,түүл
68,Himmel::N,ég,халлаан
