,Concept_ID,be,be
0,Auge::N,вока,вока
1,Ohr::N,вуха,вуха
2,Nase::N,нос,нос
3,Mund::N,рот,рот
4,Zahn::N,зуб,зуб
5,Zunge::N,язык,язык
6,Lippe::N,губа,губа
7,Wange::N,шчака,шчака
8,Gesicht::N,твар,твар
9,Stirn::N,лоб,лоб
10,Haar::N,волас,волас
11,Haar::N,волас,валасы
12,Haar::N,валасы,волас
13,Haar::N,валасы,валасы
14,Schnurrbart::N,вус,вус
15,Schnurrbart::N,вус,вусы
16,Schnurrbart::N,вусы,вус
17,Schnurrbart::N,вусы,вусы
18,Bart::N,барада,барада
19,Kinn::N,падбародак,падбародак
20,Kiefer[Anatomie]::N,сківіца,сківіца
21,Kehle::N,горла,горла
22,Hals::N,шыя,шыя
23,Genick::N,патыліца,патыліца
24,Kopf::N,галава,галава
25,Rücken::N,спіна,спіна
26,Bauch::N,жывот,жывот
27,Nabel::N,пупок,пупок
28,Busen::N,грудзі,грудзі
29,Brust::N,грудзі,грудзі
30,Schulter::N,плячо,плячо
31,Arm::N,рука,рука
32,Ellenbogen::N,локаць,локаць
33,Hand::N,кісць,кісць
34,Handfläche::N,далонь,далонь
35,Finger::N,палец,палец
36,Fingernagel::N,ногаць,ногаць
37,Nagel[Anatomie]::N,ногаць,ногаць
38,Zeh::N,палец,палец
39,Fuß::N,нага,нага
40,Ferse::N,пята,пята
41,Ferse::N,пята,пятка
42,Ferse::N,пятка,пята
43,Ferse::N,пятка,пятка
44,Knie::N,калена,калена
45,Oberschenkel::N,бядро,бядро
46,Oberschenkel::N,бядро,сцягно
47,Oberschenkel::N,сцягно,бядро
48,Oberschenkel::N,сцягно,сцягно
49,Bein::N,нага,нага
50,Körper::N,цела,цела
51,Haut::N,скура,скура
52,Blut::N,кроў,кроў
53,Ader::N,вена,вена
54,Ader::N,вена,сасуд
55,Ader::N,сасуд,вена
56,Ader::N,сасуд,сасуд
57,Sehne::N,жыла,жыла
58,Sehne::N,жыла,цеціва
59,Sehne::N,жыла,сухажылле
60,Sehne::N,цеціва,жыла
61,Sehne::N,цеціва,цеціва
62,Sehne::N,цеціва,сухажылле
63,Sehne::N,сухажылле,жыла
64,Sehne::N,сухажылле,цеціва
65,Sehne::N,сухажылле,сухажылле
66,Knochen::N,косць,косць
67,Gehirn::N,мозг,мозг
68,Herz::N,сэрца,сэрца
69,Magen::N,страўнік,страўнік
70,Leber::N,печань,печань
71,Atem::N,дыханне,дыханне
72,Hunger::N,голад,голад
73,Träne::N,сляза,сляза
74,Geschmack::N,смак,смак
75,Geruch::N,пах,пах
76,Schlaf::N,сон,сон
77,Traum::N,сон,сон
78,Himmel::N,неба,неба
79,Sonne::N,сонца,сонца
80,Mond::N,месяц,месяц
81,Stern::N,зорка,зорка
82,Luft::N,паветра,паветра
83,Wind::N,вецер,вецер
84,Welle::N,хваля,хваля
85,Wasser::N,вада,вада
86,Stein::N,камень,камень
87,Boden::N,глеба,глеба
88,Erde::N,зямля,зямля
89,Staub::N,пыл,пыл
90,Rauch::N,дым,дым
91,Funke::N,іскра,іскра
92,Feuer::N,агонь,агонь
93,Licht::N,святло,святло
94,Schatten::N,цень,цень
95,Wetter::N,пагода,пагода
96,Wetter::N,пагода,надворʼе
97,Wetter::N,надворʼе,пагода
98,Wetter::N,надворʼе,надворʼе
99,Nebel::N,туман,туман
100,Wolke::N,воблака,воблака
101,Regen::N,дождж,дождж
102,Schnee::N,снег,снег
103,Eis::N,лёд,лёд
104,Frost::N,мароз,мароз
105,Kälte::N,холад,холад
106,Hitze::N,спёка,спёка
107,Raureif::N,іней,іней
108,Regenbogen::N,вясёлка,вясёлка
109,Donner::N,гром,гром
110,Strömung::N,цячэнне,цячэнне
111,Tropfen::N,кропля,кропля
112,Schaum::N,пена,пена
113,Schmutz::N,гразь,гразь
114,See::N,возера,возера
115,Sumpf::N,багна,багна
116,Moor::N,балота,балота
117,Wiese::N,луг,луг
118,Wald::N,лес,лес
119,Hügel::N,узгорак,узгорак
120,Anhöhe::N,узвышша,узвышша
121,Berg::N,гара,гара
122,Gipfel::N,вяршыня,вяршыня
123,Höhle::N,пячора,пячора
124,Abhang::N,схіл,схіл
125,Quelle::N,крыніца,крыніца
126,Bach::N,ручай,ручай
127,Fluss::N,рака,рака
128,Ufer::N,бераг,бераг
129,Küste::N,узбярэжжа,узбярэжжа
130,Festland::N,суша,суша
131,Meer::N,мора,мора
132,Bucht::N,бухта,бухта
133,Insel::N,востраў,востраў
134,Blume::N,кветка,кветка
135,Gras::N,трава,трава
136,Wurzel::N,корань,корань
137,Baum::N,дрэва,дрэва
138,Stamm::N,ствол,ствол
139,Rinde::N,кара,кара
140,Ast::N,сук,сук
141,Zweig::N,галіна,галіна
142,Blatt::N,ліст,ліст
143,Birke::N,бяроза,бяроза
144,Kiefer[Baum]::N,хвоя,хвоя
145,Kiefer[Baum]::N,хвоя,сасна
146,Kiefer[Baum]::N,сасна,хвоя
147,Kiefer[Baum]::N,сасна,сасна
148,Weide[Baum]::N,вярба,вярба
149,Tanne::N,яліна,яліна
150,Horn::N,рог,рог
151,Feder::N,пяро,пяро
152,Fell::N,шкура,шкура
153,Flügel::N,крыло,крыло
154,Klaue::N,кіпцюр,кіпцюр
155,Kralle::N,лапа,лапа
156,Schwanz::N,хвост,хвост
157,Ei::N,яйка,яйка
158,Nest::N,гняздо,гняздо
159,Bau::N,нара,нара
160,Tier::N,жывёла,жывёла
161,Herde::N,статак,статак
162,Kuh::N,карова,карова
163,Bulle::N,бык,бык
164,Pferd::N,конь,конь
165,Schaf::N,авечка,авечка
166,Schwein::N,свіння,свіння
167,Hund::N,сабака,сабака
168,Katze::N,кошка,кошка
169,Bär::N,мядзведзь,мядзведзь
170,Eichhörnchen::N,вавёрка,вавёрка
171,Elch::N,лось,лось
172,Fuchs::N,ліса,ліса
173,Hase::N,заяц,заяц
174,Maus::N,мыш,мыш
175,Wolf::N,воўк,воўк
176,Vogel::N,птах,птах
177,Vogel::N,птах,птушка
178,Vogel::N,птушка,птах
179,Vogel::N,птушка,птушка
180,Schwarm::N,чарада,чарада
181,Huhn::N,курыца,курыца
182,Hahn::N,певень,певень
183,Gans::N,гусь,гусь
184,Adler::N,арол,арол
185,Ente::N,качка,качка
186,Eule::N,сава,сава
187,Kranich::N,жораў,жораў
188,Kranich::N,жораў,журавель
189,Kranich::N,журавель,жораў
190,Kranich::N,журавель,журавель
191,Krähe::N,варона,варона
192,Kuckuck::N,зязюля,зязюля
193,Schwan::N,лебедзь,лебедзь
194,Fisch::N,рыба,рыба
195,Barsch::N,акунь,акунь
196,Hecht::N,шчупак,шчупак
197,Schlange[Tier]::N,змяя,змяя
198,Wurm::N,чарвяк,чарвяк
199,Spinne::N,павук,павук
200,Ameise::N,мурашка,мурашка
201,Laus::N,вош,вош
202,Mücke::N,камар,камар
203,Fliege::N,муха,муха
204,Schmetterling::N,матыль,матыль
205,Beere::N,ягада,ягада
206,Apfel::N,яблык,яблык
207,Pilz::N,грыб,грыб
208,Zwiebel::N,цыбуля,цыбуля
209,Saat::N,семя,семя
210,Korn::N,зерне,зерне
211,Heu::N,сена,сена
212,Schale::N,шалупінне,шалупінне
213,Grube::N,яма,яма
214,Falle::N,пастка,пастка
