,Concept_ID,fr,it
0,Auge::N,œil,occhio
1,Ohr::N,oreille,orecchio
2,Nase::N,nez,naso
3,Mund::N,bouche,bocca
4,Zahn::N,dent,dente
5,Zunge::N,langue,lingua
6,Lippe::N,lèvre,labbro
7,Wange::N,joue,guancia
8,Gesicht::N,face,viso
9,Gesicht::N,face,faccia
10,Gesicht::N,visage,viso
11,Gesicht::N,visage,faccia
12,Stirn::N,front,fronte
13,Haar::N,cheveu,capello
14,Schnurrbart::N,moustache,baffi
15,Schnurrbart::N,moustache,mustacchi
16,Bart::N,barbe,barba
17,Kinn::N,menton,mento
18,Kiefer[Anatomie]::N,mâchoire,mascella
19,Kehle::N,gorge,gola
20,Hals::N,cou,collo
21,Genick::N,nuque,nuca
22,Kopf::N,tête,capo
23,Kopf::N,tête,testa
24,Rücken::N,dos,dorso
25,Rücken::N,dos,schiena
26,Bauch::N,ventre,ventre
27,Nabel::N,nombril,ombelico
28,Busen::N,sein,seno
29,Brust::N,poitrine,petto
30,Schulter::N,épaule,spalla
31,Arm::N,bras,braccio
32,Ellenbogen::N,coude,gomito
33,Hand::N,main,mano
34,Handfläche::N,paume,palma
35,Finger::N,doigt,dito
36,Fingernagel::N,ongle,unghia
37,Nagel[Anatomie]::N,ongle,unghia
38,Zeh::N,orteil,dito del piede
39,Zeh::N,doigt de pied,dito del piede
40,Fuß::N,pied,piede
41,Ferse::N,talon,tallone
42,Ferse::N,talon,calcagno
43,Knie::N,genou,ginocchio
44,Oberschenkel::N,cuisse,fèmore
45,Bein::N,jambe,gamba
46,Körper::N,corps,corpo
47,Haut::N,peau,pelle
48,Blut::N,sang,sangue
49,Ader::N,veine,vena
50,Sehne::N,tendon,tèndine
51,Knochen::N,os,osso
52,Gehirn::N,cerveau,cervello
53,Herz::N,cœur,cuore
54,Magen::N,estomac,stòmaco
55,Leber::N,foie,fegato
56,Atem::N,haleine,fiato
57,Atem::N,haleine,respiro
58,Hunger::N,faim,fame
59,Träne::N,larme,làcrima
60,Geschmack::N,goût,gusto
61,Geschmack::N,goût,sapore
62,Geschmack::N,saveur,gusto
63,Geschmack::N,saveur,sapore
64,Geruch::N,odeur,odore
65,Schlaf::N,sommeil,sonno
66,Traum::N,songe,sogno
67,Himmel::N,ciel,cielo
68,Sonne::N,soleil,sole
69,Mond::N,lune,luna
70,Stern::N,étoile,stella
71,Luft::N,air,aria
72,Wind::N,vent,vento
73,Welle::N,vague,onda
74,Wasser::N,eau,acqua
75,Stein::N,pierre,sasso
76,Stein::N,pierre,pietra
77,Boden::N,sol,suolo
78,Boden::N,sol,terreno
79,Boden::N,terrain,suolo
80,Boden::N,terrain,terreno
81,Erde::N,terre,terra
82,Staub::N,poussière,polvere
83,Rauch::N,fumée,fumo
84,Funke::N,étincelle,scintilla
85,Feuer::N,feu,fuoco
86,Licht::N,lumière,luce
87,Schatten::N,ombre,ombra
88,Wetter::N,temps,tempo
89,Nebel::N,brume,nebbia
90,Nebel::N,brouillard,nebbia
91,Wolke::N,nuage,nube
92,Wolke::N,nuage,nùvola
93,Regen::N,pluie,pioggia
94,Schnee::N,neige,neve
95,Eis::N,glace,ghiaccio
96,Frost::N,gel,gelo
97,Frost::N,gelée,gelo
98,Kälte::N,froid,freddo
99,Hitze::N,chaleur,caldo
100,Hitze::N,chaleur,calura
101,Raureif::N,givre,brina
102,Regenbogen::N,arc-en-ciel,arcobaleno
103,Donner::N,tonnerre,tuono
104,Strömung::N,courant,corrente
105,Tropfen::N,goutte,goccia
106,Schaum::N,écume,spuma
107,Schaum::N,écume,schiuma
108,Schaum::N,mousse,spuma
109,Schaum::N,mousse,schiuma
110,Schmutz::N,boue,sudiciume
111,Schmutz::N,saleté,sudiciume
112,See::N,lac,lago
113,Sumpf::N,marais,palude
114,Sumpf::N,marécage,palude
115,Moor::N,tourbière,torbiera
116,Wiese::N,pré,prato
117,Wald::N,bois,bosco
118,Wald::N,bois,foresta
119,Wald::N,forêt,bosco
120,Wald::N,forêt,foresta
121,Hügel::N,coteau,colle
122,Hügel::N,coteau,collina
123,Hügel::N,colline,colle
124,Hügel::N,colline,collina
125,Anhöhe::N,éminence,altura
126,Anhöhe::N,élévation,altura
127,Berg::N,mont,monte
128,Berg::N,mont,montagna
129,Berg::N,montagne,monte
130,Berg::N,montagne,montagna
131,Gipfel::N,cime,cima
132,Gipfel::N,sommet,cima
133,Höhle::N,caverne,grotta
134,Höhle::N,caverne,caverna
135,Abhang::N,pente,pendìo
136,Abhang::N,versant,pendìo
137,Quelle::N,source,sorgente
138,Quelle::N,fontaine,sorgente
139,Bach::N,ruisseau,ruscello
140,Fluss::N,fleuve,fiume
141,Fluss::N,rivière,fiume
142,Ufer::N,bord,riva
143,Ufer::N,rivage,riva
144,Küste::N,côte,costa
145,Festland::N,terre ferme,terraferma
146,Meer::N,mer,mare
147,Bucht::N,baie,cala
148,Insel::N,île,ìsola
149,Blume::N,fleur,fiore
150,Gras::N,herbe,erba
151,Wurzel::N,racine,radice
152,Baum::N,arbre,àlbero
153,Stamm::N,tronc,tronco
154,Rinde::N,écorce,corteccia
155,Ast::N,branche,ramo
156,Zweig::N,rameau,ramo
157,Blatt::N,feuille,foglia
158,Birke::N,bouleau,betulla
159,Kiefer[Baum]::N,pin,pino
160,Weide[Baum]::N,saule,sàlice
161,Tanne::N,sapin,abete
162,Horn::N,corne,corno
163,Feder::N,plume,penna
164,Fell::N,peau,manto
165,Fell::N,peau,pelame
166,Flügel::N,aile,ala
167,Klaue::N,serre,grinfia
168,Kralle::N,ongle,unghia
169,Kralle::N,ongle,artiglio
170,Kralle::N,griffe,unghia
171,Kralle::N,griffe,artiglio
172,Schwanz::N,queue,coda
173,Ei::N,œuf,uovo
174,Nest::N,nid,nido
175,Bau::N,terrier,covo
176,Tier::N,animal,bestia
177,Tier::N,animal,animale
178,Herde::N,troupeau,gregge
179,Kuh::N,vache,vacca
180,Bulle::N,taureau,toro
181,Pferd::N,cheval,cavallo
182,Schaf::N,mouton,pècora
183,Schwein::N,porc,porco
184,Schwein::N,porc,maiale
185,Schwein::N,cochon,porco
186,Schwein::N,cochon,maiale
187,Hund::N,chien,cane
188,Katze::N,chat,gatta
189,Bär::N,ours,orso
190,Eichhörnchen::N,écureuil,scoiàttolo
191,Elch::N,élan,alce
192,Fuchs::N,renard,volpe
193,Hase::N,lièvre,lepre
194,Maus::N,souris,topo
195,Maus::N,souris,sorcio
196,Wolf::N,loup,lupo
197,Vogel::N,oiseau,uccello
198,Schwarm::N,nuée,stormo
199,Schwarm::N,volée,stormo
200,Huhn::N,poule,gallina
201,Hahn::N,coq,gallo
202,Gans::N,oie,oca
203,Adler::N,aigle,àquila
204,Ente::N,canard,ànatra
205,Eule::N,hibou,gufo
206,Eule::N,hibou,civetta
207,Kranich::N,grue,gru
208,Krähe::N,corneille,cornacchia
209,Kuckuck::N,coucou,cuccù
210,Kuckuck::N,coucou,cùculo
211,Schwan::N,cygne,cigno
212,Fisch::N,poisson,pesce
213,Barsch::N,perche,pèrsico
214,Hecht::N,brochet,luccio
215,Schlange[Tier]::N,serpent,serpente
216,Wurm::N,ver,baco
217,Wurm::N,ver,verme
218,Spinne::N,araignée,ragno
219,Ameise::N,fourmi,formica
220,Laus::N,pou,pidocchio
221,Mücke::N,moucheron,zanzara
222,Fliege::N,mouche,mosca
223,Schmetterling::N,papillon,farfalla
224,Beere::N,baie,bacca
225,Apfel::N,pomme,mela
226,Pilz::N,champignon,fungo
227,Zwiebel::N,oignon,cipolla
228,Saat::N,semence,semente
229,Korn::N,grain,grano
230,Heu::N,foin,fieno
231,Schale::N,pelure,buccia
232,Grube::N,fosse,cava
233,Grube::N,fosse,fossa
234,Falle::N,piège,tràppola
235,Schlinge::N,lacs,laccio
236,Spur::N,trace,traccia
237,Asche::N,cendre,cenere
238,Dreck::N,crotte,fango
239,Eisen::N,fer,ferro
240,Gold::N,or,oro
241,Silber::N,argent,argento
242,Kohle::N,charbon,carbone
243,Glas::N,verre,vetro
244,Lehm::N,glaise,argilla
245,Sand::N,sable,arena
246,Sand::N,sable,sabbia
247,Mensch::N,homme,uomo
248,Mensch::N,homme,èssere umano
249,Mann::N,homme,uomo
250,Frau::N,femme,donna
251,Kind::N,enfant,bambino
252,Junge::N,garçon,ragazzo
253,Mädchen::N,fille,ragazza
254,Mädchen::N,jeune fille,ragazza
255,Familie::N,famille,famiglia
256,Großvater::N,grand-père,nonno
257,Großmutter::N,grand-mère,nonna
258,Eltern::N,parents,genitori
259,Vater::N,père,padre
260,Mutter::N,mère,madre
261,Sohn::N,fils,figlio
262,Tochter::N,fille,figlia
263,Bruder::N,frère,fratello
