,Concept_ID,pl,vep
0,Auge::N,oko,sil'm
1,Ohr::N,ucho,korv
2,Nase::N,nos,nena
3,Mund::N,usta,su
4,Zahn::N,ząb,pi
5,Zahn::N,ząb,hambaz
6,Zunge::N,język,kel'
7,Lippe::N,warga,hul'
8,Wange::N,policzek,modpolišk
9,Gesicht::N,twarz,mod
10,Stirn::N,czoło,oc
11,Haar::N,włos,tuk
12,Haar::N,włos,hibuz
13,Haar::N,włosy,tuk
14,Haar::N,włosy,hibuz
15,Schnurrbart::N,wąsy,habinod
16,Bart::N,broda,bard
17,Kinn::N,podbródek,löug
18,Kiefer[Anatomie]::N,czeluść,hambazlu
19,Kehle::N,gardło,kurk
20,Hals::N,szyja,kagl
21,Genick::N,kark,tagarai
22,Kopf::N,głowa,pä
23,Rücken::N,plecy,sel'g
24,Rücken::N,grzbiet,sel'g
25,Bauch::N,brzuch,vac
26,Bauch::N,brzuch,koht
27,Nabel::N,pępek,naba
28,Busen::N,biust,niža
29,Brust::N,pierś,rind
30,Schulter::N,bark,oug
31,Schulter::N,ramię,oug
32,Arm::N,ręka,käzi
33,Arm::N,ramię,käzi
34,Ellenbogen::N,łokieć,künambruz
35,Hand::N,dłoń,käzi
36,Hand::N,dłoń,käzitera
37,Handfläche::N,dłoń,kämen
38,Finger::N,palec,sor'm
39,Fingernagel::N,paznokieć,künz'
40,Nagel[Anatomie]::N,paznokieć,künz'
41,Zeh::N,palec,barbaz
42,Fuß::N,stopa,jaug
43,Ferse::N,pięta,kand
44,Knie::N,kolano,komb
45,Knie::N,kolano,pol'v
46,Oberschenkel::N,udo,riiže
47,Bein::N,noga,jaug
48,Körper::N,ciało,hibj
49,Haut::N,skóra,nahk
50,Blut::N,krew,čak
51,Blut::N,krew,veri
52,Ader::N,żyła,son'
53,Sehne::N,ścięgno,jände
54,Knochen::N,kość,lu
55,Gehirn::N,mózg,aivod
56,Herz::N,serce,südäin
57,Magen::N,żołądek,südäikoht
58,Leber::N,wątroba,maks
59,Atem::N,dech,hengaiduz
60,Atem::N,oddech,hengaiduz
61,Hunger::N,głód,näl'g
62,Träne::N,łza,kündal'
63,Geschmack::N,smak,magu
64,Geruch::N,woń,haju
65,Geruch::N,zapach,haju
66,Schlaf::N,sen,uni
67,Traum::N,sen,unikuva
68,Himmel::N,niebo,taivaz
69,Sonne::N,słońce,päiväine
70,Mond::N,księżyc,kudmaine
71,Stern::N,gwiazda,tähtaz
72,Luft::N,powietrze,il'm
73,Wind::N,wiatr,döl
74,Wind::N,wiatr,tullei
75,Welle::N,fala,ald
76,Welle::N,fala,laineh
77,Wasser::N,woda,vezi
78,Stein::N,kamień,kivi
79,Boden::N,grunt,ma
80,Boden::N,grunt,pohj
81,Erde::N,ziemia,ma
82,Staub::N,pył,pölü
83,Staub::N,kurz,pölü
84,Rauch::N,dym,savu
85,Funke::N,iskra,kibin
86,Feuer::N,ogień,lämoi
87,Licht::N,światło,vauktuz
88,Schatten::N,cień,pil'vez
89,Schatten::N,cień,kuvahaine
90,Wetter::N,pogoda,sä
91,Nebel::N,mgła,sumeg
92,Wolke::N,obłok,pil'v
93,Wolke::N,chmura,pil'v
94,Regen::N,deszcz,vihm
95,Schnee::N,śnieg,lumi
96,Eis::N,lód,jä
97,Frost::N,mróz,hala
98,Frost::N,mróz,pakaine
99,Kälte::N,chłód,vilu
100,Hitze::N,gorąco,räk
101,Raureif::N,szron,hüde
102,Regenbogen::N,tęcza,jumalanbembel'
103,Donner::N,grzmot,juru
104,Donner::N,grzmot,jumalanjuru
105,Strömung::N,nurt,joksmuz
106,Tropfen::N,kropla,tilkuine
107,Schaum::N,piana,vaht
108,Schmutz::N,brud,redu
109,Schmutz::N,brud,pačak
110,See::N,jezioro,järv
