,Concept_ID,kv,es
0,Auge::N,син,ojo
1,Ohr::N,пель,oreja
2,Nase::N,ныр,nariz
3,Mund::N,ӧм,boca
4,Zahn::N,пинь,diente
5,Zunge::N,кыв,lengua
6,Lippe::N,тырп,labio
7,Wange::N,рожабан,mejilla
8,Gesicht::N,бан,cara
9,Stirn::N,кымӧс,frente
10,Haar::N,юрси,cabello
11,Schnurrbart::N,уссэз,bigote
12,Bart::N,тош,barba
13,Kinn::N,тшӧка,barbilla
14,Kiefer[Anatomie]::N,ан,mandíbula
15,Kehle::N,юан,garganta
16,Hals::N,юан,cuello
17,Genick::N,юр бӧр,nuca
18,Genick::N,юр бӧр,cerviz
19,Kopf::N,юр,cabeza
20,Rücken::N,мышк,espalda
21,Bauch::N,кынӧм,vientre
22,Nabel::N,гӧг,ombligo
23,Busen::N,морос,pecho
24,Brust::N,морос,pecho
25,Schulter::N,пельпон,hombro
26,Arm::N,ки,brazo
27,Ellenbogen::N,гырдзза,codo
28,Hand::N,кикар,mano
29,Handfläche::N,ки пыдӧс,palma
30,Finger::N,чунь,dedo
31,Fingernagel::N,гыж,uña
32,Nagel[Anatomie]::N,гыж,uña
33,Zeh::N,чунь,dedo del pie
34,Fuß::N,кокпыдӧс,pie
35,Ferse::N,кокдзир,talón
36,Knie::N,пидзӧс,rodilla
37,Oberschenkel::N,лядьбей,muslo
38,Bein::N,кок,pierna
39,Körper::N,вывтыр,cuerpo
40,Haut::N,кучик,piel
41,Blut::N,вир,sangre
42,Ader::N,сӧн,vena
43,Sehne::N,жила,tendón
44,Knochen::N,коска,hueso
45,Gehirn::N,вем,cerebro
46,Gehirn::N,вем,encéfalo
47,Herz::N,сьӧлӧм,corazón
48,Magen::N,жӧвдӧк,estómago
49,Leber::N,мус,hígado
50,Atem::N,лолалӧм,aliento
51,Hunger::N,тшыг,hambre
52,Träne::N,синва,lágrima
53,Geschmack::N,кӧр,gusto
54,Geruch::N,дук,olor
55,Schlaf::N,он,sueño
56,Traum::N,вӧт,sueño
57,Traum::N,вӧт,ensueño
58,Himmel::N,небо,cielo
59,Sonne::N,шондi,sol
60,Mond::N,тӧлiсь,luna
61,Stern::N,кӧдзыв,estrella
62,Luft::N,ру,aire
63,Wind::N,тӧв,viento
64,Welle::N,гы,ola
65,Welle::N,гы,onda
66,Wasser::N,ва,agua
67,Stein::N,из,piedra
68,Boden::N,му,suelo
69,Erde::N,му,tierra
70,Staub::N,бус,polvo
71,Rauch::N,тшын,humo
72,Funke::N,бичир,chispa
73,Feuer::N,би,fuego
74,Licht::N,би,luz
75,Schatten::N,вуджӧр,sombra
76,Wetter::N,погоддя,tiempo
77,Nebel::N,туман,niebla
78,Wolke::N,кымӧр,nube
79,Regen::N,зэр,lluvia
80,Schnee::N,лым,nieve
81,Eis::N,йы,hielo
82,Frost::N,мороз,helada
83,Kälte::N,кӧдзыт,frío
84,Hitze::N,ӧд,calor
85,Raureif::N,кижа,escarcha
86,Regenbogen::N,енӧшка,arco iris
87,Donner::N,гым,trueno
88,Strömung::N,визывтӧм,corriente
89,Tropfen::N,тёп,gota
90,Schaum::N,быг,espuma
91,Schmutz::N,нять,suciedad
92,See::N,ты,lago
93,Sumpf::N,арай,pantano
94,Moor::N,нюр,turbera
95,Wiese::N,видз,prado
96,Wiese::N,видз,pradera
97,Wald::N,вӧр,bosque
98,Hügel::N,мыльк,colina
99,Anhöhe::N,вывтас,cerro
100,Anhöhe::N,вылынін,cerro
101,Berg::N,керӧс,monte
102,Berg::N,керӧс,montaña
103,Gipfel::N,йыв,cima
104,Gipfel::N,йыв,cumbre
105,Höhle::N,нора,cueva
106,Höhle::N,нора,caverna
107,Abhang::N,покат,cuesta
108,Abhang::N,покат,declive
109,Quelle::N,больган,fuente
110,Quelle::N,больган,manantial
111,Bach::N,шор,arroyo
112,Fluss::N,ю,río
113,Ufer::N,берег,orilla
114,Küste::N,берег,costa
115,Festland::N,му,tierra firme
116,Meer::N,море,mar
117,Bucht::N,курья,cala
118,Bucht::N,курья,bahía
119,Blume::N,цветок,flor
120,Gras::N,турун,hierba
121,Wurzel::N,вуж,raíz
122,Baum::N,пу,árbol
123,Stamm::N,мыр,tronco
124,Stamm::N,кер,tronco
125,Rinde::N,кач,corteza
126,Ast::N,ув,rama
127,Zweig::N,ув,ramo
128,Blatt::N,лист,hoja
129,Birke::N,кыдз,abedul
130,Kiefer[Baum]::N,пожум,pino
131,Weide[Baum]::N,бадь,sauce
132,Tanne::N,кӧз,abeto
133,Horn::N,сюр,asta
134,Horn::N,сюр,cuerno
135,Feder::N,гӧн,pluma
136,Fell::N,кучик,piel
137,Flügel::N,борд,ala
138,Klaue::N,гыж,garra
139,Kralle::N,кабыр,uña
140,Kralle::N,кабыр,garra
141,Schwanz::N,бӧж,cola
142,Ei::N,кольть,huevo
143,Nest::N,поз,nido
144,Bau::N,осьта,madriguera
145,Bau::N,нора,madriguera
146,Tier::N,зверь,animal
147,Herde::N,гурт,rebaño
148,Kuh::N,мӧс,vaca
149,Bulle::N,ӧшка,toro
150,Pferd::N,вӧв,caballo
151,Schaf::N,баля,oveja
152,Schwein::N,порсь,cerdo
153,Hund::N,пон,perro
154,Katze::N,кань,gato
155,Bär::N,ош,oso
156,Eichhörnchen::N,ур,ardilla
157,Elch::N,вӧр мӧс,alce
158,Fuchs::N,руч,zorro
159,Hase::N,кӧч,liebre
160,Maus::N,шыр,ratón
161,Wolf::N,кӧин,lobo
162,Vogel::N,кай,ave
163,Vogel::N,кай,pájaro
164,Schwarm::N,стая,bandada
165,Schwarm::N,чукӧр,bandada
166,Huhn::N,курӧг,gallina
167,Hahn::N,петух,gallo
168,Hahn::N,ай курӧг,gallo
169,Gans::N,дзодзог,oca
170,Gans::N,дзодзог,ganso
171,Adler::N,куч,águila
172,Adler::N,кутш,águila
173,Ente::N,утка,pato
174,Eule::N,тупка,lechuza
175,Kranich::N,тури,grulla
176,Krähe::N,рака,corneja
177,Kuckuck::N,кӧк,cuco
178,Schwan::N,юсь,cisne
179,Fisch::N,чери,pez
180,Barsch::N,ёкыш,perca
181,Hecht::N,сирпинь,lucio
182,Schlange[Tier]::N,змей,serpiente
183,Wurm::N,номыр,gusano
184,Spinne::N,черань,araña
185,Ameise::N,кӧдзывкар,hormiga
186,Laus::N,ляпа той,piojo
187,Mücke::N,ном,mosquito
188,Fliege::N,гут,mosca
189,Schmetterling::N,бабыв,mariposa
190,Beere::N,ягӧд,baya
191,Apfel::N,яблоко,manzana
192,Pilz::N,тшак,seta
193,Pilz::N,тшак,hongo
194,Zwiebel::N,грез,cebolla
195,Saat::N,кӧдзыс,siembra
196,Korn::N,сю,grano
197,Heu::N,турун,heno
198,Schale::N,кыш,cáscara
199,Schale::N,киль,cáscara
200,Grube::N,яма,foso
201,Falle::N,нальк,trampa
202,Falle::N,кляпча,trampa
203,Schlinge::N,лӧч,lazo
204,Spur::N,туй,huella
205,Asche::N,пӧим,ceniza
206,Dreck::N,нять,suciedad
207,Eisen::N,кӧрт,hierro
208,Gold::N,зарни,oro
209,Silber::N,язісь,plata
210,Kohle::N,шом,carbón
211,Kohle::N,уголь,carbón
212,Glas::N,стекло,vidrio
213,Glas::N,стекло,cristal
214,Lehm::N,сёй,barro
215,Sand::N,лыа,arena
216,Mensch::N,морт,hombre
217,Mensch::N,морт,ser humano
218,Mann::N,мужик,hombre
219,Frau::N,инька,mujer
220,Kind::N,кага,niño
221,Junge::N,зонка,chico
222,Junge::N,зонка,muchacho
223,Mädchen::N,нывкаок,chica
224,Mädchen::N,нывкаок,muchacha
225,Familie::N,семья,familia
226,Großvater::N,дед,abuelo
227,Großmutter::N,баб,abuela
228,Eltern::N,ай-мам,padres
229,Vater::N,ай,padre
230,Mutter::N,мам,madre
231,Sohn::N,зон,hijo
232,Tochter::N,ныв,hija
233,Bruder::N,вон,hermano
234,Schwester::N,сой,hermana
235,Onkel::N,дядь,tío
236,Tante::N,айӧлӧн сой,tía
237,Tante::N,ичинь,tía
238,Ehemann::N,жӧник,esposo
239,Ehefrau::N,инь,esposa
240,Freude::N,гаж,placer
241,Freude::N,гаж,alegría
