,Concept_ID,sah,vep
0,Auge::N,харах,sil'm
1,Ohr::N,кулгаах,korv
2,Nase::N,мурун,nena
3,Mund::N,айах,su
4,Zahn::N,тиис,pi
5,Zahn::N,тиис,hambaz
6,Zunge::N,тыл,kel'
7,Lippe::N,уос,hul'
8,Wange::N,иэдэс,modpolišk
9,Gesicht::N,сирэй,mod
10,Stirn::N,сүүс,oc
11,Haar::N,баттах,tuk
12,Haar::N,баттах,hibuz
13,Schnurrbart::N,уос бытыга,habinod
14,Bart::N,сэҥийэ бытыга,bard
15,Kinn::N,сэҥийэ,löug
16,Kiefer[Anatomie]::N,сыҥаах,hambazlu
17,Kehle::N,тамах,kurk
18,Kehle::N,күөмэй,kurk
19,Hals::N,моой,kagl
20,Genick::N,кэтэх,tagarai
21,Kopf::N,бас,pä
22,Rücken::N,көҕүс,sel'g
23,Bauch::N,ис,vac
24,Bauch::N,ис,koht
25,Nabel::N,киин,naba
26,Busen::N,эмиий,niža
27,Brust::N,түөс,rind
28,Schulter::N,сарын,oug
29,Arm::N,илии,käzi
30,Ellenbogen::N,тоҕонох,künambruz
31,Hand::N,илии,käzi
32,Hand::N,илии,käzitera
33,Handfläche::N,ытыс,kämen
34,Finger::N,тарбах,sor'm
35,Fingernagel::N,тыҥырах,künz'
36,Nagel[Anatomie]::N,тыҥырах,künz'
37,Zeh::N,тарбах,barbaz
38,Fuß::N,уллуҥах,jaug
39,Ferse::N,тилэх,kand
40,Knie::N,тобук,komb
41,Knie::N,тобук,pol'v
42,Knie::N,дьилбэк,komb
43,Knie::N,дьилбэк,pol'v
44,Oberschenkel::N,уллук,riiže
45,Oberschenkel::N,өттүк,riiže
46,Bein::N,атах,jaug
47,Körper::N,бэйэ,hibj
48,Haut::N,тирии,nahk
49,Blut::N,хаан,čak
50,Blut::N,хаан,veri
51,Ader::N,вена,son'
52,Ader::N,күөх_тымыр,son'
53,Sehne::N,иҥиир,jände
54,Knochen::N,уҥуох,lu
55,Knochen::N,уҥгуох,lu
56,Gehirn::N,мэйии,aivod
57,Herz::N,сүрэх,südäin
58,Magen::N,куртах,südäikoht
59,Leber::N,быар,maks
60,Atem::N,тыын,hengaiduz
61,Hunger::N,аас,näl'g
62,Träne::N,харах уута,kündal'
63,Geschmack::N,амтан,magu
64,Geruch::N,сыт,haju
65,Schlaf::N,утуйуу,uni
66,Traum::N,түүл,unikuva
67,Himmel::N,халлаан,taivaz
68,Sonne::N,күн,päiväine
69,Mond::N,ый,kudmaine
70,Stern::N,сулус,tähtaz
71,Luft::N,салгын,il'm
72,Wind::N,тыал,döl
73,Wind::N,тыал,tullei
74,Welle::N,долгун,ald
75,Welle::N,долгун,laineh
76,Welle::N,балхаан,ald
77,Welle::N,балхаан,laineh
78,Wasser::N,уу,vezi
79,Stein::N,таас,kivi
80,Boden::N,сир,ma
81,Boden::N,сир,pohj
82,Erde::N,буор,ma
83,Staub::N,быыл,pölü
84,Rauch::N,буруо,savu
85,Funke::N,кыым,kibin
86,Feuer::N,уот,lämoi
87,Licht::N,уот,vauktuz
88,Schatten::N,күлүк,pil'vez
89,Schatten::N,күлүк,kuvahaine
90,Wetter::N,күн-дьыл,sä
91,Nebel::N,туман,sumeg
92,Wolke::N,былыт,pil'v
93,Regen::N,самыыр,vihm
94,Schnee::N,хаар,lumi
95,Eis::N,муус,jä
96,Frost::N,тымныы,hala
97,Frost::N,тымныы,pakaine
98,Kälte::N,тымныы,vilu
99,Hitze::N,куйаас,räk
100,Raureif::N,кырыа,hüde
101,Regenbogen::N,кустук,jumalanbembel'
102,Donner::N,этиҥ,juru
103,Donner::N,этиҥ,jumalanjuru
104,Strömung::N,сүүрүк,joksmuz
105,Tropfen::N,таммах,tilkuine
106,Tropfen::N,хааппыла,tilkuine
107,Schaum::N,күүгэн,vaht
108,Schmutz::N,кир,redu
109,Schmutz::N,кир,pačak
110,See::N,күөл,järv
111,Sumpf::N,бадараан,so
112,Moor::N,дьэбэрэ,so
113,Wiese::N,ходуһа,nit
114,Wald::N,ойуур,mec
115,Hügel::N,булгунньах,kukaz
116,Anhöhe::N,үрдэл,kukaz
117,Berg::N,хайа,mägi
118,Gipfel::N,чыпчаал,ladv
119,Höhle::N,хайа_хаспаҕа,mägionduz
120,Höhle::N,көҥүс,mägionduz
121,Abhang::N,эниэ,paute
122,Quelle::N,дьүүктэ,lähte
123,Bach::N,үрүйэ,oja
124,Fluss::N,өрүс,jogi
125,Ufer::N,биэрэк,rand
126,Küste::N,кытыл,randišt
127,Festland::N,кураанах сир,kuivma
128,Meer::N,муора,meri
