,Concept_ID,uz,ru
0,Auge::N,ko'z,глаз
1,Ohr::N,quloq,ухо
2,Nase::N,burun,нос
3,Mund::N,og'iz,рот
4,Zahn::N,tish,зуб
5,Zunge::N,til,язык
6,Lippe::N,dudoq,губа
7,Wange::N,bet,щека
8,Gesicht::N,yuz,лицо
9,Stirn::N,manglay,лоб
10,Haar::N,soch,волос
11,Haar::N,soch,волосы
12,Schnurrbart::N,mo'ylov,ус
13,Schnurrbart::N,mo'ylov,усы
14,Bart::N,soqol,борода
15,Kinn::N,ängak,подбородок
16,Kiefer[Anatomie]::N,iyak,челюсть
17,Kehle::N,bo'g'iz,горло
18,Hals::N,bo'yin,шея
19,Genick::N,gardan,затылок
20,Kopf::N,bosh,голова
21,Rücken::N,orqa,спина
22,Bauch::N,qorin,живот
23,Nabel::N,kindik,пупок
24,Busen::N,ämchak,женская грудь
25,Brust::N,ko'krak,грудь
26,Schulter::N,elka,плечо
27,Arm::N,bilak,рука
28,Ellenbogen::N,tirsak,локоть
29,Hand::N,qo'l,кисть
30,Handfläche::N,kaft,ладонь
31,Finger::N,barmoq,палец
32,Fingernagel::N,tirnoq,ноготь
33,Nagel[Anatomie]::N,tirnoq,ноготь
34,Zeh::N,oyoq barmog'i,палец
35,Fuß::N,oyoq,ступня
36,Ferse::N,tovon,пята
37,Ferse::N,tovon,пятка
38,Knie::N,tiz,колено
39,Oberschenkel::N,son,бедро
40,Bein::N,oyoq,нога
41,Körper::N,badna,тело
42,Haut::N,teri,кожа
43,Blut::N,qon,кровь
44,Ader::N,qon tomir,вена
45,Ader::N,qon tomir,сосуд
46,Sehne::N,tomir,жила
47,Sehne::N,tomir,тетива
48,Sehne::N,tomir,сухожилие
49,Knochen::N,suyak,кость
50,Gehirn::N,miya,мозг
51,Herz::N,qalb,сердце
52,Magen::N,oshqozon,желудок
53,Leber::N,bag'ir,печень
54,Atem::N,dam,дух
55,Atem::N,dam,дыхание
56,Hunger::N,ochlik,голод
57,Träne::N,yosh,слеза
58,Geschmack::N,tam,вкус
59,Geruch::N,jid,запах
60,Schlaf::N,uyqu,сон
61,Traum::N,tush,сновидение
62,Himmel::N,osmon,небо
63,Sonne::N,quyosh,солнце
64,Mond::N,oy,луна
65,Stern::N,yulduz,звезда
66,Luft::N,havo,воздух
67,Wind::N,el,ветер
68,Welle::N,to'lqin,волна
69,Wasser::N,suv,вода
70,Stein::N,tosh,камень
71,Boden::N,tuproq,почва
72,Erde::N,er,земля
73,Staub::N,chang,пыль
74,Rauch::N,tutun,дым
75,Funke::N,yalt,искра
76,Feuer::N,o't,огонь
77,Licht::N,yorug',свет
78,Schatten::N,soya,тень
79,Wetter::N,havo,погода
80,Nebel::N,tuman,туман
81,Wolke::N,bulut,облако
82,Regen::N,yomg'ir,дождь
83,Schnee::N,qor,снег
84,Eis::N,muz,лед
85,Frost::N,ajoz,мороз
86,Kälte::N,ajoz,холод
87,Hitze::N,issiq,жара
